sequence	statement_id	record_id	page	statement_ordinal	entry_boundary	exit_boundary	visible_owner_pre	visible_owner_operation	visible_owner_post	owner_break_inside_statement	active_pre	active_operation	active_post	target_pre	target_operation	target_post	previous_pre	previous_operation	previous_post	memory_slots_filled_pre	memory_slots_filled_post	visible_card_cues	surface_sequence	atom_sequence	macro_program	literal_card_reading_de	expanded_workshop_reading_de	scribe_memory_instruction_de
81	B3-S019	B3	f83r	19	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	MITFÜHREN	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO	B3:I001	CARRY	B3:I001	B3:T008	CARRY	B3:T008	B3:I002	CARRY	B3:I002	4	4	ZELLE_SCHLIESSEN	qokshedy	OK+SHED+CLOSE	SINGLE_SET[B3-S019-U01]	Absetzgang ansetzen; Schluss	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Erwärme den Bade- oder Waschzusatz sanft und beende den Arbeitsschritt.	Besitzer mitführen: B3_MARGIN_TO_MAIN_GAP_UNRESOLVED; Posten carry: B3:I001; Ziel carry: B3:T008; Voriges carry: B3:I002.
82	B3-S020	B3	f83r	20	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	MITFÜHREN	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO	B3:I001	CARRY	B3:I001	B3:T008	INTRODUCE	B3:T009	B3:I002	CARRY	B3:I002	4	4	ZIEL_SICHTBAR|ZELLE_SCHLIESSEN	dal lchedy	AL | L+CHD+CLOSE	SINGLE_LEAD_OUT[B3-S020-U01]	dorthin; abführen; Schluss	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	Besitzer mitführen: B3_MARGIN_TO_MAIN_GAP_UNRESOLVED; Posten carry: B3:I001; Ziel introduce: B3:T009; Voriges carry: B3:I002.
83	B3-S021	B3	f83r	21	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	MITFÜHREN	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO	B3:I001	CARRY	B3:I001	B3:T009	INTRODUCE	B3:T010	B3:I002	CARRY	B3:I002	4	4	ZIEL_SICHTBAR|AKTUELLER_POSTEN|SOLLWERT|ZELLE_SCHLIESSEN	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | CTH+E+Y | Y | AL | CTH+Y | AL+CHD+CLOSE	M09[B3-S021-U01+B3-S021-U02] | SINGLE_SETTLE[B3-S021-U03] | SINGLE_READY[B3-S021-U04] | SINGLE_READY[B3-S021-U05] | SINGLE_TRANSFER[B3-S021-U06]	auf Sollmaß einstellen; bereit; dorthin; dieser Posten; Sollmaß; dort absetzen; kurz bereit halten; dieser Posten; dorthin; bereit; dorthin umsetzen; Schluss	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Den örtlichen Prüfzustand der Charge feststellen. Den aktiven Posten an der örtlich bezeichneten Station führen. Diese aktive Portion. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Für einen Zeitabschnitt. Warmes Wasser. Diese aktive Portion. Den aktiven Posten an der örtlich bezeichneten Station führen. Den örtlichen Prüfzustand der Charge feststellen. Behalte den Rückstand und beende den Schritt.	Besitzer mitführen: B3_MARGIN_TO_MAIN_GAP_UNRESOLVED; Posten carry: B3:I001; Ziel introduce: B3:T010; Voriges carry: B3:I002.
84	B3-S022	B3	f83r	22	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	MITFÜHREN	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO	B3:I001	CARRY	B3:I001	B3:T010	CARRY	B3:T010	B3:I002	CARRY	B3:I002	4	4	NÄCHSTER_POSTEN|ZELLE_SCHLIESSEN	qotchedy	OT+CHD+CLOSE	SINGLE_TRANSFER[B3-S022-U01]	nächsten Posten überführen; Schluss	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Mische zu gleichen Teilen und beende den Schritt.	Besitzer mitführen: B3_MARGIN_TO_MAIN_GAP_UNRESOLVED; Posten carry: B3:I001; Ziel carry: B3:T010; Voriges carry: B3:I002.
85	B3-S023	B3	f83r	23	WITHIN_LOCUS_FIELD_BOUNDARY	NEXT_PARALLEL_CELL	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	MITFÜHREN	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO	B3:I001	CARRY	B3:I001	B3:T010	RESUME	B3:T010	B3:I002	CARRY	B3:I002	4	4	ZELLE_SCHLIESSEN	lchedy	L+CHD+CLOSE	SINGLE_LEAD_OUT[B3-S023-U01]	abführen; Schluss	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	Besitzer mitführen: B3_MARGIN_TO_MAIN_GAP_UNRESOLVED; Posten carry: B3:I001; Ziel resume: B3:T010; Voriges carry: B3:I002.
86	B3-S024	B3	f83r	24	NEXT_PARALLEL_CELL	WITHIN_LOCUS_FIELD_BOUNDARY	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	MITFÜHREN	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO	B3:I001	INTRODUCE	B3:I003	B3:T010	INTRODUCE	B3:T011	B3:I002	INTRODUCE	B3:I001	4	4	ZELLE_SCHLIESSEN	tchedy	CHD+CLOSE	SINGLE_TRANSFER[B3-S024-U01]	Posten überführen; Schluss	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	Besitzer mitführen: B3_MARGIN_TO_MAIN_GAP_UNRESOLVED; Posten introduce: B3:I003; Ziel introduce: B3:T011; Voriges introduce: B3:I001.
87	B3-S025	B3	f83r	25	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	MITFÜHREN	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO	B3:I003	CARRY	B3:I003	B3:T011	CARRY	B3:T011	B3:I001	CARRY	B3:I001	4	4	ZELLE_SCHLIESSEN	qokchdy	OK+CHD+CLOSE	SINGLE_SET[B3-S025-U01]	Umsetzung ansetzen; Schluss	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Erwärme es einmal und beende den Schritt.	Besitzer mitführen: B3_MARGIN_TO_MAIN_GAP_UNRESOLVED; Posten carry: B3:I003; Ziel carry: B3:T011; Voriges carry: B3:I001.
88	B3-S026	B3	f83r	26	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	IM_SATZ_UMSCHALTEN	B3_MAIN_ARCH_LINKED_PAIR	YES	B3:I003	CARRY	B3:I003	B3:T011	INTRODUCE	B3:T012	B3:I001	CARRY	B3:I001	4	4	QUELLE_SICHTBAR|ZIEL_SICHTBAR|AKTUELLER_POSTEN|SOLLWERT|PORTION|ZELLE_SCHLIESSEN	cheedar chldaiin chedy qokain checthy chealror solkeedy	CHD+AR | SHED+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+OR | SOLK+EE+CLOSE	SINGLE_TRANSFER[B3-S026-U01] | SINGLE_SETTLE[B3-S026-U02] | M13[B3-S026-U03+B3-S026-U04] | SINGLE_READY[B3-S026-U05] | SINGLE_COLLECT[B3-S026-U06]	von dort umsetzen; Absetzmaß; laufenden Posten umsetzen; eine Portion zugeben; bereit; Ansatz von dort zur Zielstelle; länger sammeln; Schluss	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Richte die bezeichnete Beckenstation ein. Nach dem Absetzen. Rühre, bis alles gleichmäßig vermischt ist. Gib einen abgemessenen Anteil in das Gefäß. Den örtlichen Prüfzustand der Charge feststellen. Bis der Strom klar wird. [[STATIONSWECHSEL: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar -> Hauptpaar am sichtbaren ungerichteten Bogen; STOFF, ZIEL UND RICHTUNG WERDEN NICHT VERERBT]] Lasse die Flüssigkeit sich setzen und beende den Schritt.	Besitzer im satz umschalten: B3_MAIN_ARCH_LINKED_PAIR; Posten carry: B3:I003; Ziel introduce: B3:T012; Voriges carry: B3:I001.
89	B3-S027	B3	f83r	27	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B3_MAIN_ARCH_LINKED_PAIR	MITFÜHREN	B3_MAIN_ARCH_LINKED_PAIR	NO	B3:I003	CARRY	B3:I003	B3:T012	CARRY	B3:T012	B3:I001	CARRY	B3:I001	4	4	NÄCHSTER_POSTEN|ZELLE_SCHLIESSEN	qoteedy	OT+EE+CLOSE	SINGLE_OWNER_ACTION[B3-S027-U01]	lange Folge; Schluss	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Lege ein warmes Tuch auf die bezeichnete äußere Stelle und beende den Schritt.	Besitzer mitführen: B3_MAIN_ARCH_LINKED_PAIR; Posten carry: B3:I003; Ziel carry: B3:T012; Voriges carry: B3:I001.
90	B3-S028	B3	f83r	28	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B3_MAIN_ARCH_LINKED_PAIR	MITFÜHREN	B3_MAIN_ARCH_LINKED_PAIR	NO	B3:I003	CARRY	B3:I003	B3:T012	INTRODUCE	B3:T013	B3:I001	CARRY	B3:I001	4	4	AKTUELLER_POSTEN|ZELLE_SCHLIESSEN	qokeey qokedy	OK+EE+Y | OK+E+CLOSE	M19[B3-S028-U01+B3-S028-U02]	länger ansetzen; kurz ansetzen; Schluss	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Die Charge für den vorgesehenen Gebrauch temperieren. Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	Besitzer mitführen: B3_MAIN_ARCH_LINKED_PAIR; Posten carry: B3:I003; Ziel introduce: B3:T013; Voriges carry: B3:I001.
91	B3-S029	B3	f83r	29	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B3_MAIN_ARCH_LINKED_PAIR	MITFÜHREN	B3_MAIN_ARCH_LINKED_PAIR	NO	B3:I003	CARRY	B3:I003	B3:T013	INTRODUCE	B3:T014	B3:I001	RESUME	B3:I001	4	4	FORTSETZEN|ZELLE_SCHLIESSEN	sol cheeety qokedy	OL | EEE+TY | OK+E+CLOSE	M05[B3-S029-U01+B3-S029-U02]	fortsetzen; ganzen Teilposten; kurz ansetzen; Schluss	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Nach der ersten Spülung. Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	Besitzer mitführen: B3_MAIN_ARCH_LINKED_PAIR; Posten carry: B3:I003; Ziel introduce: B3:T014; Voriges resume: B3:I001.
92	B3-S030	B3	f83r	30	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B3_MAIN_ARCH_LINKED_PAIR	MITFÜHREN	B3_MAIN_ARCH_LINKED_PAIR	NO	B3:I003	CARRY	B3:I003	B3:T014	RESUME	B3:T014	B3:I001	CARRY	B3:I001	4	4	NÄCHSTER_POSTEN|AKTUELLER_POSTEN|SOLLWERT|ZELLE_SCHLIESSEN	qoky saiin schedair otchedy	OK+Y | AIIN | AIR | OT+CHD+CLOSE	M14[B3-S030-U01+B3-S030-U02]	aktuellen Posten ansetzen; Sollmaß; Wasser weiterleiten; nächsten Posten überführen; Schluss	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Die Waschflotte am bezeichneten Körper- oder Beckenbereich gebrauchen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Ziehe die klare Flüssigkeit ab. Mische zu gleichen Teilen und beende den Schritt.	Besitzer mitführen: B3_MAIN_ARCH_LINKED_PAIR; Posten carry: B3:I003; Ziel resume: B3:T014; Voriges carry: B3:I001.
93	B3-S031	B3	f83r	31	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B3_MAIN_ARCH_LINKED_PAIR	MITFÜHREN	B3_MAIN_ARCH_LINKED_PAIR	NO	B3:I003	CARRY	B3:I003	B3:T014	CARRY	B3:T014	B3:I001	CARRY	B3:I001	4	4	ZELLE_SCHLIESSEN	qokeedy	OK+EE+CLOSE	SINGLE_SET[B3-S031-U01]	länger ansetzen; Schluss	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Wasche oder bade den bezeichneten Körper- oder Beckenbereich und beende den Schritt.	Besitzer mitführen: B3_MAIN_ARCH_LINKED_PAIR; Posten carry: B3:I003; Ziel carry: B3:T014; Voriges carry: B3:I001.
94	B3-S032	B3	f83r	32	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B3_MAIN_ARCH_LINKED_PAIR	MITFÜHREN	B3_MAIN_ARCH_LINKED_PAIR	NO	B3:I003	CARRY	B3:I003	B3:T014	INTRODUCE	B3:T015	B3:I001	RESUME	B3:I001	4	4	NÄCHSTER_POSTEN|AKTUELLER_POSTEN|SOLLWERT|PORTION|ZELLE_SCHLIESSEN	chedain chedy qotedaiin otaiin otedy	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+CLOSE	SINGLE_TRANSFER[B3-S032-U01] | SINGLE_TRANSFER[B3-S032-U02]	Portion umsetzen; laufenden Posten umsetzen; kurzes Folgemass; Folgemaß; kurze Folge; Schluss	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Beginne die Spülung. Rühre, bis alles gleichmäßig vermischt ist. Das breite Gefäß. Für dieselbe Dauer wie zuvor. Lasse es bis zur Klarheit ziehen und beende den Schritt.	Besitzer mitführen: B3_MAIN_ARCH_LINKED_PAIR; Posten carry: B3:I003; Ziel introduce: B3:T015; Voriges resume: B3:I001.
95	B3-S033	B3	f83r	33	WITHIN_LOCUS_FIELD_BOUNDARY	START_NEW_CLAUSE	B3_MAIN_ARCH_LINKED_PAIR	MITFÜHREN	B3_MAIN_ARCH_LINKED_PAIR	NO	B3:I003	CARRY	B3:I003	B3:T015	CARRY	B3:T015	B3:I001	CARRY	B3:I001	4	4	ZELLE_SCHLIESSEN	ldy	L+CLOSE	SINGLE_LEAD_OUT[B3-S033-U01]	abziehen; Ende	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Ziehe es ab und beende den Schritt.	Besitzer mitführen: B3_MAIN_ARCH_LINKED_PAIR; Posten carry: B3:I003; Ziel carry: B3:T015; Voriges carry: B3:I001.
96	B3-S034	B3	f83r	34	START_NEW_CLAUSE	RECORD_END	B3_MAIN_ARCH_LINKED_PAIR	MITFÜHREN	B3_MAIN_ARCH_LINKED_PAIR	NO	B3:I003	INTRODUCE	B3:I004	B3:T015	INTRODUCE	B3:T016	B3:I001	INTRODUCE	B3:I003	4	4	NÄCHSTER_POSTEN|ZIEL_SICHTBAR|AKTUELLER_POSTEN|SOLLWERT|STUFE|ZELLE_SCHLIESSEN	soiiin checthy chety otaiin olsaly shedy	IIN | CTH+Y | PARTITION+TY | OT+AIIN | AL+Y | SHED+E+CLOSE	M04[B3-S034-U01+B3-S034-U02] | SINGLE_SETTLE[B3-S034-U03]	Sollstufe; bereit; Teil abtrennen; Folgemaß; untere Zielstelle; kurz absetzen lassen; Schluss	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Bis es klar ist. Den örtlichen Prüfzustand der Charge feststellen. Gleichmäßig bearbeiten. Für dieselbe Dauer wie zuvor. Das untere Becken. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	Besitzer mitführen: B3_MAIN_ARCH_LINKED_PAIR; Posten introduce: B3:I004; Ziel introduce: B3:T016; Voriges introduce: B3:I003.
97	B4-S001	B4	f83r	1	RECORD_START	WITHIN_LOCUS_FIELD_BOUNDARY	LEER	AUS_BILD_SETZEN	B4_MAIN_ARCH_LINKED_PAIR	NO	LEER	INTRODUCE	B4:I001	LEER	RESET	LEER	LEER	RESET	LEER	0	2	ZELLE_SCHLIESSEN	qokeedy	OK+EE+CLOSE	SINGLE_SET[B4-S001-U01]	länger ansetzen; Schluss	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Tauche das Tuch oder die Auflage in die temperierte Flüssigkeit und beende den Schritt.	Besitzer aus bild setzen: B4_MAIN_ARCH_LINKED_PAIR; Posten introduce: B4:I001; Ziel reset: LEER; Voriges reset: LEER.
98	B4-S002	B4	f83r	2	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B4_MAIN_ARCH_LINKED_PAIR	MITFÜHREN	B4_MAIN_ARCH_LINKED_PAIR	NO	B4:I001	CARRY	B4:I001	LEER	INTRODUCE	B4:T001	LEER	CARRY	LEER	2	3	FORTSETZEN|AKTUELLER_POSTEN|ZELLE_SCHLIESSEN	qolchey qokeey qokedy	OL+Y | OK+EE+Y | OK+E+CLOSE	M05[B4-S002-U01+B4-S002-U02] | SINGLE_SET[B4-S002-U03]	diesen Posten weiterfuehren; länger ansetzen; kurz ansetzen; Schluss	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Fülle danach das Gefäß. Die Charge für den vorgesehenen Gebrauch temperieren. Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	Besitzer mitführen: B4_MAIN_ARCH_LINKED_PAIR; Posten carry: B4:I001; Ziel introduce: B4:T001; Voriges carry: LEER.
99	B4-S003	B4	f83r	3	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B4_MAIN_ARCH_LINKED_PAIR	MITFÜHREN	B4_MAIN_ARCH_LINKED_PAIR	NO	B4:I001	INTRODUCE	B4:I002	B4:T001	INTRODUCE	B4:T002	LEER	INTRODUCE	B4:I001	3	4	NÄCHSTER_POSTEN|FORTSETZEN|ZIEL_SICHTBAR|AKTUELLER_POSTEN|ZELLE_SCHLIESSEN	chedy otal otchey qokeey qoky tol shedy	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+E+CLOSE	M13[B4-S003-U01+B4-S003-U02] | M02[B4-S003-U03+B4-S003-U04+B4-S003-U05]	laufenden Posten umsetzen; danach dorthin; nächster Teilposten; länger ansetzen; aktuellen Posten ansetzen; fortsetzen; kurz absetzen lassen; Schluss	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Rühre, bis alles gleichmäßig vermischt ist. Zum unteren Ablauf hin. Einen recordlokalen Anteil auswählen. Die Charge für den vorgesehenen Gebrauch temperieren. Den gefilterten Waschposten an der äußeren Haut- oder Wundstelle gebrauchen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	Besitzer mitführen: B4_MAIN_ARCH_LINKED_PAIR; Posten introduce: B4:I002; Ziel introduce: B4:T002; Voriges introduce: B4:I001.
100	B4-S004	B4	f83r	4	WITHIN_LOCUS_FIELD_BOUNDARY	NEXT_PARALLEL_CELL	B4_MAIN_ARCH_LINKED_PAIR	MITFÜHREN	B4_MAIN_ARCH_LINKED_PAIR	NO	B4:I002	CARRY	B4:I002	B4:T002	CARRY	B4:T002	B4:I001	CARRY	B4:I001	4	4	AKTUELLER_POSTEN	qokylddy	OK+Y+LDDY	SINGLE_SET[B4-S004-U01]	aktuellen Posten befestigen; Schluss	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Lege das warme Tuch auf die äußere Haut- oder Wundstelle und beende den Schritt.	Besitzer mitführen: B4_MAIN_ARCH_LINKED_PAIR; Posten carry: B4:I002; Ziel carry: B4:T002; Voriges carry: B4:I001.
101	B4-S005	B4	f83r	5	NEXT_PARALLEL_CELL	WITHIN_LOCUS_FIELD_BOUNDARY	B4_MAIN_ARCH_LINKED_PAIR	MITFÜHREN	B4_MAIN_ARCH_LINKED_PAIR	NO	B4:I002	INTRODUCE	B4:I003	B4:T002	INTRODUCE	B4:T003	B4:I001	INTRODUCE	B4:I002	4	4	AKTUELLER_POSTEN|ZELLE_SCHLIESSEN	dain chedy qokeedy	DAIN | CHD+Y | OK+EE+CLOSE	M13[B4-S005-U01+B4-S005-U02]	Tuch; laufenden Posten umsetzen; länger ansetzen; Schluss	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Durch ein Tuch. Rühre, bis alles gleichmäßig vermischt ist. Tauche das Tuch oder die Auflage in die temperierte Flüssigkeit und beende den Schritt.	Besitzer mitführen: B4_MAIN_ARCH_LINKED_PAIR; Posten introduce: B4:I003; Ziel introduce: B4:T003; Voriges introduce: B4:I002.
102	B4-S006	B4	f83r	6	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B4_MAIN_ARCH_LINKED_PAIR	MITFÜHREN	B4_MAIN_ARCH_LINKED_PAIR	NO	B4:I003	CARRY	B4:I003	B4:T003	INTRODUCE	B4:T004	B4:I002	CARRY	B4:I002	4	4	ZELLE_SCHLIESSEN	shckhedy	CKHE+CLOSE	SINGLE_STRAIN[B4-S006-U01]	seihen; Schluss	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Seihe es einmal durch ein Tuch und beende den Schritt.	Besitzer mitführen: B4_MAIN_ARCH_LINKED_PAIR; Posten carry: B4:I003; Ziel introduce: B4:T004; Voriges carry: B4:I002.
103	B4-S007	B4	f83r	7	WITHIN_LOCUS_FIELD_BOUNDARY	NEXT_PARALLEL_CELL	B4_MAIN_ARCH_LINKED_PAIR	MITFÜHREN	B4_MAIN_ARCH_LINKED_PAIR	NO	B4:I003	CARRY	B4:I003	B4:T004	INTRODUCE	B4:T005	B4:I002	CARRY	B4:I002	4	4	ZELLE_SCHLIESSEN	shckhedy	CKHE+CLOSE	SINGLE_STRAIN[B4-S007-U01]	seihen; Schluss	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Seihe es einmal durch ein Tuch und beende den Schritt.	Besitzer mitführen: B4_MAIN_ARCH_LINKED_PAIR; Posten carry: B4:I003; Ziel introduce: B4:T005; Voriges carry: B4:I002.
104	B4-S008	B4	f83r	8	NEXT_PARALLEL_CELL	WITHIN_LOCUS_FIELD_BOUNDARY	B4_MAIN_ARCH_LINKED_PAIR	MITFÜHREN	B4_MAIN_ARCH_LINKED_PAIR	NO	B4:I003	INTRODUCE	B4:I004	B4:T005	INTRODUCE	B4:T007	B4:I002	INTRODUCE	B4:I003	4	4	AKTUELLER_POSTEN|SOLLWERT|ZELLE_SCHLIESSEN	saiin cheeky sheey qokedy	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+CLOSE	SINGLE_WARM[B4-S008-U01] | SINGLE_HOLD[B4-S008-U02] | SINGLE_SET[B4-S008-U03]	Sollmaß; länger erwärmen und offen halten; laenger ruhen; kurz ansetzen; Schluss	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Solange es noch warm ist. Die erste Öffnung. Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	Besitzer mitführen: B4_MAIN_ARCH_LINKED_PAIR; Posten introduce: B4:I004; Ziel introduce: B4:T007; Voriges introduce: B4:I003.
105	B4-S009	B4	f83r	9	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	B4_MAIN_ARCH_LINKED_PAIR	MITFÜHREN	B4_MAIN_ARCH_LINKED_PAIR	NO	B4:I004	CARRY	B4:I004	B4:T007	CARRY	B4:T007	B4:I003	CARRY	B4:I003	4	4	ZELLE_SCHLIESSEN	shedy	SHED+E+CLOSE	SINGLE_SETTLE[B4-S009-U01]	kurz absetzen lassen; Schluss	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Lasse es bis zur Bereitschaft stehen und beende den Schritt.	Besitzer mitführen: B4_MAIN_ARCH_LINKED_PAIR; Posten carry: B4:I004; Ziel carry: B4:T007; Voriges carry: B4:I003.
106	B4-S010	B4	f83r	10	WITHIN_LOCUS_FIELD_BOUNDARY	START_NEW_CLAUSE	B4_MAIN_ARCH_LINKED_PAIR	MITFÜHREN	B4_MAIN_ARCH_LINKED_PAIR	NO	B4:I004	CARRY	B4:I004	B4:T007	CARRY	B4:T007	B4:I003	CARRY	B4:I003	4	4	FORTSETZEN|ZELLE_SCHLIESSEN	oldy	OL+CLOSE	SINGLE_CONTINUE[B4-S010-U01]	Fortsetzung abschließen	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Erwärme den Bade- oder Waschzusatz sanft und beende den Arbeitsschritt.	Besitzer mitführen: B4_MAIN_ARCH_LINKED_PAIR; Posten carry: B4:I004; Ziel carry: B4:T007; Voriges carry: B4:I003.
107	B4-S011	B4	f83r	11	START_NEW_CLAUSE	WITHIN_LOCUS_FIELD_BOUNDARY	B4_MAIN_ARCH_LINKED_PAIR	VOR_SATZ_UMSCHALTEN	B4_MAIN_LEFT_OPEN_FRINGE_STATION	NO	B4:I004	INTRODUCE	B4:I005	B4:T007	INTRODUCE	B4:T008	B4:I003	INTRODUCE	B4:I004	4	4	FORTSETZEN|AKTUELLER_POSTEN|SOLLWERT|PORTION|ZELLE_SCHLIESSEN	saiin cheky okeeol okain chdy sol lkedy	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+E+CLOSE	SINGLE_WARM[B4-S011-U01] | M19[B4-S011-U02+B4-S011-U03] | M03[B4-S011-U04+B4-S011-U05+B4-S011-U06]	Sollmaß; kurz wärmen; länger fortführen; eine Portion zugeben; laufenden Posten umsetzen; fortsetzen; kurz abführen; Schluss	[[LOKALER BESITZER: linke offene Fransen-/Unterlaufstation]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Bei sanfter Wärme. Das breite Gefäß. Gib einen abgemessenen Anteil in das Gefäß. Rühre, bis alles gleichmäßig vermischt ist. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Wasche zweimal und beende den Schritt.	Besitzer vor satz umschalten: B4_MAIN_LEFT_OPEN_FRINGE_STATION; Posten introduce: B4:I005; Ziel introduce: B4:T008; Voriges introduce: B4:I004.
