trace_serial	track	page	address	visible_or_opaque_form	forward_1_segment	forward_2_minimal_card	forward_3_owner_or_namespace	forward_4_licensed_source_slots	forward_5_selected_unit_vocabulary	forward_6_spoken_action	backward_1_required_address	backward_2_required_card_or_group	backward_recovery	concrete_content_without_owner_or_local_source
138	A3	f69v	f69v.2:19	A3:G059	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 19 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:19	A3:G059	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
139	A3	f69v	f69v.2:20	A3:G060	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 20 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:20	A3:G060	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
140	A3	f69v	f69v.2:21	A3:G061	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 21 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:21	A3:G061	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
141	A3	f69v	f69v.2:22	A3:G062	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 22 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:22	A3:G062	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
142	A3	f69v	f69v.2:23	A3:G063	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 23 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:23	A3:G063	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
143	A3	f69v	f69v.2:24	A3:G064	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 24 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:24	A3:G064	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
144	A3	f69v	f69v.2:25	A3:G065	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 25 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:25	A3:G065	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
145	A3	f69v	f69v.2:26	A3:G066	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 26 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:26	A3:G066	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
146	A3	f69v	f69v.2:27	A3:G067	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 27 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:27	A3:G067	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
147	A3	f69v	f69v.2:28	A3:G068	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 28 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:28	A3:G068	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
148	A3	f69v	f69v.2:29	A3:G069	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 29 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:29	A3:G069	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
149	A3	f69v	f69v.2:30	A3:G070	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 30 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:30	A3:G070	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
150	A3	f69v	f69v.2:31	A3:G071	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 31 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:31	A3:G071	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
151	A3	f69v	f69v.2:32	A3:G072	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 32 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:32	A3:G072	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
152	A3	f69v	f69v.2:33	A3:G073	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 33 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:33	A3:G073	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
153	A3	f69v	f69v.2:34	A3:G074	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 34 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:34	A3:G074	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
154	A3	f69v	f69v.2:35	A3:G075	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 35 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:35	A3:G075	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
155	A3	f69v	f69v.2:36	A3:G076	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 36 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:36	A3:G076	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
156	A3	f69v	f69v.2:37	A3:G077	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 37 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:37	A3:G077	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
157	A3	f69v	f69v.2:38	A3:G078	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_MIDDLE_WHEEL_RING_TEXT @ A3_MIDDLE_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 38 am Besitzer A3_MIDDLE_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.2:38	A3:G078	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
158	A3	f69v	f69v.3:1	A3:G079	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_RIGHT_WHEEL_RING_TEXT @ A3_RIGHT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 1 am Besitzer A3_RIGHT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.3:1	A3:G079	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
159	A3	f69v	f69v.3:2	A3:G080	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_RIGHT_WHEEL_RING_TEXT @ A3_RIGHT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 2 am Besitzer A3_RIGHT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.3:2	A3:G080	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
160	A3	f69v	f69v.3:3	A3:G081	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_RIGHT_WHEEL_RING_TEXT @ A3_RIGHT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 3 am Besitzer A3_RIGHT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.3:3	A3:G081	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
161	A3	f69v	f69v.3:4	A3:G082	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_RIGHT_WHEEL_RING_TEXT @ A3_RIGHT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 4 am Besitzer A3_RIGHT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.3:4	A3:G082	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
162	A3	f69v	f69v.3:5	A3:G083	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_RIGHT_WHEEL_RING_TEXT @ A3_RIGHT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 5 am Besitzer A3_RIGHT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.3:5	A3:G083	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
163	A3	f69v	f69v.3:6	A3:G084	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_RIGHT_WHEEL_RING_TEXT @ A3_RIGHT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 6 am Besitzer A3_RIGHT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.3:6	A3:G084	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
164	A3	f69v	f69v.3:7	A3:G085	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_RIGHT_WHEEL_RING_TEXT @ A3_RIGHT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 7 am Besitzer A3_RIGHT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.3:7	A3:G085	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
165	A3	f69v	f69v.3:8	A3:G086	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_RIGHT_WHEEL_RING_TEXT @ A3_RIGHT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 8 am Besitzer A3_RIGHT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.3:8	A3:G086	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
166	A3	f69v	f69v.3:9	A3:G087	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_RIGHT_WHEEL_RING_TEXT @ A3_RIGHT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 9 am Besitzer A3_RIGHT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.3:9	A3:G087	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
167	A3	f69v	f69v.3:10	A3:G088	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_RIGHT_WHEEL_RING_TEXT @ A3_RIGHT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 10 am Besitzer A3_RIGHT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.3:10	A3:G088	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
168	A3	f69v	f69v.3:11	A3:G089	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_RIGHT_WHEEL_RING_TEXT @ A3_RIGHT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 11 am Besitzer A3_RIGHT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.3:11	A3:G089	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
169	A3	f69v	f69v.3:12	A3:G090	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_RIGHT_WHEEL_RING_TEXT @ A3_RIGHT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 12 am Besitzer A3_RIGHT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.3:12	A3:G090	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
170	A3	f69v	f69v.3:13	A3:G091	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_RIGHT_WHEEL_RING_TEXT @ A3_RIGHT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 13 am Besitzer A3_RIGHT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.3:13	A3:G091	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
171	A3	f69v	f69v.3:14	A3:G092	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_RIGHT_WHEEL_RING_TEXT @ A3_RIGHT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 14 am Besitzer A3_RIGHT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.3:14	A3:G092	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
