sequence	statement_id	record_id	page	surface_sequence	atom_sequence	literal_visible_reading_de	memory_values_restored	owner_expansion_de	active_expansion_de	target_expansion_de	previous_expansion_de	fully_explicit_apprentice_sentence_de	fluent_workshop_sentence_de	macro_program	what_remains_learned
78	B3-S016	B3	f83r	lo qokchedy	L | OK+CHD+CLOSE	abfuehren; angesetzten Inhalt überführen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	der Lücke zwischen Randstation und Hauptbogen	Arbeitsposten B3-1	Zielstelle B3-7	Vorposten B3-2	Der Text gehört zu der Lücke zwischen Randstation und Hauptbogen; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-7; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Schließe den unteren Ablauf. [[STATIONSWECHSEL: untere korbartige Gefäß-Randstation -> ungelöster Zwischenposten zwischen Randstapel und Hauptpaar; STOFF, ZIEL UND RICHTUNG WERDEN NICHT VERERBT]] Lasse es abkühlen und beende den Schritt.	[[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Schließe den unteren Ablauf. [[STATIONSWECHSEL: untere korbartige Gefäß-Randstation -> ungelöster Zwischenposten zwischen Randstapel und Hauptpaar; STOFF, ZIEL UND RICHTUNG WERDEN NICHT VERERBT]] Lasse es abkühlen und beende den Schritt.	SINGLE_LEAD_OUT[B3-S016-U01] | SINGLE_SET[B3-S016-U02]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
79	B3-S017	B3	f83r	qokeedy	OK+EE+CLOSE	länger ansetzen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	der Lücke zwischen Randstation und Hauptbogen	Arbeitsposten B3-1	Zielstelle B3-8	Vorposten B3-2	Der Text gehört zu der Lücke zwischen Randstation und Hauptbogen; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-8; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Wasche oder bade den bezeichneten Körper- oder Beckenbereich und beende den Schritt.	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Wasche oder bade den bezeichneten Körper- oder Beckenbereich und beende den Schritt.	SINGLE_SET[B3-S017-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
80	B3-S018	B3	f83r	shedy	SHED+E+CLOSE	kurz absetzen lassen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	der Lücke zwischen Randstation und Hauptbogen	Arbeitsposten B3-1	Zielstelle B3-8	Vorposten B3-2	Der Text gehört zu der Lücke zwischen Randstation und Hauptbogen; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-8; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Lasse es bis zur Bereitschaft stehen und beende den Schritt.	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Lasse es bis zur Bereitschaft stehen und beende den Schritt.	SINGLE_SETTLE[B3-S018-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
81	B3-S019	B3	f83r	qokshedy	OK+SHED+CLOSE	Absetzgang ansetzen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	der Lücke zwischen Randstation und Hauptbogen	Arbeitsposten B3-1	Zielstelle B3-8	Vorposten B3-2	Der Text gehört zu der Lücke zwischen Randstation und Hauptbogen; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-8; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Erwärme den Bade- oder Waschzusatz sanft und beende den Arbeitsschritt.	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Erwärme den Bade- oder Waschzusatz sanft und beende den Arbeitsschritt.	SINGLE_SET[B3-S019-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
82	B3-S020	B3	f83r	dal lchedy	AL | L+CHD+CLOSE	dorthin; abführen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	der Lücke zwischen Randstation und Hauptbogen	Arbeitsposten B3-1	Zielstelle B3-8	Vorposten B3-2	Der Text gehört zu der Lücke zwischen Randstation und Hauptbogen; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-8; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	SINGLE_LEAD_OUT[B3-S020-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
83	B3-S021	B3	f83r	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | CTH+E+Y | Y | AL | CTH+Y | AL+CHD+CLOSE	auf Sollmaß einstellen; bereit; dorthin; dieser Posten; Sollmaß; dort absetzen; kurz bereit halten; dieser Posten; dorthin; bereit; dorthin umsetzen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	der Lücke zwischen Randstation und Hauptbogen	Arbeitsposten B3-1	Zielstelle B3-9	Vorposten B3-2	Der Text gehört zu der Lücke zwischen Randstation und Hauptbogen; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-9; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Den örtlichen Prüfzustand der Charge feststellen. Den aktiven Posten an der örtlich bezeichneten Station führen. Diese aktive Portion. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Für einen Zeitabschnitt. Warmes Wasser. Diese aktive Portion. Den aktiven Posten an der örtlich bezeichneten Station führen. Den örtlichen Prüfzustand der Charge feststellen. Behalte den Rückstand und beende den Schritt.	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Den örtlichen Prüfzustand der Charge feststellen. Den aktiven Posten an der örtlich bezeichneten Station führen. Diese aktive Portion. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Für einen Zeitabschnitt. Warmes Wasser. Diese aktive Portion. Den aktiven Posten an der örtlich bezeichneten Station führen. Den örtlichen Prüfzustand der Charge feststellen. Behalte den Rückstand und beende den Schritt.	M09[B3-S021-U01+B3-S021-U02] | SINGLE_SETTLE[B3-S021-U03] | SINGLE_READY[B3-S021-U04] | SINGLE_READY[B3-S021-U05] | SINGLE_TRANSFER[B3-S021-U06]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
84	B3-S022	B3	f83r	qotchedy	OT+CHD+CLOSE	nächsten Posten überführen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	der Lücke zwischen Randstation und Hauptbogen	Arbeitsposten B3-1	Zielstelle B3-10	Vorposten B3-2	Der Text gehört zu der Lücke zwischen Randstation und Hauptbogen; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-10; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Mische zu gleichen Teilen und beende den Schritt.	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Mische zu gleichen Teilen und beende den Schritt.	SINGLE_TRANSFER[B3-S022-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
85	B3-S023	B3	f83r	lchedy	L+CHD+CLOSE	abführen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	der Lücke zwischen Randstation und Hauptbogen	Arbeitsposten B3-1	Zielstelle B3-10	Vorposten B3-2	Der Text gehört zu der Lücke zwischen Randstation und Hauptbogen; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-10; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	SINGLE_LEAD_OUT[B3-S023-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
86	B3-S024	B3	f83r	tchedy	CHD+CLOSE	Posten überführen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	der Lücke zwischen Randstation und Hauptbogen	Arbeitsposten B3-1	Zielstelle B3-10	Vorposten B3-2	Der Text gehört zu der Lücke zwischen Randstation und Hauptbogen; der laufende Gegenstand ist Arbeitsposten B3-1; die geltende Zieladresse ist Zielstelle B3-10; ‚das Vorige‘ bezeichnet Vorposten B3-2. [[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	SINGLE_TRANSFER[B3-S024-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
87	B3-S025	B3	f83r	qokchdy	OK+CHD+CLOSE	Umsetzung ansetzen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	der Lücke zwischen Randstation und Hauptbogen	Arbeitsposten B3-3	Zielstelle B3-11	Vorposten B3-1	Der Text gehört zu der Lücke zwischen Randstation und Hauptbogen; der laufende Gegenstand ist Arbeitsposten B3-3; die geltende Zieladresse ist Zielstelle B3-11; ‚das Vorige‘ bezeichnet Vorposten B3-1. [[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Erwärme es einmal und beende den Schritt.	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Erwärme es einmal und beende den Schritt.	SINGLE_SET[B3-S025-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
88	B3-S026	B3	f83r	cheedar chldaiin chedy qokain checthy chealror solkeedy	CHD+AR | SHED+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+OR | SOLK+EE+CLOSE	von dort umsetzen; Absetzmaß; laufenden Posten umsetzen; eine Portion zugeben; bereit; Ansatz von dort zur Zielstelle; länger sammeln; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	dem verbundenen Hauptbogenpaar	Arbeitsposten B3-3	Zielstelle B3-11	Vorposten B3-1	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B3-3; die geltende Zieladresse ist Zielstelle B3-11; ‚das Vorige‘ bezeichnet Vorposten B3-1. [[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Richte die bezeichnete Beckenstation ein. Nach dem Absetzen. Rühre, bis alles gleichmäßig vermischt ist. Gib einen abgemessenen Anteil in das Gefäß. Den örtlichen Prüfzustand der Charge feststellen. Bis der Strom klar wird. [[STATIONSWECHSEL: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar -> Hauptpaar am sichtbaren ungerichteten Bogen; STOFF, ZIEL UND RICHTUNG WERDEN NICHT VERERBT]] Lasse die Flüssigkeit sich setzen und beende den Schritt.	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Richte die bezeichnete Beckenstation ein. Nach dem Absetzen. Rühre, bis alles gleichmäßig vermischt ist. Gib einen abgemessenen Anteil in das Gefäß. Den örtlichen Prüfzustand der Charge feststellen. Bis der Strom klar wird. [[STATIONSWECHSEL: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar -> Hauptpaar am sichtbaren ungerichteten Bogen; STOFF, ZIEL UND RICHTUNG WERDEN NICHT VERERBT]] Lasse die Flüssigkeit sich setzen und beende den Schritt.	SINGLE_TRANSFER[B3-S026-U01] | SINGLE_SETTLE[B3-S026-U02] | M13[B3-S026-U03+B3-S026-U04] | SINGLE_READY[B3-S026-U05] | SINGLE_COLLECT[B3-S026-U06]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
89	B3-S027	B3	f83r	qoteedy	OT+EE+CLOSE	lange Folge; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	dem verbundenen Hauptbogenpaar	Arbeitsposten B3-3	Zielstelle B3-12	Vorposten B3-1	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B3-3; die geltende Zieladresse ist Zielstelle B3-12; ‚das Vorige‘ bezeichnet Vorposten B3-1. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Lege ein warmes Tuch auf die bezeichnete äußere Stelle und beende den Schritt.	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Lege ein warmes Tuch auf die bezeichnete äußere Stelle und beende den Schritt.	SINGLE_OWNER_ACTION[B3-S027-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
90	B3-S028	B3	f83r	qokeey qokedy	OK+EE+Y | OK+E+CLOSE	länger ansetzen; kurz ansetzen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	dem verbundenen Hauptbogenpaar	Arbeitsposten B3-3	Zielstelle B3-12	Vorposten B3-1	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B3-3; die geltende Zieladresse ist Zielstelle B3-12; ‚das Vorige‘ bezeichnet Vorposten B3-1. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Die Charge für den vorgesehenen Gebrauch temperieren. Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Die Charge für den vorgesehenen Gebrauch temperieren. Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	M19[B3-S028-U01+B3-S028-U02]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
91	B3-S029	B3	f83r	sol cheeety qokedy	OL | EEE+TY | OK+E+CLOSE	fortsetzen; ganzen Teilposten; kurz ansetzen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	dem verbundenen Hauptbogenpaar	Arbeitsposten B3-3	Zielstelle B3-13	Vorposten B3-1	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B3-3; die geltende Zieladresse ist Zielstelle B3-13; ‚das Vorige‘ bezeichnet Vorposten B3-1. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Nach der ersten Spülung. Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Nach der ersten Spülung. Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	M05[B3-S029-U01+B3-S029-U02]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
92	B3-S030	B3	f83r	qoky saiin schedair otchedy	OK+Y | AIIN | AIR | OT+CHD+CLOSE	aktuellen Posten ansetzen; Sollmaß; Wasser weiterleiten; nächsten Posten überführen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	dem verbundenen Hauptbogenpaar	Arbeitsposten B3-3	Zielstelle B3-14	Vorposten B3-1	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B3-3; die geltende Zieladresse ist Zielstelle B3-14; ‚das Vorige‘ bezeichnet Vorposten B3-1. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Die Waschflotte am bezeichneten Körper- oder Beckenbereich gebrauchen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Ziehe die klare Flüssigkeit ab. Mische zu gleichen Teilen und beende den Schritt.	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Die Waschflotte am bezeichneten Körper- oder Beckenbereich gebrauchen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Ziehe die klare Flüssigkeit ab. Mische zu gleichen Teilen und beende den Schritt.	M14[B3-S030-U01+B3-S030-U02]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
93	B3-S031	B3	f83r	qokeedy	OK+EE+CLOSE	länger ansetzen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	dem verbundenen Hauptbogenpaar	Arbeitsposten B3-3	Zielstelle B3-14	Vorposten B3-1	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B3-3; die geltende Zieladresse ist Zielstelle B3-14; ‚das Vorige‘ bezeichnet Vorposten B3-1. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Wasche oder bade den bezeichneten Körper- oder Beckenbereich und beende den Schritt.	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Wasche oder bade den bezeichneten Körper- oder Beckenbereich und beende den Schritt.	SINGLE_SET[B3-S031-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
94	B3-S032	B3	f83r	chedain chedy qotedaiin otaiin otedy	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+CLOSE	Portion umsetzen; laufenden Posten umsetzen; kurzes Folgemass; Folgemaß; kurze Folge; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	dem verbundenen Hauptbogenpaar	Arbeitsposten B3-3	Zielstelle B3-14	Vorposten B3-1	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B3-3; die geltende Zieladresse ist Zielstelle B3-14; ‚das Vorige‘ bezeichnet Vorposten B3-1. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Beginne die Spülung. Rühre, bis alles gleichmäßig vermischt ist. Das breite Gefäß. Für dieselbe Dauer wie zuvor. Lasse es bis zur Klarheit ziehen und beende den Schritt.	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Beginne die Spülung. Rühre, bis alles gleichmäßig vermischt ist. Das breite Gefäß. Für dieselbe Dauer wie zuvor. Lasse es bis zur Klarheit ziehen und beende den Schritt.	SINGLE_TRANSFER[B3-S032-U01] | SINGLE_TRANSFER[B3-S032-U02]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
95	B3-S033	B3	f83r	ldy	L+CLOSE	abziehen; Ende	OWNER|ACTIVE|TARGET|PREVIOUS	dem verbundenen Hauptbogenpaar	Arbeitsposten B3-3	Zielstelle B3-15	Vorposten B3-1	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B3-3; die geltende Zieladresse ist Zielstelle B3-15; ‚das Vorige‘ bezeichnet Vorposten B3-1. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Ziehe es ab und beende den Schritt.	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Ziehe es ab und beende den Schritt.	SINGLE_LEAD_OUT[B3-S033-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
96	B3-S034	B3	f83r	soiiin checthy chety otaiin olsaly shedy	IIN | CTH+Y | PARTITION+TY | OT+AIIN | AL+Y | SHED+E+CLOSE	Sollstufe; bereit; Teil abtrennen; Folgemaß; untere Zielstelle; kurz absetzen lassen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	dem verbundenen Hauptbogenpaar	Arbeitsposten B3-3	Zielstelle B3-15	Vorposten B3-1	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B3-3; die geltende Zieladresse ist Zielstelle B3-15; ‚das Vorige‘ bezeichnet Vorposten B3-1. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Bis es klar ist. Den örtlichen Prüfzustand der Charge feststellen. Gleichmäßig bearbeiten. Für dieselbe Dauer wie zuvor. Das untere Becken. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Bis es klar ist. Den örtlichen Prüfzustand der Charge feststellen. Gleichmäßig bearbeiten. Für dieselbe Dauer wie zuvor. Das untere Becken. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	M04[B3-S034-U01+B3-S034-U02] | SINGLE_SETTLE[B3-S034-U03]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
97	B4-S001	B4	f83r	qokeedy	OK+EE+CLOSE	länger ansetzen; Schluss	OWNER|ACTIVE	dem verbundenen Hauptbogenpaar	Arbeitsposten B4-1	NICHT_BENÖTIGT	NICHT_BENÖTIGT	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B4-1. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Tauche das Tuch oder die Auflage in die temperierte Flüssigkeit und beende den Schritt.	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Tauche das Tuch oder die Auflage in die temperierte Flüssigkeit und beende den Schritt.	SINGLE_SET[B4-S001-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
98	B4-S002	B4	f83r	qolchey qokeey qokedy	OL+Y | OK+EE+Y | OK+E+CLOSE	diesen Posten weiterfuehren; länger ansetzen; kurz ansetzen; Schluss	OWNER|ACTIVE|TARGET	dem verbundenen Hauptbogenpaar	Arbeitsposten B4-1	Zielstelle B4-1	NICHT_BENÖTIGT	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B4-1; die geltende Zieladresse ist Zielstelle B4-1. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Fülle danach das Gefäß. Die Charge für den vorgesehenen Gebrauch temperieren. Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Fülle danach das Gefäß. Die Charge für den vorgesehenen Gebrauch temperieren. Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	M05[B4-S002-U01+B4-S002-U02] | SINGLE_SET[B4-S002-U03]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
99	B4-S003	B4	f83r	chedy otal otchey qokeey qoky tol shedy	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+E+CLOSE	laufenden Posten umsetzen; danach dorthin; nächster Teilposten; länger ansetzen; aktuellen Posten ansetzen; fortsetzen; kurz absetzen lassen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	dem verbundenen Hauptbogenpaar	Arbeitsposten B4-1	Zielstelle B4-1	Vorposten B4-1	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B4-1; die geltende Zieladresse ist Zielstelle B4-1; ‚das Vorige‘ bezeichnet Vorposten B4-1. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Rühre, bis alles gleichmäßig vermischt ist. Zum unteren Ablauf hin. Einen recordlokalen Anteil auswählen. Die Charge für den vorgesehenen Gebrauch temperieren. Den gefilterten Waschposten an der äußeren Haut- oder Wundstelle gebrauchen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Rühre, bis alles gleichmäßig vermischt ist. Zum unteren Ablauf hin. Einen recordlokalen Anteil auswählen. Die Charge für den vorgesehenen Gebrauch temperieren. Den gefilterten Waschposten an der äußeren Haut- oder Wundstelle gebrauchen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	M13[B4-S003-U01+B4-S003-U02] | M02[B4-S003-U03+B4-S003-U04+B4-S003-U05]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
100	B4-S004	B4	f83r	qokylddy	OK+Y+LDDY	aktuellen Posten befestigen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	dem verbundenen Hauptbogenpaar	Arbeitsposten B4-2	Zielstelle B4-2	Vorposten B4-1	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B4-2; die geltende Zieladresse ist Zielstelle B4-2; ‚das Vorige‘ bezeichnet Vorposten B4-1. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Lege das warme Tuch auf die äußere Haut- oder Wundstelle und beende den Schritt.	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Lege das warme Tuch auf die äußere Haut- oder Wundstelle und beende den Schritt.	SINGLE_SET[B4-S004-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
101	B4-S005	B4	f83r	dain chedy qokeedy	DAIN | CHD+Y | OK+EE+CLOSE	Tuch; laufenden Posten umsetzen; länger ansetzen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	dem verbundenen Hauptbogenpaar	Arbeitsposten B4-2	Zielstelle B4-2	Vorposten B4-1	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B4-2; die geltende Zieladresse ist Zielstelle B4-2; ‚das Vorige‘ bezeichnet Vorposten B4-1. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Durch ein Tuch. Rühre, bis alles gleichmäßig vermischt ist. Tauche das Tuch oder die Auflage in die temperierte Flüssigkeit und beende den Schritt.	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Durch ein Tuch. Rühre, bis alles gleichmäßig vermischt ist. Tauche das Tuch oder die Auflage in die temperierte Flüssigkeit und beende den Schritt.	M13[B4-S005-U01+B4-S005-U02]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
102	B4-S006	B4	f83r	shckhedy	CKHE+CLOSE	seihen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	dem verbundenen Hauptbogenpaar	Arbeitsposten B4-3	Zielstelle B4-3	Vorposten B4-2	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B4-3; die geltende Zieladresse ist Zielstelle B4-3; ‚das Vorige‘ bezeichnet Vorposten B4-2. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Seihe es einmal durch ein Tuch und beende den Schritt.	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Seihe es einmal durch ein Tuch und beende den Schritt.	SINGLE_STRAIN[B4-S006-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
