field_serial	field_id	page	record_unit_id	locus	field_ordinal_in_locus	field_ordinal_in_record	source_statement_id	statement_field_position	field_closure_status	event_count	event_serials	source_surface_sequence_display_only	selected_exact_mnemonic_slots	formal_control_slots	active_state_before_field	active_state_after_field	assignment_reason	full_local_field_reading	field_nonmedical_rival	binding_contract	source_lineage
103	F103	f83r	B3	f83r.20	5	33	S074	FIRST	OPEN	2	E298,E299	qoky saiin	E298:276a7c2d74d1143446f4:ANWENDEN? | E299:2f1c5e56e8f0ff459065:MASS?	NONE	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	Die aktive Portion verwenden ; Ein vorgeschriebenes Maß	Zyklus wiederholen [Ganzfeldexemplar B3, Feld 33/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
104	F104	f83r	B3	f83r.22	1	34	S074	LAST	TERMINAL	2	E300,E301	schedair otchedy	NONE	NONE	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	TRANSACTION_COMMITTED	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	ziehe die klare Flüssigkeit ab ; mische zu gleichen Teilen und beende den Schritt	Zyklus wiederholen [Ganzfeldexemplar B3, Feld 34/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
105	F105	f83r	B3	f83r.22	2	35	S075	ONLY	TERMINAL	1	E302	qokeedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt	Zyklus wiederholen [Ganzfeldexemplar B3, Feld 35/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
106	F106	f83r	B3	f83r.22	3	36	S076	ONLY	TERMINAL	5	E303,E304,E305,E306,E307	chedain chedy qotedaiin otaiin otedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	beginne die Spülung ; rühre, bis alles gleichmäßig vermischt ist ; das breite Gefäß ; für dieselbe Dauer wie zuvor ; lasse es bis zur Klarheit ziehen und beende den Schritt	Zyklus wiederholen [Ganzfeldexemplar B3, Feld 36/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
107	F107	f83r	B3	f83r.22	4	37	S077	ONLY	TERMINAL	1	E308	ldy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	ziehe es ab und beende den Schritt	Zyklus wiederholen [Ganzfeldexemplar B3, Feld 37/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
108	F108	f83r	B3	f83r.24	1	38	S078	ONLY	TERMINAL	6	E309,E310,E311,E312,E313,E314	soiiin checthy chety otaiin olsaly shedy	E310:e0b630cb1b5df5e7105b:BEREIT?	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	bis es klar ist ; Sobald die Zubereitung gebrauchsfertig ist ; Gleichmäßig bearbeiten ; für dieselbe Dauer wie zuvor ; das untere Becken ; lasse es bis zur Bereitschaft stehen und beende den Schritt	Zyklus wiederholen [Ganzfeldexemplar B3, Feld 38/38]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
109	F109	f83r	B4	f83r.25	1	1	S079	ONLY	TERMINAL	1	E315	qokeedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt	bezeichneten Lauf warm reinigen [Ganzfeldexemplar B4, Feld 1/20]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
110	F110	f83r	B4	f83r.25	2	2	S080	ONLY	TERMINAL	3	E316,E317,E318	qolchey qokeey qokedy	E317:0275fbf14e07935b0a45:TEMPERIEREN? | E318:7db18b2f0fb7ed0fcfd3:SPÜLEN?	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	fülle danach das Gefäß ; temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; spüle die bezeichnete Stelle einmal und beende den Schritt	bezeichneten Lauf warm reinigen [Ganzfeldexemplar B4, Feld 2/20]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
111	F111	f83r	B4	f83r.25	3	3	S081	FIRST	OPEN	2	E319,E320	chedy otal	NONE	NONE	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	rühre, bis alles gleichmäßig vermischt ist ; zum unteren Ablauf hin	bezeichneten Lauf warm reinigen [Ganzfeldexemplar B4, Feld 3/20]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
112	F112	f83r	B4	f83r.26	1	4	S081	LAST	TERMINAL	5	E321,E322,E323,E324,E325	otchey qokeey qoky tol shedy	E321:faf321940aed922846a9:ANTEIL? | E322:0275fbf14e07935b0a45:TEMPERIEREN? | E323:276a7c2d74d1143446f4:ANWENDEN?	E324:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	TRANSACTION_COMMITTED	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	Nimm den bezeichneten Anteil ; temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; Die aktive Portion verwenden ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt	bezeichneten Lauf warm reinigen [Ganzfeldexemplar B4, Feld 4/20]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
113	F113	f83r	B4	f83r.26	2	5	S082	ONLY	TERMINAL	1	E326	qokylddy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	binde es auf die Stelle und beende den Schritt	bezeichneten Lauf warm reinigen [Ganzfeldexemplar B4, Feld 5/20]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
114	F114	f83r	B4	f83r.27	1	6	S083	ONLY	TERMINAL	3	E327,E328,E329	dain chedy qokeedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	durch ein Tuch ; rühre, bis alles gleichmäßig vermischt ist ; bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt	Rückstand filtern [Ganzfeldexemplar B4, Feld 6/20]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
115	F115	f83r	B4	f83r.27	2	7	S084	ONLY	TERMINAL	1	E330	shckhedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	seihe es einmal durch ein Tuch und beende den Schritt	Rückstand filtern [Ganzfeldexemplar B4, Feld 7/20]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
116	F116	f83r	B4	f83r.27	3	8	S085	ONLY	TERMINAL	1	E331	shckhedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	seihe es einmal durch ein Tuch und beende den Schritt	Rückstand filtern [Ganzfeldexemplar B4, Feld 8/20]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
117	F117	f83r	B4	f83r.28	1	9	S086	ONLY	TERMINAL	4	E332,E333,E334,E335	saiin cheeky sheey qokedy	E332:2f1c5e56e8f0ff459065:MASS? | E335:7db18b2f0fb7ed0fcfd3:SPÜLEN?	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	Ein vorgeschriebenes Maß ; solange es noch warm ist ; die erste Öffnung ; spüle die bezeichnete Stelle einmal und beende den Schritt	Rückstand filtern [Ganzfeldexemplar B4, Feld 9/20]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
118	F118	f83r	B4	f83r.28	2	10	S087	ONLY	TERMINAL	1	E336	shedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	lasse es bis zur Bereitschaft stehen und beende den Schritt	Rückstand filtern [Ganzfeldexemplar B4, Feld 10/20]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
119	F119	f83r	B4	f83r.28	3	11	S088	ONLY	TERMINAL	1	E337	oldy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	koche sanft und beende diesen Arbeitsschritt	unten ablassen [Ganzfeldexemplar B4, Feld 11/20]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
120	F120	f83r	B4	f83r.35	1	12	S089	FIRST	OPEN	5	E338,E339,E340,E341,E342	saiin cheky okeeol okain chdy	E338:2f1c5e56e8f0ff459065:MASS?	NONE	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	Ein vorgeschriebenes Maß ; bei sanfter Wärme ; das breite Gefäß ; gib einen abgemessenen Anteil in das Gefäß ; rühre, bis alles gleichmäßig vermischt ist	unten ablassen [Ganzfeldexemplar B4, Feld 12/20]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
121	F121	f83r	B4	f83r.37	1	13	S089	LAST	TERMINAL	2	E343,E344	sol lkedy	NONE	E343:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	TRANSACTION_COMMITTED	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	Mit der vorigen Zubereitung weiter ; wasche zweimal und beende den Schritt	unten ablassen [Ganzfeldexemplar B4, Feld 13/20]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
122	F122	f83r	B4	f83r.37	2	14	S090	ONLY	TERMINAL	1	E345	lchedy	E345:de7321bface5628e35d6:ABLASSEN?	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt	unten ablassen [Ganzfeldexemplar B4, Feld 14/20]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
123	F123	f83r	B4	f83r.37	3	15	S091	ONLY	TERMINAL	2	E346,E347	qokol shedy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	lasse die Mischung einlaufen ; lasse es bis zur Bereitschaft stehen und beende den Schritt	unten ablassen [Ganzfeldexemplar B4, Feld 15/20]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
124	F124	f83r	B4	f83r.38	1	16	S092	ONLY	TERMINAL	4	E348,E349,E350,E351	or chey qockhey dairydy	E348:7a4bb8136330ee4e6e56:ANSATZ?	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; über der örtlich bezeichneten Stelle ; gebrauche sie sofort und beende den Schritt	neu ansetzen [Ganzfeldexemplar B4, Feld 16/20]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
125	F125	f83r	B4	f83r.39	1	17	S093	FIRST	OPEN	4	E352,E353,E354,E355	qokain shey kain chckhal	E353:b5df9126607030b95175:KLAR?	NONE	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	gib einen abgemessenen Anteil in das Gefäß ; Bis die Flüssigkeit klar abläuft ; ein abgemessener Anteil ; für die angegebene Dauer	neu ansetzen [Ganzfeldexemplar B4, Feld 17/20]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
126	F126	f83r	B4	f83r.41	1	18	S093	LAST	TERMINAL	2	E356,E357	solkey lchedy	E357:de7321bface5628e35d6:ABLASSEN?	NONE	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	TRANSACTION_COMMITTED	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	öffne danach den oberen Lauf ; lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt	neu ansetzen [Ganzfeldexemplar B4, Feld 18/20]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
127	F127	f83r	B4	f83r.41	2	19	S094	FIRST	OPEN	2	E358,E359	qolkain dal	E359:dd0ecaf5e27d81befffc:ZIEL?	NONE	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	das untere Becken ; An die bezeichnete Zielstelle führen	neu ansetzen [Ganzfeldexemplar B4, Feld 19/20]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
128	F128	f83r	B4	f83r.44	1	20	S094	LAST	TERMINAL	2	E360,E361	skar shedy	NONE	NONE	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	TRANSACTION_COMMITTED	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	gieße das erwärmte Wasser ein ; lasse es bis zur Bereitschaft stehen und beende den Schritt	neu ansetzen [Ganzfeldexemplar B4, Feld 20/20]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
129	F129	f83r	B5	f83r.47	1	1	S095	ONLY	TERMINAL	1	E362	otchdy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	ziehe es ab und beende den Schritt	Restbestand abziehen [Ganzfeldexemplar B5, Feld 1/5]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
130	F130	f83r	B5	f83r.47	2	2	S096	ONLY	TERMINAL	1	E363	qokchdy	NONE	NONE	NEW_ACTIVE_TRANSACTION	TRANSACTION_COMMITTED	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	erwärme es einmal und beende den Schritt	Restbestand abziehen [Ganzfeldexemplar B5, Feld 2/5]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
131	F131	f83r	B5	f83r.47	3	3	S097	FIRST	OPEN	1	E364	shedal	NONE	NONE	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	für einen Zeitabschnitt	einmal erwärmen [Ganzfeldexemplar B5, Feld 3/5]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
132	F132	f83r	B5	f83r.48	1	4	S097	MIDDLE	OPEN	5	E365,E366,E367,E368,E369	dal cheol lol chdal aiin	E365:dd0ecaf5e27d81befffc:ZIEL? | E369:2f1c5e56e8f0ff459065:MASS?	E366:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	An die bezeichnete Zielstelle führen ; Mit der vorigen Zubereitung weiter ; bis es warm ist ; mit der vorigen Mischung ; Ein vorgeschriebenes Maß	für die Arbeitsfrist halten [Ganzfeldexemplar B5, Feld 4/5]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
133	F133	f83r	B5	f83r.49	1	5	S097	LAST	OPEN	3	E370,E371,E372	sol daiiin chedy	NONE	E370:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	ACTIVE_STATE_OPEN_AT_RECORD_END	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	Mit der vorigen Zubereitung weiter ; die zweite Öffnung ; rühre, bis alles gleichmäßig vermischt ist	nächster Station übergeben [Ganzfeldexemplar B5, Feld 5/5]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
134	F134	f83r	B6	f83r.52	1	1	S098	FIRST	OPEN	4	E373,E374,E375,E376	solkeey qekey raly ol	NONE	E376:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	NEW_ACTIVE_TRANSACTION	ACTIVE_STATE_CARRIES_TO_NEXT_FIELD	START_AFTER_RECORD_RESET_OR_PREVIOUS_COMMIT	setze die Person an das Becken ; ohne Kochen ; die erste Öffnung ; Mit der vorigen Zubereitung weiter	kalten Vorlauf übernehmen [Ganzfeldexemplar B6, Feld 1/2]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
135	F135	f83r	B6	f83r.54	1	2	S098	LAST	OPEN	5	E377,E378,E379,E380,E381	daiin ol dain chey ldalor	E377:2f1c5e56e8f0ff459065:MASS?	E377:VORGABEPARAMETER? | E378:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	ACTIVE_TRANSACTION_CARRIED_FROM_PREVIOUS_OPEN_FIELD	ACTIVE_STATE_OPEN_AT_RECORD_END	ASSIGN_TO_SAME_STATEMENT_BECAUSE_PREVIOUS_FIELD_IS_OPEN	Ein vorgeschriebenes Maß ; Mit der vorigen Zubereitung weiter ; durch ein Tuch ; Diese aktive Portion ; an der bezeichneten Stelle	zum sichtbaren Ziel führen [Ganzfeldexemplar B6, Feld 2/2]	EXACT_JOINT_TUPLE_ID_ONLY;LOCAL_EXPANSION_IS_NOT_CARD_MEANING	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1>V61_R3_FIELD_ASSIGNMENT
