body	head_occupancy	heads	forms	occurrences_by_head	total_headed_occurrences	pages_by_head	loci_by_head	reader_exact_by_head	bare_body_occurrences	exact_v11_dictionary_body
dchey	1	l	p:-|s:-|r:-|l:ldchey	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	15	0
do	1	l	p:-|s:-|r:-|l:ldo	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	13	0
drairdy	1	p	p:pdrairdy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
dsairy	1	p	p:pdsairy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
dsheody	1	p	p:pdsheody|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	2	0
dychoiin	1	p	p:pdychoiin|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
dyr	1	l	p:-|s:-|r:-|l:ldyr	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	0	0
e	1	l	p:-|s:-|r:-|l:le	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	5	0
echeeol	1	s	p:-|s:secheeol|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
eeckhey	1	l	p:-|s:-|r:-|l:leeckhey	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	0	0
eedaiin	1	l	p:-|s:-|r:-|l:leedaiin	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
eees	1	s	p:-|s:seees|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	8	0
eeesain	1	l	p:-|s:-|r:-|l:leeesain	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	0	0
eeey	1	r	p:-|s:-|r:reeey|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	2	0
eekeeey	1	s	p:-|s:seekeeey|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	0	0
eey	1	s	p:-|s:seey|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	8	0
eshol	1	p	p:peshol|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	0	0
eshy	1	p	p:peshy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	0	0
fal	1	s	p:-|s:sfal|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
far	1	l	p:-|s:-|r:-|l:lfar	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	2	0
fchal	1	l	p:-|s:-|r:-|l:lfchal	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
fchdy	1	l	p:-|s:-|r:-|l:lfchdy	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	3	0
fcheal	1	l	p:-|s:-|r:-|l:lfcheal	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	0	0
fcheedy	1	l	p:-|s:-|r:-|l:lfcheedy	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
fm	1	s	p:-|s:sfm|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	0	0
fol	1	l	p:-|s:-|r:-|l:lfol	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	1	0
g	1	l	p:-|s:-|r:-|l:lg	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	11	0
kaiiodar	1	s	p:-|s:skaiiodar|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	0	0
kaldy	1	l	p:-|s:-|r:-|l:lkaldy	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	3	0
kalol	1	l	p:-|s:-|r:-|l:lkalol	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	2	0
kamo	1	l	p:-|s:-|r:-|l:lkamo	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	0	0
kan	1	l	p:-|s:-|r:-|l:lkan	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	2	0
karshar	1	l	p:-|s:-|r:-|l:lkarshar	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	0	0
kch	1	l	p:-|s:-|r:-|l:lkch	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	1	0
kchaly	1	l	p:-|s:-|r:-|l:lkchaly	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
kchdal	1	l	p:-|s:-|r:-|l:lkchdal	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	2	0
kcheo	1	l	p:-|s:-|r:-|l:lkcheo	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	3	0
kcheol	1	l	p:-|s:-|r:-|l:lkcheol	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	4	0
kches	1	l	p:-|s:-|r:-|l:lkches	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	1	0
kchor	1	l	p:-|s:-|r:-|l:lkchor	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	19	0
kchs	1	l	p:-|s:-|r:-|l:lkchs	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
keain	1	l	p:-|s:-|r:-|l:lkeain	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
keal	1	l	p:-|s:-|r:-|l:lkeal	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
kealshedy	1	l	p:-|s:-|r:-|l:lkealshedy	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	0	0
kealy	1	l	p:-|s:-|r:-|l:lkealy	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
keam	1	l	p:-|s:-|r:-|l:lkeam	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	2	0
kechch	1	l	p:-|s:-|r:-|l:lkechch	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	0	0
kechdy	1	l	p:-|s:-|r:-|l:lkechdy	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	4	0
keches	1	l	p:-|s:-|r:-|l:lkeches	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
kechey	1	l	p:-|s:-|r:-|l:lkechey	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	2	0
kechor	1	l	p:-|s:-|r:-|l:lkechor	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
kechy	1	l	p:-|s:-|r:-|l:lkechy	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	4	0
ked	1	l	p:-|s:-|r:-|l:lked	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	1	0
kedar	1	l	p:-|s:-|r:-|l:lkedar	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	3	0
kededy	1	l	p:-|s:-|r:-|l:lkededy	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	0	0
kedeed	1	l	p:-|s:-|r:-|l:lkedeed	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
kedey	1	l	p:-|s:-|r:-|l:lkedey	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
kedlkey	1	l	p:-|s:-|r:-|l:lkedlkey	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
keechey	1	l	p:-|s:-|r:-|l:lkeechey	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	1	0
keedain	1	l	p:-|s:-|r:-|l:lkeedain	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	1	0
keedar	1	l	p:-|s:-|r:-|l:lkeedar	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	1	0
keedas	1	l	p:-|s:-|r:-|l:lkeedas	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	0	0
keedol	1	l	p:-|s:-|r:-|l:lkeedol	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
keeed	1	l	p:-|s:-|r:-|l:lkeeed	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	1	0
keeedam	1	l	p:-|s:-|r:-|l:lkeeedam	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
keeeey	1	l	p:-|s:-|r:-|l:lkeeeey	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	0	0
keeeody	1	l	p:-|s:-|r:-|l:lkeeeody	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	1	0
keeoar	1	l	p:-|s:-|r:-|l:lkeeoar	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
keeos	1	l	p:-|s:-|r:-|l:lkeeos	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	1	0
kees	1	l	p:-|s:-|r:-|l:lkees	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	1	0
keeshdy	1	l	p:-|s:-|r:-|l:lkeeshdy	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	0	0
keeshedy	1	l	p:-|s:-|r:-|l:lkeeshedy	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
keodaiin	1	l	p:-|s:-|r:-|l:lkeodaiin	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	3	0
keodain	1	l	p:-|s:-|r:-|l:lkeodain	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
keor	1	l	p:-|s:-|r:-|l:lkeor	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	6	0
keshdy	1	l	p:-|s:-|r:-|l:lkeshdy	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	0	0
kesy	1	l	p:-|s:-|r:-|l:lkesy	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
klcheol	1	l	p:-|s:-|r:-|l:lklcheol	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
klchey	1	l	p:-|s:-|r:-|l:lklchey	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	0	0
kldain	1	l	p:-|s:-|r:-|l:lkldain	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	0	0
kldy	1	l	p:-|s:-|r:-|l:lkldy	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
klor	1	l	p:-|s:-|r:-|l:lklor	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
ko	1	l	p:-|s:-|r:-|l:lko	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	4	0
kodol	1	l	p:-|s:-|r:-|l:lkodol	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
ksheey	1	l	p:-|s:-|r:-|l:lksheey	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	1	0
ksho	1	l	p:-|s:-|r:-|l:lksho	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	8	0
laiin	1	r	p:-|s:-|r:rlaiin|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:0|l:0	13	0
laiir	1	l	p:-|s:-|r:-|l:llaiir	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	0	0
lchey	1	l	p:-|s:-|r:-|l:llchey	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	46	0
lchs	1	l	p:-|s:-|r:-|l:llchs	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	2	0
ldar	1	l	p:-|s:-|r:-|l:lldar	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	5	0
lm	1	l	p:-|s:-|r:-|l:llm	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	1	0
lo	1	l	p:-|s:-|r:-|l:llo	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	20	0
lod	1	l	p:-|s:-|r:-|l:llod	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	2	0
lor	1	l	p:-|s:-|r:-|l:llor	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	38	0
lory	1	l	p:-|s:-|r:-|l:llory	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	1	0
lsan	1	l	p:-|s:-|r:-|l:llsan	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	1	0
m	1	l	p:-|s:-|r:-|l:lm	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	6	0
oaimy	1	s	p:-|s:soaimy|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	0	0
oain	1	s	p:-|s:soain|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	11	0
oalosy	1	p	p:poalosy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
oalshsal	1	p	p:poalshsal|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	0	0
oaly	1	p	p:poaly|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
oaral	1	p	p:poaral|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	1	0
oarar	1	s	p:-|s:soarar|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	1	0
oary	1	l	p:-|s:-|r:-|l:loary	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
ochaiin	1	p	p:pochaiin|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	1	0
ocharal	1	p	p:pocharal|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
ocheody	1	p	p:pocheody|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
ochor	1	p	p:pochor|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	5	0
ochorcfhy	1	s	p:-|s:sochorcfhy|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
octhody	1	s	p:-|s:socthody|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	3	0
odaiiin	1	s	p:-|s:sodaiiin|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	4	0
odairol	1	p	p:podairol|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
odaly	1	l	p:-|s:-|r:-|l:lodaly	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	2	0
odaroar	1	p	p:podaroar|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
odas	1	l	p:-|s:-|r:-|l:lodas	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	1	0
odeedy	1	r	p:-|s:-|r:rodeedy|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	2	0
odeesho	1	p	p:podeesho|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	0	0
odkor	1	p	p:podkor|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	0	0
odky	1	p	p:podky|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	0	0
odshedy	1	p	p:podshedy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	0	0
oedair	1	p	p:poedair|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
oedy	1	l	p:-|s:-|r:-|l:loedy	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	2	0
oeeaiin	1	p	p:poeeaiin|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	1	0
oeear	1	p	p:poeear|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	3	0
oeeb	1	s	p:-|s:soeeb|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	0	0
oeeedy	1	s	p:-|s:soeeedy|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	1	0
oeey	1	l	p:-|s:-|r:-|l:loeey	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	5	0
oeokeey	1	p	p:poeokeey|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
oeom	1	s	p:-|s:soeom|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
oes	1	s	p:-|s:soes|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
oety	1	l	p:-|s:-|r:-|l:loety	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
ofam	1	s	p:-|s:sofam|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	0	0
ofochey	1	p	p:pofochey|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	0	0
oiii	1	l	p:-|s:-|r:-|l:loiii	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	0	0
oity	1	s	p:-|s:soity|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
okaix	1	r	p:-|s:-|r:rokaix|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	0	0
okal	1	s	p:-|s:sokal|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	123	0
okcheey	1	s	p:-|s:sokcheey|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	5	0
okchor	1	s	p:-|s:sokchor|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	15	0
okchy	1	s	p:-|s:sokchy|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	22	0
okod	1	s	p:-|s:sokod|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	2	0
