change_ordinal	event_id	statement_id	physical_page	register	state_status	surface	final_context_recipe	repeat_argument_group_count	covered_later_argument_mention_count	anaphor_occurrence_count	before_clause_de	after_clause_de	full_argument_expansion_de	guard
716	G407-E4505	G407-S702	f95v	HERBAL	NONSTATE_CARD	qokshy	OK+SH+Y	1	1	1	Setze den Pflanzenposten im Arbeitsgang an und halte den Pflanzenposten.	Setze den Pflanzenposten im Arbeitsgang an und halte ihn.	Setze den Pflanzenposten im Arbeitsgang an und halte den Pflanzenposten.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
717	G407-E4508	G407-S704	f95v	HERBAL	NONSTATE_CARD	dkshey	D_ADDR+K+SH+E+Y	1	1	1	Gib den Pflanzenposten zu und halte den Pflanzenposten; auf Grad I; an der bezeichneten Stelle.	Gib den Pflanzenposten zu und halte ihn; auf Grad I; an der bezeichneten Stelle.	Gib den Pflanzenposten zu und halte den Pflanzenposten; auf Grad I; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
718	G407-E4522	G407-S705	f95v	HERBAL	NONSTATE_CARD	kchdy	K+CHD+Y	1	1	1	Gib den Pflanzenposten zu und bearbeite den Pflanzenposten.	Gib den Pflanzenposten zu und bearbeite ihn.	Gib den Pflanzenposten zu und bearbeite den Pflanzenposten.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
719	G407-E4526	G407-S707	f95v	HERBAL	NONSTATE_CARD	sheos	SH+E+O+S	1	1	1	Halte denselben Materialanteil und wähle denselben Materialanteil; auf Grad I und als Ausführung.	Halte denselben Materialanteil und wähle ihn; auf Grad I und als Ausführung.	Halte denselben Materialanteil und wähle denselben Materialanteil; auf Grad I und als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
720	G407-E4529	G407-S707	f95v	HERBAL	NONSTATE_CARD	chtal	CH+T+AL	1	1	1	Nimm denselben Arbeitswert und stelle denselben Arbeitswert ein; zur Zielstelle.	Nimm denselben Arbeitswert und stelle ihn ein; zur Zielstelle.	Nimm denselben Arbeitswert und stelle denselben Arbeitswert ein; zur Zielstelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
721	G407-E4532	G407-S708	f95v	HERBAL	STATE_CARD	okchedy	OK+CHD+DY	1	1	1	Setze denselben Arbeitswert im Arbeitsgang an und bearbeite denselben Arbeitswert; schließe den Schritt.	Setze denselben Arbeitswert im Arbeitsgang an und bearbeite ihn; schließe den Schritt.	Setze denselben Arbeitswert im Arbeitsgang an und bearbeite denselben Arbeitswert; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
722	G407-E4538	G407-S709	f95v	HERBAL	NONSTATE_CARD	kshed	K+SH+E+D_ADDR	1	1	1	Gib denselben Arbeitswert zu und halte denselben Arbeitswert; auf Grad I; an der bezeichneten Stelle.	Gib denselben Arbeitswert zu und halte ihn; auf Grad I; an der bezeichneten Stelle.	Gib denselben Arbeitswert zu und halte denselben Arbeitswert; auf Grad I; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
723	G407-E4543	G407-S709	f95v	HERBAL	STATE_CARD	skchdy	S+K+CHD+DY	1	2	2	Wähle denselben Pflanzenposten und gib denselben Pflanzenposten zu und bearbeite denselben Pflanzenposten; schließe den Schritt.	Wähle denselben Pflanzenposten und gib ihn zu und bearbeite ihn; schließe den Schritt.	Wähle denselben Pflanzenposten und gib denselben Pflanzenposten zu und bearbeite denselben Pflanzenposten; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
724	G407-E4545	G407-S710	f95v	HERBAL	NONSTATE_CARD	sheyk	SH+E+Y+K	1	1	1	Halte den Pflanzenposten und gib den Pflanzenposten zu; auf Grad I.	Halte den Pflanzenposten und gib ihn zu; auf Grad I.	Halte den Pflanzenposten und gib den Pflanzenposten zu; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
725	G407-E4552	G407-S711	f95v	HERBAL	NONSTATE_CARD	pshedar	P+SH+E+D_ADDR+AR	1	1	1	Setze denselben Arbeitswert ein und halte denselben Arbeitswert; vom Ausgangsmaterial; auf Grad I; an der bezeichneten Stelle.	Setze denselben Arbeitswert ein und halte ihn; vom Ausgangsmaterial; auf Grad I; an der bezeichneten Stelle.	Setze denselben Arbeitswert ein und halte denselben Arbeitswert; vom Ausgangsmaterial; auf Grad I; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
726	G407-E4554	G407-S712	f95v	HERBAL	STATE_CARD	kshedy	K+SH+E+DY	1	1	1	Gib denselben Arbeitswert zu und halte denselben Arbeitswert; auf Grad I; schließe den Schritt.	Gib denselben Arbeitswert zu und halte ihn; auf Grad I; schließe den Schritt.	Gib denselben Arbeitswert zu und halte denselben Arbeitswert; auf Grad I; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
727	G407-E4555	G407-S713	f95v	HERBAL	STATE_CARD	qotches	OT+CH+E+S	1	1	1	Danach: nimm denselben Arbeitswert und wähle denselben Arbeitswert; auf Grad I.	Danach: nimm denselben Arbeitswert und wähle ihn; auf Grad I.	Danach: nimm denselben Arbeitswert und wähle denselben Arbeitswert; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
728	G407-E4558	G407-S713	f95v	HERBAL	NONSTATE_CARD	shekaiin	SH+E+K+AIIN	1	1	1	Halte den Arbeitswert und gib den Arbeitswert zu; auf Grad I.	Halte den Arbeitswert und gib ihn zu; auf Grad I.	Halte den Arbeitswert und gib den Arbeitswert zu; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
729	G407-E4560	G407-S713	f95v	HERBAL	NONSTATE_CARD	tshes	T+SH+E+S	1	2	2	Stelle denselben Materialanteil ein, halte denselben Materialanteil und wähle denselben Materialanteil; auf Grad I.	Stelle denselben Materialanteil ein, halte ihn und wähle ihn; auf Grad I.	Stelle denselben Materialanteil ein, halte denselben Materialanteil und wähle denselben Materialanteil; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
730	G407-E4562	G407-S713	f95v	HERBAL	STATE_CARD	shotshey	SH+OT+SH+E+Y	1	1	1	Danach: halte den Pflanzenposten und halte den Pflanzenposten; auf Grad I.	Danach: halte den Pflanzenposten und halte ihn; auf Grad I.	Danach: halte den Pflanzenposten und halte den Pflanzenposten; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
731	G407-E4566	G407-S714	f95v	HERBAL	STATE_CARD	olkchdy	OL+K+CHD+Y	1	1	1	Weiter: gib den Pflanzenposten zu und bearbeite den Pflanzenposten.	Weiter: gib den Pflanzenposten zu und bearbeite ihn.	Weiter: gib den Pflanzenposten zu und bearbeite den Pflanzenposten.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
732	G407-E4568	G407-S714	f95v	HERBAL	NONSTATE_CARD	shcthy	SH+CH+T+Y	1	2	2	Halte den Pflanzenposten, nimm den Pflanzenposten und stelle den Pflanzenposten ein.	Halte den Pflanzenposten, nimm ihn und stelle ihn ein.	Halte den Pflanzenposten, nimm den Pflanzenposten und stelle den Pflanzenposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
733	G407-E4570	G407-S714	f95v	HERBAL	NONSTATE_CARD	tchdaiin	T+CHD+AIIN	1	1	1	Stelle den Arbeitswert ein und bearbeite den Arbeitswert.	Stelle den Arbeitswert ein und bearbeite ihn.	Stelle den Arbeitswert ein und bearbeite den Arbeitswert.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
734	G407-E4576	G407-S715	f95v	HERBAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	1	2	2	Nimm den Pflanzenposten, nimm den Pflanzenposten und stelle den Pflanzenposten ein.	Nimm den Pflanzenposten, nimm ihn und stelle ihn ein.	Nimm den Pflanzenposten, nimm den Pflanzenposten und stelle den Pflanzenposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
735	G515-E0001	G515-S001	f4r	HERBAL	NONSTATE_CARD	kodalchy	K+O+D_ADDR+AL+CH+Y	1	1	1	Gib den Pflanzenposten zu und nimm den Pflanzenposten; zur Zielstelle; zur Ausführung; an der bezeichneten Stelle.	Gib den Pflanzenposten zu und nimm ihn; zur Zielstelle; zur Ausführung; an der bezeichneten Stelle.	Gib den Pflanzenposten zu und nimm den Pflanzenposten; zur Zielstelle; zur Ausführung; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
736	G515-E0002	G515-S001	f4r	HERBAL	STATE_CARD	chpady	CH+P+A_ADDR+DY	1	1	1	Nimm denselben Pflanzenposten und setze denselben Pflanzenposten ein; an der bezeichneten Stelle; schließe den Schritt.	Nimm denselben Pflanzenposten und setze ihn ein; an der bezeichneten Stelle; schließe den Schritt.	Nimm denselben Pflanzenposten und setze denselben Pflanzenposten ein; an der bezeichneten Stelle; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
737	G515-E0013	G515-S002	f4r	HERBAL	STATE_CARD	cthol	CH+T+OL	1	1	1	Weiter: nimm dieselbe Arbeitseinheit und stelle dieselbe Arbeitseinheit ein.	Weiter: nimm dieselbe Arbeitseinheit und stelle sie ein.	Weiter: nimm dieselbe Arbeitseinheit und stelle dieselbe Arbeitseinheit ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
738	G515-E0014	G515-S002	f4r	HERBAL	NONSTATE_CARD	shtchy	SH+T+CH+Y	1	2	2	Halte den Pflanzenposten, stelle den Pflanzenposten ein und nimm den Pflanzenposten.	Halte den Pflanzenposten, stelle ihn ein und nimm ihn.	Halte den Pflanzenposten, stelle den Pflanzenposten ein und nimm den Pflanzenposten.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
739	G515-E0031	G515-S002	f4r	HERBAL	NONSTATE_CARD	cthy	CH+T+Y	1	1	1	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	Nimm den Pflanzenposten und stelle ihn ein.	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
740	G515-E0040	G515-S004	f4r	HERBAL	STATE_CARD	cthol	CH+T+OL	1	1	1	Weiter: nimm denselben Arbeitswert und stelle denselben Arbeitswert ein.	Weiter: nimm denselben Arbeitswert und stelle ihn ein.	Weiter: nimm denselben Arbeitswert und stelle denselben Arbeitswert ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
741	G515-E0042	G515-S004	f4r	HERBAL	NONSTATE_CARD	cthom	CH+T+O+M_LOCAL	1	1	1	Nimm denselben Arbeitswert und stelle denselben Arbeitswert ein; zur Ausführung; an der bezeichneten Stelle.	Nimm denselben Arbeitswert und stelle ihn ein; zur Ausführung; an der bezeichneten Stelle.	Nimm denselben Arbeitswert und stelle denselben Arbeitswert ein; zur Ausführung; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
742	G515-E0046	G515-S004	f4r	HERBAL	NONSTATE_CARD	cthy	CH+T+Y	1	1	1	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	Nimm den Pflanzenposten und stelle ihn ein.	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
743	G515-E0047	G515-S004	f4r	HERBAL	STATE_CARD	cpholdy	CH+P+OL+DY	1	1	1	Weiter: nimm denselben Pflanzenposten und setze denselben Pflanzenposten ein; schließe den Schritt.	Weiter: nimm denselben Pflanzenposten und setze ihn ein; schließe den Schritt.	Weiter: nimm denselben Pflanzenposten und setze denselben Pflanzenposten ein; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
744	G515-E0049	G515-S005	f4r	HERBAL	NONSTATE_CARD	ckhochy	CH+K+O+CH+Y	1	2	2	Nimm den Pflanzenposten, gib den Pflanzenposten zu und nimm den Pflanzenposten; zur Ausführung.	Nimm den Pflanzenposten, gib ihn zu und nimm ihn; zur Ausführung.	Nimm den Pflanzenposten, gib den Pflanzenposten zu und nimm den Pflanzenposten; zur Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
745	G515-E0055	G515-S005	f4r	HERBAL	STATE_CARD	shyshol	SH+Y+SH+OL	1	1	1	Weiter: halte den Pflanzenposten und halte den Pflanzenposten.	Weiter: halte den Pflanzenposten und halte ihn.	Weiter: halte den Pflanzenposten und halte den Pflanzenposten.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
746	G515-E0056	G515-S005	f4r	HERBAL	NONSTATE_CARD	cphaiin	CH+P+AIIN	1	1	1	Nimm den Arbeitswert und setze den Arbeitswert ein.	Nimm den Arbeitswert und setze ihn ein.	Nimm den Arbeitswert und setze den Arbeitswert ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
747	G515-E0064	G515-S005	f4r	HERBAL	NONSTATE_CARD	cthey	CH+T+E+Y	1	1	1	Nimm den Pflanzenposten und stelle den Pflanzenposten ein; auf Grad I.	Nimm den Pflanzenposten und stelle ihn ein; auf Grad I.	Nimm den Pflanzenposten und stelle den Pflanzenposten ein; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
748	G515-E0069	G515-S006	f20v	HERBAL	NONSTATE_CARD	pofochey	P+O+LOCAL_CHAR_F+O+CH+E+Y	1	1	1	Setze den Pflanzenposten ein und nimm den Pflanzenposten; zur Ausführung im äußeren Zweig, zur Ausführung im inneren Zweig und auf Grad I; an der bezeichneten Stelle.	Setze den Pflanzenposten ein und nimm ihn; zur Ausführung im äußeren Zweig, zur Ausführung im inneren Zweig und auf Grad I; an der bezeichneten Stelle.	Setze den Pflanzenposten ein und nimm den Pflanzenposten; zur Ausführung im äußeren Zweig, zur Ausführung im inneren Zweig und auf Grad I; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
749	G515-E0074	G515-S007	f20v	HERBAL	NONSTATE_CARD	cphy	CH+P+Y	1	1	1	Nimm den Pflanzenposten und setze den Pflanzenposten ein.	Nimm den Pflanzenposten und setze ihn ein.	Nimm den Pflanzenposten und setze den Pflanzenposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
750	G515-E0075	G515-S007	f20v	HERBAL	NONSTATE_CARD	sos	S+O+S	1	1	1	Wähle denselben Pflanzenposten und wähle denselben Pflanzenposten; zur Ausführung.	Wähle denselben Pflanzenposten und wähle ihn; zur Ausführung.	Wähle denselben Pflanzenposten und wähle denselben Pflanzenposten; zur Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
751	G515-E0080	G515-S007	f20v	HERBAL	NONSTATE_CARD	checthy	CH+T+Y	1	1	1	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	Nimm den Pflanzenposten und stelle ihn ein.	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
752	G515-E0089	G515-S007	f20v	HERBAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	1	2	2	Nimm den Pflanzenposten, nimm den Pflanzenposten und stelle den Pflanzenposten ein.	Nimm den Pflanzenposten, nimm ihn und stelle ihn ein.	Nimm den Pflanzenposten, nimm den Pflanzenposten und stelle den Pflanzenposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
753	G515-E0092	G515-S007	f20v	HERBAL	STATE_CARD	tolshy	T+OL+SH+Y	1	1	1	Weiter: stelle den Pflanzenposten ein und halte den Pflanzenposten.	Weiter: stelle den Pflanzenposten ein und halte ihn.	Weiter: stelle den Pflanzenposten ein und halte den Pflanzenposten.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
754	G515-E0104	G515-S008	f20v	HERBAL	NONSTATE_CARD	fshodchy	LOCAL_CHAR_F+SH+O+D_ADDR+CH+Y	1	1	1	Halte den Pflanzenposten und nimm den Pflanzenposten; zur Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	Halte den Pflanzenposten und nimm ihn; zur Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	Halte den Pflanzenposten und nimm den Pflanzenposten; zur Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
755	G515-E0106	G515-S008	f20v	HERBAL	NONSTATE_CARD	chcphy	CH+CH+P+Y	1	2	2	Nimm den Pflanzenposten, nimm den Pflanzenposten und setze den Pflanzenposten ein.	Nimm den Pflanzenposten, nimm ihn und setze ihn ein.	Nimm den Pflanzenposten, nimm den Pflanzenposten und setze den Pflanzenposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
756	G515-E0109	G515-S008	f20v	HERBAL	NONSTATE_CARD	chockhy	HO+CH+K+Y	1	1	1	Nimm den Pflanzenposten und gib den Pflanzenposten zu; in der bezeichneten Klasse.	Nimm den Pflanzenposten und gib ihn zu; in der bezeichneten Klasse.	Nimm den Pflanzenposten und gib den Pflanzenposten zu; in der bezeichneten Klasse.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
757	G515-E0112	G515-S008	f20v	HERBAL	NONSTATE_CARD	shos	SH+O+S	1	1	1	Halte denselben Pflanzenposten und wähle denselben Pflanzenposten; zur Ausführung.	Halte denselben Pflanzenposten und wähle ihn; zur Ausführung.	Halte denselben Pflanzenposten und wähle denselben Pflanzenposten; zur Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
758	G515-E0113	G515-S008	f20v	HERBAL	NONSTATE_CARD	cheos	CH+E+O+S	1	1	1	Nimm denselben Pflanzenposten und wähle denselben Pflanzenposten; auf Grad I und zur Ausführung.	Nimm denselben Pflanzenposten und wähle ihn; auf Grad I und zur Ausführung.	Nimm denselben Pflanzenposten und wähle denselben Pflanzenposten; auf Grad I und zur Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
759	G515-E0116	G515-S008	f20v	HERBAL	NONSTATE_CARD	shocthy	SH+O+CH+T+Y	1	2	2	Halte den Pflanzenposten, nimm den Pflanzenposten und stelle den Pflanzenposten ein; zur Ausführung.	Halte den Pflanzenposten, nimm ihn und stelle ihn ein; zur Ausführung.	Halte den Pflanzenposten, nimm den Pflanzenposten und stelle den Pflanzenposten ein; zur Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
760	G515-E0118	G515-S008	f20v	HERBAL	NONSTATE_CARD	cthy	CH+T+Y	1	1	1	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	Nimm den Pflanzenposten und stelle ihn ein.	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
761	G515-E0135	G515-S008	f20v	HERBAL	NONSTATE_CARD	cthy	CH+T+Y	1	1	1	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	Nimm den Pflanzenposten und stelle ihn ein.	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
762	G515-E0140	G515-S008	f20v	HERBAL	NONSTATE_CARD	shokaiin	SH+OK+AIIN	1	1	1	Halte den Arbeitswert und setze den Arbeitswert im Arbeitsgang an.	Halte den Arbeitswert und setze ihn im Arbeitsgang an.	Halte den Arbeitswert und setze den Arbeitswert im Arbeitsgang an.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
763	G515-E0141	G515-S008	f20v	HERBAL	NONSTATE_CARD	chocthy	CH+O+CH+T+Y	1	2	2	Nimm den Pflanzenposten, nimm den Pflanzenposten und stelle den Pflanzenposten ein; zur Ausführung.	Nimm den Pflanzenposten, nimm ihn und stelle ihn ein; zur Ausführung.	Nimm den Pflanzenposten, nimm den Pflanzenposten und stelle den Pflanzenposten ein; zur Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
764	G515-E0157	G515-S009	f31r	HERBAL	NONSTATE_CARD	chepakeo	CH+E+P+A_ADDR+K+E+O	1	2	2	Nimm denselben Arbeitswert, setze denselben Arbeitswert ein und gib denselben Arbeitswert zu; auf Grad I im äußeren Zweig, auf Grad I im inneren Zweig und zur Ausführung; an der bezeichneten Stelle.	Nimm denselben Arbeitswert, setze ihn ein und gib ihn zu; auf Grad I im äußeren Zweig, auf Grad I im inneren Zweig und zur Ausführung; an der bezeichneten Stelle.	Nimm denselben Arbeitswert, setze denselben Arbeitswert ein und gib denselben Arbeitswert zu; auf Grad I im äußeren Zweig, auf Grad I im inneren Zweig und zur Ausführung; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
765	G515-E0164	G515-S010	f31r	HERBAL	NONSTATE_CARD	shekeey	SH+E+K+EE+Y	1	1	1	Halte den Pflanzenposten und gib den Pflanzenposten zu; auf Grad I und auf Grad II.	Halte den Pflanzenposten und gib ihn zu; auf Grad I und auf Grad II.	Halte den Pflanzenposten und gib den Pflanzenposten zu; auf Grad I und auf Grad II.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
766	G515-E0171	G515-S010	f31r	HERBAL	NONSTATE_CARD	chekey	CH+K+E+Y	1	1	1	Nimm den Pflanzenposten und gib den Pflanzenposten zu; auf Grad I.	Nimm den Pflanzenposten und gib ihn zu; auf Grad I.	Nimm den Pflanzenposten und gib den Pflanzenposten zu; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
767	G515-E0188	G515-S011	f31r	HERBAL	NONSTATE_CARD	tshokeody	T+SH+OK+E+O+D_ADDR+Y	1	2	2	Stelle den Pflanzenposten ein, halte den Pflanzenposten und setze den Pflanzenposten im Arbeitsgang an; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	Stelle den Pflanzenposten ein, halte ihn und setze ihn im Arbeitsgang an; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	Stelle den Pflanzenposten ein, halte den Pflanzenposten und setze den Pflanzenposten im Arbeitsgang an; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
768	G515-E0198	G515-S013	f31r	HERBAL	NONSTATE_CARD	checkhey	CH+E+CH+K+E+Y	1	2	2	Nimm den Pflanzenposten, nimm den Pflanzenposten und gib den Pflanzenposten zu; auf Grad I im äußeren Zweig und auf Grad I im inneren Zweig.	Nimm den Pflanzenposten, nimm ihn und gib ihn zu; auf Grad I im äußeren Zweig und auf Grad I im inneren Zweig.	Nimm den Pflanzenposten, nimm den Pflanzenposten und gib den Pflanzenposten zu; auf Grad I im äußeren Zweig und auf Grad I im inneren Zweig.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
769	G515-E0210	G515-S017	f31r	HERBAL	NONSTATE_CARD	checthy	CH+T+Y	1	1	1	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	Nimm den Pflanzenposten und stelle ihn ein.	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
770	G515-E0213	G515-S017	f31r	HERBAL	NONSTATE_CARD	shcthey	SH+CH+T+E+Y	1	2	2	Halte den Pflanzenposten, nimm den Pflanzenposten und stelle den Pflanzenposten ein; auf Grad I.	Halte den Pflanzenposten, nimm ihn und stelle ihn ein; auf Grad I.	Halte den Pflanzenposten, nimm den Pflanzenposten und stelle den Pflanzenposten ein; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
771	G515-E0222	G515-S022	f31r	HERBAL	NONSTATE_CARD	shedshey	SH+E+D_ADDR+SH+E+Y	1	1	1	Halte den Pflanzenposten und halte den Pflanzenposten; auf Grad I im äußeren Zweig und auf Grad I im inneren Zweig; an der bezeichneten Stelle.	Halte den Pflanzenposten und halte ihn; auf Grad I im äußeren Zweig und auf Grad I im inneren Zweig; an der bezeichneten Stelle.	Halte den Pflanzenposten und halte den Pflanzenposten; auf Grad I im äußeren Zweig und auf Grad I im inneren Zweig; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
772	G515-E0233	G515-S022	f31r	HERBAL	NONSTATE_CARD	yches	Y+CH+E+S	1	1	1	Nimm den Pflanzenposten und wähle den Pflanzenposten; auf Grad I.	Nimm den Pflanzenposten und wähle ihn; auf Grad I.	Nimm den Pflanzenposten und wähle den Pflanzenposten; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
773	G515-E0250	G515-S027	f31r	HERBAL	NONSTATE_CARD	cheky	CH+K+E+Y	1	1	1	Nimm den Pflanzenposten und gib den Pflanzenposten zu; auf Grad I.	Nimm den Pflanzenposten und gib ihn zu; auf Grad I.	Nimm den Pflanzenposten und gib den Pflanzenposten zu; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
774	G515-E0253	G515-S027	f31r	HERBAL	NONSTATE_CARD	aiicthy	AIIN+CH+T+Y	2	2	1	Nimm den Arbeitswert und den Pflanzenposten und stelle den Arbeitswert und den Pflanzenposten ein.	Nimm den Arbeitswert und den Pflanzenposten und stelle beide ein.	Nimm den Arbeitswert und den Pflanzenposten und stelle den Arbeitswert und den Pflanzenposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
775	G515-E0304	G515-S030	f66r	SOURCE_SECTION_T	NONSTATE_CARD	chefchy	CH+E+LOCAL_CHAR_F+CH+Y	1	1	1	Entnimm den laufenden Eintrag und entnimm den laufenden Eintrag; auf Grad I; an der bezeichneten Stelle.	Entnimm den laufenden Eintrag und entnimm ihn; auf Grad I; an der bezeichneten Stelle.	Entnimm den laufenden Eintrag und entnimm den laufenden Eintrag; auf Grad I; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
776	G515-E0306	G515-S031	f66r	SOURCE_SECTION_T	NONSTATE_CARD	ypches	Y+P+CH+E+S	1	2	2	Setze den laufenden Eintrag ein, entnimm den laufenden Eintrag und wähle den laufenden Eintrag; auf Grad I.	Setze den laufenden Eintrag ein, entnimm ihn und wähle ihn; auf Grad I.	Setze den laufenden Eintrag ein, entnimm den laufenden Eintrag und wähle den laufenden Eintrag; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
