event_serial	statement_id	record_unit_id	page	local_address	visible_surface	master_card_id	semantic_atoms	stable_surface_host	renderer_gesture	short_default_de	card_near_reading_de	statement_translation_de	line_crossing_statement
232	B3-S003	B3	f83r	B3-S003	chey	MC123	Y	y	CH_ENTRY	dieser Posten	Nimm diesen Posten wieder auf: dieser Posten.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Nimm den aktuellen Posten nach Sollmaß, führe ihn ab und schließe	NO
233	B3-S003	B3	f83r	B3-S003	daiin	MC039	AIIN	aiin	D_ENTRY	Sollmaß	Setze Maß, Portion oder Stufe: Sollmaß.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Nimm den aktuellen Posten nach Sollmaß, führe ihn ab und schließe	NO
234	B3-S003	B3	f83r	B3-S003	chey	MC123	Y	y	CH_ENTRY	dieser Posten	Nimm diesen Posten wieder auf: dieser Posten.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Nimm den aktuellen Posten nach Sollmaß, führe ihn ab und schließe	NO
235	B3-S003	B3	f83r	B3-S003	lchedy	MC155	L+CHD+CLOSE	lchedy	ZERO	abführen; Schluss	Setze die gelernte Fachkarte: abführen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Nimm den aktuellen Posten nach Sollmaß, führe ihn ab und schließe	NO
236	B3-S004	B3	f83r	B3-S004	qokaiin	MC120	OK+AIIN	okaiin	Q_ENTRY	auf Sollmaß einstellen	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, führe danach dorthin und nimm daraus	NO
237	B3-S004	B3	f83r	B3-S004	qotal	MC093	OT+AL	otal	Q_ENTRY	danach dorthin	Danach oder in demselben Gang: danach dorthin.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, führe danach dorthin und nimm daraus	NO
238	B3-S004	B3	f83r	B3-S004	dar	MC055	AR	ar	D_ENTRY	aus dem Ansatz	Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, führe danach dorthin und nimm daraus	NO
239	B3-S005	B3	f83r	B3-S005	schedy	MC025	CHD+CLOSE	chedy	S_ENTRY	Posten überführen; Schluss	Führe die Handlung aus; schließe nur bei Endkarte: Posten überführen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze die entnommene Sollmaßportion um und schließe	NO
240	B3-S006	B3	f83r	B3-S006	chedchy	MC064	CHD+Y	chedchy	ZERO	diesen Posten überführen	Führe es mit diesem laufenden Posten aus: diesen Posten überführen.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze dorthin um, führe weiter und schließe	NO
241	B3-S006	B3	f83r	B3-S006	qokal	MC040	OK+AL	okal	Q_ENTRY	dort ansetzen	Führe es an der bezeichneten Stelle aus: dort ansetzen.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze dorthin um, führe weiter und schließe	NO
242	B3-S006	B3	f83r	B3-S006	olchedy	MC028	OL+CHD+CLOSE	olchedy	ZERO	weiterüberführen; Schluss	Danach oder in demselben Gang: weiterüberführen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze dorthin um, führe weiter und schließe	NO
243	B3-S007	B3	f83r	B3-S007	qokaiin	MC120	OK+AIIN	okaiin	Q_ENTRY	auf Sollmaß einstellen	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, setze um, setze länger an und schließe	NO
244	B3-S007	B3	f83r	B3-S007	chedy	MC074	CHD+Y	dy	CH_ENTRY	laufenden Posten umsetzen	Führe es mit diesem laufenden Posten aus: laufenden Posten umsetzen.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, setze um, setze länger an und schließe	NO
245	B3-S007	B3	f83r	B3-S007	qokeedy	MC082	OK+EE+CLOSE	qokeedy	ZERO	länger ansetzen; Schluss	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, setze um, setze länger an und schließe	NO
246	B3-S008	B3	f83r	B3-S008	lchedy	MC155	L+CHD+CLOSE	lchedy	ZERO	abführen; Schluss	Setze die gelernte Fachkarte: abführen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe ab und schließe	NO
247	B3-S009	B3	f83r	B3-S009	qoky	MC026	OK+Y	oky	Q_ENTRY	aktuellen Posten ansetzen	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze den Posten an	NO
248	B3-S010	B3	f83r	B3-S010	pchedal	MC126	P+CHD+AL	pchedal	ZERO	Einlass	Setze die gelernte Fachkarte: Einlass.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe den angesetzten Posten am Einlass zu, nimm die kurze Folge und schließe	NO
249	B3-S010	B3	f83r	B3-S010	otedy	MC135	OT+E+CLOSE	otedy	ZERO	kurze Folge; Schluss	Danach oder in demselben Gang: kurze Folge; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe den angesetzten Posten am Einlass zu, nimm die kurze Folge und schließe	NO
250	B3-S011	B3	f83r	B3-S011	shecthedchy	MC043	CTH+CHD+Y	shecthedchy	ZERO	bereiten Posten umsetzen	Führe es mit diesem laufenden Posten aus: bereiten Posten umsetzen.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze den bereiten Posten um, setze ihn an, setze erneut um und nimm daraus den folgenden Posten.	NO
251	B3-S011	B3	f83r	B3-S011	qoky	MC026	OK+Y	oky	Q_ENTRY	aktuellen Posten ansetzen	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze den bereiten Posten um, setze ihn an, setze erneut um und nimm daraus den folgenden Posten.	NO
252	B3-S011	B3	f83r	B3-S011	chedy	MC074	CHD+Y	dy	CH_ENTRY	laufenden Posten umsetzen	Führe es mit diesem laufenden Posten aus: laufenden Posten umsetzen.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze den bereiten Posten um, setze ihn an, setze erneut um und nimm daraus den folgenden Posten.	NO
253	B3-S011	B3	f83r	B3-S011	chary	MC009	AR+Y	chary	ZERO	aus diesem Posten	Nenne Quelle, Lauf, Auszug oder Ansatz: aus diesem Posten.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze den bereiten Posten um, setze ihn an, setze erneut um und nimm daraus den folgenden Posten.	NO
254	B3-S012	B3	f83r	B3-S012	sor	MC080	OR	or	S_ENTRY	Ansatz	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Lass den aufgestrichenen und abgekühlten Ansatz absetzen und schließe	NO
255	B3-S012	B3	f83r	B3-S012	shedy	MC128	SHED+E+CLOSE	edy	SH_ENTRY	kurz absetzen lassen; Schluss	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen lassen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Lass den aufgestrichenen und abgekühlten Ansatz absetzen und schließe	NO
256	B3-S013	B3	f83r	B3-S013	qokaiin	MC120	OK+AIIN	okaiin	Q_ENTRY	auf Sollmaß einstellen	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, nimm eine Portion, halte kurz bereit, setze kurz an und schließe	NO
257	B3-S013	B3	f83r	B3-S013	chkain	MC105	AIN	kain	CH_ENTRY	eine Portion	Setze Maß, Portion oder Stufe: eine Portion.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, nimm eine Portion, halte kurz bereit, setze kurz an und schließe	NO
258	B3-S013	B3	f83r	B3-S013	shcthey	MC073	CTH+E+Y	cthey	SH_ENTRY	kurz bereithalten	Führe aus und beachte Dauer oder Endpunkt: kurz bereithalten.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, nimm eine Portion, halte kurz bereit, setze kurz an und schließe	NO
259	B3-S013	B3	f83r	B3-S013	qokedy	MC083	OK+E+CLOSE	qokedy	ZERO	kurz ansetzen; Schluss	Führe aus und beachte Dauer oder Endpunkt: kurz ansetzen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, nimm eine Portion, halte kurz bereit, setze kurz an und schließe	NO
260	B3-S014	B3	f83r	B3-S014	okair	MC081	OK+AIR	okair	ZERO	Wasser einlassen	Führe es aus dem Vorrat oder am Ansatz aus: Wasser einlassen.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Lass Wasser ein, lass länger absetzen und schließe	NO
261	B3-S014	B3	f83r	B3-S014	sheedy	MC003	SHED+EE+CLOSE	sheedy	ZERO	länger absetzen; Schluss	Führe aus und beachte Dauer oder Endpunkt: länger absetzen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Lass Wasser ein, lass länger absetzen und schließe	NO
262	B3-S015	B3	f83r	B3-S015	lchedy	MC155	L+CHD+CLOSE	lchedy	ZERO	abführen; Schluss	Setze die gelernte Fachkarte: abführen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe ab und schließe	NO
263	B3-S016	B3	f83r	B3-S016	lo	MC030	L	lo	ZERO	abfuehren	Setze die gelernte Fachkarte: abfuehren.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe ab, setze den Posten um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
264	B3-S016	B3	f83r	B3-S016	qokchedy	MC005	OK+CHD+CLOSE	okchedy	Q_ENTRY	angesetzten Inhalt überführen; Schluss	Führe die Handlung aus; schließe nur bei Endkarte: angesetzten Inhalt überführen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe ab, setze den Posten um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
265	B3-S017	B3	f83r	B3-S017	qokeedy	MC082	OK+EE+CLOSE	qokeedy	ZERO	länger ansetzen; Schluss	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze länger an und schließe	NO
266	B3-S018	B3	f83r	B3-S018	shedy	MC128	SHED+E+CLOSE	edy	SH_ENTRY	kurz absetzen lassen; Schluss	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen lassen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Lass absetzen und schließe	NO
267	B3-S019	B3	f83r	B3-S019	qokshedy	MC151	OK+SHED+CLOSE	qokshedy	ZERO	Absetzgang ansetzen; Schluss	Führe die Handlung aus; schließe nur bei Endkarte: Absetzgang ansetzen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Lass absetzen und schließe	NO
268	B3-S020	B3	f83r	B3-S020	dal	MC154	AL	al	D_ENTRY	dorthin	Setze die bezeichnete Zielstelle: dorthin.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe dorthin, führe ab und schließe	NO
269	B3-S020	B3	f83r	B3-S020	lchedy	MC155	L+CHD+CLOSE	lchedy	ZERO	abführen; Schluss	Setze die gelernte Fachkarte: abführen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe dorthin, führe ab und schließe	NO
270	B3-S021	B3	f83r	B3-S021	qokaiin	MC120	OK+AIIN	okaiin	Q_ENTRY	auf Sollmaß einstellen	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, setze um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
271	B3-S021	B3	f83r	B3-S021	shcthy	MC161	CTH+Y	cthy	SH_ENTRY	bereit	Führe es mit diesem laufenden Posten aus: bereit.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, setze um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
272	B3-S021	B3	f83r	B3-S021	dal	MC154	AL	al	D_ENTRY	dorthin	Setze die bezeichnete Zielstelle: dorthin.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, setze um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
273	B3-S021	B3	f83r	B3-S021	sy	MC123	Y	y	S_ENTRY	dieser Posten	Nimm diesen Posten wieder auf: dieser Posten.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, setze um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
274	B3-S021	B3	f83r	B3-S021	saiin	MC039	AIIN	aiin	S_ENTRY	Sollmaß	Setze Maß, Portion oder Stufe: Sollmaß.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, setze um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
275	B3-S021	B3	f83r	B3-S021	shedal	MC113	SHED+AL	shedal	ZERO	dort absetzen	Führe es an der bezeichneten Stelle aus: dort absetzen.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, setze um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
276	B3-S021	B3	f83r	B3-S021	shecthy	MC137	CTH+E+Y	shecthy	ZERO	kurz bereit halten	Führe aus und beachte Dauer oder Endpunkt: kurz bereit halten.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, setze um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
277	B3-S021	B3	f83r	B3-S021	chey	MC123	Y	y	CH_ENTRY	dieser Posten	Nimm diesen Posten wieder auf: dieser Posten.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, setze um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
278	B3-S021	B3	f83r	B3-S021	tal	MC154	AL	al	T_ENTRY	dorthin	Setze die bezeichnete Zielstelle: dorthin.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, setze um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
279	B3-S021	B3	f83r	B3-S021	shcthy	MC161	CTH+Y	cthy	SH_ENTRY	bereit	Führe es mit diesem laufenden Posten aus: bereit.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, setze um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
280	B3-S021	B3	f83r	B3-S021	dalchdy	MC031	AL+CHD+CLOSE	dalchdy	ZERO	dorthin umsetzen; Schluss	Führe es an der bezeichneten Stelle aus: dorthin umsetzen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Stelle das Sollmaß ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, setze um und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
281	B3-S022	B3	f83r	B3-S022	qotchedy	MC057	OT+CHD+CLOSE	otchedy	Q_ENTRY	nächsten Posten überführen; Schluss	Danach oder in demselben Gang: nächsten Posten überführen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe die Folgeumsetzung aus und schließe	NO
282	B3-S023	B3	f83r	B3-S023	lchedy	MC155	L+CHD+CLOSE	lchedy	ZERO	abführen; Schluss	Setze die gelernte Fachkarte: abführen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe ab und schließe	NO
283	B3-S024	B3	f83r	B3-S024	tchedy	MC025	CHD+CLOSE	chedy	T_ENTRY	Posten überführen; Schluss	Führe die Handlung aus; schließe nur bei Endkarte: Posten überführen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze um und schließe	NO
284	B3-S025	B3	f83r	B3-S025	qokchdy	MC088	OK+CHD+CLOSE	qokchdy	ZERO	Umsetzung ansetzen; Schluss	Führe die Handlung aus; schließe nur bei Endkarte: Umsetzung ansetzen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze um und schließe	NO
285	B3-S026	B3	f83r	B3-S026	cheedar	MC042	CHD+AR	cheedar	ZERO	von dort umsetzen	Führe es aus dem Vorrat oder am Ansatz aus: von dort umsetzen.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze von dort um, warte bis zum Absetzmaß, setze erneut um, gib eine Portion zu, halte bereit, führe den Ansatz von dort zur Zielstelle, sammle länger und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
286	B3-S026	B3	f83r	B3-S026	chldaiin	MC144	SHED+AIIN	chldaiin	ZERO	Absetzmaß	Führe es in der angegebenen Portion oder Stufe aus: Absetzmaß.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze von dort um, warte bis zum Absetzmaß, setze erneut um, gib eine Portion zu, halte bereit, führe den Ansatz von dort zur Zielstelle, sammle länger und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
287	B3-S026	B3	f83r	B3-S026	chedy	MC074	CHD+Y	dy	CH_ENTRY	laufenden Posten umsetzen	Führe es mit diesem laufenden Posten aus: laufenden Posten umsetzen.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze von dort um, warte bis zum Absetzmaß, setze erneut um, gib eine Portion zu, halte bereit, führe den Ansatz von dort zur Zielstelle, sammle länger und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
288	B3-S026	B3	f83r	B3-S026	qokain	MC017	OK+AIN	okain	Q_ENTRY	eine Portion zugeben	Führe es in der angegebenen Portion oder Stufe aus: eine Portion zugeben.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze von dort um, warte bis zum Absetzmaß, setze erneut um, gib eine Portion zu, halte bereit, führe den Ansatz von dort zur Zielstelle, sammle länger und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
289	B3-S026	B3	f83r	B3-S026	checthy	MC161	CTH+Y	cthy	CH_ENTRY	bereit	Führe es mit diesem laufenden Posten aus: bereit.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze von dort um, warte bis zum Absetzmaß, setze erneut um, gib eine Portion zu, halte bereit, führe den Ansatz von dort zur Zielstelle, sammle länger und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
290	B3-S026	B3	f83r	B3-S026	chealror	MC146	AL+OR	chealror	ZERO	Ansatz von dort zur Zielstelle	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz von dort zur Zielstelle.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze von dort um, warte bis zum Absetzmaß, setze erneut um, gib eine Portion zu, halte bereit, führe den Ansatz von dort zur Zielstelle, sammle länger und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
291	B3-S026	B3	f83r	B3-S026	solkeedy	MC045	SOLK+EE+CLOSE	olkeedy	S_ENTRY	länger sammeln; Schluss	Führe aus und beachte Dauer oder Endpunkt: länger sammeln; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze von dort um, warte bis zum Absetzmaß, setze erneut um, gib eine Portion zu, halte bereit, führe den Ansatz von dort zur Zielstelle, sammle länger und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
292	B3-S027	B3	f83r	B3-S027	qoteedy	MC173	OT+EE+CLOSE	qoteedy	ZERO	lange Folge; Schluss	Danach oder in demselben Gang: lange Folge; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Nimm die lange Folge und schließe	NO
293	B3-S028	B3	f83r	B3-S028	qokeey	MC002	OK+EE+Y	okeey	Q_ENTRY	länger ansetzen	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze länger, dann kurz an und schließe	NO
294	B3-S028	B3	f83r	B3-S028	qokedy	MC083	OK+E+CLOSE	qokedy	ZERO	kurz ansetzen; Schluss	Führe aus und beachte Dauer oder Endpunkt: kurz ansetzen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze länger, dann kurz an und schließe	NO
295	B3-S029	B3	f83r	B3-S029	sol	MC153	OL	ol	S_ENTRY	fortsetzen	Danach oder in demselben Gang: fortsetzen.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe weiter, nimm den ganzen Teilposten, setze kurz an und schließe.	NO
296	B3-S029	B3	f83r	B3-S029	cheeety	MC094	EEE+TY	cheeety	ZERO	ganzen Teilposten	Setze Maß, Portion oder Stufe: ganzen Teilposten.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe weiter, nimm den ganzen Teilposten, setze kurz an und schließe.	NO
297	B3-S029	B3	f83r	B3-S029	qokedy	MC083	OK+E+CLOSE	qokedy	ZERO	kurz ansetzen; Schluss	Führe aus und beachte Dauer oder Endpunkt: kurz ansetzen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Führe weiter, nimm den ganzen Teilposten, setze kurz an und schließe.	NO
298	B3-S030	B3	f83r	B3-S030	qoky	MC026	OK+Y	oky	Q_ENTRY	aktuellen Posten ansetzen	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze den Posten nach Sollmaß an, leite Wasser weiter, führe die Folgeumsetzung aus und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
299	B3-S030	B3	f83r	B3-S030	saiin	MC039	AIIN	aiin	S_ENTRY	Sollmaß	Setze Maß, Portion oder Stufe: Sollmaß.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze den Posten nach Sollmaß an, leite Wasser weiter, führe die Folgeumsetzung aus und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
300	B3-S030	B3	f83r	B3-S030	schedair	MC116	AIR	schedair	ZERO	Wasser weiterleiten	Nenne Quelle, Lauf, Auszug oder Ansatz: Wasser weiterleiten.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze den Posten nach Sollmaß an, leite Wasser weiter, führe die Folgeumsetzung aus und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
301	B3-S030	B3	f83r	B3-S030	otchedy	MC057	OT+CHD+CLOSE	otchedy	ZERO	nächsten Posten überführen; Schluss	Danach oder in demselben Gang: nächsten Posten überführen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze den Posten nach Sollmaß an, leite Wasser weiter, führe die Folgeumsetzung aus und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
302	B3-S031	B3	f83r	B3-S031	qokeedy	MC082	OK+EE+CLOSE	qokeedy	ZERO	länger ansetzen; Schluss	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze länger an und schließe	NO
303	B3-S032	B3	f83r	B3-S032	chedain	MC145	CHD+AIN	chedain	ZERO	Portion umsetzen	Führe es in der angegebenen Portion oder Stufe aus: Portion umsetzen.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze eine Portion um, stelle ein kurzes Folgemaß und danach das Folgemaß ein, führe die kurze Folge aus und schließe.	NO
304	B3-S032	B3	f83r	B3-S032	chedy	MC074	CHD+Y	dy	CH_ENTRY	laufenden Posten umsetzen	Führe es mit diesem laufenden Posten aus: laufenden Posten umsetzen.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze eine Portion um, stelle ein kurzes Folgemaß und danach das Folgemaß ein, führe die kurze Folge aus und schließe.	NO
305	B3-S032	B3	f83r	B3-S032	qotedaiin	MC018	OT+E+AIIN	qotedaiin	ZERO	kurzes Folgemass	Danach oder in demselben Gang: kurzes Folgemass.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze eine Portion um, stelle ein kurzes Folgemaß und danach das Folgemaß ein, führe die kurze Folge aus und schließe.	NO
306	B3-S032	B3	f83r	B3-S032	otaiin	MC060	OT+AIIN	otaiin	ZERO	Folgemaß	Danach oder in demselben Gang: Folgemaß.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze eine Portion um, stelle ein kurzes Folgemaß und danach das Folgemaß ein, führe die kurze Folge aus und schließe.	NO
307	B3-S032	B3	f83r	B3-S032	otedy	MC135	OT+E+CLOSE	otedy	ZERO	kurze Folge; Schluss	Danach oder in demselben Gang: kurze Folge; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Setze eine Portion um, stelle ein kurzes Folgemaß und danach das Folgemaß ein, führe die kurze Folge aus und schließe.	NO
308	B3-S033	B3	f83r	B3-S033	ldy	MC004	L+CLOSE	ldy	ZERO	abziehen; Ende	Setze die gelernte Fachkarte: abziehen; Ende.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Ziehe ab und schließe	NO
309	B3-S034	B3	f83r	B3-S034	soiiin	MC033	IIN	oiiin	S_ENTRY	Sollstufe	Setze Maß, Portion oder Stufe: Sollstufe.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Bringe auf Sollstufe, halte bereit, trenne einen Teil ab, stelle das Folgemaß ein, führe zur unteren Zielstelle, lass absetzen und schließe.	NO
310	B3-S034	B3	f83r	B3-S034	checthy	MC161	CTH+Y	cthy	CH_ENTRY	bereit	Führe es mit diesem laufenden Posten aus: bereit.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Bringe auf Sollstufe, halte bereit, trenne einen Teil ab, stelle das Folgemaß ein, führe zur unteren Zielstelle, lass absetzen und schließe.	NO
311	B3-S034	B3	f83r	B3-S034	chety	MC086	PARTITION+TY	ty	CH_ENTRY	Teil abtrennen	Führe es in der angegebenen Portion oder Stufe aus: Teil abtrennen.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Bringe auf Sollstufe, halte bereit, trenne einen Teil ab, stelle das Folgemaß ein, führe zur unteren Zielstelle, lass absetzen und schließe.	NO
