component_recipe	portable_core_reading_de	register_count	registers	portability_tier	event_count	page_count	surface_count	surfaces	inherited_action_event_count	inherited_argument_event_count	context_bound_event_count	context_mode	source_section_t_example	herbal_example	biological_example	celestial_example	pharma_example
OT+AR	DANACH · AUSGANG	3	HERBAL|BIOLOGICAL|CELESTIAL	THREE_REGISTERS	22	10	2	otar|qotar	22	22	22	FULLY_CONTEXT_BOUND	NONE	Danach im laufenden Gang stelle den Pflanzenposten [wie zuvor] ein; vom Ausgangsmaterial.	Danach im laufenden Gang bearbeite den Stationsposten [wie zuvor]; von der Ausgangsstation.	Danach im laufenden Gang nimm den Positionsposten [wie zuvor] auf; von der Ausgangsposition.	NONE
OT+CH+OL	DANACH · NEHMEN · FORTSETZEN	3	SOURCE_SECTION_T|HERBAL|PHARMA	THREE_REGISTERS	9	7	2	otchol|qotchol	0	9	9	FULLY_CONTEXT_BOUND	Danach und weiter entnimm den laufenden Eintrag [wie zuvor].	Danach und weiter nimm den Pflanzenposten [wie zuvor].	NONE	NONE	Danach und weiter nimm den Drogenposten [wie zuvor].
OT+CH+Y	DANACH · NEHMEN · POSTEN	3	HERBAL|BIOLOGICAL|CELESTIAL	THREE_REGISTERS	4	4	1	otchy	0	0	0	FULLY_SELF_CONTAINED	NONE	Danach nimm den Pflanzenposten.	Danach entnimm den Stationsposten.	Danach nimm den Positionsposten auf.	NONE
OT+CHD+DY	DANACH · BEARBEITEN · SCHLUSS	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	5	2	3	otchdy|otchedy|qotchedy	0	5	5	FULLY_CONTEXT_BOUND	NONE	Danach bearbeite den Pflanzenposten [wie zuvor]; schließe den Schritt.	Danach bearbeite den Stationsposten [wie zuvor]; schließe den Schritt.	NONE	NONE
OT+E+AIIN	DANACH · GRAD I · WERT	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	2	2	1	qotedaiin	2	0	2	FULLY_CONTEXT_BOUND	NONE	Danach im laufenden Gang bearbeite den Arbeitswert; auf Grad I.	Danach im laufenden Gang bearbeite den Stationswert; auf Grad I.	NONE	NONE
OT+E+DY	DANACH · GRAD I · SCHLUSS	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	34	8	2	otedy|qotedy	34	34	34	FULLY_CONTEXT_BOUND	NONE	Danach im laufenden Gang bearbeite den Pflanzenposten [wie zuvor]; auf Grad I; schließe den Schritt.	Danach im laufenden Gang setze den Stationsanteil [wie zuvor] im Stationsgang an; auf Grad I; schließe den Schritt.	NONE	NONE
OT+E+O	DANACH · GRAD I · AUSFÜHRUNG	2	CELESTIAL|PHARMA	TWO_REGISTERS	4	2	2	oteo|qoteo	4	4	4	FULLY_CONTEXT_BOUND	NONE	NONE	NONE	Danach im laufenden Gang stelle die Positionseinheit [wie zuvor] ein; auf Grad I und als Ausführung.	Danach im laufenden Gang halte den Drogenanteil [wie zuvor]; auf Grad I und als Ausführung.
OT+E+O+S_ADDR	DANACH · GRAD I · AUSFÜHRUNG · HIER	3	SOURCE_SECTION_T|CELESTIAL|PHARMA	THREE_REGISTERS	7	3	1	oteos	6	6	6	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	Danach im laufenden Gang wähle den laufenden Eintrag [wie zuvor]; auf Grad I und als Ausführung; an der bezeichneten Stelle.	NONE	NONE	Danach im laufenden Gang setze die Positionseinheit [wie zuvor]; auf Grad I und als Ausführung; an der bezeichneten Stelle.	Danach im laufenden Gang nimm den Drogenanteil [wie zuvor]; auf Grad I und als Ausführung; an der bezeichneten Stelle.
OT+E+O+Y	DANACH · GRAD I · AUSFÜHRUNG · POSTEN	2	CELESTIAL|PHARMA	TWO_REGISTERS	4	2	1	oteody	4	0	4	FULLY_CONTEXT_BOUND	NONE	NONE	NONE	Danach im laufenden Gang stelle den Positionsposten ein; auf Grad I und als Ausführung.	Danach im laufenden Gang nimm den Drogenposten; auf Grad I und als Ausführung.
OT+E+OL	DANACH · GRAD I · FORTSETZEN	4	SOURCE_SECTION_T|BIOLOGICAL|CELESTIAL|PHARMA	FOUR_REGISTERS	6	5	2	oteol|qoteol	6	6	6	FULLY_CONTEXT_BOUND	Danach und weiter im laufenden Gang halte den laufenden Eintrag [wie zuvor] fest; auf Grad I.	NONE	Danach und weiter im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad I.	Danach und weiter im laufenden Gang wähle die Positionseinheit [wie zuvor]; auf Grad I.	Danach und weiter im laufenden Gang nimm den Drogenposten [wie zuvor]; auf Grad I.
OT+E+OR	DANACH · GRAD I · EINHEIT	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	2	2	2	oteor|qoteor	2	0	2	FULLY_CONTEXT_BOUND	NONE	NONE	Danach im laufenden Gang bearbeite die Stationseinheit; auf Grad I.	NONE	Danach im laufenden Gang nimm die Ansatzeinheit; auf Grad I.
OT+E+Y	DANACH · GRAD I · POSTEN	3	BIOLOGICAL|CELESTIAL|PHARMA	THREE_REGISTERS	16	6	2	otey|qotey	16	0	16	FULLY_CONTEXT_BOUND	NONE	NONE	Danach im laufenden Gang führe den Stationsposten zu; auf Grad I.	Danach im laufenden Gang stelle den Positionsposten ein; auf Grad I.	Danach im laufenden Gang wähle den Drogenposten; auf Grad I.
OT+EE+DY	DANACH · GRAD II · SCHLUSS	2	BIOLOGICAL|CELESTIAL	TWO_REGISTERS	26	7	2	oteedy|qoteedy	26	26	26	FULLY_CONTEXT_BOUND	NONE	NONE	Danach im laufenden Gang setze den Stationsanteil [wie zuvor] im Stationsgang an; auf Grad II; schließe den Schritt.	Danach im laufenden Gang bearbeite den Positionsposten [wie zuvor]; auf Grad II; schließe den Schritt.	NONE
OT+EE+O+DY	DANACH · GRAD II · AUSFÜHRUNG · SCHLUSS	2	CELESTIAL|PHARMA	TWO_REGISTERS	2	2	2	oteeody|qoteeody	2	2	2	FULLY_CONTEXT_BOUND	NONE	NONE	NONE	Danach im laufenden Gang halte den Positionsposten [wie zuvor]; auf Grad II und als Ausführung; schließe den Schritt.	Danach im laufenden Gang stelle den Drogenposten [wie zuvor] ein; auf Grad II und als Ausführung; schließe den Schritt.
OT+EE+Y	DANACH · GRAD II · POSTEN	3	SOURCE_SECTION_T|BIOLOGICAL|CELESTIAL	THREE_REGISTERS	22	8	3	oteey|otoees|qoteey	19	0	19	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	Danach im laufenden Gang wähle den laufenden Eintrag; auf Grad II.	NONE	Danach im laufenden Gang setze den Stationsposten im Stationsgang an; auf Grad II.	Danach im laufenden Gang ordne den Positionsposten zu; auf Grad II.	NONE
OT+O+DY	DANACH · AUSFÜHRUNG · SCHLUSS	3	HERBAL|BIOLOGICAL|PHARMA	THREE_REGISTERS	4	3	2	otody|qotody	4	3	4	FULLY_CONTEXT_BOUND	NONE	Danach im laufenden Gang setze den Arbeitswert [wie zuvor] im Arbeitsgang an; als Ausführung; schließe den Schritt.	Danach im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an; als Ausführung; schließe den Schritt.	NONE	Danach im laufenden Gang halte; als Ausführung; schließe den Schritt.
OT+OL	DANACH · FORTSETZEN	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	FOUR_REGISTERS	9	8	2	otol|qotol	9	9	9	FULLY_CONTEXT_BOUND	Danach und weiter im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu.	Danach und weiter im laufenden Gang nimm die Arbeitseinheit [wie zuvor].	Danach und weiter im laufenden Gang halte den Stationsanteil [wie zuvor].	NONE	Danach und weiter im laufenden Gang gib den Drogenposten [wie zuvor] zu.
OT+OR	DANACH · EINHEIT	3	HERBAL|BIOLOGICAL|CELESTIAL	THREE_REGISTERS	8	4	2	otor|qotor	8	0	8	FULLY_CONTEXT_BOUND	NONE	Danach im laufenden Gang stelle die Arbeitseinheit ein.	Danach im laufenden Gang setze die Stationseinheit ein.	Danach im laufenden Gang nimm die Positionseinheit auf.	NONE
OT+Y	DANACH · POSTEN	3	HERBAL|BIOLOGICAL|CELESTIAL	THREE_REGISTERS	33	15	4	otchey|oty|qotchy|qoty	33	0	33	FULLY_CONTEXT_BOUND	NONE	Danach im laufenden Gang stelle den Pflanzenposten ein.	Danach im laufenden Gang stelle den Stationsposten ein.	Danach im laufenden Gang ordne den Positionsposten zu.	NONE
P+SH+OL	EINSETZEN · HALTEN · FORTSETZEN	2	SOURCE_SECTION_T|PHARMA	TWO_REGISTERS	2	2	1	pshol	0	1	1	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	Weiter setze den Teilwert [wie zuvor] ein und halte den Teilwert [wie zuvor] fest.	NONE	NONE	NONE	Weiter setze ein und halte.
R	MARKIEREN	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	ALL_FIVE_REGISTERS	21	13	1	r	0	20	20	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	Kennzeichne den laufenden Eintrag [wie zuvor].	Markiere die Arbeitseinheit [wie zuvor].	Markiere den Stationsposten [wie zuvor].	Markiere die Positionseinheit [wie zuvor].	Markiere den Drogenposten [wie zuvor].
R+AIIN	MARKIEREN · WERT	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	8	4	1	raiin	0	0	0	FULLY_SELF_CONTAINED	NONE	Markiere den Arbeitswert.	Markiere den Stationswert.	NONE	NONE
R+AL	MARKIEREN · ZIELORT	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	2	2	1	ral	0	2	2	FULLY_CONTEXT_BOUND	NONE	NONE	Markiere den Stationsposten [wie zuvor]; zur Zielstation.	NONE	Markiere die Ansatzeinheit [wie zuvor]; zum Zielgefäß.
R+OR	MARKIEREN · EINHEIT	2	BIOLOGICAL|CELESTIAL	TWO_REGISTERS	2	2	1	ror	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	Markiere die Stationseinheit.	Markiere die Positionseinheit.	NONE
S	WÄHLEN	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	ALL_FIVE_REGISTERS	38	17	1	s	0	37	37	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	Wähle den laufenden Eintrag [wie zuvor].	Wähle den Arbeitswert [wie zuvor].	Wähle den Stationsanteil [wie zuvor].	Wähle.	Wähle den Mengenwert [wie zuvor].
S+AIIN	WÄHLEN · WERT	3	BIOLOGICAL|CELESTIAL|PHARMA	THREE_REGISTERS	21	10	2	saii|saiin	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	Wähle den Stationswert.	Wähle den Positionswert.	Wähle den Mengenwert.
S+AIN	WÄHLEN · ANTEIL	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	FOUR_REGISTERS	23	11	1	sain	0	0	0	FULLY_SELF_CONTAINED	NONE	Wähle den Materialanteil.	Wähle den Stationsanteil.	Wähle den Sektoranteil.	Wähle den Drogenanteil.
S+AIR	WÄHLEN · BAHN	2	SOURCE_SECTION_T|BIOLOGICAL	TWO_REGISTERS	2	2	1	sair	0	2	2	FULLY_CONTEXT_BOUND	Wähle die Eintragseinheit [wie zuvor]; entlang der Lesebahn.	NONE	Wähle den Stationsposten [wie zuvor]; entlang der Stationsbahn.	NONE	NONE
S+AL	WÄHLEN · ZIELORT	2	BIOLOGICAL|CELESTIAL	TWO_REGISTERS	10	7	1	sal	0	10	10	FULLY_CONTEXT_BOUND	NONE	NONE	Wähle den Stationsposten [wie zuvor]; zur Zielstation.	Wähle den Positionswert [wie zuvor]; zur Zielposition.	NONE
S+AM_ADDR	WÄHLEN · HIER	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	3	2	1	sam	0	3	3	FULLY_CONTEXT_BOUND	NONE	NONE	Wähle den Stationsposten [wie zuvor]; an der bezeichneten Stelle.	NONE	Wähle den Drogenposten [wie zuvor]; an der bezeichneten Stelle.
S+AR	WÄHLEN · AUSGANG	3	HERBAL|BIOLOGICAL|PHARMA	THREE_REGISTERS	15	10	2	sar|schar	0	15	15	FULLY_CONTEXT_BOUND	NONE	Wähle den Pflanzenposten [wie zuvor]; vom Ausgangsmaterial.	Wähle den Stationsanteil [wie zuvor]; von der Ausgangsstation.	NONE	Wähle den Mengenwert [wie zuvor]; vom Ausgangsgefäß.
S+A_ADDR+L+SH+E+Y	WÄHLEN · HIER · VERBINDUNG · HALTEN · GRAD I · POSTEN	2	BIOLOGICAL|CELESTIAL	TWO_REGISTERS	2	2	2	okalshey|salshey	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	Wähle den Stationsposten und halte den Stationsposten; über die sichtbare Verbindung; auf Grad I; an der bezeichneten Stelle.	Wähle den Positionsposten und halte den Positionsposten; über die Ringverbindung; auf Grad I; an der bezeichneten Stelle.	NONE
S+L	WÄHLEN · VERBINDUNG	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	2	2	1	sl	0	2	2	FULLY_CONTEXT_BOUND	NONE	Wähle den Pflanzenposten [wie zuvor]; über die Verbindung im Pflanzenartikel.	Wähle den Stationswert [wie zuvor]; über die sichtbare Verbindung.	NONE	NONE
S+O+DA+R	WÄHLEN · AUSFÜHRUNG · ZWEITE STUFE · MARKIEREN	2	BIOLOGICAL|CELESTIAL	TWO_REGISTERS	2	2	1	sodar	0	2	2	FULLY_CONTEXT_BOUND	NONE	NONE	Wähle den Stationsposten [wie zuvor] und markiere den Stationsposten [wie zuvor]; als Ausführung und auf der zweiten Stufe.	Wähle den Sektoranteil [wie zuvor] und markiere den Sektoranteil [wie zuvor]; als Ausführung und auf der zweiten Stufe.	NONE
S+O+IIN	WÄHLEN · AUSFÜHRUNG · STUFE	2	SOURCE_SECTION_T|BIOLOGICAL	TWO_REGISTERS	3	3	2	soiin|soin	0	2	2	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	Wähle den laufenden Eintrag [wie zuvor]; als Ausführung und auf der bezeichneten Stufe.	NONE	Wähle; als Ausführung und auf der bezeichneten Stufe.	NONE	NONE
S+O+LOCAL_CHAR_I+IIN	WÄHLEN · AUSFÜHRUNG · VARIANTE · STUFE	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	2	2	1	soiiin	0	2	2	FULLY_CONTEXT_BOUND	NONE	NONE	Wähle den Stationsposten [wie zuvor]; als Ausführung und auf der bezeichneten Stufe; mit der lokalen Variante.	NONE	Wähle den Mengenwert [wie zuvor]; als Ausführung und auf der bezeichneten Stufe; mit der lokalen Variante.
S+OR	WÄHLEN · EINHEIT	3	HERBAL|BIOLOGICAL|CELESTIAL	THREE_REGISTERS	9	7	2	sor|sosor	0	0	0	FULLY_SELF_CONTAINED	NONE	Wähle die Arbeitseinheit.	Wähle die Stationseinheit.	Wähle die Positionseinheit.	NONE
S+OT+AIIN	WÄHLEN · DANACH · WERT	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	2	2	2	sotaiin|sotchaiin	0	0	0	FULLY_SELF_CONTAINED	NONE	Danach wähle den Arbeitswert.	Danach wähle den Stationswert.	NONE	NONE
S+SH+E+Y	WÄHLEN · HALTEN · GRAD I · POSTEN	2	BIOLOGICAL|CELESTIAL	TWO_REGISTERS	2	2	1	sshey	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	Wähle den Stationsposten und halte den Stationsposten; auf Grad I.	Wähle den Positionsposten und halte den Positionsposten; auf Grad I.	NONE
SH	HALTEN	3	SOURCE_SECTION_T|HERBAL|BIOLOGICAL	THREE_REGISTERS	4	4	1	sh	0	4	4	FULLY_CONTEXT_BOUND	Halte den laufenden Eintrag [wie zuvor] fest.	Halte den Pflanzenposten [wie zuvor].	Halte den Stationswert [wie zuvor].	NONE	NONE
SH+AIIN	HALTEN · WERT	2	SOURCE_SECTION_T|HERBAL	TWO_REGISTERS	4	3	1	shaiin	0	0	0	FULLY_SELF_CONTAINED	Halte den Kennwert fest.	Halte den Arbeitswert.	NONE	NONE	NONE
SH+AR	HALTEN · AUSGANG	3	SOURCE_SECTION_T|HERBAL|PHARMA	THREE_REGISTERS	3	3	1	shar	0	2	2	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	Halte den Kennwert [wie zuvor] fest; von der Ausgangszeile.	Halte den Materialanteil [wie zuvor]; vom Ausgangsmaterial.	NONE	NONE	Halte; vom Ausgangsgefäß.
SH+CH+K+E+Y	HALTEN · NEHMEN · GEBEN · GRAD I · POSTEN	2	SOURCE_SECTION_T|BIOLOGICAL	TWO_REGISTERS	3	3	1	shckhey	0	0	0	FULLY_SELF_CONTAINED	Halte den laufenden Eintrag fest, entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad I.	NONE	Halte den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	NONE	NONE
SH+CH+T+Y	HALTEN · NEHMEN · EINSTELLEN · POSTEN	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	5	3	1	shcthy	0	0	0	FULLY_SELF_CONTAINED	NONE	Halte den Pflanzenposten, nimm den Pflanzenposten und stelle den Pflanzenposten ein.	Halte den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	NONE	NONE
SH+E	HALTEN · GRAD I	2	SOURCE_SECTION_T|CELESTIAL	TWO_REGISTERS	2	2	1	she	0	2	2	FULLY_CONTEXT_BOUND	Halte den laufenden Eintrag [wie zuvor] fest; auf Grad I.	NONE	NONE	Halte den Positionswert [wie zuvor]; auf Grad I.	NONE
SH+E+AL	HALTEN · GRAD I · ZIELORT	2	BIOLOGICAL|CELESTIAL	TWO_REGISTERS	5	4	2	sheal|shedal	0	5	5	FULLY_CONTEXT_BOUND	NONE	NONE	Halte den Stationsposten [wie zuvor]; zur Zielstation; auf Grad I.	Halte die Positionseinheit [wie zuvor]; zur Zielposition; auf Grad I.	NONE
SH+E+AR	HALTEN · GRAD I · AUSGANG	4	SOURCE_SECTION_T|BIOLOGICAL|CELESTIAL|PHARMA	FOUR_REGISTERS	6	5	1	shear	0	6	6	FULLY_CONTEXT_BOUND	Halte den Teilwert [wie zuvor] fest; von der Ausgangszeile; auf Grad I.	NONE	Halte den Stationsanteil [wie zuvor]; von der Ausgangsstation; auf Grad I.	Halte den Positionswert [wie zuvor]; von der Ausgangsposition; auf Grad I.	Halte die Ansatzeinheit [wie zuvor]; vom Ausgangsgefäß; auf Grad I.
SH+E+DY	HALTEN · GRAD I · SCHLUSS	3	HERBAL|BIOLOGICAL|PHARMA	THREE_REGISTERS	110	9	2	dshedy|shedy	0	110	110	FULLY_CONTEXT_BOUND	NONE	Halte den Materialanteil [wie zuvor]; auf Grad I; schließe den Schritt.	Halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	NONE	Halte den Drogenanteil [wie zuvor]; auf Grad I; schließe den Schritt.
SH+E+D_ADDR+AR	HALTEN · GRAD I · HIER · AUSGANG	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	2	2	1	shedar	0	2	2	FULLY_CONTEXT_BOUND	NONE	Halte den Pflanzenposten [wie zuvor]; vom Ausgangsmaterial; auf Grad I; an der bezeichneten Stelle.	Halte den Stationsposten [wie zuvor]; von der Ausgangsstation; auf Grad I; an der bezeichneten Stelle.	NONE	NONE
SH+E+K+Y	HALTEN · GRAD I · GEBEN · POSTEN	3	SOURCE_SECTION_T|BIOLOGICAL|CELESTIAL	THREE_REGISTERS	3	3	1	sheky	0	0	0	FULLY_SELF_CONTAINED	Halte den laufenden Eintrag fest und ordne den laufenden Eintrag zu; auf Grad I.	NONE	Halte den Stationsposten und führe den Stationsposten zu; auf Grad I.	Halte den Positionsposten und ordne den Positionsposten zu; auf Grad I.	NONE
SH+E+O	HALTEN · GRAD I · AUSFÜHRUNG	3	SOURCE_SECTION_T|CELESTIAL|PHARMA	THREE_REGISTERS	5	4	1	sheo	0	4	4	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	Halte den Teilwert [wie zuvor] fest; auf Grad I und als Ausführung.	NONE	NONE	Halte die Positionseinheit [wie zuvor]; auf Grad I und als Ausführung.	Halte den Drogenposten [wie zuvor]; auf Grad I und als Ausführung.
SH+E+O+D_ADDR+Y	HALTEN · GRAD I · AUSFÜHRUNG · HIER · POSTEN	3	HERBAL|CELESTIAL|PHARMA	THREE_REGISTERS	5	5	2	sheody|sheshdy	0	0	0	FULLY_SELF_CONTAINED	NONE	Halte den Pflanzenposten; auf Grad I und als Ausführung; an der bezeichneten Stelle.	NONE	Halte den Positionsposten; auf Grad I und als Ausführung; an der bezeichneten Stelle.	Halte den Drogenposten; auf Grad I und als Ausführung; an der bezeichneten Stelle.
SH+E+OK+Y	HALTEN · GRAD I · SETZEN · POSTEN	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	2	2	1	sheoky	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	Halte den Stationsposten und setze den Stationsposten im Stationsgang an; auf Grad I.	NONE	Halte den Drogenposten und setze den Drogenposten als Ansatz an; auf Grad I.
SH+E+OL	HALTEN · GRAD I · FORTSETZEN	3	BIOLOGICAL|CELESTIAL|PHARMA	THREE_REGISTERS	15	9	3	dsheol|sheol|yksheol	0	13	13	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	NONE	NONE	Weiter halte den Stationsanteil [wie zuvor]; auf Grad I.	Weiter halte den Positionsposten [wie zuvor]; auf Grad I.	Weiter halte den Mengenwert [wie zuvor]; auf Grad I.
SH+E+OR	HALTEN · GRAD I · EINHEIT	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	5	4	1	sheor	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	Halte die Stationseinheit; auf Grad I.	NONE	Halte die Ansatzeinheit; auf Grad I.
SH+E+Y	HALTEN · GRAD I · POSTEN	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	ALL_FIVE_REGISTERS	44	14	3	shey|sheysy|tshey	0	0	0	FULLY_SELF_CONTAINED	Halte den laufenden Eintrag fest; auf Grad I.	Halte den Pflanzenposten; auf Grad I.	Halte den Stationsposten; auf Grad I.	Halte den Positionsposten; auf Grad I.	Halte den Drogenposten; auf Grad I.
SH+EE+DY	HALTEN · GRAD II · SCHLUSS	3	BIOLOGICAL|CELESTIAL|PHARMA	THREE_REGISTERS	17	9	1	sheedy	0	16	16	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	NONE	NONE	Halte den Stationsposten [wie zuvor]; auf Grad II; schließe den Schritt.	Halte den Positionsposten [wie zuvor]; auf Grad II; schließe den Schritt.	Halte die Ansatzeinheit [wie zuvor]; auf Grad II; schließe den Schritt.
SH+EE+OL	HALTEN · GRAD II · FORTSETZEN	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	6	4	3	cheeol|sheeol|sheeoldy	0	6	6	FULLY_CONTEXT_BOUND	NONE	NONE	Weiter halte den Stationsposten [wie zuvor]; auf Grad II.	NONE	Weiter halte den Drogenposten [wie zuvor]; auf Grad II.
SH+EE+S_ADDR	HALTEN · GRAD II · HIER	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	4	3	1	chees	0	4	4	FULLY_CONTEXT_BOUND	NONE	NONE	Halte die Stationseinheit [wie zuvor]; auf Grad II; an der bezeichneten Stelle.	NONE	Halte den Drogenposten [wie zuvor]; auf Grad II; an der bezeichneten Stelle.
SH+EE+Y	HALTEN · GRAD II · POSTEN	3	BIOLOGICAL|CELESTIAL|PHARMA	THREE_REGISTERS	43	12	2	cheey|sheey	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	Halte den Stationsposten; auf Grad II.	Halte den Positionsposten; auf Grad II.	Halte den Drogenposten; auf Grad II.
SH+K+Y	HALTEN · GEBEN · POSTEN	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	3	3	2	shkchy|shky	0	0	0	FULLY_SELF_CONTAINED	NONE	Halte den Pflanzenposten und gib den Pflanzenposten zu.	Halte den Stationsposten und führe den Stationsposten zu.	NONE	NONE
SH+O	HALTEN · AUSFÜHRUNG	3	SOURCE_SECTION_T|HERBAL|CELESTIAL	THREE_REGISTERS	10	4	1	sho	0	10	10	FULLY_CONTEXT_BOUND	Halte den laufenden Eintrag [wie zuvor] fest; als Ausführung.	Halte den Arbeitswert [wie zuvor]; als Ausführung.	NONE	Halte den Positionsposten [wie zuvor]; als Ausführung.	NONE
SH+O+DY	HALTEN · AUSFÜHRUNG · SCHLUSS	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	FOUR_REGISTERS	7	4	2	dshody|shody	0	6	6	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	Halte den laufenden Eintrag [wie zuvor] fest; als Ausführung; schließe den Schritt.	Halte; als Ausführung; schließe den Schritt.	Halte den Stationswert [wie zuvor]; als Ausführung; schließe den Schritt.	NONE	Halte den Drogenanteil [wie zuvor]; als Ausführung; schließe den Schritt.
SH+O+D_ADDR	HALTEN · AUSFÜHRUNG · HIER	2	SOURCE_SECTION_T|HERBAL	TWO_REGISTERS	2	2	1	shod	0	2	2	FULLY_CONTEXT_BOUND	Halte den Kennwert [wie zuvor] fest; als Ausführung; an der bezeichneten Stelle.	Halte den Pflanzenposten [wie zuvor]; als Ausführung; an der bezeichneten Stelle.	NONE	NONE	NONE
SH+O+S	HALTEN · AUSFÜHRUNG · WÄHLEN	2	SOURCE_SECTION_T|HERBAL	TWO_REGISTERS	2	2	1	shos	0	2	2	FULLY_CONTEXT_BOUND	Halte den Kennwert [wie zuvor] fest und wähle den Kennwert [wie zuvor]; als Ausführung.	Halte den Pflanzenposten [wie zuvor] und wähle den Pflanzenposten [wie zuvor]; als Ausführung.	NONE	NONE	NONE
SH+O+Y	HALTEN · AUSFÜHRUNG · POSTEN	2	SOURCE_SECTION_T|PHARMA	TWO_REGISTERS	3	3	1	shoy	0	0	0	FULLY_SELF_CONTAINED	Halte den laufenden Eintrag fest; als Ausführung.	NONE	NONE	NONE	Halte den Drogenposten; als Ausführung.
SH+OL	HALTEN · FORTSETZEN	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL	FOUR_REGISTERS	18	12	1	shol	0	17	17	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	Weiter halte den Kennwert [wie zuvor] fest.	Weiter halte den Pflanzenposten [wie zuvor].	Weiter halte den Stationsposten [wie zuvor].	Weiter halte den Positionsposten [wie zuvor].	NONE
SH+OL+D_ADDR+Y	HALTEN · FORTSETZEN · HIER · POSTEN	3	SOURCE_SECTION_T|HERBAL|PHARMA	THREE_REGISTERS	3	3	1	sholdy	0	0	0	FULLY_SELF_CONTAINED	Weiter halte den laufenden Eintrag fest; an der bezeichneten Stelle.	Weiter halte den Pflanzenposten; an der bezeichneten Stelle.	NONE	NONE	Weiter halte den Drogenposten; an der bezeichneten Stelle.
SH+OR	HALTEN · EINHEIT	3	HERBAL|BIOLOGICAL|PHARMA	THREE_REGISTERS	12	9	1	shor	0	0	0	FULLY_SELF_CONTAINED	NONE	Halte die Arbeitseinheit.	Halte die Stationseinheit.	NONE	Halte die Ansatzeinheit.
T+AIIN	EINSTELLEN · WERT	3	HERBAL|BIOLOGICAL|PHARMA	THREE_REGISTERS	5	5	1	taiin	0	0	0	FULLY_SELF_CONTAINED	NONE	Stelle den Arbeitswert ein.	Stelle den Stationswert ein.	NONE	Stelle den Mengenwert ein.
T+AIN	EINSTELLEN · ANTEIL	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	2	2	2	tain|tdain	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	Stelle den Stationsanteil ein.	NONE	Stelle den Drogenanteil ein.
