rank	priority_tier	candidate_page_host	exact_card_types	events_on_ten_pages	surface_cards_and_tuple_ids	current_V43_defaults	shared_semantic_intersection	formal_coordinates_per_card	proposed_form_rule	counterevidence_or_exception	confidence	status
126	5	raly	1	1	raly [3e9c7f217843b588489d]	die erste Öffnung	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	3e9c7f217843b588489d:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
127	5	rol	1	1	rol [1496a731803a9f48d2e1]	bevor es abkühlt	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	1496a731803a9f48d2e1:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
128	5	s	1	1	ches [db729b598e89e11452e0]	zu gleichen Anteilen	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	db729b598e89e11452e0:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=che	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
129	5	she	1	1	dshedy [cbb42a4fe68068325d6b]	gib sauberes Wasser hinzu und beende den Schritt	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	cbb42a4fe68068325d6b:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=d	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
130	5	sheol	1	1	dsheol [74c76d589d44120f647b]	wende es an der markierten Stelle an	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	74c76d589d44120f647b:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=d	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
131	5	shey	1	1	tshey [d4a31dbcf1ed6d9e5aa9]	beginne die Spülung	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	d4a31dbcf1ed6d9e5aa9:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=t	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
132	5	shkch	1	1	sshkchdy [54e32e9c1414b20640e9]	halte es warm und beende den Schritt	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	54e32e9c1414b20640e9:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=1;B3=0;WRAPPER_EXAMPLE=s	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
133	5	shol	1	1	tshol [953ad19b79517fc8a211]	sammle die Wurzel im Frühjahr	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	953ad19b79517fc8a211:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=t	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
134	5	ycheor	1	1	ycheor [7249edc4df3419c26999]	sie wächst auf feuchtem Wiesengrund	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	7249edc4df3419c26999:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
135	5	ykan	1	1	ykan [d929a14ec45749b2e805]	in Weißwein	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	d929a14ec45749b2e805:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
136	5	ytey	1	1	ytey [a7af89ab31ce5e247395]	fülle danach das Gefäß	NUR LOKALER V43-DEFAULT; KEINE FAMILIEN-SCHNITTMENGE PRUEFBAR	a7af89ab31ce5e247395:FRAME=NONE;INNER_D=0;RIGHT=NONE;DY=0;B3=0;WRAPPER_EXAMPLE=NONE	PAGE_HOST ist inventarisiert; mangels mehrerer semantisch unabhaengiger Karten keine produktive Stammregel ableitbar.	Einzelkarte oder nicht manuell kalibrierte Kleinfamilie; V43-Bedeutung wurde kontextuell erzwungen.	.10	INVENTORY_ONLY_NO_STEM_CLAIM
