bath_action_ordinal	source_event_id	action_slot_id	statement_id	physical_page	locus	surface	component_recipe	upstream_selection_route	typing_card_id	reference_scope_card_id	typing_token	scope_source_pointer	reference_mode	object_class	object_lemma_de	grammatical_gender	determiner_de	rendered_object_np_de	participant_count	selected_participant_position	participant_np_sequence_de	bath_frame	modifier_id_sequence	modifier_root_sequence	modifier_group_count	modifier_suffix_de	gdt595_clause_de	gdt596_reconstructed_clause_de	exact_replay	host_attachment_rival	default_survives_with_rival	guard
99	G407-E2639	RUNNING:G407-E2639@2	G407-S382	f77r	f77r.39	lsheey	L+SH+EE+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_BLOCKED_STATION	HOST:G407-E2639:RUNNING:G407-E2639@4	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	1	1	den Stationsansatz	BAD	M04_GRADE_II|M14_CONTACT	EE|L	2	 auf Grad II und über den Stationskontakt oder die Leitung	Halte den Stationsansatz im Bad auf Grad II und über den Stationskontakt oder die Leitung	Halte den Stationsansatz im Bad auf Grad II und über den Stationskontakt oder die Leitung	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
100	G407-E2641	RUNNING:G407-E2641@1	G407-S382	f77r	f77r.39	sheedy	SH+EE+DY	INTERVENING_OBJECT_HANDOFF	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	LEFT_INHERIT_STATION	HANDOFF:G407-E2640:RUNNING:G407-E2640@1	ANAPHORIC	STATION	Stationsansatz	MASCULINE	denselben	denselben Stationsansatz	1	1	denselben Stationsansatz	BAD	M04_GRADE_II	EE	1	 auf Grad II	Halte denselben Stationsansatz im Bad auf Grad II	Halte denselben Stationsansatz im Bad auf Grad II	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
101	G407-E2647	RUNNING:G407-E2647@1	G407-S384	f77r	f77r.40	sheeol	SH+EE+OL	RESET_BODY_FIRST_WITHOUT_NONMEDIUM_PARTICIPANT	T05_BODY_FIRST_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	BODY_FIRST_DEFAULT	DEFAULT:BODY	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M01_FILL	AIIN_FILL	1	 bei der angegebenen Füllung	Halte den Körper im Bad bei der angegebenen Füllung	Halte den Körper im Bad bei der angegebenen Füllung	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
102	G407-E2649	RUNNING:G407-E2649@1	G407-S384	f77r	f77r.40	shody	SH+O+DY	BODY_BLOCKER_STATION	T02_BLOCKER_STATION	Q03_LOCAL_OR_DEFAULT_DEFINITE	BLOCKER_STATION	BLOCKER:O	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	1	1	den Stationsansatz	BAD	M02_APPLY	O	1	 in Anwendungsform	Halte den Stationsansatz im Bad in Anwendungsform	Halte den Stationsansatz im Bad in Anwendungsform	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
103	G407-E2652	RUNNING:G407-E2652@1	G407-S385	f77r	f77r.41	sh	SH	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_CLEAR_BODY	HOST:G407-E2652:RUNNING:G407-E2651@1|RUNNING:G407-E2653@2	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M01_FILL	AIIN_FILL	1	 bei der angegebenen Füllung	Halte den Körper im Bad bei der angegebenen Füllung	Halte den Körper im Bad bei der angegebenen Füllung	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
104	G407-E2670	RUNNING:G407-E2670@1	G407-S390	f77r	f77r.43	chee	SH+EE	NEAREST_VISIBLE_NONMEDIUM_PARTICIPANT	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	LEFT_INHERIT_STATION	GDT595:G407-E2670:RUNNING:G407-E2665@3	ANAPHORIC	STATION	Stationsansatz	MASCULINE	denselben	denselben Stationsansatz	1	1	denselben Stationsansatz	BAD	M04_GRADE_II	EE	1	 auf Grad II	Halte denselben Stationsansatz im Bad auf Grad II	Halte denselben Stationsansatz im Bad auf Grad II	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
105	G407-E2677	RUNNING:G407-E2677@1	G407-S392	f77r	f77r.44	sheey	SH+EE+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_CLEAR_BODY	HOST:G407-E2677:RUNNING:G407-E2677@3	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M04_GRADE_II	EE	1	 auf Grad II	Halte den Körper im Bad auf Grad II	Halte den Körper im Bad auf Grad II	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
106	G407-E2682	RUNNING:G407-E2682@1	G407-S392	f77r	f77r.44	cheey	SH+EE+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_BLOCKED_STATION	HOST:G407-E2682:RUNNING:G407-E2682@3|RUNNING:G407-E2683@3|RUNNING:G407-E2684@1	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	1	1	den Stationsansatz	BAD	M04_GRADE_II|M14_CONTACT	EE|L	2	 auf Grad II und über den Stationskontakt oder die Leitung	Halte den Stationsansatz im Bad auf Grad II und über den Stationskontakt oder die Leitung	Halte den Stationsansatz im Bad auf Grad II und über den Stationskontakt oder die Leitung	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
107	G407-E2697	RUNNING:G407-E2697@5	G407-S392	f77r	f77r.46	chlchpsheey	CH+L+CH+P+SH+EE+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_CLEAR_BODY	HOST:G407-E2697:RUNNING:G407-E2697@7	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M04_GRADE_II	EE	1	 auf Grad II	Halte den Körper im Bad auf Grad II	Halte den Körper im Bad auf Grad II	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
108	G407-E2704	RUNNING:G407-E2704@2	G407-S392	f77r	f77r.47	ysheey	Y+SH+EE+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_BLOCKED_STATION	HOST:G407-E2704:RUNNING:G407-E2704@1|RUNNING:G407-E2704@4	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	1	1	den Stationsansatz	BAD	M04_GRADE_II|M12_TARGET	EE|AL	2	 auf Grad II und zur Zielstation oder ins Zielbecken	Halte den Stationsansatz im Bad auf Grad II und zur Zielstation oder ins Zielbecken	Halte den Stationsansatz im Bad auf Grad II und zur Zielstation oder ins Zielbecken	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
109	G407-E2719	RUNNING:G407-E2719@3	G407-S396	f81r	f81r.1	ofshdy	O+LOCAL_CHAR_F+SH+D_ADDR+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_BLOCKED_STATION	HOST:G407-E2719:RUNNING:G407-E2719@5|RUNNING:G407-E2720@2	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	1	1	den Stationsansatz	BAD	M02_APPLY|M06_FINE|M10_WORK_SITE	O|LOCAL_CHAR_F|D_ADDR	3	 in Anwendungsform, in Feinform und an der Stations-Arbeitsstelle	Halte den Stationsansatz im Bad in Anwendungsform, in Feinform und an der Stations-Arbeitsstelle	Halte den Stationsansatz im Bad in Anwendungsform, in Feinform und an der Stations-Arbeitsstelle	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
110	G407-E2731	RUNNING:G407-E2731@1	G407-S396	f81r	f81r.3	chees	SH+EE+S_ADDR	BODY_BLOCKER_STATION	T02_BLOCKER_STATION	Q03_LOCAL_OR_DEFAULT_DEFINITE	BLOCKER_STATION	BLOCKER:S_ADDR	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	1	1	den Stationsansatz	BAD	M04_GRADE_II|M11_END_SITE	EE|S_ADDR	2	 auf Grad II und an der Stations-Endstelle	Halte den Stationsansatz im Bad auf Grad II und an der Stations-Endstelle	Halte den Stationsansatz im Bad auf Grad II und an der Stations-Endstelle	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
111	G407-E2736	RUNNING:G407-E2736@1	G407-S396	f81r	f81r.3	shedy	SH+E+DY	INTERVENING_OBJECT_HANDOFF	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	LEFT_INHERIT_STATION	HANDOFF:G407-E2734:RUNNING:G407-E2734@2	ANAPHORIC	STATION	Stationsansatz	MASCULINE	denselben	denselben Stationsansatz	1	1	denselben Stationsansatz	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
112	G407-E2757	RUNNING:G407-E2757@1	G407-S397	f81r	f81r.6	shor	SH+OR	WRITTEN_OR_UNIT	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	OR_UNIT	HOST:G407-E2757:RUNNING:G407-E2757@2	DEFINITE	BATH_UNIT	Badeinheit	FEMININE	die	die Badeinheit	1	1	die Badeinheit	BAD	NONE	NONE	0	NONE	Halte die Badeinheit im Bad	Halte die Badeinheit im Bad	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
113	G407-E2760	RUNNING:G407-E2760@2	G407-S397	f81r	f81r.7	dshees	D_ADDR+SH+EE+S	BODY_BLOCKER_STATION	T02_BLOCKER_STATION	Q03_LOCAL_OR_DEFAULT_DEFINITE	BLOCKER_STATION	BLOCKER:D_ADDR	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	1	1	den Stationsansatz	BAD	M04_GRADE_II|M10_WORK_SITE	EE|D_ADDR	2	 auf Grad II und an der Stations-Arbeitsstelle	Halte den Stationsansatz im Bad auf Grad II und an der Stations-Arbeitsstelle	Halte den Stationsansatz im Bad auf Grad II und an der Stations-Arbeitsstelle	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
114	G407-E2778	RUNNING:G407-E2778@1	G407-S401	f81r	f81r.10	cheey	SH+EE+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_BLOCKED_STATION	HOST:G407-E2778:RUNNING:G407-E2778@3|RUNNING:G407-E2779@2|RUNNING:G407-E2780@2	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	2	1	den Stationsansatz|die Anwendungsportion	BAD	M04_GRADE_II|M14_CONTACT	EE|L	2	 auf Grad II und über den Stationskontakt oder die Leitung	Halte den Stationsansatz und die Anwendungsportion im Bad auf Grad II und über den Stationskontakt oder die Leitung	Halte den Stationsansatz und die Anwendungsportion im Bad auf Grad II und über den Stationskontakt oder die Leitung	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
115	G407-E2783	RUNNING:G407-E2783@1	G407-S402	f81r	f81r.11	sheckhedy	SH+E+CH+K+E+DY	GDT569_Y_RESET_BODY_FIRST	T05_BODY_FIRST_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	BODY_FIRST_DEFAULT	DEFAULT:BODY	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
116	G407-E2788	RUNNING:G407-E2788@1	G407-S405	f81r	f81r.12	sheedy	SH+EE+DY	GDT569_Y_RESET_BODY_FIRST	T05_BODY_FIRST_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	BODY_FIRST_DEFAULT	DEFAULT:BODY	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M04_GRADE_II	EE	1	 auf Grad II	Halte den Körper im Bad auf Grad II	Halte den Körper im Bad auf Grad II	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
117	G407-E2792	RUNNING:G407-E2792@1	G407-S406	f81r	f81r.13	shedy	SH+E+DY	GDT569_Y_LOCAL_STATION_DONOR	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	LEFT_INHERIT_STATION	GDT594:G407-E2790	ANAPHORIC	STATION	Stationsansatz	MASCULINE	denselben	denselben Stationsansatz	1	1	denselben Stationsansatz	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
118	G407-E2817	RUNNING:G407-E2817@1	G407-S416	f81r	f81r.17	shey	SH+E+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_CLEAR_BODY	HOST:G407-E2817:RUNNING:G407-E2817@3	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
119	G407-E2821	RUNNING:G407-E2821@2	G407-S417	f81r	f81r.18	osheedy	O+SH+EE+DY	BODY_BLOCKER_STATION	T02_BLOCKER_STATION	Q03_LOCAL_OR_DEFAULT_DEFINITE	BLOCKER_STATION	BLOCKER:O	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	1	1	den Stationsansatz	BAD	M02_APPLY|M04_GRADE_II	O|EE	2	 in Anwendungsform und auf Grad II	Halte den Stationsansatz im Bad in Anwendungsform und auf Grad II	Halte den Stationsansatz im Bad in Anwendungsform und auf Grad II	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
120	G407-E2822	RUNNING:G407-E2822@1	G407-S418	f81r	f81r.18	shedy	SH+E+DY	GDT569_Y_RESET_BODY_FIRST	T05_BODY_FIRST_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	BODY_FIRST_DEFAULT	DEFAULT:BODY	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
121	G407-E2824	RUNNING:G407-E2824@1	G407-S419	f81r	f81r.18	shedy	SH+E+DY	GDT569_Y_RESET_BODY_FIRST	T05_BODY_FIRST_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	BODY_FIRST_DEFAULT	DEFAULT:BODY	DEFINITE	BODY	Körper	MASCULINE	den	den Körper	1	1	den Körper	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
122	G407-E2828	RUNNING:G407-E2828@1	G407-S422	f81r	f81r.19	sheedy	SH+EE+DY	GDT569_OR_UNIT_PROMOTION	T04_STABLE_AIN_OR_TYPE	Q03_LOCAL_OR_DEFAULT_DEFINITE	OR_UNIT_DEFAULT	TYPE_DEFAULT:OR	DEFINITE	BATH_UNIT	Badeinheit	FEMININE	die	die Badeinheit	1	1	die Badeinheit	BAD	M04_GRADE_II	EE	1	 auf Grad II	Halte die Badeinheit im Bad auf Grad II	Halte die Badeinheit im Bad auf Grad II	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
123	G407-E2839	RUNNING:G407-E2839@1	G407-S424	f81r	f81r.21	dshedy	SH+E+DY	GDT569_Y_LOCAL_STATION_DONOR	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	LEFT_INHERIT_STATION	GDT594:G407-E2838	ANAPHORIC	STATION	Stationsansatz	MASCULINE	denselben	denselben Stationsansatz	1	1	denselben Stationsansatz	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
124	G407-E2843	RUNNING:G407-E2843@2	G407-S425	f81r	f81r.21	olshey	OL+SH+E+Y	WRITTEN_Y_GDT590	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	Y_BLOCKED_STATION	HOST:G407-E2843:RUNNING:G407-E2843@4|RUNNING:G407-E2844@3	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	1	1	den Stationsansatz	BAD	M12_TARGET|M14_CONTACT	AL|L	2	 zur Zielstation oder ins Zielbecken und über den Stationskontakt oder die Leitung	Halte den Stationsansatz im Bad zur Zielstation oder ins Zielbecken und über den Stationskontakt oder die Leitung	Halte den Stationsansatz im Bad zur Zielstation oder ins Zielbecken und über den Stationskontakt oder die Leitung	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
125	G407-E2857	RUNNING:G407-E2857@1	G407-S425	f81r	f81r.23	sheckhy	SH+E+CH+K+Y	NEAREST_VISIBLE_NONMEDIUM_PARTICIPANT	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	LEFT_INHERIT_PORTION	GDT595:G407-E2857:RUNNING:G407-E2856@2	ANAPHORIC	PORTION	Anwendungsportion	FEMININE	dieselbe	dieselbe Anwendungsportion	1	1	dieselbe Anwendungsportion	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte dieselbe Anwendungsportion im Bad auf Grad I	Halte dieselbe Anwendungsportion im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
126	G407-E2863	RUNNING:G407-E2863@1	G407-S426	f81r	f81r.24	shecphy	SH+E+CH+P+Y	SAME_EVENT_RIGHTWARD_SHARED_COMPLEMENT	T03_BOUND_TYPED_REFERENCE	Q02_RIGHT_OR_TIE_DEFINITE	RIGHT_INHERIT_STATION	RIGHT:G407-E2863:RUNNING:G407-E2863@5	DEFINITE	STATION	Stationsansatz	MASCULINE	den	den Stationsansatz	1	1	den Stationsansatz	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	YES	YES	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
127	G407-E2869	RUNNING:G407-E2869@1	G407-S427	f81r	f81r.25	shedy	SH+E+DY	GDT569_Y_LOCAL_FLOW_DONOR	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	LEFT_INHERIT_FLOW	GDT594:G407-E2867	ANAPHORIC	FLOW	Strom	MASCULINE	denselben	denselben Strom	1	1	denselben Strom	BADBETRIEB	M05_GRADE_I	E	1	 auf Grad I	Halte denselben Strom im Badbetrieb auf Grad I	Halte denselben Strom im Badbetrieb auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
128	G407-E2880	RUNNING:G407-E2880@1	G407-S429	f81r	f81r.26	sheor	SH+E+OR	WRITTEN_OR_UNIT	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	OR_UNIT	HOST:G407-E2880:RUNNING:G407-E2880@3	DEFINITE	BATH_UNIT	Badeinheit	FEMININE	die	die Badeinheit	1	1	die Badeinheit	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte die Badeinheit im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
129	G407-E2881	RUNNING:G407-E2881@1	G407-S429	f81r	f81r.26	shedy	SH+E+DY	EPISODE_CARRY	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	LEFT_INHERIT_BATH_UNIT	CARRY:G407-E2880	ANAPHORIC	BATH_UNIT	Badeinheit	FEMININE	dieselbe	dieselbe Badeinheit	1	1	dieselbe Badeinheit	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte dieselbe Badeinheit im Bad auf Grad I	Halte dieselbe Badeinheit im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
130	G407-E2897	RUNNING:G407-E2897@1	G407-S433	f81r	f81r.29	sheedy	SH+EE+DY	GDT569_Y_LOCAL_STATION_DONOR	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	LEFT_INHERIT_STATION	GDT594:G407-E2896	ANAPHORIC	STATION	Stationsansatz	MASCULINE	denselben	denselben Stationsansatz	1	1	denselben Stationsansatz	BAD	M04_GRADE_II	EE	1	 auf Grad II	Halte denselben Stationsansatz im Bad auf Grad II	Halte denselben Stationsansatz im Bad auf Grad II	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
131	G407-E2906	RUNNING:G407-E2906@1	G407-S434	f81r	f81r.30	shedy	SH+E+DY	NEAREST_VISIBLE_NONMEDIUM_PARTICIPANT	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	LEFT_INHERIT_STATION	GDT595:G407-E2906:RUNNING:G407-E2902@1	ANAPHORIC	STATION	Stationsansatz	MASCULINE	denselben	denselben Stationsansatz	1	1	denselben Stationsansatz	BAD	M05_GRADE_I	E	1	 auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES	NO	YES	FIVE_TYPING_CARDS__THREE_REFERENCE_SCOPE_CARDS__SEVEN_LEMMAS__FOUR_DETERMINERS__FIFTEEN_MODIFIERS__NO_NEW_PAGE_ROOT_OR_SEGMENT
