patched_statement_ordinal	statement_id	physical_page	bath_action_count	object_patch_count	patched_event_ids	patched_host_keys	selected_object_sequence_de	gdt590_primary_reader_de	gdt592_primary_reader_de	guard
93	G407-S502	f82r	4	4	G407-E3218|G407-E3219|G407-E3221|G407-E3224	ACTION:G407-E3218@1:SH|ACTION:G407-E3219@1:SH|ACTION:G407-E3221@1:SH|ACTION:G407-E3224@1:SH	Badegut→Badegut→Stationsansatz→Badegut	"Fahre im selben Arbeitsgang fort. Halte die Badfüllung auf Grad I. Halte im Bad auf Grad I. Entnimm oder lass ab. Führe den Stationsansatz zu. Beschicke oder bereite zur Zielstation oder ins Zielbecken vor. Halte im Bad auf Grad I. Führe den Stationsansatz und das Stations- oder Badmaß zu. Beginne danach den nächsten Arbeitsgang.

Behandle den Ansatz. Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad I. Schließe den Arbeitsgang."	"Fahre im selben Arbeitsgang fort. Halte das zu badende Gut im Bad bei der angegebenen Füllung auf Grad I. Halte dasselbe zu badende Gut im Bad auf Grad I. Entnimm oder lass ab. Führe den Stationsansatz zu. Beschicke oder bereite zur Zielstation oder ins Zielbecken vor. Halte denselben Stationsansatz im Bad auf Grad I. Führe den Stationsansatz und das Stations- oder Badmaß zu. Beginne danach den nächsten Arbeitsgang.

Behandle den Ansatz. Fahre im selben Arbeitsgang fort. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
94	G407-S503	f82r	1	1	G407-E3227	ACTION:G407-E3227@1:SH	Badegut	"Wähle das Stationsmaß aus. Beginne danach den nächsten Arbeitsgang.

Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Halte im Bad auf Grad I. Schließe den Arbeitsgang."	"Wähle das Stationsmaß aus. Beginne danach den nächsten Arbeitsgang.

Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
95	G407-S505	f82r	2	1	G407-E3234	ACTION:G407-E3234@1:SH	Stationsansatz	Beschicke oder bereite den Stationsansatz auf Grad II vor. Beschicke oder bereite den Stationsansatz vor. Fahre im selben Arbeitsgang fort. Halte den Körper im Bad auf Grad II. Führe den Stationsansatz auf Grad I, auf Grad II und als neuer Bad- oder Stationsansatz zu. Halte im Bad auf Grad II. Schließe den Arbeitsgang.	Beschicke oder bereite den Stationsansatz auf Grad II vor. Beschicke oder bereite den Stationsansatz vor. Fahre im selben Arbeitsgang fort. Halte den Körper im Bad auf Grad II. Führe den Stationsansatz auf Grad I, auf Grad II und als neuer Bad- oder Stationsansatz zu. Halte denselben Stationsansatz im Bad auf Grad II. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
96	G407-S507	f82r	3	2	G407-E3243|G407-E3243	ACTION:G407-E3243@2:SH|ACTION:G407-E3243@5:SH	Stationsansatz→Stationsansatz	"Entnimm oder lass in Anwendungsform und über den Stationskontakt oder die Leitung ab. Kennzeichne oder prüfe. Halte den Körper im Bad auf Grad II. Beschicke oder bereite den Stationsansatz auf Grad I und zur Zielstation oder ins Zielbecken vor. Beginne danach den nächsten Arbeitsgang.

Behandle den Stationsansatz und die Stationseinheit. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Wähle die Einheit aus. Halte im Bad in Anwendungsform. Halte im Bad auf Grad I und über den Stationskontakt oder die Leitung. Entnimm oder lass ab. Reguliere den Stationsansatz. Beschicke oder bereite das Stations- oder Badmaß vor. Entnimm oder lass ab. Führe den Stationsansatz auf Grad I und an der Stations-Arbeitsstelle zu. Kennzeichne oder prüfe. Entnimm oder lass den Stationsansatz auf Grad I ab. Entnimm oder lass den Stationsansatz auf Grad I, an der Stations-Arbeitsstelle und entlang des Stationswegs oder Kanals ab. Beschicke oder bereite das Stations- oder Badmaß vor."	"Entnimm oder lass in Anwendungsform und über den Stationskontakt oder die Leitung ab. Kennzeichne oder prüfe. Halte den Körper im Bad auf Grad II. Beschicke oder bereite den Stationsansatz auf Grad I und zur Zielstation oder ins Zielbecken vor. Beginne danach den nächsten Arbeitsgang.

Behandle den Stationsansatz und die Stationseinheit. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Wähle die Einheit aus. Halte den Stationsansatz im Bad in Anwendungsform. Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung. Entnimm oder lass ab. Reguliere den Stationsansatz. Beschicke oder bereite das Stations- oder Badmaß vor. Entnimm oder lass ab. Führe den Stationsansatz auf Grad I und an der Stations-Arbeitsstelle zu. Kennzeichne oder prüfe. Entnimm oder lass den Stationsansatz auf Grad I ab. Entnimm oder lass den Stationsansatz auf Grad I, an der Stations-Arbeitsstelle und entlang des Stationswegs oder Kanals ab. Beschicke oder bereite das Stations- oder Badmaß vor."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
97	G407-S521	f82r	2	1	G407-E3304	ACTION:G407-E3304@1:SH	Stationsansatz	Halte den Körper im Bad auf Grad II. Kennzeichne oder prüfe die Becken- oder Körpereinheit. Fahre im selben Arbeitsgang fort. Wähle das Stationsmaß und den Stationsansatz aus. Kennzeichne oder prüfe an der Stations-Hauptstelle. Verwende für den vorangehenden Arbeitsschritt im zweiten Durchgang und an der Stations-Nebenstelle. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Halte den Körper im Bad auf Grad II. Kennzeichne oder prüfe die Becken- oder Körpereinheit. Fahre im selben Arbeitsgang fort. Wähle das Stationsmaß und den Stationsansatz aus. Kennzeichne oder prüfe an der Stations-Hauptstelle. Verwende für den vorangehenden Arbeitsschritt im zweiten Durchgang und an der Stations-Nebenstelle. Halte denselben Stationsansatz im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
98	G407-S524	f82r	1	1	G407-E3314	ACTION:G407-E3314@1:SH	Badegut	"Kennzeichne oder prüfe zur Zielstation oder ins Zielbecken. Entnimm oder lass den Stationsansatz auf Grad I ab. Wende an. Fahre im selben Arbeitsgang fort. Behandle die Anwendungsportion. Beginne danach den nächsten Arbeitsgang.

Halte im Bad auf Grad I. Schließe den Arbeitsgang."	"Kennzeichne oder prüfe zur Zielstation oder ins Zielbecken. Entnimm oder lass den Stationsansatz auf Grad I ab. Wende an. Fahre im selben Arbeitsgang fort. Behandle die Anwendungsportion. Beginne danach den nächsten Arbeitsgang.

Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
99	G407-S525	f82r	1	1	G407-E3315	ACTION:G407-E3315@1:SH	Badegut	Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
100	G407-S528	f82r	1	1	G407-E3332	ACTION:G407-E3332@1:SH	Badegut	Entnimm oder lass ab. Wende zur Zielstation oder ins Zielbecken an. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Entnimm oder lass ab. Wende zur Zielstation oder ins Zielbecken an. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
101	G407-S529	f82r	1	1	G407-E3336	ACTION:G407-E3336@1:SH	Badegut	Halte den Zustand. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Fahre im selben Arbeitsgang fort. Führe den Stationsansatz auf Grad III und an der Stations-Arbeitsstelle zu. Führe das Stations- oder Badmaß über den Stationskontakt oder die Leitung zu. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Halte den Zustand. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Fahre im selben Arbeitsgang fort. Führe den Stationsansatz auf Grad III und an der Stations-Arbeitsstelle zu. Führe das Stations- oder Badmaß über den Stationskontakt oder die Leitung zu. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
102	G407-S536	f82r	2	2	G407-E3378|G407-E3379	ACTION:G407-E3378@1:SH|ACTION:G407-E3379@1:SH	Stationsansatz→Stationsansatz	Halte im Bad auf Grad II und zur Zielstation oder ins Zielbecken. Halte im Bad auf Grad II. Schließe den Arbeitsgang.	Halte den Stationsansatz im Bad auf Grad II und zur Zielstation oder ins Zielbecken. Halte denselben Stationsansatz im Bad auf Grad II. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
103	G407-S537	f82r	1	1	G407-E3380	ACTION:G407-E3380@2:SH	Stationsansatz	Halte im Bad auf Grad I und über den Stationskontakt oder die Leitung. Entnimm oder lass in Anwendungsform ab. Führe den Stationsansatz auf Grad I zu. Behandle den Ansatz über den Stationskontakt oder die Leitung. Schließe den Arbeitsgang.	Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung. Entnimm oder lass in Anwendungsform ab. Führe den Stationsansatz auf Grad I zu. Behandle den Ansatz über den Stationskontakt oder die Leitung. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
104	G407-S540	f82r	1	1	G407-E3396	ACTION:G407-E3396@2:SH	Stationsansatz	Kennzeichne oder prüfe. Halte im Bad auf Grad I und zur Zielstation oder ins Zielbecken. Schließe den Arbeitsgang.	Kennzeichne oder prüfe. Halte den Stationsansatz im Bad auf Grad I und zur Zielstation oder ins Zielbecken. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
105	G407-S542	f82r	1	1	G407-E3399	ACTION:G407-E3399@2:SH	Badegut	Kennzeichne oder prüfe. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Kennzeichne oder prüfe. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
106	G407-S546	f82r	1	1	G407-E3404	ACTION:G407-E3404@1:SH	Badegut	Beschicke oder bereite in Anwendungsform und auf der Anwendungsstufe vor. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Beschicke oder bereite in Anwendungsform und auf der Anwendungsstufe vor. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
107	G407-S552	f82r	1	1	G407-E3426	ACTION:G407-E3426@1:SH	Badegut	"Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt den Stationsansatz. Beginne danach den nächsten Arbeitsgang.

Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad II. Kennzeichne oder prüfe den Stationsansatz und das Stations- oder Badmaß. Entnimm oder lass den Stationsansatz in Anwendungsform, auf Grad I und über den Stationskontakt oder die Leitung ab. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad II. Halte im Bad auf Grad I. Schließe den Arbeitsgang."	"Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt den Stationsansatz. Beginne danach den nächsten Arbeitsgang.

Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad II. Kennzeichne oder prüfe den Stationsansatz und das Stations- oder Badmaß. Entnimm oder lass den Stationsansatz in Anwendungsform, auf Grad I und über den Stationskontakt oder die Leitung ab. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad II. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
108	G407-S553	f82r	1	1	G407-E3428	ACTION:G407-E3428@2:SH	Stationsansatz	Beschicke oder bereite den Stationsansatz auf Grad II vor. Halte im Bad auf Grad I und über den Stationskontakt oder die Leitung. Schließe den Arbeitsgang.	Beschicke oder bereite den Stationsansatz auf Grad II vor. Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
109	G407-S556	f82r	2	1	G407-E3441	ACTION:G407-E3441@1:SH	Badegut	"Beginne danach den nächsten Arbeitsgang.

Entnimm oder lass den Stationsansatz und die Becken- oder Körpereinheit auf Grad II und über den Stationskontakt oder die Leitung ab. Beschicke oder bereite die Anwendungsportion vor. Entnimm oder lass den Stationsansatz auf Grad II und an der Stations-Arbeitsstelle ab. Behandle den Ansatz über den Stationskontakt oder die Leitung. Reguliere das Stationsmaß. Halte die Badfüllung auf Grad I. Entnimm oder lass ab. Entnimm oder lass ab. Führe den Stationsansatz auf Grad I und über den Stationskontakt oder die Leitung zu. Entnimm oder lass über den Stationskontakt oder die Leitung ab. Führe den Stationsansatz zu. Halte den Körper im Bad auf Grad II. Kennzeichne oder prüfe den Stationsansatz über den Stationskontakt oder die Leitung. Kennzeichne oder prüfe die Anwendungsportion. Wähle die Anwendungsportion aus. Fahre im selben Arbeitsgang fort. Entnimm oder lass den Stationsansatz in Anwendungsform, auf Grad I und über den Stationskontakt oder die Leitung ab. Entnimm oder lass den Stationsansatz auf Grad I ab. Kennzeichne oder prüfe in Anwendungsform."	"Beginne danach den nächsten Arbeitsgang.

Entnimm oder lass den Stationsansatz und die Becken- oder Körpereinheit auf Grad II und über den Stationskontakt oder die Leitung ab. Beschicke oder bereite die Anwendungsportion vor. Entnimm oder lass den Stationsansatz auf Grad II und an der Stations-Arbeitsstelle ab. Behandle den Ansatz über den Stationskontakt oder die Leitung. Reguliere das Stationsmaß. Halte das zu badende Gut im Bad bei der angegebenen Füllung auf Grad I. Entnimm oder lass ab. Entnimm oder lass ab. Führe den Stationsansatz auf Grad I und über den Stationskontakt oder die Leitung zu. Entnimm oder lass über den Stationskontakt oder die Leitung ab. Führe den Stationsansatz zu. Halte den Körper im Bad auf Grad II. Kennzeichne oder prüfe den Stationsansatz über den Stationskontakt oder die Leitung. Kennzeichne oder prüfe die Anwendungsportion. Wähle die Anwendungsportion aus. Fahre im selben Arbeitsgang fort. Entnimm oder lass den Stationsansatz in Anwendungsform, auf Grad I und über den Stationskontakt oder die Leitung ab. Entnimm oder lass den Stationsansatz auf Grad I ab. Kennzeichne oder prüfe in Anwendungsform."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
110	G407-S558	f83r	1	1	G407-E3460	ACTION:G407-E3460@1:SH	Badegut	Entnimm oder lass ab. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Wende an. Fahre im selben Arbeitsgang fort. Wende an. Behandle den Ansatz von der Ausgangsstation oder aus dem Ausgangsbecken. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Entnimm oder lass ab. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Wende an. Fahre im selben Arbeitsgang fort. Wende an. Behandle den Ansatz von der Ausgangsstation oder aus dem Ausgangsbecken. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
111	G407-S563	f83r	1	1	G407-E3483	ACTION:G407-E3483@2:SH	Badegut	"Beschicke oder bereite das Stations- oder Badmaß an der Stations-Arbeitsstelle, zur Zielstation oder ins Zielbecken und von der Ausgangsstation oder aus dem Ausgangsbecken vor. Beginne danach den nächsten Arbeitsgang.

Beschicke oder bereite vor. Halte im Bad auf Grad I. Schließe den Arbeitsgang."	"Beschicke oder bereite das Stations- oder Badmaß an der Stations-Arbeitsstelle, zur Zielstation oder ins Zielbecken und von der Ausgangsstation oder aus dem Ausgangsbecken vor. Beginne danach den nächsten Arbeitsgang.

Beschicke oder bereite vor. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
112	G407-S565	f83r	2	2	G407-E3488|G407-E3489	ACTION:G407-E3488@1:SH|ACTION:G407-E3489@1:SH	Badegut→Badegut	Entnimm oder lass ab. Führe den Stationsansatz und das Stations- oder Badmaß auf Grad I und an der Stations-Arbeitsstelle zu. Halte im Bad auf Grad I. Reguliere anschließend von der Ausgangsstation oder aus dem Ausgangsbecken. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Entnimm oder lass ab. Führe den Stationsansatz und das Stations- oder Badmaß auf Grad I und an der Stations-Arbeitsstelle zu. Halte das zu badende Gut im Bad auf Grad I. Reguliere anschließend von der Ausgangsstation oder aus dem Ausgangsbecken. Halte dasselbe zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
113	G407-S576	f83r	1	1	G407-E3523	ACTION:G407-E3523@1:SH	Badegut	"Halte im Bad auf Grad I. Entnimm oder lass ab. Reguliere die Stationsbedingung. Behandle den Stationsansatz. Beschicke oder bereite den Stationsansatz vor. Behandle den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken. Wende an. Entnimm oder lass die Becken- oder Körpereinheit ab. Entnimm oder lass auf Grad I ab. Entnimm oder lass ab. Wende auf Grad I an. Schließe den Arbeitsgang.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E3525@1:CHD: Y+Y → Stationsansatz|Stationsansatz (Multiset: Stationsansatz ×2)."	"Halte das zu badende Gut im Bad auf Grad I. Entnimm oder lass ab. Reguliere die Stationsbedingung. Behandle den Stationsansatz. Beschicke oder bereite den Stationsansatz vor. Behandle den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken. Wende an. Entnimm oder lass die Becken- oder Körpereinheit ab. Entnimm oder lass auf Grad I ab. Entnimm oder lass ab. Wende auf Grad I an. Schließe den Arbeitsgang.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E3525@1:CHD: Y+Y → Stationsansatz|Stationsansatz (Multiset: Stationsansatz ×2)."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
114	G407-S579	f83r	3	2	G407-E3533|G407-E3550	ACTION:G407-E3533@1:SH|ACTION:G407-E3550@1:SH	Badegut→Stationseinheit	Kennzeichne oder prüfe. Halte im Bad auf Grad I. Führe den Stationsansatz auf Grad I und an der Stations-Arbeitsstelle zu. Wende in Anwendungsform und als neuer Bad- oder Stationsansatz an. Halte den Stationsansatz im Bad an der Stations-Arbeitsstelle. Wende den Stationsansatz in Anwendungsform und als neuer Bad- oder Stationsansatz an. Fahre im selben Arbeitsgang fort. Führe den Stationsansatz zu. Verwende für den vorangehenden Arbeitsschritt auf Grad II. Kennzeichne oder prüfe. Entnimm oder lass ab. Wähle die Einheit aus. Entnimm oder lass auf Grad II und in der b-Variante ab. Fahre im selben Arbeitsgang fort. Wähle das Stationsmaß aus. Wähle die Einheit aus. Führe die Anwendungsportion zur Zielstation oder ins Zielbecken zu. Entnimm oder lass ab. Reguliere die Stationsbedingung zur Zielstation oder ins Zielbecken. Wähle das Stationsmaß aus. Entnimm oder lass ab. Führe den Stationsansatz zur Zielstation oder ins Zielbecken und über den Stationskontakt oder die Leitung zu. Wähle die Einheit an der Stations-Nebenstelle aus. Wähle die Stationseinheit aus. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Kennzeichne oder prüfe. Halte das zu badende Gut im Bad auf Grad I. Führe den Stationsansatz auf Grad I und an der Stations-Arbeitsstelle zu. Wende in Anwendungsform und als neuer Bad- oder Stationsansatz an. Halte den Stationsansatz im Bad an der Stations-Arbeitsstelle. Wende den Stationsansatz in Anwendungsform und als neuer Bad- oder Stationsansatz an. Fahre im selben Arbeitsgang fort. Führe den Stationsansatz zu. Verwende für den vorangehenden Arbeitsschritt auf Grad II. Kennzeichne oder prüfe. Entnimm oder lass ab. Wähle die Einheit aus. Entnimm oder lass auf Grad II und in der b-Variante ab. Fahre im selben Arbeitsgang fort. Wähle das Stationsmaß aus. Wähle die Einheit aus. Führe die Anwendungsportion zur Zielstation oder ins Zielbecken zu. Entnimm oder lass ab. Reguliere die Stationsbedingung zur Zielstation oder ins Zielbecken. Wähle das Stationsmaß aus. Entnimm oder lass ab. Führe den Stationsansatz zur Zielstation oder ins Zielbecken und über den Stationskontakt oder die Leitung zu. Wähle die Einheit an der Stations-Nebenstelle aus. Wähle die Stationseinheit aus. Halte dieselbe Stationseinheit im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
115	G407-S581	f83r	1	1	G407-E3556	ACTION:G407-E3556@1:SH	Badegut	Beschicke oder bereite entlang des Stationswegs oder Kanals vor. Halte im Bad auf Grad II. Schließe den Arbeitsgang.	Beschicke oder bereite entlang des Stationswegs oder Kanals vor. Halte das zu badende Gut im Bad auf Grad II. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
116	G407-S583	f83r	2	2	G407-E3560|G407-E3563	ACTION:G407-E3560@1:SH|ACTION:G407-E3563@1:SH	Badegut→Badegut	"Entnimm oder lass in Anwendungsform, als neuer Bad- oder Stationsansatz und über den Stationskontakt oder die Leitung ab. Führe zu. Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad I. Entnimm oder lass ab. Führe den Stationsansatz zur Zielstation oder ins Zielbecken zu. Beginne danach den nächsten Arbeitsgang.

Beschicke oder bereite auf Grad I und zur Zielstation oder ins Zielbecken vor. Halte im Bad auf Grad I. Entnimm oder lass ab. Führe den Stationsansatz an der Stations-Arbeitsstelle und zur Zielstation oder ins Zielbecken zu. Beschicke oder bereite auf Grad I vor. Schließe den Arbeitsgang."	"Entnimm oder lass in Anwendungsform, als neuer Bad- oder Stationsansatz und über den Stationskontakt oder die Leitung ab. Führe zu. Fahre im selben Arbeitsgang fort. Halte das zu badende Gut im Bad auf Grad I. Entnimm oder lass ab. Führe den Stationsansatz zur Zielstation oder ins Zielbecken zu. Beginne danach den nächsten Arbeitsgang.

Beschicke oder bereite auf Grad I und zur Zielstation oder ins Zielbecken vor. Halte das zu badende Gut im Bad auf Grad I. Entnimm oder lass ab. Führe den Stationsansatz an der Stations-Arbeitsstelle und zur Zielstation oder ins Zielbecken zu. Beschicke oder bereite auf Grad I vor. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
117	G407-S585	f83r	1	1	G407-E3570	ACTION:G407-E3570@1:SH	Badegut	Beschicke oder bereite zur Zielstation oder ins Zielbecken vor. Leite den Strom zur Zielstation oder ins Zielbecken um. Entnimm oder lass in Anwendungsform, auf Grad I und über den Stationskontakt oder die Leitung ab. Reguliere die Stationsbedingung von der Ausgangsstation oder aus dem Ausgangsbecken. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Beschicke oder bereite zur Zielstation oder ins Zielbecken vor. Leite den Strom zur Zielstation oder ins Zielbecken um. Entnimm oder lass in Anwendungsform, auf Grad I und über den Stationskontakt oder die Leitung ab. Reguliere die Stationsbedingung von der Ausgangsstation oder aus dem Ausgangsbecken. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
118	G407-S590	f83r	1	1	G407-E3580	ACTION:G407-E3580@1:SH	Badegut	Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
119	G407-S591	f83r	1	1	G407-E3581	ACTION:G407-E3581@2:SH	Badegut	Beschicke oder bereite vor. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Beschicke oder bereite vor. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
120	G407-S593	f83r	2	2	G407-E3589|G407-E3590	ACTION:G407-E3589@1:SH|ACTION:G407-E3590@1:SH	Stationsansatz→Stationsansatz	"Beschicke oder bereite das Stations- oder Badmaß vor. Halte den Zustand. Entnimm oder lass ab. Reguliere den Stationsansatz zur Zielstation oder ins Zielbecken. Wähle das Stationsmaß aus. Halte im Bad auf Grad I und zur Zielstation oder ins Zielbecken. Halte im Bad auf Grad I. Entnimm oder lass ab. Reguliere den Stationsansatz. Reguliere die Stationsbedingung zur Zielstation oder ins Zielbecken. Halte den Zustand. Entnimm oder lass ab. Reguliere den Stationsansatz zur Zielstation oder ins Zielbecken. Behandle den Ansatz. Schließe den Arbeitsgang.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E3585@3:T: Y+Y → Stationsansatz|Stationsansatz (Multiset: Stationsansatz ×2) | ACTION:G407-E3590@4:T: Y+Y → Stationsansatz|Stationsansatz (Multiset: Stationsansatz ×2)."	"Beschicke oder bereite das Stations- oder Badmaß vor. Halte den Zustand. Entnimm oder lass ab. Reguliere den Stationsansatz zur Zielstation oder ins Zielbecken. Wähle das Stationsmaß aus. Halte den Stationsansatz im Bad auf Grad I und zur Zielstation oder ins Zielbecken. Halte denselben Stationsansatz im Bad auf Grad I. Entnimm oder lass ab. Reguliere den Stationsansatz. Reguliere die Stationsbedingung zur Zielstation oder ins Zielbecken. Halte den Zustand. Entnimm oder lass ab. Reguliere den Stationsansatz zur Zielstation oder ins Zielbecken. Behandle den Ansatz. Schließe den Arbeitsgang.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E3585@3:T: Y+Y → Stationsansatz|Stationsansatz (Multiset: Stationsansatz ×2) | ACTION:G407-E3590@4:T: Y+Y → Stationsansatz|Stationsansatz (Multiset: Stationsansatz ×2)."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
