component_recipe	action_head	action_value_de	grade_atoms	argument_atoms	dy_count	relation_atoms	canonical_slot_skeleton	clean_single_slot_recipe	event_count	register_count	registers	page_count	surfaces	portable_reading_de
SH+D_ADDR+Y	SH	HALTEN	NONE	Y	0	NONE	SH|NONE|Y|OPEN	YES	5	1	BIOLOGICAL	2	shdy	HALTEN · HIER · POSTEN
SH+E	SH	HALTEN	E	NONE	0	NONE	SH|E|NONE|OPEN	YES	2	2	SOURCE_SECTION_T|CELESTIAL	2	she	HALTEN · GRAD I
SH+E+AIIN	SH	HALTEN	E	AIIN	0	NONE	SH|E|AIIN|OPEN	YES	4	1	BIOLOGICAL	3	shedaiin	HALTEN · GRAD I · WERT
SH+E+AIN	SH	HALTEN	E	AIN	0	NONE	SH|E|AIN|OPEN	YES	1	1	HERBAL	1	shedain	HALTEN · GRAD I · ANTEIL
SH+E+AL	SH	HALTEN	E	NONE	0	AL	SH|E|NONE|OPEN	YES	5	2	BIOLOGICAL|CELESTIAL	4	sheal|shedal	HALTEN · GRAD I · ZIELORT
SH+E+AL+OL	SH	HALTEN	E	NONE	0	AL|OL	SH|E|NONE|OPEN	YES	1	1	BIOLOGICAL	1	shealol	HALTEN · GRAD I · ZIELORT · FORTSETZEN
SH+E+AR	SH	HALTEN	E	NONE	0	AR	SH|E|NONE|OPEN	YES	6	4	SOURCE_SECTION_T|BIOLOGICAL|CELESTIAL|PHARMA	5	shear	HALTEN · GRAD I · AUSGANG
SH+E+DY	SH	HALTEN	E	NONE	1	NONE	SH|E|NONE|CLOSE	YES	110	3	HERBAL|BIOLOGICAL|PHARMA	9	dshedy|shedy	HALTEN · GRAD I · SCHLUSS
SH+E+D_ADDR	SH	HALTEN	E	NONE	0	NONE	SH|E|NONE|OPEN	YES	2	1	BIOLOGICAL	1	shed	HALTEN · GRAD I · HIER
SH+E+D_ADDR+AR	SH	HALTEN	E	NONE	0	AR	SH|E|NONE|OPEN	YES	2	2	HERBAL|BIOLOGICAL	2	shedar	HALTEN · GRAD I · HIER · AUSGANG
SH+E+O	SH	HALTEN	E	NONE	0	NONE	SH|E|NONE|OPEN	YES	5	3	SOURCE_SECTION_T|CELESTIAL|PHARMA	4	sheo	HALTEN · GRAD I · AUSFÜHRUNG
SH+E+O+AL	SH	HALTEN	E	NONE	0	AL	SH|E|NONE|OPEN	YES	1	1	PHARMA	1	sheodal	HALTEN · GRAD I · AUSFÜHRUNG · ZIELORT
SH+E+O+AM_ADDR	SH	HALTEN	E	NONE	0	NONE	SH|E|NONE|OPEN	YES	1	1	PHARMA	1	sheom	HALTEN · GRAD I · AUSFÜHRUNG · HIER
SH+E+O+D_ADDR+Y	SH	HALTEN	E	Y	0	NONE	SH|E|Y|OPEN	YES	5	3	HERBAL|CELESTIAL|PHARMA	5	sheody|sheshdy	HALTEN · GRAD I · AUSFÜHRUNG · HIER · POSTEN
SH+E+OL	SH	HALTEN	E	NONE	0	OL	SH|E|NONE|OPEN	YES	15	3	BIOLOGICAL|CELESTIAL|PHARMA	9	dsheol|sheol|yksheol	HALTEN · GRAD I · FORTSETZEN
SH+E+OL+AIIN	SH	HALTEN	E	AIIN	0	OL	SH|E|AIIN|OPEN	YES	1	1	CELESTIAL	1	sheolaiin	HALTEN · GRAD I · FORTSETZEN · WERT
SH+E+OL+D_ADDR+LOCAL_CHAR_G	SH	HALTEN	E	NONE	0	OL	SH|E|NONE|OPEN	YES	1	1	PHARMA	1	sheoldg	HALTEN · GRAD I · FORTSETZEN · HIER · VARIANTE
SH+E+OL+Y	SH	HALTEN	E	Y	0	OL	SH|E|Y|OPEN	YES	1	1	CELESTIAL	1	sheoly	HALTEN · GRAD I · FORTSETZEN · POSTEN
SH+E+OR	SH	HALTEN	E	OR	0	NONE	SH|E|OR|OPEN	YES	5	2	BIOLOGICAL|PHARMA	4	sheor	HALTEN · GRAD I · EINHEIT
SH+E+Y	SH	HALTEN	E	Y	0	NONE	SH|E|Y|OPEN	YES	44	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	14	shey|sheysy|tshey	HALTEN · GRAD I · POSTEN
SH+EE	SH	HALTEN	EE	NONE	0	NONE	SH|EE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	chee	HALTEN · GRAD II
SH+EE+AL	SH	HALTEN	EE	NONE	0	AL	SH|EE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	sheeal	HALTEN · GRAD II · ZIELORT
SH+EE+AL+O+DY	SH	HALTEN	EE	NONE	1	AL	SH|EE|NONE|CLOSE	YES	1	1	CELESTIAL	1	sheealody	HALTEN · GRAD II · ZIELORT · AUSFÜHRUNG · SCHLUSS
SH+EE+DY	SH	HALTEN	EE	NONE	1	NONE	SH|EE|NONE|CLOSE	YES	17	3	BIOLOGICAL|CELESTIAL|PHARMA	9	sheedy	HALTEN · GRAD II · SCHLUSS
SH+EE+D_ADDR	SH	HALTEN	EE	NONE	0	NONE	SH|EE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	sheed	HALTEN · GRAD II · HIER
SH+EE+LOCAL_CHAR_G	SH	HALTEN	EE	NONE	0	NONE	SH|EE|NONE|OPEN	YES	1	1	CELESTIAL	1	cheeg	HALTEN · GRAD II · VARIANTE
SH+EE+O	SH	HALTEN	EE	NONE	0	NONE	SH|EE|NONE|OPEN	YES	1	1	CELESTIAL	1	sheeo	HALTEN · GRAD II · AUSFÜHRUNG
SH+EE+OL	SH	HALTEN	EE	NONE	0	OL	SH|EE|NONE|OPEN	YES	6	2	BIOLOGICAL|PHARMA	4	cheeol|sheeol|sheeoldy	HALTEN · GRAD II · FORTSETZEN
SH+EE+OR	SH	HALTEN	EE	OR	0	NONE	SH|EE|OR|OPEN	YES	1	1	CELESTIAL	1	sheeor	HALTEN · GRAD II · EINHEIT
SH+EE+S_ADDR	SH	HALTEN	EE	NONE	0	NONE	SH|EE|NONE|OPEN	YES	4	2	BIOLOGICAL|PHARMA	3	chees	HALTEN · GRAD II · HIER
SH+EE+Y	SH	HALTEN	EE	Y	0	NONE	SH|EE|Y|OPEN	YES	43	3	BIOLOGICAL|CELESTIAL|PHARMA	12	cheey|sheey	HALTEN · GRAD II · POSTEN
SH+L+DY	SH	HALTEN	NONE	NONE	1	L	SH|NONE|NONE|CLOSE	YES	1	1	CELESTIAL	1	shldy	HALTEN · VERBINDUNG · SCHLUSS
SH+O	SH	HALTEN	NONE	NONE	0	NONE	SH|NONE|NONE|OPEN	YES	10	3	SOURCE_SECTION_T|HERBAL|CELESTIAL	4	sho	HALTEN · AUSFÜHRUNG
SH+O+AIIN	SH	HALTEN	NONE	AIIN	0	NONE	SH|NONE|AIIN|OPEN	YES	1	1	SOURCE_SECTION_T	1	shoaiin	HALTEN · AUSFÜHRUNG · WERT
SH+O+AL	SH	HALTEN	NONE	NONE	0	AL	SH|NONE|NONE|OPEN	YES	1	1	HERBAL	1	schoal	HALTEN · AUSFÜHRUNG · ZIELORT
SH+O+DY	SH	HALTEN	NONE	NONE	1	NONE	SH|NONE|NONE|CLOSE	YES	7	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	4	dshody|shody	HALTEN · AUSFÜHRUNG · SCHLUSS
SH+O+D_ADDR	SH	HALTEN	NONE	NONE	0	NONE	SH|NONE|NONE|OPEN	YES	2	2	SOURCE_SECTION_T|HERBAL	2	shod	HALTEN · AUSFÜHRUNG · HIER
SH+O+D_ADDR+AIN	SH	HALTEN	NONE	AIN	0	NONE	SH|NONE|AIN|OPEN	YES	1	1	SOURCE_SECTION_T	1	shodain	HALTEN · AUSFÜHRUNG · HIER · ANTEIL
SH+O+D_ADDR+AN	SH	HALTEN	NONE	NONE	0	NONE	SH|NONE|NONE|OPEN	YES	1	1	SOURCE_SECTION_T	1	shodan	HALTEN · AUSFÜHRUNG · HIER · KLASSE
SH+O+D_ADDR+AR+Y	SH	HALTEN	NONE	Y	0	AR	SH|NONE|Y|OPEN	YES	1	1	SOURCE_SECTION_T	1	shodary	HALTEN · AUSFÜHRUNG · HIER · AUSGANG · POSTEN
SH+O+Y	SH	HALTEN	NONE	Y	0	NONE	SH|NONE|Y|OPEN	YES	3	2	SOURCE_SECTION_T|PHARMA	3	shoy	HALTEN · AUSFÜHRUNG · POSTEN
SH+O+Y+LOCAL_CHAR_F+AR	SH	HALTEN	NONE	Y	0	AR	SH|NONE|Y|OPEN	YES	1	1	HERBAL	1	shoyfar	HALTEN · AUSFÜHRUNG · POSTEN · HIER · AUSGANG
SH+OL	SH	HALTEN	NONE	NONE	0	OL	SH|NONE|NONE|OPEN	YES	18	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL	12	shol	HALTEN · FORTSETZEN
SH+OL+D_ADDR+Y	SH	HALTEN	NONE	Y	0	OL	SH|NONE|Y|OPEN	YES	3	3	SOURCE_SECTION_T|HERBAL|PHARMA	3	sholdy	HALTEN · FORTSETZEN · HIER · POSTEN
SH+OR	SH	HALTEN	NONE	OR	0	NONE	SH|NONE|OR|OPEN	YES	12	3	HERBAL|BIOLOGICAL|PHARMA	9	shor	HALTEN · EINHEIT
SH+OR+O+D_ADDR+O	SH	HALTEN	NONE	OR	0	NONE	SH|NONE|OR|OPEN	YES	1	1	HERBAL	1	shorodo	HALTEN · EINHEIT · AUSFÜHRUNG · HIER · AUSFÜHRUNG
SH+OR+Y	SH	HALTEN	NONE	OR|Y	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	SOURCE_SECTION_T	1	shory	HALTEN · EINHEIT · POSTEN
SH+OT+EE+Y	SH	HALTEN	EE	Y	0	OT	SH|EE|Y|OPEN	YES	1	1	CELESTIAL	1	shoteey	HALTEN · DANACH · GRAD II · POSTEN
SH+Y	SH	HALTEN	NONE	Y	0	NONE	SH|NONE|Y|OPEN	YES	1	1	BIOLOGICAL	1	shchey	HALTEN · POSTEN
SH+Y+AIIN	SH	HALTEN	NONE	Y|AIIN	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	HERBAL	1	shfydaiin	HALTEN · POSTEN · WERT
T	T	EINSTELLEN	NONE	NONE	0	NONE	T|NONE|NONE|OPEN	YES	1	1	HERBAL	1	t	EINSTELLEN
T+AIIN	T	EINSTELLEN	NONE	AIIN	0	NONE	T|NONE|AIIN|OPEN	YES	5	3	HERBAL|BIOLOGICAL|PHARMA	5	taiin	EINSTELLEN · WERT
T+AIN	T	EINSTELLEN	NONE	AIN	0	NONE	T|NONE|AIN|OPEN	YES	2	2	BIOLOGICAL|PHARMA	2	tain|tdain	EINSTELLEN · ANTEIL
T+AL	T	EINSTELLEN	NONE	NONE	0	AL	T|NONE|NONE|OPEN	YES	3	2	BIOLOGICAL|CELESTIAL	3	tal	EINSTELLEN · ZIELORT
T+AL+AM_ADDR	T	EINSTELLEN	NONE	NONE	0	AL	T|NONE|NONE|OPEN	YES	1	1	HERBAL	1	talam	EINSTELLEN · ZIELORT · HIER
T+AL+O+D_ADDR+Y	T	EINSTELLEN	NONE	Y	0	AL	T|NONE|Y|OPEN	YES	1	1	HERBAL	1	talody	EINSTELLEN · ZIELORT · AUSFÜHRUNG · HIER · POSTEN
T+AL+Y	T	EINSTELLEN	NONE	Y	0	AL	T|NONE|Y|OPEN	YES	1	1	CELESTIAL	1	taly	EINSTELLEN · ZIELORT · POSTEN
T+AR	T	EINSTELLEN	NONE	NONE	0	AR	T|NONE|NONE|OPEN	YES	4	2	HERBAL|BIOLOGICAL	3	tar	EINSTELLEN · AUSGANG
T+E+DY	T	EINSTELLEN	E	NONE	1	NONE	T|E|NONE|CLOSE	YES	4	1	BIOLOGICAL	4	tedy	EINSTELLEN · GRAD I · SCHLUSS
T+E+O	T	EINSTELLEN	E	NONE	0	NONE	T|E|NONE|OPEN	YES	1	1	CELESTIAL	1	teo	EINSTELLEN · GRAD I · AUSFÜHRUNG
T+E+O+DY	T	EINSTELLEN	E	NONE	1	NONE	T|E|NONE|CLOSE	YES	1	1	SOURCE_SECTION_T	1	teody	EINSTELLEN · GRAD I · AUSFÜHRUNG · SCHLUSS
T+E+O+D_ADDR+AL	T	EINSTELLEN	E	NONE	0	AL	T|E|NONE|OPEN	YES	2	2	CELESTIAL|PHARMA	2	teodal	EINSTELLEN · GRAD I · AUSFÜHRUNG · HIER · ZIELORT
T+E+Y	T	EINSTELLEN	E	Y	0	NONE	T|E|Y|OPEN	YES	4	2	BIOLOGICAL|CELESTIAL	2	tey|ytey	EINSTELLEN · GRAD I · POSTEN
T+EE+O+DY	T	EINSTELLEN	EE	NONE	1	NONE	T|EE|NONE|CLOSE	YES	1	1	CELESTIAL	1	teeody	EINSTELLEN · GRAD II · AUSFÜHRUNG · SCHLUSS
T+EE+OL+AIN	T	EINSTELLEN	EE	AIN	0	OL	T|EE|AIN|OPEN	YES	1	1	BIOLOGICAL	1	teeolain	EINSTELLEN · GRAD II · FORTSETZEN · ANTEIL
T+EE+Y	T	EINSTELLEN	EE	Y	0	NONE	T|EE|Y|OPEN	YES	1	1	CELESTIAL	1	teey	EINSTELLEN · GRAD II · POSTEN
T+EEE+Y	T	EINSTELLEN	EEE	Y	0	NONE	T|EEE|Y|OPEN	YES	1	1	CELESTIAL	1	teeey	EINSTELLEN · GRAD III · POSTEN
T+O+AIIN	T	EINSTELLEN	NONE	AIIN	0	NONE	T|NONE|AIIN|OPEN	YES	1	1	CELESTIAL	1	todaiin	EINSTELLEN · AUSFÜHRUNG · WERT
T+O+AIR+Y	T	EINSTELLEN	NONE	Y	0	AIR	T|NONE|Y|OPEN	YES	1	1	PHARMA	1	toairy	EINSTELLEN · AUSFÜHRUNG · BAHN · POSTEN
T+OL	T	EINSTELLEN	NONE	NONE	0	OL	T|NONE|NONE|OPEN	YES	7	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	6	tchol|tol	EINSTELLEN · FORTSETZEN
T+OR+Y	T	EINSTELLEN	NONE	OR|Y	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	HERBAL	1	torchy	EINSTELLEN · EINHEIT · POSTEN
T+Y	T	EINSTELLEN	NONE	Y	0	NONE	T|NONE|Y|OPEN	YES	3	2	HERBAL|BIOLOGICAL	3	chety|tchy|tshy	EINSTELLEN · POSTEN
Y+AL+S	S	WÄHLEN	NONE	Y	0	AL	S|NONE|Y|OPEN	YES	1	1	HERBAL	1	ydals	POSTEN · ZIELORT · WÄHLEN
Y+CH+AIR	CH	NEHMEN	NONE	Y	0	AIR	CH|NONE|Y|OPEN	YES	1	1	HERBAL	1	ychair	POSTEN · NEHMEN · BAHN
Y+CH+E+O	CH	NEHMEN	E	Y	0	NONE	CH|E|Y|OPEN	YES	1	1	PHARMA	1	ycheo	POSTEN · NEHMEN · GRAD I · AUSFÜHRUNG
Y+CH+E+O+D_ADDR+Y	CH	NEHMEN	E	Y|Y	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	CELESTIAL	1	ycheody	POSTEN · NEHMEN · GRAD I · AUSFÜHRUNG · HIER · POSTEN
Y+CH+E+O+L	CH	NEHMEN	E	Y	0	L	CH|E|Y|OPEN	YES	1	1	HERBAL	1	ycheol	POSTEN · NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG
Y+CH+O	CH	NEHMEN	NONE	Y	0	NONE	CH|NONE|Y|OPEN	YES	1	1	SOURCE_SECTION_T	1	ycho	POSTEN · NEHMEN · AUSFÜHRUNG
Y+CH+O+D_ADDR	CH	NEHMEN	NONE	Y	0	NONE	CH|NONE|Y|OPEN	YES	1	1	HERBAL	1	ychod	POSTEN · NEHMEN · AUSFÜHRUNG · HIER
Y+CHD+Y	CHD	BEARBEITEN	NONE	Y|Y	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	BIOLOGICAL	1	ychedy	POSTEN · BEARBEITEN · POSTEN
Y+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	SH	HALTEN	NONE	Y|Y	0	AR	NONCANONICAL_MULTISLOT	NO	1	1	SOURCE_SECTION_T	1	ydaraishy	POSTEN · HIER · AUSGANG · HIER · VARIANTE · HALTEN · POSTEN
Y+K	K	GEBEN	NONE	Y	0	NONE	K|NONE|Y|OPEN	YES	1	1	BIOLOGICAL	1	shyk	POSTEN · GEBEN
Y+K+AIIN	K	GEBEN	NONE	Y|AIIN	0	NONE	NONCANONICAL_MULTISLOT	NO	5	3	SOURCE_SECTION_T|HERBAL|BIOLOGICAL	4	qykaiin|ykaiin	POSTEN · GEBEN · WERT
Y+K+AIN	K	GEBEN	NONE	Y|AIN	0	NONE	NONCANONICAL_MULTISLOT	NO	3	1	HERBAL	1	ykain	POSTEN · GEBEN · ANTEIL
Y+K+AIR	K	GEBEN	NONE	Y	0	AIR	K|NONE|Y|OPEN	YES	1	1	HERBAL	1	ykair	POSTEN · GEBEN · BAHN
Y+K+AL	K	GEBEN	NONE	Y	0	AL	K|NONE|Y|OPEN	YES	1	1	SOURCE_SECTION_T	1	ykal	POSTEN · GEBEN · ZIELORT
Y+K+AL+Y	K	GEBEN	NONE	Y|Y	0	AL	NONCANONICAL_MULTISLOT	NO	1	1	HERBAL	1	ykaly	POSTEN · GEBEN · ZIELORT · POSTEN
Y+K+AN	K	GEBEN	NONE	Y	0	NONE	K|NONE|Y|OPEN	YES	1	1	HERBAL	1	ykan	POSTEN · GEBEN · KLASSE
Y+K+AR	K	GEBEN	NONE	Y	0	AR	K|NONE|Y|OPEN	YES	3	3	HERBAL|BIOLOGICAL|PHARMA	3	ykar	POSTEN · GEBEN · AUSGANG
Y+K+E+DA+Y	K	GEBEN	E	Y|Y	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	BIOLOGICAL	1	ykeday	POSTEN · GEBEN · GRAD I · ZWEITE STUFE · POSTEN
Y+K+E+DY	K	GEBEN	E	Y	1	NONE	K|E|Y|CLOSE	YES	1	1	BIOLOGICAL	1	ykedy	POSTEN · GEBEN · GRAD I · SCHLUSS
Y+K+E+O	K	GEBEN	E	Y	0	NONE	K|E|Y|OPEN	YES	1	1	PHARMA	1	ykeo	POSTEN · GEBEN · GRAD I · AUSFÜHRUNG
Y+K+E+O+DY	K	GEBEN	E	Y	1	NONE	K|E|Y|CLOSE	YES	1	1	PHARMA	1	ykeody	POSTEN · GEBEN · GRAD I · AUSFÜHRUNG · SCHLUSS
Y+K+E+O+D_ADDR+AIN	K	GEBEN	E	Y|AIN	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	PHARMA	1	ykeodain	POSTEN · GEBEN · GRAD I · AUSFÜHRUNG · HIER · ANTEIL
Y+K+E+OL+OL	K	GEBEN	E	Y	0	OL|OL	K|E|Y|OPEN	YES	1	1	CELESTIAL	1	ykeolol	POSTEN · GEBEN · GRAD I · FORTSETZEN · FORTSETZEN
Y+K+E+OR	K	GEBEN	E	Y|OR	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	PHARMA	1	ykeor	POSTEN · GEBEN · GRAD I · EINHEIT
Y+K+EE+D_ADDR+Y	K	GEBEN	EE	Y|Y	0	NONE	NONCANONICAL_MULTISLOT	NO	2	1	BIOLOGICAL	2	ykeedy	POSTEN · GEBEN · GRAD II · HIER · POSTEN
Y+K+EE+OR	K	GEBEN	EE	Y|OR	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	PHARMA	1	ykeeor	POSTEN · GEBEN · GRAD II · EINHEIT
Y+K+EE+Y	K	GEBEN	EE	Y|Y	0	NONE	NONCANONICAL_MULTISLOT	NO	5	3	BIOLOGICAL|CELESTIAL|PHARMA	5	ykeey	POSTEN · GEBEN · GRAD II · POSTEN
Y+K+EEE+Y	K	GEBEN	EEE	Y|Y	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	PHARMA	1	ykeeey	POSTEN · GEBEN · GRAD III · POSTEN
Y+K+O+AIIN	K	GEBEN	NONE	Y|AIIN	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	CELESTIAL	1	ykoaiin	POSTEN · GEBEN · AUSFÜHRUNG · WERT
Y+K+OL	K	GEBEN	NONE	Y	0	OL	K|NONE|Y|OPEN	YES	3	2	HERBAL|BIOLOGICAL	2	ykchol|ykol	POSTEN · GEBEN · FORTSETZEN
Y+K+OL+Y	K	GEBEN	NONE	Y|Y	0	OL	NONCANONICAL_MULTISLOT	NO	3	2	HERBAL|CELESTIAL	2	ykeeoly|ykoly	POSTEN · GEBEN · FORTSETZEN · POSTEN
Y+K+OR	K	GEBEN	NONE	Y|OR	0	NONE	NONCANONICAL_MULTISLOT	NO	3	2	HERBAL|CELESTIAL	3	ykor	POSTEN · GEBEN · EINHEIT
Y+K+Y	K	GEBEN	NONE	Y|Y	0	NONE	NONCANONICAL_MULTISLOT	NO	4	2	HERBAL|CELESTIAL	3	ykchy|yky	POSTEN · GEBEN · POSTEN
Y+OK+E+O+D_ADDR+Y	OK	SETZEN	E	Y|Y	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	PHARMA	1	yokeody	POSTEN · SETZEN · GRAD I · AUSFÜHRUNG · HIER · POSTEN
Y+OK+EE+OL	OK	SETZEN	EE	Y	0	OL	OK|EE|Y|OPEN	YES	1	1	PHARMA	1	yokeeol	POSTEN · SETZEN · GRAD II · FORTSETZEN
Y+P+AIR	P	EINSETZEN	NONE	Y	0	AIR	P|NONE|Y|OPEN	YES	2	2	HERBAL|CELESTIAL	2	ypaim|ypair	POSTEN · EINSETZEN · BAHN
Y+P+O+D_ADDR	P	EINSETZEN	NONE	Y	0	NONE	P|NONE|Y|OPEN	YES	1	1	HERBAL	1	ypod	POSTEN · EINSETZEN · AUSFÜHRUNG · HIER
Y+SH+E+DY	SH	HALTEN	E	Y	1	NONE	SH|E|Y|CLOSE	YES	2	1	BIOLOGICAL	1	yshedy	POSTEN · HALTEN · GRAD I · SCHLUSS
Y+SH+E+O+D_ADDR	SH	HALTEN	E	Y	0	NONE	SH|E|Y|OPEN	YES	1	1	PHARMA	1	ysheod	POSTEN · HALTEN · GRAD I · AUSFÜHRUNG · HIER
Y+SH+E+OR	SH	HALTEN	E	Y|OR	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	BIOLOGICAL	1	ysheor	POSTEN · HALTEN · GRAD I · EINHEIT
Y+SH+E+Y	SH	HALTEN	E	Y|Y	0	NONE	NONCANONICAL_MULTISLOT	NO	4	3	SOURCE_SECTION_T|BIOLOGICAL|CELESTIAL	4	yshey	POSTEN · HALTEN · GRAD I · POSTEN
Y+SH+EE+Y	SH	HALTEN	EE	Y|Y	0	NONE	NONCANONICAL_MULTISLOT	NO	2	2	SOURCE_SECTION_T|BIOLOGICAL	2	ycheey|ysheey	POSTEN · HALTEN · GRAD II · POSTEN
Y+SH+OR	SH	HALTEN	NONE	Y|OR	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	PHARMA	1	yshor	POSTEN · HALTEN · EINHEIT
Y+T	T	EINSTELLEN	NONE	Y	0	NONE	T|NONE|Y|OPEN	YES	1	1	HERBAL	1	yt	POSTEN · EINSTELLEN
Y+T+AIIN	T	EINSTELLEN	NONE	Y|AIIN	0	NONE	NONCANONICAL_MULTISLOT	NO	2	2	HERBAL|BIOLOGICAL	2	ytaiin	POSTEN · EINSTELLEN · WERT
Y+T+AIN	T	EINSTELLEN	NONE	Y|AIN	0	NONE	NONCANONICAL_MULTISLOT	NO	3	2	SOURCE_SECTION_T|BIOLOGICAL	3	ytain	POSTEN · EINSTELLEN · ANTEIL
Y+T+AL	T	EINSTELLEN	NONE	Y	0	AL	T|NONE|Y|OPEN	YES	2	1	BIOLOGICAL	1	ytal	POSTEN · EINSTELLEN · ZIELORT
Y+T+AR	T	EINSTELLEN	NONE	Y	0	AR	T|NONE|Y|OPEN	YES	1	1	BIOLOGICAL	1	ytar	POSTEN · EINSTELLEN · AUSGANG
Y+T+E+DY	T	EINSTELLEN	E	Y	1	NONE	T|E|Y|CLOSE	YES	4	1	BIOLOGICAL	1	ytedy	POSTEN · EINSTELLEN · GRAD I · SCHLUSS
Y+T+E+O+DY	T	EINSTELLEN	E	Y	1	NONE	T|E|Y|CLOSE	YES	1	1	CELESTIAL	1	yteody	POSTEN · EINSTELLEN · GRAD I · AUSFÜHRUNG · SCHLUSS
Y+T+E+O+OR	T	EINSTELLEN	E	Y|OR	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	CELESTIAL	1	yteoor	POSTEN · EINSTELLEN · GRAD I · AUSFÜHRUNG · EINHEIT
Y+T+E+O+S_ADDR	T	EINSTELLEN	E	Y	0	NONE	T|E|Y|OPEN	YES	1	1	CELESTIAL	1	yteos	POSTEN · EINSTELLEN · GRAD I · AUSFÜHRUNG · HIER
Y+T+EE+Y	T	EINSTELLEN	EE	Y|Y	0	NONE	NONCANONICAL_MULTISLOT	NO	2	2	HERBAL|CELESTIAL	2	yoeteey|yteey	POSTEN · EINSTELLEN · GRAD II · POSTEN
Y+T+O	T	EINSTELLEN	NONE	Y	0	NONE	T|NONE|Y|OPEN	YES	2	2	SOURCE_SECTION_T|CELESTIAL	2	yto	POSTEN · EINSTELLEN · AUSFÜHRUNG
Y+T+O+DY	T	EINSTELLEN	NONE	Y	1	NONE	T|NONE|Y|CLOSE	YES	1	1	CELESTIAL	1	ytody	POSTEN · EINSTELLEN · AUSFÜHRUNG · SCHLUSS
Y+T+O+IIN	T	EINSTELLEN	NONE	Y	0	NONE	T|NONE|Y|OPEN	YES	1	1	HERBAL	1	ytoiin	POSTEN · EINSTELLEN · AUSFÜHRUNG · STUFE
Y+T+OL	T	EINSTELLEN	NONE	Y	0	OL	T|NONE|Y|OPEN	YES	1	1	HERBAL	1	ytol	POSTEN · EINSTELLEN · FORTSETZEN
Y+T+OR	T	EINSTELLEN	NONE	Y|OR	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	CELESTIAL	1	ytor	POSTEN · EINSTELLEN · EINHEIT
Y+T+Y	T	EINSTELLEN	NONE	Y|Y	0	NONE	NONCANONICAL_MULTISLOT	NO	7	2	HERBAL|PHARMA	5	ytchy|ytshy|yty	POSTEN · EINSTELLEN · POSTEN
