completed_action_ordinal	host_ordinal_global	statement_id	host_ordinal_in_statement	physical_page	primary_governor_key	anchor_event_id	action_slot_id	action_root	gdt584_rule_id	completion_layer	object_class	object_lemma_de	rendered_object_np_de	typing_card_id	reference_scope_card_id	reference_mode	source_pointer	gdt584_upstream_clause_de	gdt598_integrated_clause_de	clause_changed
509	4237	G407-S569	4	f83r	ACTION:G407-E3505@2:CHD	G407-E3505	RUNNING:G407-E3505@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E3503@1:CHD	Behandle den Ansatz	Behandle denselben Stationsansatz	YES
510	4240	G407-S570	2	f83r	ACTION:G407-E3507@1:CHD	G407-E3507	RUNNING:G407-E3507@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3507@1:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO
511	4243	G407-S571	1	f83r	ACTION:G407-E3509@2:CHD	G407-E3509	RUNNING:G407-E3509@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T05_WORKPIECE_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	NONE	Behandle den Ansatz über den Stationskontakt oder die Leitung	Behandle den Stationsansatz über den Stationskontakt oder die Leitung	YES
512	4246	G407-S572	2	f83r	ACTION:G407-E3511@1:S	G407-E3511	RUNNING:G407-E3511@1	S	S_REST_SELECT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E3510@1:OK	Wähle die Einheit aus	Wähle denselben Stationsansatz aus	YES
513	4250	G407-S572	6	f83r	ACTION:G407-E3512@2:SH	G407-E3512	RUNNING:G407-E3512@2	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E3512:RUNNING:G407-E3512@5|RUNNING:G407-E3513@4	Halte den Stationsansatz im Bad auf Grad II, auf Grad III, als neuer Bad- oder Stationsansatz, an der Stations-Arbeitsstelle und über den Stationskontakt oder die Leitung	Halte den Stationsansatz im Bad auf Grad II, auf Grad III, als neuer Bad- oder Stationsansatz, an der Stations-Arbeitsstelle und über den Stationskontakt oder die Leitung	NO
514	4255	G407-S572	11	f83r	ACTION:G407-E3517@2:SH	G407-E3517	RUNNING:G407-E3517@2	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E3517:RUNNING:G407-E3517@5	Halte den Stationsansatz im Bad auf Grad II und an der Stations-Arbeitsstelle	Halte den Stationsansatz im Bad auf Grad II und an der Stations-Arbeitsstelle	NO
515	4259	G407-S575	2	f83r	ACTION:G407-E3521@2:CHD	G407-E3521	RUNNING:G407-E3521@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T05_WORKPIECE_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	NONE	Behandle den Ansatz zur Zielstation oder ins Zielbecken	Behandle den Stationsansatz zur Zielstation oder ins Zielbecken	YES
516	4263	G407-S576	1	f83r	ACTION:G407-E3523@1:SH	G407-E3523	RUNNING:G407-E3523@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T03_BOUND_TYPED_REFERENCE	Q02_RIGHT_OR_TIE_DEFINITE	DEFINITE	RIGHT:G407-E3523:RUNNING:G407-E3523@6	Halte im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	YES
517	4265	G407-S576	3	f83r	ACTION:G407-E3523@4:T	G407-E3523	RUNNING:G407-E3523@4	T	T_BIO_STATION_REGULATE	GDT597_NONSH_OBJECT_PHRASEBOOK	CONDITION	Stationsbedingung	die Stationsbedingung	T02_ACTION_INTERNAL_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	NONE	Reguliere die Stationsbedingung	Reguliere die Stationsbedingung	NO
518	4266	G407-S576	4	f83r	ACTION:G407-E3523@5:CHD	G407-E3523	RUNNING:G407-E3523@5	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3523@5:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO
519	4268	G407-S576	6	f83r	ACTION:G407-E3525@1:CHD	G407-E3525	RUNNING:G407-E3525@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3525@1:CHD	Behandle den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken	Behandle den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken	NO
520	4275	G407-S578	1	f83r	ACTION:G407-E3530@2:SH	G407-E3530	RUNNING:G407-E3530@2	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E3530:RUNNING:G407-E3530@5	Halte den Stationsansatz im Bad auf Grad II, an der Stations-Arbeitsstelle und über den Stationskontakt oder die Leitung	Halte den Stationsansatz im Bad auf Grad II, an der Stations-Arbeitsstelle und über den Stationskontakt oder die Leitung	NO
521	4277	G407-S578	3	f83r	ACTION:G407-E3531@2:CHD	G407-E3531	RUNNING:G407-E3531@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E3530@2:SH	Behandle den Ansatz	Behandle denselben Stationsansatz	YES
522	4280	G407-S579	2	f83r	ACTION:G407-E3533@1:SH	G407-E3533	RUNNING:G407-E3533@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T03_BOUND_TYPED_REFERENCE	Q02_RIGHT_OR_TIE_DEFINITE	DEFINITE	RIGHT:G407-E3533:RUNNING:G407-E3533@6	Halte im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	YES
523	4283	G407-S579	5	f83r	ACTION:G407-E3534@4:SH	G407-E3534	RUNNING:G407-E3534@4	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E3534:RUNNING:G407-E3534@6	Halte den Stationsansatz im Bad an der Stations-Arbeitsstelle	Halte den Stationsansatz im Bad an der Stations-Arbeitsstelle	NO
524	4290	G407-S579	12	f83r	ACTION:G407-E3537@3:S	G407-E3537	RUNNING:G407-E3537@3	S	S_REST_SELECT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E3536@2:K	Wähle die Einheit aus	Wähle denselben Stationsansatz aus	YES
525	4293	G407-S579	15	f83r	ACTION:G407-E3539@2:S	G407-E3539	RUNNING:G407-E3539@2	S	S_REST_SELECT	GDT597_NONSH_OBJECT_PHRASEBOOK	MEASURE	Stationsmaß	das Stationsmaß	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3539@2:S	Wähle das Stations- oder Badmaß aus	Wähle das Stationsmaß aus	YES
526	4294	G407-S579	16	f83r	ACTION:G407-E3541@1:S	G407-E3541	RUNNING:G407-E3541@1	S	S_REST_SELECT	GDT597_NONSH_OBJECT_PHRASEBOOK	MEASURE	Stationsmaß	dasselbe Stationsmaß	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E3539@2:S	Wähle die Einheit aus	Wähle dasselbe Stationsmaß aus	YES
527	4297	G407-S579	19	f83r	ACTION:G407-E3543@2:T	G407-E3543	RUNNING:G407-E3543@2	T	T_BIO_STATION_REGULATE	GDT597_NONSH_OBJECT_PHRASEBOOK	CONDITION	Stationsbedingung	die Stationsbedingung	T02_ACTION_INTERNAL_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	NONE	Reguliere die Stationsbedingung zur Zielstation oder ins Zielbecken	Reguliere die Stationsbedingung zur Zielstation oder ins Zielbecken	NO
528	4298	G407-S579	20	f83r	ACTION:G407-E3544@1:S	G407-E3544	RUNNING:G407-E3544@1	S	S_REST_SELECT	GDT597_NONSH_OBJECT_PHRASEBOOK	MEASURE	Stationsmaß	das Stationsmaß	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3544@1:S	Wähle das Stations- oder Badmaß aus	Wähle das Stationsmaß aus	YES
529	4301	G407-S579	23	f83r	ACTION:G407-E3548@1:S	G407-E3548	RUNNING:G407-E3548@1	S	S_REST_SELECT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E3546@2:K	Wähle die Einheit an der Stations-Nebenstelle aus	Wähle denselben Stationsansatz an der Stations-Nebenstelle aus	YES
530	4302	G407-S579	24	f83r	ACTION:G407-E3549@1:S	G407-E3549	RUNNING:G407-E3549@1	S	S_REST_SELECT	GDT597_NONSH_OBJECT_PHRASEBOOK	UNIT	Stationseinheit	die Stationseinheit	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3549@1:S	Wähle die Becken- oder Körpereinheit aus	Wähle die Stationseinheit aus	YES
531	4303	G407-S579	25	f83r	ACTION:G407-E3550@1:SH	G407-E3550	RUNNING:G407-E3550@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	UNIT	Stationseinheit	dieselbe Stationseinheit	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	ANAPHORIC	HANDOFF:G407-E3549:RUNNING:G407-E3549@2	Halte im Bad auf Grad I	Halte dieselbe Stationseinheit im Bad auf Grad I	YES
532	4310	G407-S580	6	f83r	ACTION:G407-E3553@3:T	G407-E3553	RUNNING:G407-E3553@3	T	T_PHYSICAL_GRADE_TEMPER	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3553@3:T	Temperiere den Stationsansatz auf Grad I	Temperiere den Stationsansatz auf Grad I	NO
533	4314	G407-S581	2	f83r	ACTION:G407-E3556@1:SH	G407-E3556	RUNNING:G407-E3556@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T05_BODY_FIRST_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	DEFAULT:BODY	Halte im Bad auf Grad II	Halte den Körper im Bad auf Grad II	YES
534	4316	G407-S582	1	f83r	ACTION:G407-E3557@2:CHD	G407-E3557	RUNNING:G407-E3557@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T05_WORKPIECE_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	NONE	Behandle den Ansatz über den Stationskontakt oder die Leitung	Behandle den Stationsansatz über den Stationskontakt oder die Leitung	YES
535	4321	G407-S583	4	f83r	ACTION:G407-E3560@1:SH	G407-E3560	RUNNING:G407-E3560@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T03_BOUND_TYPED_REFERENCE	Q02_RIGHT_OR_TIE_DEFINITE	DEFINITE	RIGHT:G407-E3560:RUNNING:G407-E3560@5	Halte im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	YES
536	4326	G407-S583	9	f83r	ACTION:G407-E3563@1:SH	G407-E3563	RUNNING:G407-E3563@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T03_BOUND_TYPED_REFERENCE	Q02_RIGHT_OR_TIE_DEFINITE	DEFINITE	RIGHT:G407-E3563:RUNNING:G407-E3563@6	Halte im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	YES
537	4332	G407-S585	2	f83r	ACTION:G407-E3568@1:S	G407-E3568	RUNNING:G407-E3568@1	S	S_BIO_DIVERT	GDT597_NONSH_OBJECT_PHRASEBOOK	FLOW	Strom	den Strom	T02_ACTION_INTERNAL_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	NONE	Leite den Strom zur Zielstation oder ins Zielbecken um	Leite den Strom zur Zielstation oder ins Zielbecken um	NO
538	4334	G407-S585	4	f83r	ACTION:G407-E3569@1:T	G407-E3569	RUNNING:G407-E3569@1	T	T_BIO_STATION_REGULATE	GDT597_NONSH_OBJECT_PHRASEBOOK	CONDITION	Stationsbedingung	die Stationsbedingung	T02_ACTION_INTERNAL_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	NONE	Reguliere die Stationsbedingung von der Ausgangsstation oder aus dem Ausgangsbecken	Reguliere die Stationsbedingung von der Ausgangsstation oder aus dem Ausgangsbecken	NO
539	4335	G407-S585	5	f83r	ACTION:G407-E3570@1:SH	G407-E3570	RUNNING:G407-E3570@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T05_BODY_FIRST_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	DEFAULT:BODY	Halte im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES
540	4337	G407-S586	1	f83r	ACTION:G407-E3571@1:S	G407-E3571	RUNNING:G407-E3571@1	S	S_BIO_DIVERT	GDT597_NONSH_OBJECT_PHRASEBOOK	FLOW	Strom	den Strom	T02_ACTION_INTERNAL_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	NONE	Leite den Strom zur Zielstation oder ins Zielbecken um	Leite den Strom zur Zielstation oder ins Zielbecken um	NO
541	4338	G407-S586	2	f83r	ACTION:G407-E3572@2:T	G407-E3572	RUNNING:G407-E3572@2	T	T_PHYSICAL_GRADE_TEMPER	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3572@2:T	Temperiere den Stationsansatz auf Grad I und an der Stations-Arbeitsstelle	Temperiere den Stationsansatz auf Grad I und an der Stations-Arbeitsstelle	NO
542	4339	G407-S586	3	f83r	ACTION:G407-E3573@1:S	G407-E3573	RUNNING:G407-E3573@1	S	S_BIO_DIVERT	GDT597_NONSH_OBJECT_PHRASEBOOK	FLOW	Strom	den Strom	T02_ACTION_INTERNAL_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	NONE	Leite den Strom entlang des Stationswegs oder Kanals um	Leite den Strom entlang des Stationswegs oder Kanals um	NO
543	4344	G407-S589	3	f83r	ACTION:G407-E3578@2:CHD	G407-E3578	RUNNING:G407-E3578@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3578@2:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO
544	4347	G407-S590	1	f83r	ACTION:G407-E3580@1:SH	G407-E3580	RUNNING:G407-E3580@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T05_BODY_FIRST_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	DEFAULT:BODY	Halte im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES
545	4350	G407-S591	2	f83r	ACTION:G407-E3581@2:SH	G407-E3581	RUNNING:G407-E3581@2	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T05_BODY_FIRST_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	DEFAULT:BODY	Halte im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES
546	4353	G407-S592	2	f83r	ACTION:G407-E3583@2:CHD	G407-E3583	RUNNING:G407-E3583@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T05_WORKPIECE_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	NONE	Behandle den Ansatz über den Stationskontakt oder die Leitung	Behandle den Stationsansatz über den Stationskontakt oder die Leitung	YES
547	4358	G407-S593	4	f83r	ACTION:G407-E3585@3:T	G407-E3585	RUNNING:G407-E3585@3	T	T_BIO_STATION_REGULATE	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3585@3:T	Reguliere den Stationsansatz zur Zielstation oder ins Zielbecken	Reguliere den Stationsansatz zur Zielstation oder ins Zielbecken	NO
548	4359	G407-S593	5	f83r	ACTION:G407-E3588@1:S	G407-E3588	RUNNING:G407-E3588@1	S	S_REST_SELECT	GDT597_NONSH_OBJECT_PHRASEBOOK	MEASURE	Stationsmaß	das Stationsmaß	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3588@1:S	Wähle das Stations- oder Badmaß aus	Wähle das Stationsmaß aus	YES
549	4360	G407-S593	6	f83r	ACTION:G407-E3589@1:SH	G407-E3589	RUNNING:G407-E3589@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T02_BLOCKER_STATION	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	BLOCKER:AL	Halte im Bad auf Grad I und zur Zielstation oder ins Zielbecken	Halte den Stationsansatz im Bad auf Grad I und zur Zielstation oder ins Zielbecken	YES
550	4361	G407-S593	7	f83r	ACTION:G407-E3590@1:SH	G407-E3590	RUNNING:G407-E3590@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	ANAPHORIC	CARRY:G407-E3589	Halte im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES
551	4363	G407-S593	9	f83r	ACTION:G407-E3590@4:T	G407-E3590	RUNNING:G407-E3590@4	T	T_BIO_STATION_REGULATE	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3590@4:T	Reguliere den Stationsansatz	Reguliere den Stationsansatz	NO
552	4364	G407-S593	10	f83r	ACTION:G407-E3592@1:T	G407-E3592	RUNNING:G407-E3592@1	T	T_BIO_STATION_REGULATE	GDT597_NONSH_OBJECT_PHRASEBOOK	CONDITION	Stationsbedingung	die Stationsbedingung	T02_ACTION_INTERNAL_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	NONE	Reguliere die Stationsbedingung zur Zielstation oder ins Zielbecken	Reguliere die Stationsbedingung zur Zielstation oder ins Zielbecken	NO
553	4367	G407-S593	13	f83r	ACTION:G407-E3593@3:T	G407-E3593	RUNNING:G407-E3593@3	T	T_BIO_STATION_REGULATE	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3593@3:T	Reguliere den Stationsansatz zur Zielstation oder ins Zielbecken	Reguliere den Stationsansatz zur Zielstation oder ins Zielbecken	NO
554	4368	G407-S593	14	f83r	ACTION:G407-E3594@2:CHD	G407-E3594	RUNNING:G407-E3594@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E3593@3:T	Behandle den Ansatz	Behandle denselben Stationsansatz	YES
555	4371	G407-S594	2	f83r	ACTION:G407-E3595@2:CHD	G407-E3595	RUNNING:G407-E3595@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T05_WORKPIECE_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	NONE	Behandle den Ansatz	Behandle den Stationsansatz	YES
556	4373	G407-S595	1	f83r	ACTION:G407-E3596@2:CHD	G407-E3596	RUNNING:G407-E3596@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T05_WORKPIECE_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	NONE	Behandle den Ansatz über den Stationskontakt oder die Leitung	Behandle den Stationsansatz über den Stationskontakt oder die Leitung	YES
557	4375	G407-S596	1	f83r	ACTION:G407-E3597@1:T	G407-E3597	RUNNING:G407-E3597@1	T	T_BIO_STATION_REGULATE	GDT597_NONSH_OBJECT_PHRASEBOOK	CONDITION	Stationsbedingung	die Stationsbedingung	T02_ACTION_INTERNAL_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	NONE	Reguliere die Stationsbedingung	Reguliere die Stationsbedingung	NO
558	4376	G407-S596	2	f83r	ACTION:G407-E3597@2:CHD	G407-E3597	RUNNING:G407-E3597@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3597@2:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO
559	4378	G407-S596	4	f83r	ACTION:G407-E3598@2:CHD	G407-E3598	RUNNING:G407-E3598@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E3597@2:CHD	Behandle den Ansatz	Behandle denselben Stationsansatz	YES
560	4381	G407-S597	2	f83r	ACTION:G407-E3601@1:CHD	G407-E3601	RUNNING:G407-E3601@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3601@1:CHD	Behandle das Stations- oder Badmaß und den Stationsansatz über den Stationskontakt oder die Leitung	Behandle das Stationsmaß und den Stationsansatz über den Stationskontakt oder die Leitung	YES
561	4384	G407-S597	5	f83r	ACTION:G407-E3603@2:T	G407-E3603	RUNNING:G407-E3603@2	T	T_BIO_STATION_REGULATE	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3603@2:T	Reguliere den Stationsansatz zur Zielstation oder ins Zielbecken	Reguliere den Stationsansatz zur Zielstation oder ins Zielbecken	NO
562	4392	G407-S597	13	f83r	ACTION:G407-E3608@2:T	G407-E3608	RUNNING:G407-E3608@2	T	T_BIO_STATION_REGULATE	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3608@2:T	Reguliere den Stationsansatz und das Stations- oder Badmaß	Reguliere den Stationsansatz und das Stationsmaß	YES
563	4393	G407-S597	14	f83r	ACTION:G407-E3609@1:SH	G407-E3609	RUNNING:G407-E3609@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	ANAPHORIC	GDT595:G407-E3609:RUNNING:G407-E3608@1	Halte im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES
564	4395	G407-S597	16	f83r	ACTION:G407-E3610@1:S	G407-E3610	RUNNING:G407-E3610@1	S	S_REST_SELECT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E3609@3:CH	Wähle die Einheit aus	Wähle denselben Stationsansatz aus	YES
565	4397	G407-S597	18	f83r	ACTION:G407-E3610@4:T	G407-E3610	RUNNING:G407-E3610@4	T	T_BIO_STATION_REGULATE	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E3610@4:T	Reguliere den Stationsansatz	Reguliere den Stationsansatz	NO
