component_recipe	current_event_count	current_page_count	current_register_count	one_event_jackknife_outcome	whole_recipe_deletion_fixed_reader_outcome	regenerated_neighbor_count	regenerated_fallback_rank	regenerated_source_recipes	literal_reading_de
S+AL+S+AIN	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · ZIELORT · WÄHLEN · ANTEIL
S+AL+S+AL+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · ZIELORT · WÄHLEN · ZIELORT · POSTEN
S+AM_ADDR	3	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	CH+AM_ADDR	WÄHLEN · HIER
S+AR	15	10	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	S+AIR | S+AL | S+L	WÄHLEN · AUSGANG
S+AR+AL	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	S+AIR+AL	WÄHLEN · AUSGANG · ZIELORT
S+AR+OL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · AUSGANG · FORTSETZEN
S+A_ADDR	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	CH+A_ADDR	WÄHLEN · HIER
S+A_ADDR+IIN+S+OL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · HIER · STUFE · WÄHLEN · FORTSETZEN
S+A_ADDR+L+SH+CH+T+D_ADDR+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · HIER · VERBINDUNG · HALTEN · NEHMEN · EINSTELLEN · HIER · POSTEN
S+A_ADDR+L+SH+E+Y	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · HIER · VERBINDUNG · HALTEN · GRAD I · POSTEN
S+CH+E+O+R	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · NEHMEN · GRAD I · AUSFÜHRUNG · MARKIEREN
S+CH+E+T+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · NEHMEN · GRAD I · EINSTELLEN · POSTEN
S+CH+E+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · NEHMEN · GRAD I · POSTEN
S+CH+K+E+Y	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	CH+CH+K+E+Y	WÄHLEN · NEHMEN · GEBEN · GRAD I · POSTEN
S+E+P+CH+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · GRAD I · EINSETZEN · NEHMEN · POSTEN
S+EE+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · GRAD II · POSTEN
S+K+AL	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	CH+K+AL	WÄHLEN · GEBEN · ZIELORT
S+K+CHD+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · GEBEN · BEARBEITEN · SCHLUSS
S+L	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	4	REGENERATED_HIGH	CH+L | S+AIR | S+AL | S+AR	WÄHLEN · VERBINDUNG
S+O+CH+T+O+D_ADDR+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · AUSFÜHRUNG · NEHMEN · EINSTELLEN · AUSFÜHRUNG · HIER · POSTEN
S+O+DA+R	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · AUSFÜHRUNG · ZWEITE STUFE · MARKIEREN
S+O+EE+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · AUSFÜHRUNG · GRAD II · POSTEN
S+O+IIN	3	3	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · AUSFÜHRUNG · STUFE
S+O+LOCAL_CHAR_I+IIN	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · AUSFÜHRUNG · VARIANTE · STUFE
S+O+M_LOCAL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · AUSFÜHRUNG · HIER
S+O+SH+O	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · AUSFÜHRUNG · HALTEN · AUSFÜHRUNG
S+O+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · AUSFÜHRUNG · POSTEN
S+OK+CH+EE+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · SETZEN · NEHMEN · GRAD II · POSTEN
S+OK+E+O+D_ADDR+AIIN	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · SETZEN · GRAD I · AUSFÜHRUNG · HIER · WERT
S+OK+EE+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · SETZEN · GRAD II · SCHLUSS
S+OL+AR+OL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · FORTSETZEN · AUSGANG · FORTSETZEN
S+OL+CH+K+AL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · FORTSETZEN · NEHMEN · GEBEN · ZIELORT
S+OL+CHD+Y	3	3	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · FORTSETZEN · BEARBEITEN · POSTEN
S+OL+D_ADDR+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · FORTSETZEN · HIER · POSTEN
S+OL+SH+E	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · FORTSETZEN · HALTEN · GRAD I
S+OR	9	7	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	CH+OR | S+AIIN | S+AIN	WÄHLEN · EINHEIT
S+OR+AIIN+R	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · EINHEIT · WERT · MARKIEREN
S+OR+SH+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · EINHEIT · HALTEN · POSTEN
S+OR+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · EINHEIT · POSTEN
S+OT+AIIN	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	S+OT+Y	WÄHLEN · DANACH · WERT
S+OT+E+OL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · DANACH · GRAD I · FORTSETZEN
S+OT+O+D_ADDR+AN	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · DANACH · AUSFÜHRUNG · HIER · KLASSE
S+OT+Y	1	1	1	REGENERATED_NARROW	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	CH+OT+Y | S+OT+AIIN	WÄHLEN · DANACH · POSTEN
S+SH+E+CH+K+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · HALTEN · GRAD I · NEHMEN · GEBEN · POSTEN
S+SH+E+DY	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · HALTEN · GRAD I · SCHLUSS
S+SH+E+OL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · HALTEN · GRAD I · FORTSETZEN
S+SH+E+Y	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · HALTEN · GRAD I · POSTEN
S+SH+O+L+SH+E+CH+T+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · HALTEN · AUSFÜHRUNG · VERBINDUNG · HALTEN · GRAD I · NEHMEN · EINSTELLEN · POSTEN
S+Y+IIN+R	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	WÄHLEN · POSTEN · STUFE · MARKIEREN
SH	4	4	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	CHD	HALTEN
SH+AIIN	4	3	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	CHD+AIIN | SH+OR | SH+Y	HALTEN · WERT
SH+AL	1	1	1	REGENERATED_NARROW	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	CHD+AL | SH+AR	HALTEN · ZIELORT
SH+AR	3	3	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	CHD+AR | SH+AL	HALTEN · AUSGANG
SH+CH+K+E+DY	3	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · NEHMEN · GEBEN · GRAD I · SCHLUSS
SH+CH+K+E+Y	3	3	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · NEHMEN · GEBEN · GRAD I · POSTEN
SH+CH+K+Y	11	4	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · NEHMEN · GEBEN · POSTEN
SH+CH+T+AIIN	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	SH+CH+T+Y	HALTEN · NEHMEN · EINSTELLEN · WERT
SH+CH+T+E+Y	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · NEHMEN · EINSTELLEN · GRAD I · POSTEN
SH+CH+T+Y	5	3	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	SH+CH+T+AIIN	HALTEN · NEHMEN · EINSTELLEN · POSTEN
SH+DY	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	CHD+DY	HALTEN · SCHLUSS
SH+D_ADDR+Y	5	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · HIER · POSTEN
SH+E	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I
SH+E+AIIN	4	3	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	SH+E+AIN | SH+E+OR | SH+E+Y	HALTEN · GRAD I · WERT
SH+E+AIN	1	1	1	REGENERATED_STRONG	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	SH+E+AIIN | SH+E+OR | SH+E+Y	HALTEN · GRAD I · ANTEIL
SH+E+AL	5	4	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	SH+E+AR	HALTEN · GRAD I · ZIELORT
SH+E+AL+OL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · ZIELORT · FORTSETZEN
SH+E+AL+S	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · ZIELORT · WÄHLEN
SH+E+AR	6	5	4	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	SH+E+AL	HALTEN · GRAD I · AUSGANG
SH+E+CH+K+AL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · NEHMEN · GEBEN · ZIELORT
SH+E+CH+K+D_ADDR+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · NEHMEN · GEBEN · HIER · POSTEN
SH+E+CH+K+E+DY	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · NEHMEN · GEBEN · GRAD I · SCHLUSS
SH+E+CH+K+E+Y	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · NEHMEN · GEBEN · GRAD I · POSTEN
SH+E+CH+K+Y	4	3	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	SH+E+CH+P+Y	HALTEN · GRAD I · NEHMEN · GEBEN · POSTEN
SH+E+CH+P+Y	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	SH+E+CH+K+Y	HALTEN · GRAD I · NEHMEN · EINSETZEN · POSTEN
SH+E+CH+T+CHD+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · NEHMEN · EINSTELLEN · BEARBEITEN · POSTEN
SH+E+CH+T+E+D_ADDR+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · NEHMEN · EINSTELLEN · GRAD I · HIER · POSTEN
SH+E+CH+T+Y	5	3	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · NEHMEN · EINSTELLEN · POSTEN
SH+E+CH+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · NEHMEN · POSTEN
SH+E+DY	110	9	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · SCHLUSS
SH+E+D_ADDR	2	1	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · HIER
SH+E+D_ADDR+AR	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · HIER · AUSGANG
SH+E+K	2	1	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · GEBEN
SH+E+K+AIIN	1	1	1	REGENERATED_NARROW	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	SH+E+K+OR | SH+E+K+Y	HALTEN · GRAD I · GEBEN · WERT
SH+E+K+AL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · GEBEN · ZIELORT
SH+E+K+E+D_ADDR+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · GEBEN · GRAD I · HIER · POSTEN
SH+E+K+O+IIN	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · GEBEN · AUSFÜHRUNG · STUFE
SH+E+K+OR	1	1	1	REGENERATED_NARROW	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	SH+E+K+AIIN | SH+E+K+Y	HALTEN · GRAD I · GEBEN · EINHEIT
SH+E+K+SH+E+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · GEBEN · HALTEN · GRAD I · POSTEN
SH+E+K+Y	3	3	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	4	REGENERATED_HIGH	SH+E+K+AIIN | SH+E+K+OR | SH+E+OK+Y | SH+E+P+Y	HALTEN · GRAD I · GEBEN · POSTEN
SH+E+K+Y+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · GEBEN · POSTEN · SCHLUSS
SH+E+O	5	4	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · AUSFÜHRUNG
SH+E+O+AL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · AUSFÜHRUNG · ZIELORT
SH+E+O+AM_ADDR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · AUSFÜHRUNG · HIER
SH+E+O+D_ADDR+Y	5	5	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · AUSFÜHRUNG · HIER · POSTEN
SH+E+O+S	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · AUSFÜHRUNG · WÄHLEN
SH+E+OK+E+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · SETZEN · GRAD I · POSTEN
SH+E+OK+Y	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	SH+E+K+Y | SH+E+P+Y	HALTEN · GRAD I · SETZEN · POSTEN
SH+E+OL	15	9	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · FORTSETZEN
SH+E+OL+AIIN	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	SH+E+OL+Y	HALTEN · GRAD I · FORTSETZEN · WERT
SH+E+OL+D_ADDR+LOCAL_CHAR_G	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · FORTSETZEN · HIER · VARIANTE
SH+E+OL+T+E+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · FORTSETZEN · EINSTELLEN · GRAD I · POSTEN
SH+E+OL+Y	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	SH+E+OL+AIIN	HALTEN · GRAD I · FORTSETZEN · POSTEN
SH+E+OR	5	4	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	SH+E+AIIN | SH+E+AIN | SH+E+Y	HALTEN · GRAD I · EINHEIT
SH+E+P+CH+OL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · EINSETZEN · NEHMEN · FORTSETZEN
SH+E+P+Y	1	1	1	REGENERATED_NARROW	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	SH+E+K+Y | SH+E+OK+Y	HALTEN · GRAD I · EINSETZEN · POSTEN
SH+E+S	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · WÄHLEN
SH+E+T+AR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · EINSTELLEN · AUSGANG
SH+E+T+E+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · EINSTELLEN · GRAD I · POSTEN
SH+E+Y	44	14	5	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	SH+E+AIIN | SH+E+AIN | SH+E+OR	HALTEN · GRAD I · POSTEN
SH+E+Y+CH+T+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · POSTEN · NEHMEN · EINSTELLEN · POSTEN
SH+E+Y+K	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · POSTEN · GEBEN
SH+E+Y+R	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HALTEN · GRAD I · POSTEN · MARKIEREN
