component_recipe	intake_tier	tier_priority	literal_reading_de	generic_workshop_phrase_de	support_count	support_kind	registers	sample_surface	sample_existing_clause_de	intake_action	surface_rule
K+CH+Y	T2_FUTURE_STRONG	2	GEBEN · NEHMEN · POSTEN	Gib den Posten; nimm den Posten.	3	DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	READ_WITH_MAIN_FUTURE_CARD	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
K+L	T2_FUTURE_STRONG	2	GEBEN · VERBINDUNG	Gib über die Verbindung.	3	DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	READ_WITH_MAIN_FUTURE_CARD	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
L+CHD+L	T2_FUTURE_STRONG	2	VERBINDUNG · BEARBEITEN · VERBINDUNG	Bearbeite über die Verbindung und über die Verbindung.	3	DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	READ_WITH_MAIN_FUTURE_CARD	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
L+K+OR	T2_FUTURE_STRONG	2	VERBINDUNG · GEBEN · EINHEIT	Gib die Einheit über die Verbindung.	3	DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	READ_WITH_MAIN_FUTURE_CARD	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
O+OR	T2_FUTURE_STRONG	2	AUSFÜHRUNG · EINHEIT	Führe die Einheit aus.	3	DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	READ_WITH_MAIN_FUTURE_CARD	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
OK+CH+AIIN	T2_FUTURE_STRONG	2	SETZEN · NEHMEN · WERT	Setze den Wert; nimm den Wert.	3	DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	READ_WITH_MAIN_FUTURE_CARD	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
OK+L	T2_FUTURE_STRONG	2	SETZEN · VERBINDUNG	Setze über die Verbindung.	3	DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	READ_WITH_MAIN_FUTURE_CARD	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
OL+K+OR	T2_FUTURE_STRONG	2	FORTSETZEN · GEBEN · EINHEIT	Weiter: Gib die Einheit.	3	DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	READ_WITH_MAIN_FUTURE_CARD	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
OT+E+AIN	T2_FUTURE_STRONG	2	DANACH · GRAD I · ANTEIL	Danach: Anteil auf Grad I.	3	DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	READ_WITH_MAIN_FUTURE_CARD	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
P+AIIN	T2_FUTURE_STRONG	2	EINSETZEN · WERT	Setze den Wert ein.	3	DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	READ_WITH_MAIN_FUTURE_CARD	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
P+AIN	T2_FUTURE_STRONG	2	EINSETZEN · ANTEIL	Setze den Anteil ein.	3	DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	READ_WITH_MAIN_FUTURE_CARD	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
P+AIR	T2_FUTURE_STRONG	2	EINSETZEN · BAHN	Setze entlang der Bahn ein.	3	DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	READ_WITH_MAIN_FUTURE_CARD	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
P+AL	T2_FUTURE_STRONG	2	EINSETZEN · ZIELORT	Setze am Zielort ein.	3	DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	READ_WITH_MAIN_FUTURE_CARD	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
P+OR	T2_FUTURE_STRONG	2	EINSETZEN · EINHEIT	Setze die Einheit ein.	3	DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	READ_WITH_MAIN_FUTURE_CARD	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
P+SH+AL	T2_FUTURE_STRONG	2	EINSETZEN · HALTEN · ZIELORT	Setze ein; halte am Zielort.	3	DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	READ_WITH_MAIN_FUTURE_CARD	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
P+SH+Y	T2_FUTURE_STRONG	2	EINSETZEN · HALTEN · POSTEN	Setze den Posten ein; halte den Posten.	3	DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	READ_WITH_MAIN_FUTURE_CARD	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
S+Y	T2_FUTURE_STRONG	2	WÄHLEN · POSTEN	Wähle den Posten.	3	DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	READ_WITH_MAIN_FUTURE_CARD	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
SH+AIR	T2_FUTURE_STRONG	2	HALTEN · BAHN	Halte entlang der Bahn.	3	DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	READ_WITH_MAIN_FUTURE_CARD	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
SH+E+K+AIN	T2_FUTURE_STRONG	2	HALTEN · GRAD I · GEBEN · ANTEIL	Halte den Anteil; gib den Anteil auf Grad I.	3	DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	READ_WITH_MAIN_FUTURE_CARD	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
SH+OK+Y	T2_FUTURE_STRONG	2	HALTEN · SETZEN · POSTEN	Halte den Posten; setze den Posten.	3	DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	READ_WITH_MAIN_FUTURE_CARD	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
T+CHD+OR	T2_FUTURE_STRONG	2	EINSTELLEN · BEARBEITEN · EINHEIT	Stelle die Einheit ein; bearbeite die Einheit.	3	DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	READ_WITH_MAIN_FUTURE_CARD	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
T+OR	T2_FUTURE_STRONG	2	EINSTELLEN · EINHEIT	Stelle die Einheit ein.	3	DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	READ_WITH_MAIN_FUTURE_CARD	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
Y+AIIN	T2_FUTURE_STRONG	2	POSTEN · WERT	Wert des Postens.	3	DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	READ_WITH_MAIN_FUTURE_CARD	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
Y+AIR	T2_FUTURE_STRONG	2	POSTEN · BAHN	Posten entlang der Bahn.	3	DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	READ_WITH_MAIN_FUTURE_CARD	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
Y+K+L	T2_FUTURE_STRONG	2	POSTEN · GEBEN · VERBINDUNG	Gib den Posten über die Verbindung.	3	DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	READ_WITH_MAIN_FUTURE_CARD	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
Y+OR	T2_FUTURE_STRONG	2	POSTEN · EINHEIT	Einheit des Postens.	3	DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	READ_WITH_MAIN_FUTURE_CARD	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+AIN	T3_SECOND_RING_AMBER	3	BAHN · ANTEIL	Entlang der Bahn: Anteil.	4	OBSERVED_BASES_WITH_FOUR_STRONG_ARMS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	READ_WITH_SECOND_RING_AMBER_CARD	DO_NOT_INVENT_SURFACE__SECOND_RING_COMPONENT_READING_ONLY
P+L	T3_SECOND_RING_AMBER	3	EINSETZEN · VERBINDUNG	Setze über die Verbindung ein.	4	OBSERVED_BASES_WITH_FOUR_STRONG_ARMS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	READ_WITH_SECOND_RING_AMBER_CARD	DO_NOT_INVENT_SURFACE__SECOND_RING_COMPONENT_READING_ONLY
AIIN+AIIN	T4_NARROW_APPENDIX	4	WERT · WERT	Äußerer Wert; innerer Wert.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIIN+AL	T4_NARROW_APPENDIX	4	WERT · ZIELORT	Wert am Zielort.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIIN+OR	T4_NARROW_APPENDIX	4	WERT · EINHEIT	Wert der Einheit.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIN+AIN	T4_NARROW_APPENDIX	4	ANTEIL · ANTEIL	Äußerer Anteil; innerer Anteil.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIN+AL	T4_NARROW_APPENDIX	4	ANTEIL · ZIELORT	Anteil am Zielort.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+AL	T4_NARROW_APPENDIX	4	BAHN · ZIELORT	Entlang der Bahn und am Zielort.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+CHD	T4_NARROW_APPENDIX	4	BAHN · BEARBEITEN	Bearbeite entlang der Bahn.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+CHD+DY	T4_NARROW_APPENDIX	4	BAHN · BEARBEITEN · SCHLUSS	Bearbeite entlang der Bahn; schließe den Schritt.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+DY	T4_NARROW_APPENDIX	4	BAHN · SCHLUSS	Entlang der Bahn; schließe den Schritt.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+K+AIN	T4_NARROW_APPENDIX	4	BAHN · GEBEN · ANTEIL	Gib den Anteil entlang der Bahn.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+O	T4_NARROW_APPENDIX	4	BAHN · AUSFÜHRUNG	Entlang der Bahn.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+OL+Y	T4_NARROW_APPENDIX	4	BAHN · FORTSETZEN · POSTEN	Weiter: Entlang der Bahn: Posten.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+OR	T4_NARROW_APPENDIX	4	BAHN · EINHEIT	Entlang der Bahn: Einheit.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AIR+SH+E+DY	T4_NARROW_APPENDIX	4	BAHN · HALTEN · GRAD I · SCHLUSS	Halte entlang der Bahn auf Grad I; schließe den Schritt.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AL+AR	T4_NARROW_APPENDIX	4	ZIELORT · AUSGANG	Am Zielort und vom Ausgang.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AL+CH	T4_NARROW_APPENDIX	4	ZIELORT · NEHMEN	Nimm am Zielort.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AL+CH+Y	T4_NARROW_APPENDIX	4	ZIELORT · NEHMEN · POSTEN	Nimm den Posten am Zielort.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AL+CHD+Y	T4_NARROW_APPENDIX	4	ZIELORT · BEARBEITEN · POSTEN	Bearbeite den Posten am Zielort.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AL+D_ADDR+AIN	T4_NARROW_APPENDIX	4	ZIELORT · HIER · ANTEIL	Am Zielort: Anteil hier.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AL+D_ADDR+OR	T4_NARROW_APPENDIX	4	ZIELORT · HIER · EINHEIT	Am Zielort: Einheit hier.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AL+K+AIIN	T4_NARROW_APPENDIX	4	ZIELORT · GEBEN · WERT	Gib den Wert am Zielort.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AL+K+Y	T4_NARROW_APPENDIX	4	ZIELORT · GEBEN · POSTEN	Gib den Posten am Zielort.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AL+OL+Y	T4_NARROW_APPENDIX	4	ZIELORT · FORTSETZEN · POSTEN	Weiter: Am Zielort: Posten.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
