assignment_ordinal	cohort	event_id	statement_id	physical_page	register	surface	recipe	relation_state_projection	relation_argument_state_projection	relation_occurrence_in_recipe	relation_multiplicity_in_recipe	relation_sequence	relation	relation_value_de	relation_atom_position	recipe_atom_count	left_control	right_control	carrier_envelope	envelope_role	content_block	relation_position_in_block	block_left_edge	block_right_edge	left_content_before_relation	right_content_after_relation	visible_left_actions	visible_right_actions	visible_left_arguments	visible_right_arguments	local_payload_geometry	root_geometry_default	compact_relation_reading_de	literal_rich_projection_de	statement_position	statement_final	current_reading_de	guard	substitution_family_id
114	OLD26_GDT407	G407-E2626	G407-S379	f77r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
115	OLD26_GDT407	G407-E2655	G407-S386	f77r	BIOLOGICAL	qotal	OT+AL	OT+AL	OT+AL	1	1	AL	AL	ZIELORT	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AL	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	DANACH · ZIELORT	DANACH · ZIELORT	STATEMENT_INITIAL	NO	DANACH · ZIELORT	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
116	OLD26_GDT407	G407-E2660	G407-S386	f77r	BIOLOGICAL	arol	AR+OL	AR+OL	AR+OL	1	1	AR	AR	AUSGANG	1	2	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	AUSGANG · FORTSETZEN	AUSGANG · FORTSETZEN	STATEMENT_INTERNAL	NO	AUSGANG · FORTSETZEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F01
117	OLD26_GDT407	G407-E2683	G407-S392	f77r	BIOLOGICAL	loly	L+OL+Y	L+OL	L+OL+Y	1	1	L	L	VERBINDUNG	1	3	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	L	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · FORTSETZEN	VERBINDUNG · FORTSETZEN · POSTEN	STATEMENT_INTERNAL	NO	VERBINDUNG · FORTSETZEN · AKTIVER POSTEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F09
118	OLD26_GDT407	G407-E2726	G407-S396	f81r	BIOLOGICAL	otar	OT+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INTERNAL	NO	DANACH · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
119	OLD26_GDT407	G407-E2732	G407-S396	f81r	BIOLOGICAL	olkal	OL+K+AL	OL+AL	OL+AL	1	1	AL	AL	ZIELORT	3	3	OL	END	OL>R<END	CONTINUED_RELATION_VALUE	K+AL	2	NO	YES	K	NONE	K	NONE	NONE	NONE	BACKWARD_FROM_VISIBLE_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	FORTSETZEN · ZIELORT	FORTSETZEN · ZIELORT	STATEMENT_INTERNAL	NO	FORTSETZEN · GEBEN · ZIELORT	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F06
120	OLD26_GDT407	G407-E2790	G407-S406	f81r	BIOLOGICAL	loly	L+OL+Y	L+OL	L+OL+Y	1	1	L	L	VERBINDUNG	1	3	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	L	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · FORTSETZEN	VERBINDUNG · FORTSETZEN · POSTEN	STATEMENT_INTERNAL	NO	VERBINDUNG · FORTSETZEN · AKTIVER POSTEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F09
121	OLD26_GDT407	G407-E2801	G407-S410	f81r	BIOLOGICAL	arol	AR+OL	AR+OL	AR+OL	1	1	AR	AR	AUSGANG	1	2	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	AUSGANG · FORTSETZEN	AUSGANG · FORTSETZEN	STATEMENT_INTERNAL	NO	AUSGANG · FORTSETZEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F01
122	OLD26_GDT407	G407-E2845	G407-S425	f81r	BIOLOGICAL	lol	L+OL	L+OL	L+OL	1	1	L	L	VERBINDUNG	1	2	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	L	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · FORTSETZEN	VERBINDUNG · FORTSETZEN	STATEMENT_INTERNAL	NO	VERBINDUNG · FORTSETZEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F01
123	OLD26_GDT407	G407-E2846	G407-S425	f81r	BIOLOGICAL	qotal	OT+AL	OT+AL	OT+AL	1	1	AL	AL	ZIELORT	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AL	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	DANACH · ZIELORT	DANACH · ZIELORT	STATEMENT_INTERNAL	NO	DANACH · ZIELORT	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
124	OLD26_GDT407	G407-E2865	G407-S426	f81r	BIOLOGICAL	qotaldar	OT+AL+D_ADDR+AR	OT+AL+AR	OT+AL+AR	1	2	AL+AR	AL	ZIELORT	2	4	OT	END	OT>R<END	NEXT_RELATION_VALUE	AL+D_ADDR+AR	1	YES	NO	NONE	D_ADDR+AR	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	DANACH · ZIELORT	DANACH · ZIELORT · AUSGANG	STATEMENT_INTERNAL	NO	DANACH · ZIELORT · HIER · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
125	OLD26_GDT407	G407-E2865	G407-S426	f81r	BIOLOGICAL	qotaldar	OT+AL+D_ADDR+AR	OT+AL+AR	OT+AL+AR	2	2	AL+AR	AR	AUSGANG	4	4	OT	END	OT>R<END	NEXT_RELATION_VALUE	AL+D_ADDR+AR	3	NO	YES	AL+D_ADDR	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · ZIELORT · AUSGANG	STATEMENT_INTERNAL	NO	DANACH · ZIELORT · HIER · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
126	OLD26_GDT407	G407-E2909	G407-S436	f81r	BIOLOGICAL	olkar	OL+K+AR	OL+AR	OL+AR	1	1	AR	AR	AUSGANG	3	3	OL	END	OL>R<END	CONTINUED_RELATION_VALUE	K+AR	2	NO	YES	K	NONE	K	NONE	NONE	NONE	BACKWARD_FROM_VISIBLE_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	FORTSETZEN · AUSGANG	FORTSETZEN · AUSGANG	STATEMENT_INTERNAL	NO	FORTSETZEN · GEBEN · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F06
127	OLD26_GDT407	G407-E2916	G407-S437	f81r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
128	OLD26_GDT407	G407-E2985	G407-S448	f81v	BIOLOGICAL	daldy	AL+DY	AL+DY	AL+DY	1	1	AL	AL	ZIELORT	1	2	START	DY	START>R<DY	RELATION_THEN_CLOSE	AL	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	ZIELORT · ABSCHLIESSEN	ZIELORT · ABSCHLIESSEN	STATEMENT_FINAL	YES	ZIELORT · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F04
129	OLD26_GDT407	G407-E3072	G407-S469	f81v	BIOLOGICAL	lshedy	L+SH+E+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	4	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+SH+E	1	YES	NO	NONE	SH+E	NONE	SH	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · HALTEN · GRAD I · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F05
130	OLD26_GDT407	G407-E3111	G407-S481	f81v	BIOLOGICAL	ltedy	L+T+E+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	4	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+T+E	1	YES	NO	NONE	T+E	NONE	T	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	VERBINDUNG · EINSTELLEN · GRAD I · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
131	OLD26_GDT407	G407-E3115	G407-S482	f81v	BIOLOGICAL	lshedy	L+SH+E+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	4	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+SH+E	1	YES	NO	NONE	SH+E	NONE	SH	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · HALTEN · GRAD I · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F05
132	OLD26_GDT407	G407-E3116	G407-S483	f81v	BIOLOGICAL	lshedy	L+SH+E+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	4	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+SH+E	1	YES	NO	NONE	SH+E	NONE	SH	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	VERBINDUNG · HALTEN · GRAD I · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F05
133	OLD26_GDT407	G407-E3121	G407-S484	f81v	BIOLOGICAL	otar	OT+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INTERNAL	NO	DANACH · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
134	OLD26_GDT407	G407-E3127	G407-S484	f81v	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
135	OLD26_GDT407	G407-E3162	G407-S489	f81v	BIOLOGICAL	checholtar	CH+E+OL+T+AR	OL+AR	OL+AR	1	1	AR	AR	AUSGANG	5	5	OL	END	OL>R<END	CONTINUED_RELATION_VALUE	T+AR	2	NO	YES	T	NONE	T	NONE	NONE	NONE	BACKWARD_FROM_VISIBLE_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	FORTSETZEN · AUSGANG	FORTSETZEN · AUSGANG	STATEMENT_INTERNAL	NO	NEHMEN · GRAD I · FORTSETZEN · EINSTELLEN · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
136	OLD26_GDT407	G407-E3194	G407-S497	f82r	BIOLOGICAL	lcheckhedy	L+CH+K+E+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	5	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CH+K+E	1	YES	NO	NONE	CH+K+E	NONE	CH+K	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · NEHMEN · GEBEN · GRAD I · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
137	OLD26_GDT407	G407-E3202	G407-S498	f82r	BIOLOGICAL	ldy	L+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	2	START	DY	START>R<DY	RELATION_THEN_CLOSE	L	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F04
138	OLD26_GDT407	G407-E3240	G407-S507	f82r	BIOLOGICAL	qotal	OT+AL	OT+AL	OT+AL	1	1	AL	AL	ZIELORT	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AL	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	DANACH · ZIELORT	DANACH · ZIELORT	STATEMENT_INTERNAL	NO	DANACH · ZIELORT	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
139	OLD26_GDT407	G407-E3254	G407-S509	f82r	BIOLOGICAL	qotal	OT+AL	OT+AL	OT+AL	1	1	AL	AL	ZIELORT	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AL	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	DANACH · ZIELORT	DANACH · ZIELORT	STATEMENT_INTERNAL	NO	DANACH · ZIELORT	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
140	OLD26_GDT407	G407-E3262	G407-S510	f82r	BIOLOGICAL	lolol	L+OL+OL	L+OL+OL	L+OL+OL	1	1	L	L	VERBINDUNG	1	3	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	L	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · FORTSETZEN	VERBINDUNG · FORTSETZEN · FORTSETZEN	STATEMENT_INTERNAL	NO	VERBINDUNG · FORTSETZEN · FORTSETZEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
141	OLD26_GDT407	G407-E3272	G407-S513	f82r	BIOLOGICAL	solarol	S+OL+AR+OL	OL+AR+OL	OL+AR+OL	1	1	AR	AR	AUSGANG	3	4	OL	OL	OL>R<OL	RELATION_BRIDGED_BY_OL	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	FORTSETZEN · AUSGANG · FORTSETZEN	FORTSETZEN · AUSGANG · FORTSETZEN	STATEMENT_INTERNAL	NO	WÄHLEN · FORTSETZEN · AUSGANG · FORTSETZEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
142	OLD26_GDT407	G407-E3283	G407-S515	f82r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
143	OLD26_GDT407	G407-E3293	G407-S519	f82r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
144	OLD26_GDT407	G407-E3340	G407-S530	f82r	BIOLOGICAL	lkedy	L+K+E+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	4	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+K+E	1	YES	NO	NONE	K+E	NONE	K	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · GEBEN · GRAD I · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
145	OLD26_GDT407	G407-E3364	G407-S532	f82r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
146	OLD26_GDT407	G407-E3382	G407-S537	f82r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
147	OLD26_GDT407	G407-E3397	G407-S540	f82r	BIOLOGICAL	daldy	AL+DY	AL+DY	AL+DY	1	1	AL	AL	ZIELORT	1	2	START	DY	START>R<DY	RELATION_THEN_CLOSE	AL	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	ZIELORT · ABSCHLIESSEN	ZIELORT · ABSCHLIESSEN	STATEMENT_FINAL	YES	ZIELORT · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F04
148	OLD26_GDT407	G407-E3402	G407-S545	f82r	BIOLOGICAL	lochedy	L+O+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	4	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+O+CHD	1	YES	NO	NONE	O+CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	VERBINDUNG · AUSFÜHRUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
149	OLD26_GDT407	G407-E3414	G407-S548	f82r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
150	OLD26_GDT407	G407-E3416	G407-S550	f82r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
151	OLD26_GDT407	G407-E3428	G407-S553	f82r	BIOLOGICAL	lshedy	L+SH+E+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	4	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+SH+E	1	YES	NO	NONE	SH+E	NONE	SH	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · HALTEN · GRAD I · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F05
