unit_serial	register	page	unit_id	visible_owner	group_count	template_id	source_slot_order	latin_like_workshop_formula	german_source_order	compressed_surface_sequence	recovered_atom_sequence	recovered_literal_de	fluent_owner_reading_de
165	ASTRO	f67r2	f67r2.49	A1_LEFT_LOCAL_FIELD_49	3	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A1_LEFT_LOCAL_FIELD_49, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	os choer aiin	OS | HO | AIIN	FELD/RAHMEN; Himmelsobjekt oder Eingangsbedingung; Sollwert oder Grad des bezeichneten Himmelsplatzes	left local field 49: FELD/RAHMEN; Himmelsobjekt oder Eingangsbedingung; Sollwert oder Grad des bezeichneten Himmelsplatzes
166	ASTRO	f67r2	f67r2.50	A1_LEFT_LOCAL_FIELD_50	2	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A1_LEFT_LOCAL_FIELD_50, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	choeea sal	HO+EE | AL	Eingangsposten länger halten; Ziel	left local field 50: Eingangsposten länger halten; Ziel
167	ASTRO	f67r2	f67r2.51	A1_LEFT_LOCAL_FIELD_51	1	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A1_LEFT_LOCAL_FIELD_51, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	dadaiin	AIIN	Sollwert	left local field 51: Sollwert
168	ASTRO	f67r2	f67r2.52	A1_LEFT_OUTER_STAR_STATION_01	1	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A1_LEFT_OUTER_STAR_STATION_01, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	qotoear	OT+E+AR	nächste Quelle kurz nehmen	left outer star station 01: nächste Quelle kurz nehmen
169	ASTRO	f67r2	f67r2.53	A1_LEFT_OUTER_STAR_STATION_02	1	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A1_LEFT_OUTER_STAR_STATION_02, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	dchdar	CHD+AR	von Quelle umsetzen	left outer star station 02: von Quelle umsetzen
170	ASTRO	f67r2	f67r2.54	A1_LEFT_OUTER_STAR_STATION_03	2	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A1_LEFT_OUTER_STAR_STATION_03, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	y saldal	NONE | AL+AL	dieser lokale Diagrammposten; Zielsektor, Zielstern oder Zielfeld + Zielsektor, Zielstern oder Zielfeld	left outer star station 03: dieser lokale Diagrammposten; Zielsektor, Zielstern oder Zielfeld + Zielsektor, Zielstern oder Zielfeld
171	ASTRO	f67r2	f67r2.55	A1_LEFT_OUTER_STAR_STATION_04	1	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A1_LEFT_OUTER_STAR_STATION_04, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	ytodal	YT+AL	bezeichneter Platz oder Phase + AL	left outer star station 04: bezeichneter Platz oder Phase + AL
172	ASTRO	f67r2	f67r2.56	A1_LEFT_OUTER_STAR_STATION_05	2	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A1_LEFT_OUTER_STAR_STATION_05, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	tol daiin	OL | AIIN	Fortsetzen; Sollwert	left outer star station 05: Fortsetzen; Sollwert
173	ASTRO	f67r2	f67r2.57	A1_LEFT_OUTER_STAR_STATION_06	2	A_NEXT_CONTINUE	VISIBLE LOCUS > NEXT/CONTINUE > VALUE/COURSE	In figura A1_LEFT_OUTER_STAR_STATION_06, sequens accipe vel in eodem ordine continua.	Am sichtbaren Diagrammplatz den nächsten Eintrag nehmen oder im selben Ring fortsetzen.	otar dy	OT+AR | NONE	danach vom bezeichneten Ausgangsplatz; dieser lokale Diagrammposten	left outer star station 06: danach vom bezeichneten Ausgangsplatz; dieser lokale Diagrammposten
174	ASTRO	f67r2	f67r2.58	A1_LEFT_OUTER_STAR_STATION_07	3	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A1_LEFT_OUTER_STAR_STATION_07, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	cho dal g	HO | AL | G	Eingangsposten oder Zutat; Ziel; GRAD	left outer star station 07: Eingangsposten oder Zutat; Ziel; GRAD
175	ASTRO	f67r2	f67r2.59	A1_LEFT_OUTER_STAR_STATION_08	1	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A1_LEFT_OUTER_STAR_STATION_08, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	ytchodly	YT+HO	bezeichneter Platz oder Phase + HO	left outer star station 08: bezeichneter Platz oder Phase + HO
176	ASTRO	f67r2	f67r2.60	A1_LEFT_OUTER_STAR_STATION_09	1	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A1_LEFT_OUTER_STAR_STATION_09, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	octhys	CTH	sekundäre Grundbedingung	left outer star station 09: sekundäre Grundbedingung
177	ASTRO	f67r2	f67r2.61	A1_LEFT_OUTER_STAR_STATION_10	1	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A1_LEFT_OUTER_STAR_STATION_10, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	ytokar	YT+OK+AR	bezeichneter Platz oder Phase + OK+AR	left outer star station 10: bezeichneter Platz oder Phase + OK+AR
178	ASTRO	f67r2	f67r2.62	A1_LEFT_OUTER_STAR_STATION_11	1	A_NEXT_CONTINUE	VISIBLE LOCUS > NEXT/CONTINUE > VALUE/COURSE	In figura A1_LEFT_OUTER_STAR_STATION_11, sequens accipe vel in eodem ordine continua.	Am sichtbaren Diagrammplatz den nächsten Eintrag nehmen oder im selben Ring fortsetzen.	otolor	OT+OL+OR	Folge + Fortsetzen + Ansatz/Satz	left outer star station 11: Folge + Fortsetzen + Ansatz/Satz
179	ASTRO	f67r2	f67r2.63	A1_LEFT_OUTER_STAR_STATION_12	1	A_MARK_SELECT	VISIBLE LOCUS > SELECT/MARK > CURRENT VALUE > HOLD	In figura A1_LEFT_OUTER_STAR_STATION_12, elige locum, nota valorem et tene.	Am sichtbaren Diagrammplatz auswählen; Wert markieren; aktuellen Eintrag halten.	okodar	OK+OD+AR	markierte Quelle aktivieren	left outer star station 12: markierte Quelle aktivieren
180	ASTRO	f67r2	f67r2.64	A1_RIGHT_PHASE_STATION_01	2	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A1_RIGHT_PHASE_STATION_01, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	s air	S | AIR	Nebenwert; Himmels-, Ring- oder Zeigerlauf	right phase station 01: Nebenwert; Himmels-, Ring- oder Zeigerlauf
181	ASTRO	f67r2	f67r2.65	A1_RIGHT_PHASE_STATION_02	1	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A1_RIGHT_PHASE_STATION_02, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	soear	AR	Ausgangssektor, Ursprung oder Bezugswert	right phase station 02: Ausgangssektor, Ursprung oder Bezugswert
182	ASTRO	f67r2	f67r2.66	A1_RIGHT_PHASE_STATION_03	1	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A1_RIGHT_PHASE_STATION_03, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	cpheey	EE	lange Tabellenstufe	right phase station 03: lange Tabellenstufe
183	ASTRO	f67r2	f67r2.67	A1_RIGHT_PHASE_STATION_04	1	A_MARK_SELECT	VISIBLE LOCUS > SELECT/MARK > CURRENT VALUE > HOLD	In figura A1_RIGHT_PHASE_STATION_04, elige locum, nota valorem et tene.	Am sichtbaren Diagrammplatz auswählen; Wert markieren; aktuellen Eintrag halten.	okodar	OK+OD+AR	markierte Quelle aktivieren	right phase station 04: markierte Quelle aktivieren
184	ASTRO	f67r2	f67r2.68	A1_RIGHT_PHASE_STATION_05	1	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A1_RIGHT_PHASE_STATION_05, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	oepchod	HO	Himmelsobjekt oder Eingangsbedingung	right phase station 05: Himmelsobjekt oder Eingangsbedingung
185	ASTRO	f67r2	f67r2.69	A1_RIGHT_PHASE_STATION_06	2	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A1_RIGHT_PHASE_STATION_06, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	s ay	S | A+Y	Nebenwert; aktueller Hauptwert	right phase station 06: Nebenwert; aktueller Hauptwert
186	ASTRO	f67r2	f67r2.70	A1_RIGHT_PHASE_STATION_07	1	A_CLASS_FIELD	VISIBLE LOCUS > CLASS/HOUSE/FIELD > VALUE	In figura A1_RIGHT_PHASE_STATION_07, classem sive domum et valorem eius lege.	Am sichtbaren Diagrammplatz Klasse, Haus, Paarfeld oder Rahmen lesen.	osar	OS+AR	Feldquelle	right phase station 07: Feldquelle
187	ASTRO	f67r2	f67r2.71	A1_RIGHT_PHASE_STATION_08	1	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A1_RIGHT_PHASE_STATION_08, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	oran	OR	Bedingungs-, Tabellen- oder Wahlansatz	right phase station 08: Bedingungs-, Tabellen- oder Wahlansatz
188	ASTRO	f67r2	f67r2.72	A1_LEFT_OUTER_RING_TEXT	12	A_SOURCE_TARGET	VISIBLE LOCUS > SOURCE > TARGET/COURSE > READ	In figura A1_LEFT_OUTER_RING_TEXT, ab fonte ad locum vel cursum lege.	Am sichtbaren Diagrammplatz Quelle und Ziel oder Bahn lesen.	dar aldaiin ydaiin qkoy ydaiin qofair ypair ykoaiin ydoly ytalchos oly okey	AR | AL+AIIN | YD+AIIN | K+O+Y | YD+AIIN | AIR | AIR | YK+AIIN | YD+OL | YT+AL+HO | OL | OK	Quelle; Ziel-Sollwert; Sollwert der aktiven Zeile; aktuelle Grundklasse; Sollwert der aktiven Zeile; Himmels-, Ring- oder Zeigerlauf; Himmels-, Ring- oder Zeigerlauf; bezeichnete Klasse oder Haus + AIIN; aktive Zeile fortsetzen; bezeichneter Platz oder Phase + AL+HO; im selben Ring, Band oder Satz fortsetzen; in kurzer Stufe setzen	left outer ring text: Quelle; Ziel-Sollwert; Sollwert der aktiven Zeile; aktuelle Grundklasse; Sollwert der aktiven Zeile; Himmels-, Ring- oder Zeigerlauf; Himmels-, Ring- oder Zeigerlauf; bezeichnete Klasse oder Haus + AIIN; aktive Zeile fortsetzen; bezeichneter Platz oder Phase + AL+HO; im selben Ring, Band oder Satz fortsetzen; in kurzer Stufe setzen
189	ASTRO	f67r2	f67r2.73	A1_RIGHT_OUTER_RING_TEXT	11	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A1_RIGHT_OUTER_RING_TEXT, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	sshey sy shees qeykeey ykchey ykchey qokeochy oaiin okol ar olar	CHEEY | NONE | SH+EE | EE | YK+KCH | YK+KCH | OK | AIIN | OK+OL | AR | OL+AR	Ablesewert; dieser lokale Diagrammposten; länger halten; lange Tabellenstufe; bezeichnete Klasse oder Haus + KCH; bezeichnete Klasse oder Haus + KCH; Diagrammposten setzen oder aktivieren; Sollwert; Fortsetzung aktivieren; Ausgangssektor, Ursprung oder Bezugswert; VON DER QUELLE WEITER	right outer ring text: Ablesewert; dieser lokale Diagrammposten; länger halten; lange Tabellenstufe; bezeichnete Klasse oder Haus + KCH; bezeichnete Klasse oder Haus + KCH; Diagrammposten setzen oder aktivieren; Sollwert; Fortsetzung aktivieren; Ausgangssektor, Ursprung oder Bezugswert; VON DER QUELLE WEITER
190	ASTRO	f67r2	f67r2.74	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	13	A_SOURCE_TARGET	VISIBLE LOCUS > SOURCE > TARGET/COURSE > READ	In figura A1_PAIRED_WHEEL_LEGEND_UNRESOLVED, ab fonte ad locum vel cursum lege.	Am sichtbaren Diagrammplatz Quelle und Ziel oder Bahn lesen.	yshey qokeeody cheos oeeos qockhy chos aiin okeeody qokoaiin odain ar air ay	Y+CHEEY | OK+EE+OD+Y | CHEO | EE+OS | CKH | HO | AIIN | OK+EE+OD+Y | OK+AIIN | OD+AIN | AR | AIR | A+Y	aktueller Ablesewert; diesen Posten länger aktivieren und eintragen; Ausgabe/Auszug; langes oder zweites Feld; durch Sektor, Ring oder Pruefweg fuehren; Eingangsposten; Sollwert oder Grad des bezeichneten Himmelsplatzes; diesen Posten länger aktivieren und eintragen; Sollwert aktivieren; Portion markieren; Ausgangssektor, Ursprung oder Bezugswert; Himmels-, Ring- oder Zeigerlauf; aktueller Hauptwert	paired wheel legend unresolved: aktueller Ablesewert; diesen Posten länger aktivieren und eintragen; Ausgabe/Auszug; langes oder zweites Feld; durch Sektor, Ring oder Pruefweg fuehren; Eingangsposten; Sollwert oder Grad des bezeichneten Himmelsplatzes; diesen Posten länger aktivieren und eintragen; Sollwert aktivieren; Portion markieren; Ausgangssektor, Ursprung oder Bezugswert; Himmels-, Ring- oder Zeigerlauf; aktueller Hauptwert
191	ASTRO	f68r1	f68r1.1	A2_LEFT_PANEL_HEADER	9	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A2_LEFT_PANEL_HEADER, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	shokchy chteey choteey cphol cheor opcheeol otor choctheeey okchoal	HO+KCH | EE | HO+OT+EE | OL | CHEO | OP+EE+OL | OT+OR | HO+CTH+EEE | KCH+AL	Eingangsposten + Bearbeiten; lange Tabellenstufe; nächsten Eingangsposten länger halten; im selben Ring, Band oder Satz fortsetzen; Bedingungs-, Tabellen- oder Wahlansatz; Paarfeld länger fortsetzen; nächster Satz; Eingangsposten vollständig bereit; Bearbeiten + Ziel	left panel header: Eingangsposten + Bearbeiten; lange Tabellenstufe; nächsten Eingangsposten länger halten; im selben Ring, Band oder Satz fortsetzen; Bedingungs-, Tabellen- oder Wahlansatz; Paarfeld länger fortsetzen; nächster Satz; Eingangsposten vollständig bereit; Bearbeiten + Ziel
192	ASTRO	f68r1	f68r1.2	A2_MIDDLE_PANEL_HEADER	9	A_MARK_SELECT	VISIBLE LOCUS > SELECT/MARK > CURRENT VALUE > HOLD	In figura A2_MIDDLE_PANEL_HEADER, elige locum, nota valorem et tene.	Am sichtbaren Diagrammplatz auswählen; Wert markieren; aktuellen Eintrag halten.	tochso otchl qokeeedy cheey cheeteey yteody chpor cheokorchey chod	T+O+CH+S | OT | OK | CHEEY | EE+EE | YT+E+OD+Y | OR | CHEO+OR | HO	sekundärer Grundzustand der Phase; naechster Platz oder folgende Bedingung; vollstaendig setzen und den Eintrag schliessen; sichtbares Ergebnis / Ablesewert; zwei lange Tabellenstufen; diesen Platz kurz markieren; Bedingungs-, Tabellen- oder Wahlansatz; Auszug/Ausgabe + Ansatz/Satz; Eingangsposten	middle panel header: sekundärer Grundzustand der Phase; naechster Platz oder folgende Bedingung; vollstaendig setzen und den Eintrag schliessen; sichtbares Ergebnis / Ablesewert; zwei lange Tabellenstufen; diesen Platz kurz markieren; Bedingungs-, Tabellen- oder Wahlansatz; Auszug/Ausgabe + Ansatz/Satz; Eingangsposten
193	ASTRO	f68r1	f68r1.3	A2_RIGHT_PANEL_HEADER	8	A_SOURCE_TARGET	VISIBLE LOCUS > SOURCE > TARGET/COURSE > READ	In figura A2_RIGHT_PANEL_HEADER, ab fonte ad locum vel cursum lege.	Am sichtbaren Diagrammplatz Quelle und Ziel oder Bahn lesen.	ykor shey qocheey chokal okeey ror eckhear daram	YK+OR | CHEEY | CHEEY | HO+AL | OK | OR | CKHE+AR | AR+AM	bezeichnete Klasse oder Haus + OR; sichtbares Ergebnis / Ablesewert; Ablesewert; Eingangsposten + Ziel; in langer Stufe setzen; Bedingungs-, Tabellen- oder Wahlansatz; Seihen/Trennen + Quelle; Quellaspekt	right panel header: bezeichnete Klasse oder Haus + OR; sichtbares Ergebnis / Ablesewert; Ablesewert; Eingangsposten + Ziel; in langer Stufe setzen; Bedingungs-, Tabellen- oder Wahlansatz; Seihen/Trennen + Quelle; Quellaspekt
194	ASTRO	f68r1	f68r1.4	A2_MULTIPANEL_HEADER_FRAGMENT_04	2	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A2_MULTIPANEL_HEADER_FRAGMENT_04, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	dchor okaiiin	HO | OK+IIN	Bedingungs-, Tabellen- oder Wahlansatz; Stufe aktivieren	multipanel header fragment 04: Bedingungs-, Tabellen- oder Wahlansatz; Stufe aktivieren
195	ASTRO	f68r1	f68r1.5	A2_MULTIPANEL_HEADER_FRAGMENT_05	1	A_CLASS_FIELD	VISIBLE LOCUS > CLASS/HOUSE/FIELD > VALUE	In figura A2_MULTIPANEL_HEADER_FRAGMENT_05, classem sive domum et valorem eius lege.	Am sichtbaren Diagrammplatz Klasse, Haus, Paarfeld oder Rahmen lesen.	yky	YK	bezeichnete Klasse oder Haus	multipanel header fragment 05: bezeichnete Klasse oder Haus
196	ASTRO	f68r1	f68r1.6	A2_MULTIPANEL_HEADER_FRAGMENT_06	1	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A2_MULTIPANEL_HEADER_FRAGMENT_06, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	dary	AR	Ausgangssektor, Ursprung oder Bezugswert	multipanel header fragment 06: Ausgangssektor, Ursprung oder Bezugswert
197	ASTRO	f68r1	f68r1.7	A2_MULTIPANEL_HEADER_FRAGMENT_07	1	A_NEXT_CONTINUE	VISIBLE LOCUS > NEXT/CONTINUE > VALUE/COURSE	In figura A2_MULTIPANEL_HEADER_FRAGMENT_07, sequens accipe vel in eodem ordine continua.	Am sichtbaren Diagrammplatz den nächsten Eintrag nehmen oder im selben Ring fortsetzen.	chkchykoly	KCH+OL	Bearbeiten + Fortsetzen	multipanel header fragment 07: Bearbeiten + Fortsetzen
198	ASTRO	f68r1	f68r1.8	A2_CENTRE_KEY_UNRESOLVED	1	A_MARK_SELECT	VISIBLE LOCUS > SELECT/MARK > CURRENT VALUE > HOLD	In figura A2_CENTRE_KEY_UNRESOLVED, elige locum, nota valorem et tene.	Am sichtbaren Diagrammplatz auswählen; Wert markieren; aktuellen Eintrag halten.	okodaly	OK+OD+AL+Y	dieses markierte Ziel aktivieren	centre key unresolved: dieses markierte Ziel aktivieren
199	ASTRO	f68r1	f68r1.9	A2_STAR_STATION_01	1	A_MARK_SELECT	VISIBLE LOCUS > SELECT/MARK > CURRENT VALUE > HOLD	In figura A2_STAR_STATION_01, elige locum, nota valorem et tene.	Am sichtbaren Diagrammplatz auswählen; Wert markieren; aktuellen Eintrag halten.	odchecthy	OD+CTH	Bereitbedingung markieren	star station 01: Bereitbedingung markieren
200	ASTRO	f68r1	f68r1.10	A2_STAR_STATION_02	1	A_NEXT_CONTINUE	VISIBLE LOCUS > NEXT/CONTINUE > VALUE/COURSE	In figura A2_STAR_STATION_02, sequens accipe vel in eodem ordine continua.	Am sichtbaren Diagrammplatz den nächsten Eintrag nehmen oder im selben Ring fortsetzen.	otcheody	OT+CHEO	Folge + Auszug/Ausgabe	star station 02: Folge + Auszug/Ausgabe
201	ASTRO	f68r1	f68r1.11	A2_STAR_STATION_03	1	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A2_STAR_STATION_03, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	okoaly	OK+AL+Y	dieses Ziel aktivieren	star station 03: dieses Ziel aktivieren
202	ASTRO	f68r1	f68r1.12	A2_STAR_STATION_04	1	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A2_STAR_STATION_04, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	chocfhy	HO	Himmelsobjekt oder Eingangsbedingung	star station 04: Himmelsobjekt oder Eingangsbedingung
203	ASTRO	f68r1	f68r1.13	A2_STAR_STATION_05	1	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A2_STAR_STATION_05, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	octhey	CTH	ausgewählte Grundbedingung	star station 05: ausgewählte Grundbedingung
204	ASTRO	f68r1	f68r1.14	A2_STAR_STATION_06	1	A_NEXT_CONTINUE	VISIBLE LOCUS > NEXT/CONTINUE > VALUE/COURSE	In figura A2_STAR_STATION_06, sequens accipe vel in eodem ordine continua.	Am sichtbaren Diagrammplatz den nächsten Eintrag nehmen oder im selben Ring fortsetzen.	otshey	OT+CHEEY	nächster Ablesewert	star station 06: nächster Ablesewert
205	ASTRO	f68r1	f68r1.15	A2_STAR_STATION_07	1	A_NEXT_CONTINUE	VISIBLE LOCUS > NEXT/CONTINUE > VALUE/COURSE	In figura A2_STAR_STATION_07, sequens accipe vel in eodem ordine continua.	Am sichtbaren Diagrammplatz den nächsten Eintrag nehmen oder im selben Ring fortsetzen.	otydy	OT	Teilsektor oder Untereintrag	star station 07: Teilsektor oder Untereintrag
206	ASTRO	f68r1	f68r1.16	A2_STAR_STATION_08	1	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A2_STAR_STATION_08, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	okear	OK+E+AR	Quelle kurz aktivieren	star station 08: Quelle kurz aktivieren
207	ASTRO	f68r1	f68r1.17	A2_STAR_STATION_09	1	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A2_STAR_STATION_09, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	cphocthy	CTH	Himmelsobjekt oder Eingangsbedingung	star station 09: Himmelsobjekt oder Eingangsbedingung
208	ASTRO	f68r1	f68r1.18	A2_STAR_STATION_10	1	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A2_STAR_STATION_10, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	ytchody	YT+HO	bezeichneter Platz oder Phase + HO	star station 10: bezeichneter Platz oder Phase + HO
209	ASTRO	f68r1	f68r1.19	A2_STAR_STATION_11	1	A_NEXT_CONTINUE	VISIBLE LOCUS > NEXT/CONTINUE > VALUE/COURSE	In figura A2_STAR_STATION_11, sequens accipe vel in eodem ordine continua.	Am sichtbaren Diagrammplatz den nächsten Eintrag nehmen oder im selben Ring fortsetzen.	otys	OT	Teilsektor oder Untereintrag	star station 11: Teilsektor oder Untereintrag
210	ASTRO	f68r1	f68r1.20	A2_STAR_STATION_12	1	A_NEXT_CONTINUE	VISIBLE LOCUS > NEXT/CONTINUE > VALUE/COURSE	In figura A2_STAR_STATION_12, sequens accipe vel in eodem ordine continua.	Am sichtbaren Diagrammplatz den nächsten Eintrag nehmen oder im selben Ring fortsetzen.	olor	OL+OR	fortgesetzter Bedingungs- oder Tabellensatz	star station 12: fortgesetzter Bedingungs- oder Tabellensatz
211	ASTRO	f68r1	f68r1.21	A2_STAR_STATION_13	1	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A2_STAR_STATION_13, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	ockhy	CKH	durch Sektor, Ring oder Pruefweg fuehren	star station 13: durch Sektor, Ring oder Pruefweg fuehren
212	ASTRO	f68r1	f68r1.22	A2_STAR_STATION_14	1	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A2_STAR_STATION_14, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	ofcheor	CHEO	Bedingungs-, Tabellen- oder Wahlansatz	star station 14: Bedingungs-, Tabellen- oder Wahlansatz
213	ASTRO	f68r1	f68r1.23	A2_STAR_STATION_15	1	A_NEXT_CONTINUE	VISIBLE LOCUS > NEXT/CONTINUE > VALUE/COURSE	In figura A2_STAR_STATION_15, sequens accipe vel in eodem ordine continua.	Am sichtbaren Diagrammplatz den nächsten Eintrag nehmen oder im selben Ring fortsetzen.	otchdy	OT+CHD	den folgenden Platz uebertragen und den Eintrag schliessen	star station 15: den folgenden Platz uebertragen und den Eintrag schliessen
214	ASTRO	f68r1	f68r1.24	A2_STAR_STATION_16	1	A_NEXT_CONTINUE	VISIBLE LOCUS > NEXT/CONTINUE > VALUE/COURSE	In figura A2_STAR_STATION_16, sequens accipe vel in eodem ordine continua.	Am sichtbaren Diagrammplatz den nächsten Eintrag nehmen oder im selben Ring fortsetzen.	otykchs	OT+KCH	Folge + Bearbeiten	star station 16: Folge + Bearbeiten
215	ASTRO	f68r1	f68r1.25	A2_STAR_STATION_17	1	A_NEXT_CONTINUE	VISIBLE LOCUS > NEXT/CONTINUE > VALUE/COURSE	In figura A2_STAR_STATION_17, sequens accipe vel in eodem ordine continua.	Am sichtbaren Diagrammplatz den nächsten Eintrag nehmen oder im selben Ring fortsetzen.	otol	OT+OL	danach im selben Ring oder Band fortsetzen	star station 17: danach im selben Ring oder Band fortsetzen
216	ASTRO	f68r1	f68r1.26	A2_STAR_STATION_18	1	A_NEXT_CONTINUE	VISIBLE LOCUS > NEXT/CONTINUE > VALUE/COURSE	In figura A2_STAR_STATION_18, sequens accipe vel in eodem ordine continua.	Am sichtbaren Diagrammplatz den nächsten Eintrag nehmen oder im selben Ring fortsetzen.	otor	OT+OR	nächster Satz	star station 18: nächster Satz
217	ASTRO	f68r1	f68r1.27	A2_STAR_STATION_19	1	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A2_STAR_STATION_19, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	oiinar	IIN+AR	Stufe mit Quellenbezug	star station 19: Stufe mit Quellenbezug
