visible_surface	occurrences	pages	owners	namespaces	detected_literal_atoms	detected_cues	covered_characters	transfer_class	exact_prose_master_card_id	forward_prediction	representative_astro_reading_de
sshey	1	f67r2	A1_RIGHT_OUTER_RING_TEXT	F67_RIGHT_WHEEL_NS	NONE	NONE	0/5	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	Ring- oder Bandstelle A1_RIGHT_OUTER_RING_TEXT: abgelesener oder freigegebener Wert; lokaler Namensrest s.
sy	1	f67r2	A1_RIGHT_OUTER_RING_TEXT	F67_RIGHT_WHEEL_NS	NONE	NONE	0/2	EXACT_PROSE_SURFACE	MC123	NONE	Ring- oder Bandstelle A1_RIGHT_OUTER_RING_TEXT: dieser lokale Diagrammposten.
sykos	1	f67r2	A1_RIGHT_SECTOR_SLOT_04	F67_RIGHT_WHEEL_NS	NONE	NONE	0/5	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A1_RIGHT_SECTOR_SLOT_04: sekundäre Grundklasse.
teeo	1	f69v	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	NONE	NONE	0/4	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	Radstelle A3_LEFT_WHEEL_RING_TEXT: lange oder volle Diagrammstufe; lokaler Namensrest t/o.
tey	1	f69v	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	NONE	NONE	0/3	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A3_LEFT_WHEEL_RING_TEXT: aktueller Phasenwert.
tochso	1	f68r1	A2_MIDDLE_PANEL_HEADER	F68_MIDDLE_PANEL_HEADER_NS	NONE	NONE	0/6	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A2_MIDDLE_PANEL_HEADER: Grundzustand dieses Platzes.
todaiin	1	f67r2	A1_LEFT_LOCAL_FIELD_48	F67_LEFT_WHEEL_NS	AIIN	AIIN=aiin@3-7	4/7	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_48: Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest tod.
tol	1	f67r2	A1_LEFT_OUTER_STAR_STATION_05	F67_LEFT_WHEEL_NS	OL	OL=ol@1-3	2/3	EXACT_PROSE_SURFACE	MC153	NONE	Sternplatz A1_LEFT_OUTER_STAR_STATION_05: im selben Ring oder Band fortsetzen.
y	9	f67r2|f69v	A1_LEFT_LOCAL_FIELD_16|A1_LEFT_OUTER_STAR_STATION_03|A3_LEFT_WHEEL_RING_TEXT|A3_MIDDLE_WHEEL_RING_TEXT	F67_LEFT_WHEEL_NS|F69_LEFT_WHEEL_NS|F69_MIDDLE_WHEEL_NS	NONE	NONE	0/1	EXACT_PROSE_SURFACE	MC123	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_16: dieser lokale Diagrammposten.
ycheody	1	f67r2	A1_LEFT_LOCAL_FIELD_45	F67_LEFT_WHEEL_NS	CHEO	CHEO=cheo@1-5	4/7	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	A1_LEFT_LOCAL_FIELD_45: aktueller Ablesewert fest.
ychey	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	NONE	NONE	0/5	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A3_MIDDLE_WHEEL_RING_TEXT: aktueller Ablesewert.
ydaiin	2	f67r2	A1_LEFT_OUTER_RING_TEXT	F67_LEFT_WHEEL_NS	AIIN	AIIN=aiin@2-6	4/6	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest yd.
ydam	1	f67r2	A1_LEFT_LOCAL_FIELD_25	F67_LEFT_WHEEL_NS	NONE	NONE	0/4	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A1_LEFT_LOCAL_FIELD_25: festgelegter Aspektwert.
ydchos	1	f67r2	A1_LEFT_LOCAL_FIELD_19	F67_LEFT_WHEEL_NS	HO	HO=cho@2-5	3/6	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_19: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest ydc/s.
ydoly	1	f67r2	A1_LEFT_OUTER_RING_TEXT	F67_LEFT_WHEEL_NS	OL	OL=ol@2-4	2/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest yd/y.
yekees	1	f67r2	A1_LEFT_LOCAL_FIELD_46	F67_LEFT_WHEEL_NS	NONE	NONE	0/6	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_46: lange oder volle Diagrammstufe; lokaler Namensrest yek/s.
yetey	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	NONE	NONE	0/5	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A3_MIDDLE_WHEEL_RING_TEXT: ausgewählter Phasenwert.
yfain	1	f67r2	A1_LEFT_LOCAL_FIELD_47	F67_LEFT_WHEEL_NS	AIN	AIN=ain@2-5	3/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_47: gezaehlter Teil oder Unterabschnitt; lokaler Namensrest yf.
yka	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	NONE	NONE	0/3	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A3_MIDDLE_WHEEL_RING_TEXT: aktuelle Qualität.
ykady	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	NONE	NONE	0/5	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A3_MIDDLE_WHEEL_RING_TEXT: aktuelle Qualität fest.
ykaly	1	f67r2	A1_RIGHT_SECTOR_SLOT_09	F67_RIGHT_WHEEL_NS	AL	AL=al@2-4	2/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sektorplatz A1_RIGHT_SECTOR_SLOT_09: Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest yk/y.
ykar	3	f67r2|f69v	A1_RIGHT_SECTOR_SLOT_09|A3_MIDDLE_WHEEL_RING_TEXT	F67_RIGHT_WHEEL_NS|F69_MIDDLE_WHEEL_NS	AR	AR=ar@2-4	2/4	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sektorplatz A1_RIGHT_SECTOR_SLOT_09: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest yk.
ykchdy	1	f68r1	A2_STAR_STATION_21	F68_LOCAL_STAR_SLOT_NS	KCH	KCH=kch@1-4	3/6	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A2_STAR_STATION_21: Wert oder Platzbezug uebertragen; lokaler Namensrest yk/y.
ykchey	2	f67r2	A1_RIGHT_OUTER_RING_TEXT	F67_RIGHT_WHEEL_NS	KCH	KCH=kch@1-4	3/6	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Ring- oder Bandstelle A1_RIGHT_OUTER_RING_TEXT: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest y/ey.
ykchos	1	f67r2	A1_RIGHT_SECTOR_SLOT_12	F67_RIGHT_WHEEL_NS	KCH	KCH=kch@1-4	3/6	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sektorplatz A1_RIGHT_SECTOR_SLOT_12: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest y/os.
ykchy	1	f67r2	A1_RIGHT_SECTOR_SLOT_07	F67_RIGHT_WHEEL_NS	KCH	KCH=kch@1-4	3/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sektorplatz A1_RIGHT_SECTOR_SLOT_07: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest y/y.
ykchys	1	f67r2	A1_RIGHT_SECTOR_SLOT_07	F67_RIGHT_WHEEL_NS	KCH	KCH=kch@1-4	3/6	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sektorplatz A1_RIGHT_SECTOR_SLOT_07: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest y/ys.
ykecho	1	f67r2	A1_RIGHT_SECTOR_SLOT_02	F67_RIGHT_WHEEL_NS	HO	HO=cho@3-6	3/6	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest ykec.
ykeeal	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	AL	AL=al@4-6	2/6	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: lange oder volle Diagrammstufe + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest yk.
ykeeody	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	NONE	NONE	0/7	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: lange oder volle Diagrammstufe; lokaler Namensrest yk/ody.
ykees	1	f67r2	A1_RIGHT_SECTOR_SLOT_12	F67_RIGHT_WHEEL_NS	NONE	NONE	0/5	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	Sektorplatz A1_RIGHT_SECTOR_SLOT_12: lange oder volle Diagrammstufe; lokaler Namensrest yk/s.
ykeey	1	f69v	A3_LEFT_RADIAL_SLOT_04	F69_LEFT_WHEEL_NS	NONE	NONE	0/5	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	Radstelle A3_LEFT_RADIAL_SLOT_04: lange oder volle Diagrammstufe; lokaler Namensrest yk/y.
ykeody	2	f67r2|f69v	A1_RIGHT_SECTOR_SLOT_05|A3_LEFT_RADIAL_SLOT_19	F67_RIGHT_WHEEL_NS|F69_LEFT_WHEEL_NS	NONE	NONE	0/6	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A1_RIGHT_SECTOR_SLOT_05: Klassenplatz fest eingetragen.
ykey	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	NONE	NONE	0/4	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A3_MIDDLE_WHEEL_RING_TEXT: aktuelle Klasse.
ykeydy	1	f69v	A3_LEFT_RADIAL_SLOT_14	F69_LEFT_WHEEL_NS	NONE	NONE	0/6	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A3_LEFT_RADIAL_SLOT_14: aktuelle Klasse fest.
ykoaiin	1	f67r2	A1_LEFT_OUTER_RING_TEXT	F67_LEFT_WHEEL_NS	AIIN	AIIN=aiin@3-7	4/7	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest yko.
ykor	2	f67r2|f68r1	A1_LEFT_LOCAL_FIELD_26|A2_RIGHT_PANEL_HEADER	F67_LEFT_WHEEL_NS|F68_RIGHT_PANEL_HEADER_NS	OR	OR=or@2-4	2/4	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_26: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest yk.
ykshy	1	f67r2	A1_RIGHT_SECTOR_SLOT_01	F67_RIGHT_WHEEL_NS	NONE	NONE	0/5	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	Sektorplatz A1_RIGHT_SECTOR_SLOT_01: Position oder Bedingung halten; lokaler Namensrest yk/y.
yky	1	f68r1	A2_MULTIPANEL_HEADER_FRAGMENT_05	F68_MULTIPANEL_HEADER_QUARANTINE_NS	NONE	NONE	0/3	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A2_MULTIPANEL_HEADER_FRAGMENT_05: aktuelles Haus.
ypair	1	f67r2	A1_LEFT_OUTER_RING_TEXT	F67_LEFT_WHEEL_NS	AIR	AIR=air@2-5	3/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest yp.
yshey	1	f67r2	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	F67_PAIRED_LEGEND_QUARANTINE_NS	NONE	NONE	0/5	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: abgelesener oder freigegebener Wert; lokaler Namensrest y.
ytalchos	1	f67r2	A1_LEFT_OUTER_RING_TEXT	F67_LEFT_WHEEL_NS	AL+HO	AL=al@2-4|HO=cho@4-7	5/8	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: Zielsektor, Zielstern oder Zielfeld + Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest yt/c/s.
ytchodly	1	f67r2	A1_LEFT_OUTER_STAR_STATION_08	F67_LEFT_WHEEL_NS	HO	HO=cho@2-5	3/8	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_OUTER_STAR_STATION_08: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest ytc/dly.
ytchody	1	f68r1	A2_STAR_STATION_10	F68_LOCAL_STAR_SLOT_NS	HO	HO=cho@2-5	3/7	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A2_STAR_STATION_10: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest ytc/dy.
yteody	1	f68r1	A2_MIDDLE_PANEL_HEADER	F68_MIDDLE_PANEL_HEADER_NS	NONE	NONE	0/6	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A2_MIDDLE_PANEL_HEADER: Phasenplatz fest eingetragen.
yteoor	1	f67r2	A1_LEFT_LOCAL_FIELD_26	F67_LEFT_WHEEL_NS	OR	OR=or@4-6	2/6	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_26: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest yteo.
yteos	1	f67r2	A1_LEFT_LOCAL_FIELD_40	F67_LEFT_WHEEL_NS	NONE	NONE	0/5	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A1_LEFT_LOCAL_FIELD_40: sekundärer Phasenplatz.
yto	2	f67r2|f69v	A1_LEFT_LOCAL_FIELD_26|A3_LEFT_WHEEL_RING_TEXT	F67_LEFT_WHEEL_NS|F69_LEFT_WHEEL_NS	NONE	NONE	0/3	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A1_LEFT_LOCAL_FIELD_26: aktueller Platz.
ytoaiin	1	f67r2	A1_LEFT_LOCAL_FIELD_37	F67_LEFT_WHEEL_NS	AIIN	AIIN=aiin@3-7	4/7	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_37: Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest yto.
ytodal	1	f67r2	A1_LEFT_OUTER_STAR_STATION_04	F67_LEFT_WHEEL_NS	AL	AL=al@4-6	2/6	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_OUTER_STAR_STATION_04: Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest ytod.
ytody	2	f67r2|f69v	A1_LEFT_LOCAL_FIELD_29|A3_LEFT_RADIAL_SLOT_07	F67_LEFT_WHEEL_NS|F69_LEFT_WHEEL_NS	NONE	NONE	0/5	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A1_LEFT_LOCAL_FIELD_29: Platz fest eingetragen.
ytoeopchey	1	f67r2	A1_LEFT_LOCAL_FIELD_41	F67_LEFT_WHEEL_NS	NONE	NONE	0/10	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A1_LEFT_LOCAL_FIELD_41: Vergleichswert dieses Platzes.
ytokar	1	f67r2	A1_LEFT_OUTER_STAR_STATION_10	F67_LEFT_WHEEL_NS	OK+AR	OK=ok@2-4|AR=ar@4-6	4/6	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Sternplatz A1_LEFT_OUTER_STAR_STATION_10: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest yt.
ytor	1	f67r2	A1_LEFT_LOCAL_FIELD_36	F67_LEFT_WHEEL_NS	OR	OR=or@2-4	2/4	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_36: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest yt.
ytory	1	f69v	A3_LEFT_RADIAL_SLOT_05	F69_LEFT_WHEEL_NS	OR	OR=or@2-4	2/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Radstelle A3_LEFT_RADIAL_SLOT_05: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest yt/y.
ytyd	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	TY	TY=ty@1-3	2/4	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: Teilsektor oder Untereintrag; lokaler Namensrest y/d.
