canonical_card	joint_tuple_id	selected_default_de	source_class	event_serial	page	register	locus	record	record_unit_id	record_event_position	record_event_count	field_id	field_position	field_event_position	field_event_count	terminal_status	surface_audit_only	formal_formula_audit_only	v59_mnemonic	v60_mnemonic	predecessor_event_serial	predecessor_joint_tuple_id	predecessor_canonical_card	predecessor_local_expansion	current_local_iatromedical_expansion	current_nonmedical_rival	successor_event_serial	successor_joint_tuple_id	successor_canonical_card	successor_local_expansion	whole_field_local_expansion	whole_field_nonmedical_rival	occurrence_pressure	card_context_pressure_summary	strongest_contradiction	binding_rule
OKE	7db18b2f0fb7ed0fcfd3	spülen	Verb	318	f83r	BIOLOGICAL	f83r.25	2	B4	4	47	F110	LAST	3	3	TERMINAL	qokedy	CLOSE(OPAQUE_PAYLOAD)	SPÜLEN?	SPÜLEN?	317	0275fbf14e07935b0a45	OKEEY	temperiere die Arbeitsflüssigkeit und halte sie lauwarm	spüle die bezeichnete Stelle einmal und beende den Schritt	bezeichneten Lauf warm reinigen [lokaler B4-Musterbogenschritt 4/47; keine Kartenbedeutung]	BOUNDARY	BOUNDARY	BOUNDARY	BOUNDARY	fülle danach das Gefäß ; temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; spüle die bezeichnete Stelle einmal und beende den Schritt	bezeichneten Lauf warm reinigen [Ganzfeldexemplar B4, Feld 2/20]	REGISTER=BIOLOGICAL;FIELD_POSITION=LAST;FIELD_LENGTH=3;TERMINAL=TERMINAL;PREDECESSOR=OKEEY;SUCCESSOR=BOUNDARY	8 rein biologische Vorkommen auf 2 Seiten/3 Records; 3× ONLY, 5× LAST und 8× TERMINAL; zweimal OKEEY→OKE, einmal nach einer lokalen Erstspülung. Das Prozessmotiv ist kohärent.	Alle 8/8 Fälle sind vollständig mit CLOSE konfundiert; ‚beenden‘ erklärt die Position ohne jede Spülsemantik und ist formal sparsamer.	EXACT_JOINT_TUPLE_ID_ONLY
OTCHEY	faf321940aed922846a9	Anteil	Nomen	321	f83r	BIOLOGICAL	f83r.26	2	B4	7	47	F112	FIRST	1	5	NONCLOSE	otchey	FRAME_OT(OPAQUE_PAYLOAD)	TEIL?	ANTEIL?	BOUNDARY	BOUNDARY	BOUNDARY	BOUNDARY	Nimm den bezeichneten Anteil	bezeichneten Lauf warm reinigen [lokaler B4-Musterbogenschritt 7/47; keine Kartenbedeutung]	322	0275fbf14e07935b0a45	OKEEY	temperiere die Arbeitsflüssigkeit und halte sie lauwarm	Nimm den bezeichneten Anteil ; temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; Die aktive Portion verwenden ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt	bezeichneten Lauf warm reinigen [Ganzfeldexemplar B4, Feld 4/20]	REGISTER=BIOLOGICAL;FIELD_POSITION=FIRST;FIELD_LENGTH=5;TERMINAL=NONCLOSE;PREDECESSOR=BOUNDARY;SUCCESSOR=OKEEY	2 Vorkommen auf 2 Seiten/2 Registern; beide feldinitial und NONCLOSE. Danach folgen einmal ein konkreter Pflanzenteil und einmal OKEEY.	Zwei feldinitiale Fälle reichen nicht, um Anteil gegen Probe oder bloßen Abschnittsanfang zu trennen; die Auswahlhandlung ist unsichtbar.	EXACT_JOINT_TUPLE_ID_ONLY
OKEEY	0275fbf14e07935b0a45	lauwarm	Zustand	322	f83r	BIOLOGICAL	f83r.26	2	B4	8	47	F112	MIDDLE	2	5	NONCLOSE	qokeey	OPAQUE_PAYLOAD	WARM?	LAUWARM?	321	faf321940aed922846a9	OTCHEY	Nimm den bezeichneten Anteil	temperiere die Arbeitsflüssigkeit und halte sie lauwarm	bezeichneten Lauf warm reinigen [lokaler B4-Musterbogenschritt 8/47; keine Kartenbedeutung]	323	276a7c2d74d1143446f4	OKY	Die aktive Portion verwenden	Nimm den bezeichneten Anteil ; temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; Die aktive Portion verwenden ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt	bezeichneten Lauf warm reinigen [Ganzfeldexemplar B4, Feld 4/20]	REGISTER=BIOLOGICAL;FIELD_POSITION=MIDDLE;FIELD_LENGTH=5;TERMINAL=NONCLOSE;PREDECESSOR=OTCHEY;SUCCESSOR=OKY	7 rein biologische Vorkommen auf 3 Seiten/4 Records; 3× FIRST, 4× MIDDLE, alle NONCLOSE; zweimal vor OKY, zweimal vor OKE und einmal nach OTCHEY. Das bildet einen Zustands-Pivot.	Es gibt keinen unabhängigen Heiß/Kalt-Kontrast, und die nichtmedizinischen Lokalschritte tragen keine einheitliche Temperatur; die sieben V59-Expansionen sind vorgeprägt.	EXACT_JOINT_TUPLE_ID_ONLY
OKY	276a7c2d74d1143446f4	verwenden	Verb	323	f83r	BIOLOGICAL	f83r.26	2	B4	9	47	F112	MIDDLE	3	5	NONCLOSE	qoky	OPAQUE_PAYLOAD	VERWENDEN?	VERWENDEN?	322	0275fbf14e07935b0a45	OKEEY	temperiere die Arbeitsflüssigkeit und halte sie lauwarm	Die aktive Portion verwenden	bezeichneten Lauf warm reinigen [lokaler B4-Musterbogenschritt 9/47; keine Kartenbedeutung]	324	dcda95c81a5460feb191	OTHER_EXACT	Mit der vorigen Zubereitung weiter	Nimm den bezeichneten Anteil ; temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; Die aktive Portion verwenden ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt	bezeichneten Lauf warm reinigen [Ganzfeldexemplar B4, Feld 4/20]	REGISTER=BIOLOGICAL;FIELD_POSITION=MIDDLE;FIELD_LENGTH=5;TERMINAL=NONCLOSE;PREDECESSOR=OKEEY;SUCCESSOR=OTHER_EXACT	10 Vorkommen auf 5 Seiten/6 Records; 6× MIDDLE, 2× LAST, 1× FIRST, 1× ONLY; zweimal OKEEY→OKY, zweimal OKY→AIIN und einmal OKY→AL. Das Tuple sitzt plausibel als ausführbarer Handlungspivot.	Ein isoliertes und drei feldabschließende Vorkommen lassen ebenso eine Fortsetzungs- oder Freigabefunktion zu; die technische Rivalprosa ist nicht einheitlich.	EXACT_JOINT_TUPLE_ID_ONLY
AIIN	2f1c5e56e8f0ff459065	Maß	Parameter	332	f83r	BIOLOGICAL	f83r.28	2	B4	18	47	F117	FIRST	1	4	NONCLOSE	saiin	OPAQUE_PAYLOAD	MASS?	MASS?	BOUNDARY	BOUNDARY	BOUNDARY	BOUNDARY	Ein vorgeschriebenes Maß	Rückstand filtern [lokaler B4-Musterbogenschritt 18/47; keine Kartenbedeutung]	333	2c1a5fd92b9e3c762242	OTHER_EXACT	solange es noch warm ist	Ein vorgeschriebenes Maß ; solange es noch warm ist ; die erste Öffnung ; spüle die bezeichnete Stelle einmal und beende den Schritt	Rückstand filtern [Ganzfeldexemplar B4, Feld 9/20]	REGISTER=BIOLOGICAL;FIELD_POSITION=FIRST;FIELD_LENGTH=4;TERMINAL=NONCLOSE;PREDECESSOR=BOUNDARY;SUCCESSOR=OTHER_EXACT	20 Vorkommen auf 7 Seiten und in allen 11 Prosarecords; 6× FIRST, 9× MIDDLE, 5× LAST, stets NONCLOSE; zweimal OKY→AIIN. Der breite Anschlussdruck begünstigt einen frei einsetzbaren Parameter.	Keines der 20 Ereignisse trägt selbst eine sichtbare Einheit oder Zahl; alle gleichlautenden Maß-Expansionen sind aus V59 geerbt und daher nicht unabhängig.	EXACT_JOINT_TUPLE_ID_ONLY
OKE	7db18b2f0fb7ed0fcfd3	spülen	Verb	335	f83r	BIOLOGICAL	f83r.28	2	B4	21	47	F117	LAST	4	4	TERMINAL	qokedy	CLOSE(OPAQUE_PAYLOAD)	SPÜLEN?	SPÜLEN?	334	92e43836d82f98bf02d3	OTHER_EXACT	die erste Öffnung	spüle die bezeichnete Stelle einmal und beende den Schritt	Rückstand filtern [lokaler B4-Musterbogenschritt 21/47; keine Kartenbedeutung]	BOUNDARY	BOUNDARY	BOUNDARY	BOUNDARY	Ein vorgeschriebenes Maß ; solange es noch warm ist ; die erste Öffnung ; spüle die bezeichnete Stelle einmal und beende den Schritt	Rückstand filtern [Ganzfeldexemplar B4, Feld 9/20]	REGISTER=BIOLOGICAL;FIELD_POSITION=LAST;FIELD_LENGTH=4;TERMINAL=TERMINAL;PREDECESSOR=OTHER_EXACT;SUCCESSOR=BOUNDARY	8 rein biologische Vorkommen auf 2 Seiten/3 Records; 3× ONLY, 5× LAST und 8× TERMINAL; zweimal OKEEY→OKE, einmal nach einer lokalen Erstspülung. Das Prozessmotiv ist kohärent.	Alle 8/8 Fälle sind vollständig mit CLOSE konfundiert; ‚beenden‘ erklärt die Position ohne jede Spülsemantik und ist formal sparsamer.	EXACT_JOINT_TUPLE_ID_ONLY
AIIN	2f1c5e56e8f0ff459065	Maß	Parameter	338	f83r	BIOLOGICAL	f83r.35	2	B4	24	47	F120	FIRST	1	5	NONCLOSE	saiin	OPAQUE_PAYLOAD	MASS?	MASS?	BOUNDARY	BOUNDARY	BOUNDARY	BOUNDARY	Ein vorgeschriebenes Maß	Rückstand filtern [lokaler B4-Musterbogenschritt 24/47; keine Kartenbedeutung]	339	d904bf7b044dd3922781	OTHER_EXACT	bei sanfter Wärme	Ein vorgeschriebenes Maß ; bei sanfter Wärme ; das breite Gefäß ; gib einen abgemessenen Anteil in das Gefäß ; rühre, bis alles gleichmäßig vermischt ist	unten ablassen [Ganzfeldexemplar B4, Feld 12/20]	REGISTER=BIOLOGICAL;FIELD_POSITION=FIRST;FIELD_LENGTH=5;TERMINAL=NONCLOSE;PREDECESSOR=BOUNDARY;SUCCESSOR=OTHER_EXACT	20 Vorkommen auf 7 Seiten und in allen 11 Prosarecords; 6× FIRST, 9× MIDDLE, 5× LAST, stets NONCLOSE; zweimal OKY→AIIN. Der breite Anschlussdruck begünstigt einen frei einsetzbaren Parameter.	Keines der 20 Ereignisse trägt selbst eine sichtbare Einheit oder Zahl; alle gleichlautenden Maß-Expansionen sind aus V59 geerbt und daher nicht unabhängig.	EXACT_JOINT_TUPLE_ID_ONLY
LCHE	de7321bface5628e35d6	ablassen	Verb	345	f83r	BIOLOGICAL	f83r.37	2	B4	31	47	F122	ONLY	1	1	TERMINAL	lchedy	CLOSE(OPAQUE_PAYLOAD)	ABLASSEN?	ABLASSEN?	BOUNDARY	BOUNDARY	BOUNDARY	BOUNDARY	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt	unten ablassen [lokaler B4-Musterbogenschritt 31/47; keine Kartenbedeutung]	BOUNDARY	BOUNDARY	BOUNDARY	BOUNDARY	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt	unten ablassen [Ganzfeldexemplar B4, Feld 14/20]	REGISTER=BIOLOGICAL;FIELD_POSITION=ONLY;FIELD_LENGTH=1;TERMINAL=TERMINAL;PREDECESSOR=BOUNDARY;SUCCESSOR=BOUNDARY	8 rein biologische Vorkommen auf 2 Seiten/3 Records; 5× ONLY, 3× LAST und 8× TERMINAL; einmal folgt LCHE auf AL, einmal stimmt der technische Ganzdefault ‚unten ablassen‘ überein.	Alle 8/8 Fälle sind CLOSE-konfundiert, fünf sogar isoliert; OKE zeigt dieselbe Position mit anderer kreativer Lesung, ohne unabhängiges Merkmal zur Trennung.	EXACT_JOINT_TUPLE_ID_ONLY
OR	7a4bb8136330ee4e6e56	Zubereitung	Nomen	348	f83r	BIOLOGICAL	f83r.38	2	B4	34	47	F124	FIRST	1	4	NONCLOSE	or	OPAQUE_PAYLOAD	BEREITUNG?	ZUBEREITUNG?	BOUNDARY	BOUNDARY	BOUNDARY	BOUNDARY	Die bereitete Arbeitsflüssigkeit	unten ablassen [lokaler B4-Musterbogenschritt 34/47; keine Kartenbedeutung]	349	b921a237be883a820352	OTHER_EXACT	Diese aktive Portion	Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; über der örtlich bezeichneten Stelle ; gebrauche sie sofort und beende den Schritt	neu ansetzen [Ganzfeldexemplar B4, Feld 16/20]	REGISTER=BIOLOGICAL;FIELD_POSITION=FIRST;FIELD_LENGTH=4;TERMINAL=NONCLOSE;PREDECESSOR=BOUNDARY;SUCCESSOR=OTHER_EXACT	7 Vorkommen auf 3 Seiten/4 Records; 5× MIDDLE, 2× FIRST, alle NONCLOSE; ein CTHY→OR-Anschluss und ein OR→OR-Doppel. Ein wiederaufnehmbares Arbeitsnomen passt.	Die direkte Doppelung ergibt bei wörtlicher Komposition ‚Zubereitung Zubereitung‘; zwei Bio-Vorkommen stehen zudem feldinitial ohne sichtbare Wiederaufnahme.	EXACT_JOINT_TUPLE_ID_ONLY
EY	b5df9126607030b95175	klar	Zustand	353	f83r	BIOLOGICAL	f83r.39	2	B4	39	47	F125	MIDDLE	2	4	NONCLOSE	shey	OPAQUE_PAYLOAD	KLAR?	KLAR?	352	1645e612504fcef59ced	OTHER_EXACT	gib einen abgemessenen Anteil in das Gefäß	Bis die Flüssigkeit klar abläuft	neu ansetzen [lokaler B4-Musterbogenschritt 39/47; keine Kartenbedeutung]	354	9da1b6ac2c929daea697	OTHER_EXACT	ein abgemessener Anteil	gib einen abgemessenen Anteil in das Gefäß ; Bis die Flüssigkeit klar abläuft ; ein abgemessener Anteil ; für die angegebene Dauer	neu ansetzen [Ganzfeldexemplar B4, Feld 17/20]	REGISTER=BIOLOGICAL;FIELD_POSITION=MIDDLE;FIELD_LENGTH=4;TERMINAL=NONCLOSE;PREDECESSOR=OTHER_EXACT;SUCCESSOR=OTHER_EXACT	4 Vorkommen auf 3 Seiten/3 Records, verteilt auf FIRST/MIDDLE/LAST und stets NONCLOSE. Die fehlende Schlussbindung erlaubt einen echten Zwischenzustand.	Vier geerbte Lokalexpansionen unterscheiden Transparenz, Reinheit und Fertigsein nicht; es fehlt ein unabhängiges Kontrastpaar.	EXACT_JOINT_TUPLE_ID_ONLY
LCHE	de7321bface5628e35d6	ablassen	Verb	357	f83r	BIOLOGICAL	f83r.41	2	B4	43	47	F126	LAST	2	2	TERMINAL	lchedy	CLOSE(OPAQUE_PAYLOAD)	ABLASSEN?	ABLASSEN?	356	42cdc187d5b9ffc60063	OTHER_EXACT	öffne danach den oberen Lauf	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt	neu ansetzen [lokaler B4-Musterbogenschritt 43/47; keine Kartenbedeutung]	BOUNDARY	BOUNDARY	BOUNDARY	BOUNDARY	öffne danach den oberen Lauf ; lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt	neu ansetzen [Ganzfeldexemplar B4, Feld 18/20]	REGISTER=BIOLOGICAL;FIELD_POSITION=LAST;FIELD_LENGTH=2;TERMINAL=TERMINAL;PREDECESSOR=OTHER_EXACT;SUCCESSOR=BOUNDARY	8 rein biologische Vorkommen auf 2 Seiten/3 Records; 5× ONLY, 3× LAST und 8× TERMINAL; einmal folgt LCHE auf AL, einmal stimmt der technische Ganzdefault ‚unten ablassen‘ überein.	Alle 8/8 Fälle sind CLOSE-konfundiert, fünf sogar isoliert; OKE zeigt dieselbe Position mit anderer kreativer Lesung, ohne unabhängiges Merkmal zur Trennung.	EXACT_JOINT_TUPLE_ID_ONLY
AL	dd0ecaf5e27d81befffc	dorthin	Relation	359	f83r	BIOLOGICAL	f83r.41	2	B4	45	47	F127	LAST	2	2	NONCLOSE	dal	OPAQUE_PAYLOAD	AN?	DORTHIN?	358	94df4847b7b16c98394a	OTHER_EXACT	das untere Becken	An die bezeichnete Zielstelle führen	neu ansetzen [lokaler B4-Musterbogenschritt 45/47; keine Kartenbedeutung]	BOUNDARY	BOUNDARY	BOUNDARY	BOUNDARY	das untere Becken ; An die bezeichnete Zielstelle führen	neu ansetzen [Ganzfeldexemplar B4, Feld 19/20]	REGISTER=BIOLOGICAL;FIELD_POSITION=LAST;FIELD_LENGTH=2;TERMINAL=NONCLOSE;PREDECESSOR=OTHER_EXACT;SUCCESSOR=BOUNDARY	10 Vorkommen auf 4 Seiten/6 Records; 4× FIRST, 3× MIDDLE, 2× LAST, 1× ONLY, alle NONCLOSE. Fünf Feldanfänge und Anschlüsse an OKY, CTHY und LCHE stützen eine Deixis.	Das Ziel ist in keinem der zehn Tuple-Ereignisse unabhängig identifiziert; besonders das ONLY-Feld kann ebenso eine selbständige Übergabeformel sein.	EXACT_JOINT_TUPLE_ID_ONLY
AL	dd0ecaf5e27d81befffc	dorthin	Relation	365	f83r	BIOLOGICAL	f83r.48	3	B5	4	11	F132	FIRST	1	5	NONCLOSE	dal	OPAQUE_PAYLOAD	AN?	DORTHIN?	BOUNDARY	BOUNDARY	BOUNDARY	BOUNDARY	An die bezeichnete Zielstelle führen	einmal erwärmen [lokaler B5-Musterbogenschritt 4/11; keine Kartenbedeutung]	366	dcda95c81a5460feb191	OTHER_EXACT	Mit der vorigen Zubereitung weiter	An die bezeichnete Zielstelle führen ; Mit der vorigen Zubereitung weiter ; bis es warm ist ; mit der vorigen Mischung ; Ein vorgeschriebenes Maß	für die Arbeitsfrist halten [Ganzfeldexemplar B5, Feld 4/5]	REGISTER=BIOLOGICAL;FIELD_POSITION=FIRST;FIELD_LENGTH=5;TERMINAL=NONCLOSE;PREDECESSOR=BOUNDARY;SUCCESSOR=OTHER_EXACT	10 Vorkommen auf 4 Seiten/6 Records; 4× FIRST, 3× MIDDLE, 2× LAST, 1× ONLY, alle NONCLOSE. Fünf Feldanfänge und Anschlüsse an OKY, CTHY und LCHE stützen eine Deixis.	Das Ziel ist in keinem der zehn Tuple-Ereignisse unabhängig identifiziert; besonders das ONLY-Feld kann ebenso eine selbständige Übergabeformel sein.	EXACT_JOINT_TUPLE_ID_ONLY
AIIN	2f1c5e56e8f0ff459065	Maß	Parameter	369	f83r	BIOLOGICAL	f83r.48	3	B5	8	11	F132	LAST	5	5	NONCLOSE	aiin	OPAQUE_PAYLOAD	MASS?	MASS?	368	00d8ebe3c68294eeac39	OTHER_EXACT	mit der vorigen Mischung	Ein vorgeschriebenes Maß	für die Arbeitsfrist halten [lokaler B5-Musterbogenschritt 8/11; keine Kartenbedeutung]	BOUNDARY	BOUNDARY	BOUNDARY	BOUNDARY	An die bezeichnete Zielstelle führen ; Mit der vorigen Zubereitung weiter ; bis es warm ist ; mit der vorigen Mischung ; Ein vorgeschriebenes Maß	für die Arbeitsfrist halten [Ganzfeldexemplar B5, Feld 4/5]	REGISTER=BIOLOGICAL;FIELD_POSITION=LAST;FIELD_LENGTH=5;TERMINAL=NONCLOSE;PREDECESSOR=OTHER_EXACT;SUCCESSOR=BOUNDARY	20 Vorkommen auf 7 Seiten und in allen 11 Prosarecords; 6× FIRST, 9× MIDDLE, 5× LAST, stets NONCLOSE; zweimal OKY→AIIN. Der breite Anschlussdruck begünstigt einen frei einsetzbaren Parameter.	Keines der 20 Ereignisse trägt selbst eine sichtbare Einheit oder Zahl; alle gleichlautenden Maß-Expansionen sind aus V59 geerbt und daher nicht unabhängig.	EXACT_JOINT_TUPLE_ID_ONLY
AIIN	2f1c5e56e8f0ff459065	Maß	Parameter	377	f83r	BIOLOGICAL	f83r.54	4	B6	5	9	F135	FIRST	1	5	NONCLOSE	daiin	OPAQUE_PAYLOAD	MASS?	MASS?	BOUNDARY	BOUNDARY	BOUNDARY	BOUNDARY	Ein vorgeschriebenes Maß	filtern [lokaler B6-Musterbogenschritt 5/9; keine Kartenbedeutung]	378	dcda95c81a5460feb191	OTHER_EXACT	Mit der vorigen Zubereitung weiter	Ein vorgeschriebenes Maß ; Mit der vorigen Zubereitung weiter ; durch ein Tuch ; Diese aktive Portion ; an der bezeichneten Stelle	zum sichtbaren Ziel führen [Ganzfeldexemplar B6, Feld 2/2]	REGISTER=BIOLOGICAL;FIELD_POSITION=FIRST;FIELD_LENGTH=5;TERMINAL=NONCLOSE;PREDECESSOR=BOUNDARY;SUCCESSOR=OTHER_EXACT	20 Vorkommen auf 7 Seiten und in allen 11 Prosarecords; 6× FIRST, 9× MIDDLE, 5× LAST, stets NONCLOSE; zweimal OKY→AIIN. Der breite Anschlussdruck begünstigt einen frei einsetzbaren Parameter.	Keines der 20 Ereignisse trägt selbst eine sichtbare Einheit oder Zahl; alle gleichlautenden Maß-Expansionen sind aus V59 geerbt und daher nicht unabhängig.	EXACT_JOINT_TUPLE_ID_ONLY
