unit_order	page	unit_id	unit_kind	owner_or_namespace	group_count	surface_sequence	atom_sequence	short_workshop_reading_de	fully_spoken_reading_de	memory_or_orientation_rule	local_boundary
94	f83r	B3-S032	PROSE_STATEMENT	dem verbundenen Hauptbogenpaar	5	chedain chedy qotedaiin otaiin otedy	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+CLOSE	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Beginne die Spülung. Rühre, bis alles gleichmäßig vermischt ist. Das breite Gefäß. Für dieselbe Dauer wie zuvor. Lasse es bis zur Klarheit ziehen und beende den Schritt.	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B3-3; die geltende Zieladresse ist Zielstelle B3-14; ‚das Vorige‘ bezeichnet Vorposten B3-1. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Beginne die Spülung. Rühre, bis alles gleichmäßig vermischt ist. Das breite Gefäß. Für dieselbe Dauer wie zuvor. Lasse es bis zur Klarheit ziehen und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
95	f83r	B3-S033	PROSE_STATEMENT	dem verbundenen Hauptbogenpaar	1	ldy	L+CLOSE	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Ziehe es ab und beende den Schritt.	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B3-3; die geltende Zieladresse ist Zielstelle B3-15; ‚das Vorige‘ bezeichnet Vorposten B3-1. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Ziehe es ab und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
96	f83r	B3-S034	PROSE_STATEMENT	dem verbundenen Hauptbogenpaar	6	soiiin checthy chety otaiin olsaly shedy	IIN | CTH+Y | PARTITION+TY | OT+AIIN | AL+Y | SHED+E+CLOSE	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Bis es klar ist. Den örtlichen Prüfzustand der Charge feststellen. Gleichmäßig bearbeiten. Für dieselbe Dauer wie zuvor. Das untere Becken. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B3-3; die geltende Zieladresse ist Zielstelle B3-15; ‚das Vorige‘ bezeichnet Vorposten B3-1. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Bis es klar ist. Den örtlichen Prüfzustand der Charge feststellen. Gleichmäßig bearbeiten. Für dieselbe Dauer wie zuvor. Das untere Becken. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
97	f83r	B4-S001	PROSE_STATEMENT	dem verbundenen Hauptbogenpaar	1	qokeedy	OK+EE+CLOSE	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Tauche das Tuch oder die Auflage in die temperierte Flüssigkeit und beende den Schritt.	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B4-1. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Tauche das Tuch oder die Auflage in die temperierte Flüssigkeit und beende den Schritt.	OWNER|ACTIVE	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
98	f83r	B4-S002	PROSE_STATEMENT	dem verbundenen Hauptbogenpaar	3	qolchey qokeey qokedy	OL+Y | OK+EE+Y | OK+E+CLOSE	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Fülle danach das Gefäß. Die Charge für den vorgesehenen Gebrauch temperieren. Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B4-1; die geltende Zieladresse ist Zielstelle B4-1. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Fülle danach das Gefäß. Die Charge für den vorgesehenen Gebrauch temperieren. Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	OWNER|ACTIVE|TARGET	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
99	f83r	B4-S003	PROSE_STATEMENT	dem verbundenen Hauptbogenpaar	7	chedy otal otchey qokeey qoky tol shedy	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+E+CLOSE	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Rühre, bis alles gleichmäßig vermischt ist. Zum unteren Ablauf hin. Einen recordlokalen Anteil auswählen. Die Charge für den vorgesehenen Gebrauch temperieren. Den gefilterten Waschposten an der äußeren Haut- oder Wundstelle gebrauchen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B4-1; die geltende Zieladresse ist Zielstelle B4-1; ‚das Vorige‘ bezeichnet Vorposten B4-1. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Rühre, bis alles gleichmäßig vermischt ist. Zum unteren Ablauf hin. Einen recordlokalen Anteil auswählen. Die Charge für den vorgesehenen Gebrauch temperieren. Den gefilterten Waschposten an der äußeren Haut- oder Wundstelle gebrauchen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
100	f83r	B4-S004	PROSE_STATEMENT	dem verbundenen Hauptbogenpaar	1	qokylddy	OK+Y+LDDY	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Lege das warme Tuch auf die äußere Haut- oder Wundstelle und beende den Schritt.	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B4-2; die geltende Zieladresse ist Zielstelle B4-2; ‚das Vorige‘ bezeichnet Vorposten B4-1. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Lege das warme Tuch auf die äußere Haut- oder Wundstelle und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
101	f83r	B4-S005	PROSE_STATEMENT	dem verbundenen Hauptbogenpaar	3	dain chedy qokeedy	DAIN | CHD+Y | OK+EE+CLOSE	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Durch ein Tuch. Rühre, bis alles gleichmäßig vermischt ist. Tauche das Tuch oder die Auflage in die temperierte Flüssigkeit und beende den Schritt.	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B4-2; die geltende Zieladresse ist Zielstelle B4-2; ‚das Vorige‘ bezeichnet Vorposten B4-1. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Durch ein Tuch. Rühre, bis alles gleichmäßig vermischt ist. Tauche das Tuch oder die Auflage in die temperierte Flüssigkeit und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
102	f83r	B4-S006	PROSE_STATEMENT	dem verbundenen Hauptbogenpaar	1	shckhedy	CKHE+CLOSE	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Seihe es einmal durch ein Tuch und beende den Schritt.	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B4-3; die geltende Zieladresse ist Zielstelle B4-3; ‚das Vorige‘ bezeichnet Vorposten B4-2. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Seihe es einmal durch ein Tuch und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
103	f83r	B4-S007	PROSE_STATEMENT	dem verbundenen Hauptbogenpaar	1	shckhedy	CKHE+CLOSE	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Seihe es einmal durch ein Tuch und beende den Schritt.	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B4-3; die geltende Zieladresse ist Zielstelle B4-4; ‚das Vorige‘ bezeichnet Vorposten B4-2. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Seihe es einmal durch ein Tuch und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
104	f83r	B4-S008	PROSE_STATEMENT	dem verbundenen Hauptbogenpaar	4	saiin cheeky sheey qokedy	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+CLOSE	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Solange es noch warm ist. Die erste Öffnung. Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B4-3; die geltende Zieladresse ist Zielstelle B4-5; ‚das Vorige‘ bezeichnet Vorposten B4-2. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Solange es noch warm ist. Die erste Öffnung. Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
105	f83r	B4-S009	PROSE_STATEMENT	dem verbundenen Hauptbogenpaar	1	shedy	SHED+E+CLOSE	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Lasse es bis zur Bereitschaft stehen und beende den Schritt.	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B4-4; die geltende Zieladresse ist Zielstelle B4-7; ‚das Vorige‘ bezeichnet Vorposten B4-3. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Lasse es bis zur Bereitschaft stehen und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
106	f83r	B4-S010	PROSE_STATEMENT	dem verbundenen Hauptbogenpaar	1	oldy	OL+CLOSE	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Erwärme den Bade- oder Waschzusatz sanft und beende den Arbeitsschritt.	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B4-4; die geltende Zieladresse ist Zielstelle B4-7; ‚das Vorige‘ bezeichnet Vorposten B4-3. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Erwärme den Bade- oder Waschzusatz sanft und beende den Arbeitsschritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
107	f83r	B4-S011	PROSE_STATEMENT	der linken offenen Randstation	7	saiin cheky okeeol okain chdy sol lkedy	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+E+CLOSE	[[LOKALER BESITZER: linke offene Fransen-/Unterlaufstation]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Bei sanfter Wärme. Das breite Gefäß. Gib einen abgemessenen Anteil in das Gefäß. Rühre, bis alles gleichmäßig vermischt ist. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Wasche zweimal und beende den Schritt.	Der Text gehört zu der linken offenen Randstation; der laufende Gegenstand ist Arbeitsposten B4-4; die geltende Zieladresse ist Zielstelle B4-7; ‚das Vorige‘ bezeichnet Vorposten B4-3. [[LOKALER BESITZER: linke offene Fransen-/Unterlaufstation]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Bei sanfter Wärme. Das breite Gefäß. Gib einen abgemessenen Anteil in das Gefäß. Rühre, bis alles gleichmäßig vermischt ist. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Wasche zweimal und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
108	f83r	B4-S012	PROSE_STATEMENT	der linken offenen Randstation	1	lchedy	L+CHD+CLOSE	[[LOKALER BESITZER: linke offene Fransen-/Unterlaufstation]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	Der Text gehört zu der linken offenen Randstation; der laufende Gegenstand ist Arbeitsposten B4-5; die geltende Zieladresse ist Zielstelle B4-8; ‚das Vorige‘ bezeichnet Vorposten B4-4. [[LOKALER BESITZER: linke offene Fransen-/Unterlaufstation]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
109	f83r	B4-S013	PROSE_STATEMENT	der linken offenen Randstation	2	qokol shedy	OK+OL | SHED+E+CLOSE	[[LOKALER BESITZER: linke offene Fransen-/Unterlaufstation]] Lasse die Mischung einlaufen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	Der Text gehört zu der linken offenen Randstation; der laufende Gegenstand ist Arbeitsposten B4-5; die geltende Zieladresse ist Zielstelle B4-8; ‚das Vorige‘ bezeichnet Vorposten B4-4. [[LOKALER BESITZER: linke offene Fransen-/Unterlaufstation]] Lasse die Mischung einlaufen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
110	f83r	B4-S014	PROSE_STATEMENT	der linken offenen Randstation	4	or chey qockhey dairydy	OR | Y | OK+CKH+E+Y | AIR+Y+CLOSE	[[LOKALER BESITZER: linke offene Fransen-/Unterlaufstation]] Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Diese aktive Portion. Über der örtlich bezeichneten Stelle. Gebrauche sie sofort und beende den Schritt.	Der Text gehört zu der linken offenen Randstation; der laufende Gegenstand ist Arbeitsposten B4-5; die geltende Zieladresse ist Zielstelle B4-8; ‚das Vorige‘ bezeichnet Vorposten B4-4. [[LOKALER BESITZER: linke offene Fransen-/Unterlaufstation]] Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Diese aktive Portion. Über der örtlich bezeichneten Stelle. Gebrauche sie sofort und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
111	f83r	B4-S015	PROSE_STATEMENT	der rechten S-förmigen Mehrfachstation	6	qokain shey kain chckhal solkey lchedy	OK+AIN | CHEEY | AIN | CKH+AL | SOLK+E+Y | L+CHD+CLOSE	[[LOKALER BESITZER: linke offene Fransen-/Unterlaufstation]] Gib einen abgemessenen Anteil in das Gefäß. Den örtlichen Prüfzustand der Charge feststellen. Ein abgemessener Anteil. Für die angegebene Dauer. [[STATIONSWECHSEL: linke offene Fransen-/Unterlaufstation -> rechte S-Lauf-/Mehrarmknotenstation; STOFF, ZIEL UND RICHTUNG WERDEN NICHT VERERBT]] Öffne danach den oberen Lauf. Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	Der Text gehört zu der rechten S-förmigen Mehrfachstation; der laufende Gegenstand ist Arbeitsposten B4-6; die geltende Zieladresse ist Zielstelle B4-9; ‚das Vorige‘ bezeichnet Vorposten B4-5. [[LOKALER BESITZER: linke offene Fransen-/Unterlaufstation]] Gib einen abgemessenen Anteil in das Gefäß. Den örtlichen Prüfzustand der Charge feststellen. Ein abgemessener Anteil. Für die angegebene Dauer. [[STATIONSWECHSEL: linke offene Fransen-/Unterlaufstation -> rechte S-Lauf-/Mehrarmknotenstation; STOFF, ZIEL UND RICHTUNG WERDEN NICHT VERERBT]] Öffne danach den oberen Lauf. Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
112	f83r	B4-S016	PROSE_STATEMENT	der rechten S-förmigen Mehrfachstation	4	qolkain dal skar shedy	OL+AIN | AL | SK+AR | SHED+E+CLOSE	[[LOKALER BESITZER: rechte S-Lauf-/Mehrarmknotenstation]] Das untere Becken. Den aktiven Posten an der örtlich bezeichneten Station führen. Gieße das erwärmte Wasser ein. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	Der Text gehört zu der rechten S-förmigen Mehrfachstation; der laufende Gegenstand ist Arbeitsposten B4-7; die geltende Zieladresse ist Zielstelle B4-10; ‚das Vorige‘ bezeichnet Vorposten B4-6. [[LOKALER BESITZER: rechte S-Lauf-/Mehrarmknotenstation]] Das untere Becken. Den aktiven Posten an der örtlich bezeichneten Station führen. Gieße das erwärmte Wasser ein. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
113	f83r	B5-S001	PROSE_STATEMENT	der linken offenen Randstation	1	otchdy	OT+CHD+CLOSE	[[LOKALER BESITZER: linker offener Fransen-Endposten]] Ziehe es ab und beende den Schritt.	Der Text gehört zu der linken offenen Randstation; der laufende Gegenstand ist Arbeitsposten B5-1. [[LOKALER BESITZER: linker offener Fransen-Endposten]] Ziehe es ab und beende den Schritt.	OWNER|ACTIVE	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
114	f83r	B5-S002	PROSE_STATEMENT	der linken offenen Randstation	1	qokchdy	OK+CHD+CLOSE	[[LOKALER BESITZER: linker offener Fransen-Endposten]] Erwärme es einmal und beende den Schritt.	Der Text gehört zu der linken offenen Randstation; der laufende Gegenstand ist Arbeitsposten B5-1. [[LOKALER BESITZER: linker offener Fransen-Endposten]] Erwärme es einmal und beende den Schritt.	OWNER|ACTIVE	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
115	f83r	B5-S003	PROSE_STATEMENT	der linken offenen Randstation	9	shedal dal cheol lol chdal aiin sol daiiin chedy	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | IIN | CHD+Y	[[LOKALER BESITZER: linker offener Fransen-Endposten]] Für einen Zeitabschnitt. Den aktiven Posten an der örtlich bezeichneten Station führen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Bis es warm ist. Mit der vorigen Mischung. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Die zweite Öffnung. Rühre, bis alles gleichmäßig vermischt ist.	Der Text gehört zu der linken offenen Randstation; der laufende Gegenstand ist Arbeitsposten B5-1; die geltende Zieladresse ist Zielstelle B5-2; ‚das Vorige‘ bezeichnet Vorposten B5-2. [[LOKALER BESITZER: linker offener Fransen-Endposten]] Für einen Zeitabschnitt. Den aktiven Posten an der örtlich bezeichneten Station führen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Bis es warm ist. Mit der vorigen Mischung. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Die zweite Öffnung. Rühre, bis alles gleichmäßig vermischt ist.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
116	f83r	B6-S001	PROSE_STATEMENT	der rechten S-förmigen Mehrfachstation	9	solkeey qekey raly ol daiin ol dain chey ldalor	SOLK+EE+Y | KCH+E+Y | AL+Y | OL | AIIN | OL | DAIN | Y | AL	[[LOKALER BESITZER: rechter S-Lauf-/Mehrarm-Endposten]] Richte die bezeichnete Beckenstation ein. Ohne Kochen. Die erste Öffnung. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Durch ein Tuch. Diese aktive Portion. An der bezeichneten Stelle.	Der Text gehört zu der rechten S-förmigen Mehrfachstation; der laufende Gegenstand ist Arbeitsposten B6-1; die geltende Zieladresse ist Zielstelle B6-4; ‚das Vorige‘ bezeichnet Vorposten B6-2. [[LOKALER BESITZER: rechter S-Lauf-/Mehrarm-Endposten]] Richte die bezeichnete Beckenstation ein. Ohne Kochen. Die erste Öffnung. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Durch ein Tuch. Diese aktive Portion. An der bezeichneten Stelle.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
117	f67r2	f67r2.1	ASTRO_LOCUS	F67_RIGHT_WHEEL_NS::A1_RIGHT_SECTOR_SLOT_01	3	ykshy s aram	YK | S | AR+AM	bezeichnete Klasse oder Haus; Nebenwert; Quellaspekt	Lies diesen sichtbaren Posten nur im gewählten Rad: bezeichnete Klasse oder Haus; Nebenwert; Quellaspekt. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
118	f67r2	f67r2.2	ASTRO_LOCUS	F67_RIGHT_WHEEL_NS::A1_RIGHT_SECTOR_SLOT_02	3	ykecho ols eesydy	YK+HO | OL | EE+DY	bezeichnete Klasse oder Haus + HO; Fortsetzen; lange Tabellenstufe festhalten	Lies diesen sichtbaren Posten nur im gewählten Rad: bezeichnete Klasse oder Haus + HO; Fortsetzen; lange Tabellenstufe festhalten. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
119	f67r2	f67r2.3	ASTRO_LOCUS	F67_RIGHT_WHEEL_NS::A1_RIGHT_SECTOR_SLOT_03	3	ey shs okar	SEL+Y | SH+S | OK+AR	aktuelle Auswahl; Nebenwert halten; Quelle aktivieren	Lies diesen sichtbaren Posten nur im gewählten Rad: aktuelle Auswahl; Nebenwert halten; Quelle aktivieren. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
120	f67r2	f67r2.4	ASTRO_LOCUS	F67_RIGHT_WHEEL_NS::A1_RIGHT_SECTOR_SLOT_04	2	shekchy sykos	SH+KCH+Y | YK+OS	aktuellen Posten beim Bearbeiten halten; Klassenfeld	Lies diesen sichtbaren Posten nur im gewählten Rad: aktuellen Posten beim Bearbeiten halten; Klassenfeld. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
121	f67r2	f67r2.5	ASTRO_LOCUS	F67_RIGHT_WHEEL_NS::A1_RIGHT_SECTOR_SLOT_05	2	ykeody okchy	YK+E+OD+Y | KCH	diesen Klassenposten kurz markieren; diesen Diagrammposten setzen	Lies diesen sichtbaren Posten nur im gewählten Rad: diesen Klassenposten kurz markieren; diesen Diagrammposten setzen. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
122	f67r2	f67r2.6	ASTRO_LOCUS	F67_RIGHT_WHEEL_NS::A1_RIGHT_SECTOR_SLOT_06	1	dchetay	D+CH+T+A+Y	fester aktueller Hauptphasen-Zustand	Lies diesen sichtbaren Posten nur im gewählten Rad: fester aktueller Hauptphasen-Zustand. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
123	f67r2	f67r2.7	ASTRO_LOCUS	F67_RIGHT_WHEEL_NS::A1_RIGHT_SECTOR_SLOT_07	3	ykchy kchey ykchys	YK+KCH | KCH | YK+KCH	bezeichnete Klasse oder Haus + KCH; diesen Diagrammplatz kurz bearbeiten; bezeichnete Klasse oder Haus + KCH	Lies diesen sichtbaren Posten nur im gewählten Rad: bezeichnete Klasse oder Haus + KCH; diesen Diagrammplatz kurz bearbeiten; bezeichnete Klasse oder Haus + KCH. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
124	f67r2	f67r2.8	ASTRO_LOCUS	F67_RIGHT_WHEEL_NS::A1_RIGHT_SECTOR_SLOT_08	1	chkchdar	KCH+AR	Bearbeiten + Quelle	Lies diesen sichtbaren Posten nur im gewählten Rad: Bearbeiten + Quelle. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
125	f67r2	f67r2.9	ASTRO_LOCUS	F67_RIGHT_WHEEL_NS::A1_RIGHT_SECTOR_SLOT_09	2	ykar ykaly	YK+AR | YK+AL	bezeichnete Klasse oder Haus + AR; bezeichnete Klasse oder Haus + AL	Lies diesen sichtbaren Posten nur im gewählten Rad: bezeichnete Klasse oder Haus + AR; bezeichnete Klasse oder Haus + AL. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
126	f67r2	f67r2.10	ASTRO_LOCUS	F67_RIGHT_WHEEL_NS::A1_RIGHT_SECTOR_SLOT_10	3	lkshy kchy okar	SH+Y | KCH | OK+AR	aktuellen Posten halten; diesen Diagrammplatz bearbeiten; Quelle aktivieren	Lies diesen sichtbaren Posten nur im gewählten Rad: aktuellen Posten halten; diesen Diagrammplatz bearbeiten; Quelle aktivieren. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
