event_serial	event_id	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	surface_display	semantic_segmentation	stable_concrete_nucleus_de	concrete_word_reading_de	contextual_event_reading_de	statement_continuation	previous_semantic_segmentation	previous_stable_concrete_nucleus_de	previous_concrete_word_reading_de	previous_contextual_event_reading_de	paradigm_revision	revision_strength	component_completion_previous_segmentation	component_completion_previous_nucleus_de	component_completion_previous_gloss_de	component_completion_previous_context_de	component_completion_source	component_completion_strength	direction_previous_segmentation	direction_previous_nucleus_de	direction_previous_gloss_de	direction_previous_context_de	direction_revision_source	direction_revision_strength	quantity_previous_segmentation	quantity_previous_nucleus_de	quantity_previous_gloss_de	quantity_previous_context_de	quantity_revision_source	quantity_revision_strength	workshop_slots	state_endpoint_previous_segmentation	state_endpoint_previous_nucleus_de	state_endpoint_previous_gloss_de	state_endpoint_previous_context_de	state_endpoint_revision_family	state_endpoint_revision_strength	filtration_previous_segmentation	filtration_previous_nucleus_de	filtration_previous_gloss_de	filtration_previous_context_de	filtration_revision_family	filtration_revision_strength	application_previous_segmentation	application_previous_nucleus_de	application_previous_gloss_de	application_previous_context_de	application_revision_family	application_revision_strength	r3_previous_segmentation	r3_previous_nucleus_de	r3_previous_gloss_de	r3_previous_context_de	r3_revision_family	r3_revision_strength	r3_revision_note	selected_previous_segmentation	selected_previous_nucleus_de	selected_previous_gloss_de	selected_previous_context_de	selected_medium_family	selected_medium_rationale	r3_thermal_previous_segmentation	r3_thermal_previous_nucleus_de	r3_thermal_previous_gloss_de	r3_thermal_previous_context_de	r3_thermal_family	r3_thermal_status	r3_thermal_note	selected_thermal_previous_segmentation	selected_thermal_previous_nucleus_de	selected_thermal_previous_gloss_de	selected_thermal_previous_context_de	selected_thermal_source	selected_thermal_family	selected_thermal_reason
11	E011	H1	f10r	f10r.5	F002	H1-S002	9ad66e67803a12e745de	qokchy	OK_SET+CH_WRAPPER+Y_OPEN	OK=ansetzen; CHY=umhüllter offener Posten	Posten ansetzen	Posten ansetzen	LOCAL_SEQUENCE	okchy=frischer Auszug	frischer Auszug	frischer Auszug	Nimm erneut von dem frischen ersten Auszug	OK_PARADIGM	CLOSED_RENDERER_PAIR	OK+CHY[Y]	OK=in den laufenden Arbeitsgang setzen; aktueller Ansatz	aktuellen Ansatz in Arbeit nehmen oder anwenden	Aktuellen Ansatz in Arbeit nehmen oder anwenden	Y_CHY	SELECTED_PRODUCTIVE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OWNER_ITEM+OPERATION	OK+CHY[wrapped Y_REFERENT]	OK=in Arbeit setzen; CHY=umhüllter Verweis auf den laufenden Posten	den laufenden Posten anwenden oder in Arbeit nehmen	Den laufenden Posten anwenden oder in Arbeit nehmen	OK_STATE_GRID	SELECTED_RECURRENT_WRAPPED_BASE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OK+CHY_WRAPPED_CURRENT_ITEM	OK=in Arbeit setzen; CHY=umhüllter aktueller Posten	den laufenden Posten einsetzen	Den laufenden Posten einsetzen	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OK+CHY_WRAPPED_CURRENT_ITEM	OK=in Arbeit setzen; CHY=umhüllter aktueller Posten	den laufenden Posten einsetzen	Den laufenden Posten einsetzen	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	OK+CHY_WRAPPED_CURRENT_ITEM	OK=in Arbeit setzen; CHY=umhüllter aktueller Posten	den laufenden Posten einsetzen	Den laufenden Posten einsetzen	OK_GRID	REVISED_R3	Wrapped open base; same stored value as the plain OKY card.	OK_SET+CH_WRAPPER+Y_OPEN	OK=ansetzen; CHY=umhüllter offener Posten	Posten ansetzen	Posten ansetzen	R3_STRUCTURAL_BASE	OK_GRID	R3 retained after four-role comparison.
12	E012	H1	f10r	f10r.5	F002	H1-S002	e8a6105b5c3a6220b440	qotchol	QOTCHOL_WARM_WHOLE_CARD	QOTCHOL=anwärmen	anwärmen	Anwärmen	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OPERATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	qotchol=gelind erwärmen	gelind erwärmen	gelind erwärmen	Erwärme ihn gelinde	UNCHANGED	UNCHANGED	NOT_APPLICABLE	qotchol=gelind erwärmen	gelind erwärmen	gelind erwärmen	Erwärme ihn gelinde	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	qotchol=gelind erwärmen	gelind erwärmen	gelind erwärmen	Erwärme ihn gelinde	THERMAL_WHOLE	REVISED_R3	Learned whole card; OTYTCHOL and TSHOL block a free TCHOL root.	QOTCHOL_GENTLE_HEAT_WHOLE_CARD	QOTCHOL=sanft wärmen	sanft wärmen	Sanft wärmen	FOUR_ROLE_LEXICAL_REPAIR	THERMAL_WHOLE	Three roles prefer the shorter action; 'sanft' is not independently encoded.
13	E013	H1	f10r	f10r.5	F002	H1-S002	dcda95c81a5460feb191	chol	OL_CONTINUE	OL=fortsetzen	fortsetzen	Fortsetzen	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ORDER+OPERATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	UNCHANGED	UNCHANGED	NOT_APPLICABLE	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	ORDER_GRID	REVISED_R3	Nineteen events make OL the recurrent continuation carrier.	OL_CONTINUE	OL=mit Vorigem fortsetzen	mit Vorigem fortsetzen	Mit Vorigem fortsetzen	FOUR_ROLE_LEXICAL_REPAIR	ORDER_OL	The inherited item supplies 'mit dem Vorigen'; the card contributes only continuation.
14	E014	H1	f10r	f10r.5	F002	H1-S002	e0b630cb1b5df5e7105b	cthy	CTH_READY+Y_CURRENT	CTH=bereit; Y=Posten	bereit	Bereit	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	STATE_GRADE	cthy=bereit	bereit	bereit	Sobald er zum Gebrauch bereit ist, gebrauche ihn	CTH_READY_GRID	SELECTED_RECURRENT					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	CTHY_READY_CARD	CTHY=gebrauchsfertig	gebrauchsfertig	Gebrauchsfertig	UNCHANGED	UNCHANGED	NOT_APPLICABLE	CTHY_READY_CARD	CTHY=gebrauchsfertig	gebrauchsfertig	Gebrauchsfertig	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	CTHY_READY_CARD	CTHY=gebrauchsfertig	gebrauchsfertig	Gebrauchsfertig	CTH_GRID	REVISED_R3	Ungraded ready state; CTHOOR and CTHAIIN remain exact whole-card counterexamples.	CTH_READY+Y_OPEN	CTH=bereit; Y=offen	gebrauchsfertig	Gebrauchsfertig	FOUR_ROLE_LEXICAL_REPAIR	READY_ATOM	R1/R2 use the smaller state BEREIT; 'gebrauchsfertig' adds an unsupported use context.
15	E015	H2	f10r	f10r.6	F003	H2-S001	7249edc4df3419c26999	ycheor	ycheor=Pflanzenspitzen	Pflanzenspitzen	Pflanzenspitzen	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OWNER_ITEM					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ycheor=Pflanzenspitzen	Pflanzenspitzen	Pflanzenspitzen	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze	UNCHANGED	UNCHANGED	NOT_APPLICABLE	ycheor=Pflanzenspitzen	Pflanzenspitzen	Pflanzenspitzen	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	ycheor=Pflanzenspitzen	Pflanzenspitzen	Pflanzenspitzen	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze	UNCHANGED	UNCHANGED	NOT_APPLICABLE	ycheor=Pflanzenspitzen	Pflanzenspitzen	Pflanzenspitzen	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
16	E016	H2	f10r	f10r.6	F003	H2-S001	e0b630cb1b5df5e7105b	cthy	CTH_READY+Y_CURRENT	CTH=bereit; Y=Posten	bereit	Bereit	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	STATE_GRADE	cthy=bereit	bereit	bereit	Sammle sie, wenn sie sich eben öffnen	CTH_READY_GRID	SELECTED_RECURRENT					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	CTHY_READY_CARD	CTHY=gebrauchsfertig	gebrauchsfertig	Gebrauchsfertig	UNCHANGED	UNCHANGED	NOT_APPLICABLE	CTHY_READY_CARD	CTHY=gebrauchsfertig	gebrauchsfertig	Gebrauchsfertig	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	CTHY_READY_CARD	CTHY=gebrauchsfertig	gebrauchsfertig	Gebrauchsfertig	CTH_GRID	REVISED_R3	Ungraded ready state; CTHOOR and CTHAIIN remain exact whole-card counterexamples.	CTH_READY+Y_OPEN	CTH=bereit; Y=offen	gebrauchsfertig	Gebrauchsfertig	FOUR_ROLE_LEXICAL_REPAIR	READY_ATOM	R1/R2 use the smaller state BEREIT; 'gebrauchsfertig' adds an unsupported use context.
17	E017	H2	f10r	f10r.6	F003	H2-S001	7a4bb8136330ee4e6e56	chor	OR_BATCH	OR=Ansatz	Ansatz	Ansatz	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	or=Zubereitung	Zubereitung	Zubereitung	Führe sie als frischen Ansatz	PREPARATION_CORE	SELECTED_RECURRENT	PREPARATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OR_PREPARATION	OR=Zubereitung	Zubereitung	Zubereitung	OR_BATCH	SELECTED_RECURRENT_CORE	Seven events span Herbal and apparatus records; ANSATZ survives all contexts.	OR_BATCH	OR=Ansatz	Ansatz	Ansatz	OR_BATCH	Seven events across three pages keep the same prepared-batch value.	OR_BATCH	OR=Ansatz	Ansatz	Ansatz	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OR_BATCH	OR=Ansatz	Ansatz	Ansatz	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
18	E018	H2	f10r	f10r.6	F003	H2-S001	f3c23f42baf625639e1e	cthaiin	cthaiin=Kraut zerstoßen	Kraut zerstoßen	Kraut zerstoßen	Zerstoße das Kraut	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OPERATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	cthaiin=Kraut zerstoßen	Kraut zerstoßen	Kraut zerstoßen	Zerstoße das Kraut	UNCHANGED	UNCHANGED	NOT_APPLICABLE	cthaiin=Kraut zerstoßen	Kraut zerstoßen	Kraut zerstoßen	Zerstoße das Kraut	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	cthaiin=Kraut zerstoßen	Kraut zerstoßen	Kraut zerstoßen	Zerstoße das Kraut	UNCHANGED	UNCHANGED	NOT_APPLICABLE	cthaiin=Kraut zerstoßen	Kraut zerstoßen	Kraut zerstoßen	Zerstoße das Kraut	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
19	E019	H2	f10r	f10r.6	F003	H2-S001	af816c04e65874a0f2fa	qoctholy	QOCTHOLY_PRESS_WHOLE_CARD	QOCTHOLY=abpressen	abpressen	Abpressen	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OPERATION					UNCHANGED	UNCHANGED	qoctholy=durch Tuch	durch Tuch	durch Tuch	Presse den Saft durch ein Tuch	SEPARATION_NOMENCLATOR	SELECTED_SINGLETON_WHOLE_CARD					UNCHANGED	UNCHANGED	QOCTHOLY_PRESS_WHOLE_CARD	QOCTHOLY=abpressen	abpressen	Abpressen	UNCHANGED	UNCHANGED	NOT_APPLICABLE	QOCTHOLY_PRESS_WHOLE_CARD	QOCTHOLY=abpressen	abpressen	Abpressen	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	QOCTHOLY_PRESS_WHOLE_CARD	QOCTHOLY=abpressen	abpressen	Abpressen	UNCHANGED	UNCHANGED	NOT_APPLICABLE	QOCTHOLY_PRESS_WHOLE_CARD	QOCTHOLY=abpressen	abpressen	Abpressen	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
20	E020	H2	f10r	f10r.6	F003	H2-S001	b921a237be883a820352	dy	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED	y=Ansatz	Ansatz	Ansatz	Fange die erste Fraktion auf	Y_CHY	SELECTED_PRODUCTIVE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OWNER_ITEM	Y_REFERENT_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	der laufende Posten; dies oder es	Der laufende Posten; dies oder es	Y_REFERENT	SELECTED_STRONG					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	UNCHANGED	UNCHANGED	NOT_APPLICABLE	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	UNCHANGED	UNCHANGED	NOT_APPLICABLE	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
21	E021	H2	f10r	f10r.6	F003	H2-S001	b921a237be883a820352	chy	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED	y=Ansatz	Ansatz	Ansatz	Gib Olivenöl hinzu	Y_CHY	SELECTED_PRODUCTIVE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OWNER_ITEM	Y_REFERENT_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	der laufende Posten; dies oder es	Der laufende Posten; dies oder es	Y_REFERENT	SELECTED_STRONG					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	UNCHANGED	UNCHANGED	NOT_APPLICABLE	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	UNCHANGED	UNCHANGED	NOT_APPLICABLE	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
22	E022	H2	f10r	f10r.6	F003	H2-S001	2f1c5e56e8f0ff459065	taiin	AIIN_TARGET_MEASURE	AIIN=Sollmaß	Sollmaß	Sollmaß	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	aiin=Maß	Maß	Maß	Nimm das örtlich vorgeschriebene Maß	MEASURE_CORE	SELECTED_STRONG	QUANTITY					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	AIIN_MEASURE	AIIN=vorgeschriebenes Maß	vorgeschriebenes Maß	Vorgeschriebenes Maß	UNCHANGED	UNCHANGED	NOT_APPLICABLE	AIIN_MEASURE	AIIN=vorgeschriebenes Maß	vorgeschriebenes Maß	Vorgeschriebenes Maß	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	AIIN_MEASURE	AIIN=vorgeschriebenes Maß	vorgeschriebenes Maß	Vorgeschriebenes Maß	AIIN_MEASURE	REVISED_R3	AIIN records the prescribed measure; it is not itself a time word.	AIIN_TARGET_MEASURE	AIIN=Sollmaß	Sollmaß	Sollmaß	R3_STRUCTURAL_BASE	AIIN_MEASURE	R3 retained after four-role comparison.
23	E023	H2	f10r	f10r.6	F003	H2-S001	b921a237be883a820352	shy	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED	y=Ansatz	Ansatz	Ansatz	Erwärme gelinde	Y_CHY	SELECTED_PRODUCTIVE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OWNER_ITEM	Y_REFERENT_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	der laufende Posten; dies oder es	Der laufende Posten; dies oder es	Y_REFERENT	SELECTED_STRONG					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	UNCHANGED	UNCHANGED	NOT_APPLICABLE	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	UNCHANGED	UNCHANGED	NOT_APPLICABLE	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
24	E024	H2	f10r	f10r.8	F004	H2-S002	10488b911aae52b3b334	qotchor	OT_FOLLOW+OR_BATCH	OT=Folge; OR=Ansatz	Folgeansatz	Folgeansatz	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	otchor=zweite Auswahl	zweite Auswahl	zweite Auswahl	Nimm vor voller Blüte eine zweite Portion der Spitzen	RECURRENT_COMPOSITION	SELECTED_RECURRENT_COMPOSITION	Q_RENDERER+OT+CH_RENDERER+OR_PREPARATION	OT=nächste; OR=Zubereitung	die nächste Zubereitung	Die nächste Zubereitung	PREPARATION_COMPOSITION	SELECTED_RECURRENT	PREPARATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OT+OR_PREPARATION	OT=nächste; OR=Zubereitung	die nächste Zubereitung	Die nächste Zubereitung	OR_BATCH	SELECTED_RECURRENT_COMPOSITION	Two Herbal events preserve the next-batch composition.	OT_NEXT+OR_BATCH	OT=nächster; OR=Ansatz	der nächste Ansatz	Der nächste Ansatz	OR_BATCH	OT supplies order.	OT_NEXT+OR_BATCH	OT=nächster; OR=Ansatz	nächster Ansatz	Nächster Ansatz	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OT_NEXT+OR_BATCH	OT=nächster; OR=Ansatz	nächster Ansatz	Nächster Ansatz	FOUR_ROLE_LEXICAL_REPAIR	ORDER_OT	Nominal OT compound selected by R1/R2/R4.
25	E025	H2	f10r	f10r.8	F004	H2-S002	7a4bb8136330ee4e6e56	chor	OR_BATCH	OR=Ansatz	Ansatz	Ansatz	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	or=Zubereitung	Zubereitung	Zubereitung	Führe den ersten Ansatz weiter	PREPARATION_CORE	SELECTED_RECURRENT	PREPARATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OR_PREPARATION	OR=Zubereitung	Zubereitung	Zubereitung	OR_BATCH	SELECTED_RECURRENT_CORE	Seven events span Herbal and apparatus records; ANSATZ survives all contexts.	OR_BATCH	OR=Ansatz	Ansatz	Ansatz	OR_BATCH	Seven events across three pages keep the same prepared-batch value.	OR_BATCH	OR=Ansatz	Ansatz	Ansatz	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OR_BATCH	OR=Ansatz	Ansatz	Ansatz	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
26	E026	H2	f10r	f10r.8	F004	H2-S002	497cbd9c7401810ff56b	otol	OT_FOLLOW+OL_CONTINUE	OT=Folge; OL=fortsetzen	danach fortsetzen	Danach fortsetzen	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	otol=Handvoll	Handvoll	Handvoll	Nimm eine Handvoll	ORDER_COMPOSITION	SELECTED_SINGLETON_PREDICTION	ORDER+OPERATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OT+OL	OT=danach; OL=weiter	danach weiter	Danach weiter	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OT+OL	OT=danach; OL=weiter	danach weiter	Danach weiter	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	OT+OL	OT=danach; OL=weiter	danach weiter	Danach weiter	ORDER_GRID	REVISED_R3	Both order values compose without adding content.	OT_FOLLOW+OL_CONTINUE	OT=Folge; OL=fortsetzen	danach fortsetzen	Danach fortsetzen	R3_STRUCTURAL_BASE	ORDER_GRID	R3 retained after four-role comparison.
27	E027	H2	f10r	f10r.8	F004	H2-S002	dcda95c81a5460feb191	chol	OL_CONTINUE	OL=fortsetzen	fortsetzen	Fortsetzen	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ORDER+OPERATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	UNCHANGED	UNCHANGED	NOT_APPLICABLE	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	ORDER_GRID	REVISED_R3	Nineteen events make OL the recurrent continuation carrier.	OL_CONTINUE	OL=mit Vorigem fortsetzen	mit Vorigem fortsetzen	Mit Vorigem fortsetzen	FOUR_ROLE_LEXICAL_REPAIR	ORDER_OL	The inherited item supplies 'mit dem Vorigen'; the card contributes only continuation.
28	E028	H2	f10r	f10r.8	F004	H2-S002	dec401773c1f0347793d	cholor	OL_CONTINUE+OR_BATCH	OL=Fortsetzung; OR=Ansatz	Fortsetzungsansatz	Fortsetzungsansatz	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ol=weiter + or=Zubereitung	weiter + Zubereitung	vorige Zubereitung	Nimm den vorherigen Posten hinzu	PREPARATION_COMPOSITION	SELECTED_RECURRENT	PREPARATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OL+OR_PREPARATION	OL=mit dem Vorigen; OR=Zubereitung	mit der vorigen Zubereitung	Mit der vorigen Zubereitung	OR_BATCH	SELECTED_RECURRENT_COMPOSITION	Herbal and Biological events share the previous-batch reading.	OL_CONTINUE+OR_BATCH	OL=mit dem vorigen; OR=Ansatz	mit dem vorigen Ansatz	Mit dem vorigen Ansatz	OR_BATCH	OL supplies previous-batch linkage.	OL_PREVIOUS+OR_BATCH	OL=voriger; OR=Ansatz	voriger Ansatz	Voriger Ansatz	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OL_PREVIOUS+OR_BATCH	OL=voriger; OR=Ansatz	voriger Ansatz	Voriger Ansatz	FOUR_ROLE_LEXICAL_REPAIR	ORDER_OL	The compound makes the OL and OR contributions explicit without a whole phrase.
29	E029	H2	f10r	f10r.8	F004	H2-S002	dcda95c81a5460feb191	chol	OL_CONTINUE	OL=fortsetzen	fortsetzen	Fortsetzen	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ORDER+OPERATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	UNCHANGED	UNCHANGED	NOT_APPLICABLE	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	ORDER_GRID	REVISED_R3	Nineteen events make OL the recurrent continuation carrier.	OL_CONTINUE	OL=mit Vorigem fortsetzen	mit Vorigem fortsetzen	Mit Vorigem fortsetzen	FOUR_ROLE_LEXICAL_REPAIR	ORDER_OL	The inherited item supplies 'mit dem Vorigen'; the card contributes only continuation.
30	E030	H2	f10r	f10r.8	F004	H2-S002	2f1c5e56e8f0ff459065	daiin	AIIN_TARGET_MEASURE	AIIN=Sollmaß	Sollmaß	Sollmaß	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	aiin=Maß	Maß	Maß	Gib von beiden das gleiche örtliche Maß	MEASURE_CORE	SELECTED_STRONG	QUANTITY					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	AIIN_MEASURE	AIIN=vorgeschriebenes Maß	vorgeschriebenes Maß	Vorgeschriebenes Maß	UNCHANGED	UNCHANGED	NOT_APPLICABLE	AIIN_MEASURE	AIIN=vorgeschriebenes Maß	vorgeschriebenes Maß	Vorgeschriebenes Maß	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	AIIN_MEASURE	AIIN=vorgeschriebenes Maß	vorgeschriebenes Maß	Vorgeschriebenes Maß	AIIN_MEASURE	REVISED_R3	AIIN records the prescribed measure; it is not itself a time word.	AIIN_TARGET_MEASURE	AIIN=Sollmaß	Sollmaß	Sollmaß	R3_STRUCTURAL_BASE	AIIN_MEASURE	R3 retained after four-role comparison.
