transition_ordinal	event_id	statement_id	physical_page	register	surface	recipe	left_control	right_control	last_argument	last_argument_value_de	argument_sequence	current_carrier_reading_de	next_event_id	next_recipe	next_explicit_arguments	next_inherited_argument	successor_outcome	transition_reading_de	statement_final	guard
200	G407-E2767	G407-S398	f81r	BIOLOGICAL	oty	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E2768	OT+E+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
201	G407-E2768	G407-S398	f81r	BIOLOGICAL	qotey	OT+E+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E2769	OT+EE+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
202	G407-E2769	G407-S398	f81r	BIOLOGICAL	oteey	OT+EE+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E2770	OL+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
203	G407-E2770	G407-S398	f81r	BIOLOGICAL	oly	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E2771	OT+EE+S+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
204	G407-E2771	G407-S398	f81r	BIOLOGICAL	qoteesy	OT+EE+S+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E2772	OT+E+DY	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
205	G407-E2779	G407-S401	f81r	BIOLOGICAL	qotain	OT+AIN	OT	END	AIN	ANTEIL	AIN	danach den Anteil als nächsten Träger eröffnen	G407-E2780	L+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
206	G407-E2790	G407-S406	f81r	BIOLOGICAL	loly	L+OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E2791	D_ADDR+OL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
207	G407-E2841	G407-S425	f81r	BIOLOGICAL	olkeey	OL+K+EE+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E2842	OT+EE+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
208	G407-E2842	G407-S425	f81r	BIOLOGICAL	oteey	OT+EE+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E2843	OL+SH+E+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
209	G407-E2843	G407-S425	f81r	BIOLOGICAL	olshey	OL+SH+E+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E2844	OT+E+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
210	G407-E2844	G407-S425	f81r	BIOLOGICAL	otey	OT+E+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E2845	L+OL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
211	G407-E2854	G407-S425	f81r	BIOLOGICAL	oly	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E2855	Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
212	G407-E2867	G407-S427	f81r	BIOLOGICAL	oly	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E2868	S+AR	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
213	G407-E2871	G407-S428	f81r	BIOLOGICAL	otain	OT+AIN	OT	END	AIN	ANTEIL	AIN	danach den Anteil als nächsten Träger eröffnen	G407-E2872	OK+AIR	NONE	AIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Anteil.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
214	G407-E2894	G407-S433	f81r	BIOLOGICAL	otey	OT+E+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E2895	L+CH+L	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
215	G407-E2903	G407-S434	f81r	BIOLOGICAL	olkaiin	OL+K+AIIN	OL	END	AIIN	WERT	AIIN	weiter mit dem Wert als aktuellem Träger	G407-E2904	OL	NONE	AIIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Wert.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
216	G407-E2912	G407-S436	f81r	BIOLOGICAL	olkshdy	OL+K+SH+D_ADDR+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E2913	OL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
217	G407-E2942	G407-S444	f81v	BIOLOGICAL	olkain	OL+K+AIN	OL	END	AIN	ANTEIL	AIN	weiter mit dem Anteil als aktuellem Träger	G407-E2943	AL	NONE	AIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Anteil.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
218	G407-E2968	G407-S447	f81v	BIOLOGICAL	otain	OT+AIN	OT	END	AIN	ANTEIL	AIN	danach den Anteil als nächsten Träger eröffnen	G407-E2969	CH+K+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
219	G407-E2986	G407-S449	f81v	BIOLOGICAL	olor	OL+OR	OL	END	OR	EINHEIT	OR	weiter mit der Einheit als aktuellem Träger	G407-E2987	OL	NONE	OR	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter die Einheit.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
220	G407-E2999	G407-S452	f81v	BIOLOGICAL	qolkeedy	OL+K+EE+D_ADDR+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E3000	AIIN	AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
221	G407-E3005	G407-S454	f81v	BIOLOGICAL	olchey	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E3006	K+AIIN	AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
222	G407-E3009	G407-S454	f81v	BIOLOGICAL	olor	OL+OR	OL	END	OR	EINHEIT	OR	weiter mit der Einheit als aktuellem Träger	G407-E3010	CH+E+CH+K+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
223	G407-E3012	G407-S455	f81v	BIOLOGICAL	polshy	P+OL+SH+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E3013	A_ADDR+SH+Y+T+EE+D_ADDR	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
224	G407-E3018	G407-S458	f81v	BIOLOGICAL	qoty	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E3019	D_ADDR+AIR+A_ADDR+AM_ADDR	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
225	G407-E3028	G407-S458	f81v	BIOLOGICAL	olchy	OL+CH+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E3029	K+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
226	G407-E3030	G407-S458	f81v	BIOLOGICAL	dsholyd	D_ADDR+SH+OL+Y+D_ADDR	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E3031	OL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
227	G407-E3046	G407-S464	f81v	BIOLOGICAL	qoty	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E3047	Y+K+E+DY	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
228	G407-E3095	G407-S477	f81v	BIOLOGICAL	solkeey	OL+K+EE+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E3096	OL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
229	G407-E3112	G407-S482	f81v	BIOLOGICAL	qotain	OT+AIN	OT	END	AIN	ANTEIL	AIN	danach den Anteil als nächsten Träger eröffnen	G407-E3113	L+SH+O	NONE	AIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Anteil.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
230	G407-E3118	G407-S484	f81v	BIOLOGICAL	qolky	OL+K+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E3119	L+CHD+AL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
231	G407-E3133	G407-S485	f81v	BIOLOGICAL	olkain	OL+K+AIN	OL	END	AIN	ANTEIL	AIN	weiter mit dem Anteil als aktuellem Träger	G407-E3134	SH+E+DY	NONE	AIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Anteil.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
232	G407-E3138	G407-S486	f81v	BIOLOGICAL	olcthdy	OL+CH+T+D_ADDR+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E3139	T+E+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
233	G407-E3196	G407-S498	f82r	BIOLOGICAL	solkaiin	OL+K+AIIN	OL	END	AIIN	WERT	AIIN	weiter mit dem Wert als aktuellem Träger	G407-E3197	CH+K+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
234	G407-E3203	G407-S499	f82r	BIOLOGICAL	oteey	OT+EE+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E3204	OK+AL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
235	G407-E3222	G407-S502	f82r	BIOLOGICAL	qotaiin	OT+AIIN	OT	END	AIIN	WERT	AIIN	danach den Wert als nächsten Träger eröffnen	G407-E3223	CHD+OL	NONE	AIIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Wert.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
236	G407-E3225	G407-S503	f82r	BIOLOGICAL	sotaiin	S+OT+AIIN	OT	END	AIIN	WERT	AIIN	danach den Wert als nächsten Träger eröffnen	G407-E3226	OK+AR	NONE	AIIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Wert.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
237	G407-E3242	G407-S507	f82r	BIOLOGICAL	qoteor	OT+E+OR	OT	END	OR	EINHEIT	OR	danach die Einheit als nächsten Träger eröffnen	G407-E3243	S+SH+O+L+SH+E+CH+T+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
238	G407-E3249	G407-S508	f82r	BIOLOGICAL	kolchdy	K+OL+CHD+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E3250	OK+E+DY	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
239	G407-E3252	G407-S509	f82r	BIOLOGICAL	qotedor	OT+E+D_ADDR+OR	OT	END	OR	EINHEIT	OR	danach die Einheit als nächsten Träger eröffnen	G407-E3253	CH+O+P+CHD+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
240	G407-E3274	G407-S513	f82r	BIOLOGICAL	olchy	OL+CH+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E3275	OK+AL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
241	G407-E3305	G407-S522	f82r	BIOLOGICAL	qoteey	OT+EE+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E3306	CHD+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
242	G407-E3313	G407-S524	f82r	BIOLOGICAL	otain	OT+AIN	OT	END	AIN	ANTEIL	AIN	danach den Anteil als nächsten Träger eröffnen	G407-E3314	SH+E+DY	NONE	AIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Anteil.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
243	G407-E3337	G407-S530	f82r	BIOLOGICAL	qoly	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E3338	AIIN	AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
244	G407-E3392	G407-S539	f82r	BIOLOGICAL	oteey	OT+EE+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E3393	OK+AIIN	AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
245	G407-E3406	G407-S548	f82r	BIOLOGICAL	qotaiin	OT+AIIN	OT	END	AIIN	WERT	AIIN	danach den Wert als nächsten Träger eröffnen	G407-E3407	CH+CH+T+E+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
246	G407-E3411	G407-S548	f82r	BIOLOGICAL	oly	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E3412	D_ADDR	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
247	G407-E3420	G407-S552	f82r	BIOLOGICAL	qoty	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E3421	OT+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
248	G407-E3421	G407-S552	f82r	BIOLOGICAL	qoty	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E3422	OT+EE+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
249	G407-E3422	G407-S552	f82r	BIOLOGICAL	qoteey	OT+EE+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E3423	R+AIIN	AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
250	G407-E3425	G407-S552	f82r	BIOLOGICAL	qoteey	OT+EE+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E3426	SH+E+DY	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
251	G407-E3435	G407-S556	f82r	BIOLOGICAL	qoty	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E3436	L+CH+EE+OR	OR	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
252	G407-E3493	G407-S566	f83r	BIOLOGICAL	qotaiin	OT+AIIN	OT	END	AIIN	WERT	AIIN	danach den Wert als nächsten Träger eröffnen	G407-E3494	CH+E+CH+K+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
253	G407-E3495	G407-S566	f83r	BIOLOGICAL	qoty	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E3496	CH+E+LOCAL_CHAR_G	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
254	G407-E3536	G407-S579	f83r	BIOLOGICAL	olkeey	OL+K+EE+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E3537	R+CH+S	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
255	G407-E3613	G407-S598	f83r	BIOLOGICAL	otor	OT+OR	OT	END	OR	EINHEIT	OR	danach die Einheit als nächsten Träger eröffnen	G407-E3614	SH+E+DY	NONE	OR	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter die Einheit.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
256	G407-E3616	G407-S599	f83r	BIOLOGICAL	otshdy	OT+SH+D_ADDR+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E3617	OK+E+D_ADDR+OL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
257	G407-E3619	G407-S599	f83r	BIOLOGICAL	soldy	S+OL+D_ADDR+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E3620	S+AR	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
258	G407-E3631	G407-S602	f83r	BIOLOGICAL	solkeedy	OL+K+EE+D_ADDR+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E3632	OT+EE+DY	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
259	G407-E3640	G407-S605	f83r	BIOLOGICAL	solkeedy	OL+K+EE+D_ADDR+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E3641	OK+E+DY	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
260	G407-E3655	G407-S611	f83r	BIOLOGICAL	qotedaiin	OT+E+AIIN	OT	END	AIIN	WERT	AIIN	danach den Wert als nächsten Träger eröffnen	G407-E3656	OT+AIIN	AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
261	G407-E3656	G407-S611	f83r	BIOLOGICAL	otaiin	OT+AIIN	OT	END	AIIN	WERT	AIIN	danach den Wert als nächsten Träger eröffnen	G407-E3657	OT+E+DY	NONE	AIIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Wert.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
262	G407-E3666	G407-S616	f83r	BIOLOGICAL	otor	OT+OR	OT	END	OR	EINHEIT	OR	danach die Einheit als nächsten Träger eröffnen	G407-E3667	CHD+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
263	G407-E3671	G407-S616	f83r	BIOLOGICAL	otaiin	OT+AIIN	OT	END	AIIN	WERT	AIIN	danach den Wert als nächsten Träger eröffnen	G407-E3672	OL+AL+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
264	G407-E3672	G407-S616	f83r	BIOLOGICAL	olsaly	OL+AL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E3673	SH+E+DY	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
265	G407-E3675	G407-S618	f83r	BIOLOGICAL	qolchey	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E3676	OK+EE+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
