assignment_ordinal	cohort	event_id	statement_id	physical_page	register	surface	recipe	argument_state_projection	argument_occurrence_in_recipe	argument_multiplicity_in_recipe	argument_sequence	argument	argument_value_de	argument_atom_position	recipe_atom_count	left_control	right_control	carrier_envelope	carrier_role	content_block	argument_position_in_block	left_content_before_argument	right_content_after_argument	is_last_argument_in_recipe	compact_carrier_reading_de	envelope_template_de	complete_carrier_reading_de	literal_projection_reading_de	statement_position	statement_final	current_reading_de	y_dy_atom_distinction	guard	substitution_family_id
297	OLD26_GDT407	G407-E3752	G407-S642	f83r	BIOLOGICAL	solkey	OL+K+E+Y	OL+Y	1	1	Y	Y	POSTEN	4	4	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	K+E+Y	3	K+E	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	TRÄGER FORTSETZEN → POSTEN	STATEMENT_INTERNAL	NO	FORTSETZEN · GEBEN · GRAD I · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
298	OLD26_GDT407	G407-E3754	G407-S643	f83r	BIOLOGICAL	qolkain	OL+K+AIN	OL+AIN	1	1	AIN	AIN	ANTEIL	3	3	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	K+AIN	2	K	NONE	YES	FORTSETZEN · ANTEIL	weiter mit ARG als aktuellem Träger	weiter mit dem Anteil als aktuellem Träger	TRÄGER FORTSETZEN → ANTEIL	STATEMENT_INITIAL	NO	FORTSETZEN · GEBEN · ANTEIL	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F04
299	OLD26_GDT407	G407-E3780	G407-S647	f83r	BIOLOGICAL	solkeey	OL+K+EE+Y	OL+Y	1	1	Y	Y	POSTEN	4	4	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	K+EE+Y	3	K+EE	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	TRÄGER FORTSETZEN → POSTEN	STATEMENT_INITIAL	NO	FORTSETZEN · GEBEN · GRAD II · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
300	OLD26_GDT407	G407-E3801	G407-S648	f88r	PHARMA	sholfchor	SH+OL+LOCAL_CHAR_F+CH+OR	OL+OR	1	1	OR	OR	EINHEIT	5	5	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	LOCAL_CHAR_F+CH+OR	3	LOCAL_CHAR_F+CH	NONE	YES	FORTSETZEN · EINHEIT	weiter mit ARG als aktuellem Träger	weiter mit der Einheit als aktuellem Träger	TRÄGER FORTSETZEN → EINHEIT	STATEMENT_INTERNAL	NO	HALTEN · FORTSETZEN · HIER · NEHMEN · EINHEIT	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
301	OLD26_GDT407	G407-E3832	G407-S648	f88r	PHARMA	doleeey	D_ADDR+OL+EEE+Y	OL+Y	1	1	Y	Y	POSTEN	4	4	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	EEE+Y	2	EEE	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	TRÄGER FORTSETZEN → POSTEN	STATEMENT_INTERNAL	NO	HIER · FORTSETZEN · GRAD III · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
302	OLD26_GDT407	G407-E3865	G407-S650	f88r	PHARMA	oteor	OT+E+OR	OT+OR	1	1	OR	OR	EINHEIT	3	3	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	E+OR	2	E	NONE	YES	DANACH · EINHEIT	danach ARG als nächsten Träger eröffnen	danach die Einheit als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → EINHEIT	STATEMENT_INTERNAL	NO	DANACH · GRAD I · EINHEIT	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F03
303	OLD26_GDT407	G407-E3881	G407-S650	f88r	PHARMA	chorcholsal	CH+OR+OL+S+AL	OR+OL	1	1	OR	OR	EINHEIT	2	5	START	OL	START>A<OL	RETAINED_ARGUMENT	CH+OR	2	CH	NONE	YES	EINHEIT · FORTSETZEN	ARG weiterführen	die Einheit weiterführen	EINHEIT → TRÄGER FORTSETZEN	STATEMENT_FINAL	YES	NEHMEN · EINHEIT · FORTSETZEN · WÄHLEN · ZIELORT	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
304	OLD26_GDT407	G407-E3884	G407-S651	f88r	PHARMA	olkeey	OL+K+EE+Y	OL+Y	1	1	Y	Y	POSTEN	4	4	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	K+EE+Y	3	K+EE	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	TRÄGER FORTSETZEN → POSTEN	STATEMENT_INTERNAL	NO	FORTSETZEN · GEBEN · GRAD II · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
305	OLD26_GDT407	G407-E3886	G407-S651	f88r	PHARMA	poldy	P+OL+D_ADDR+Y	OL+Y	1	1	Y	Y	POSTEN	4	4	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	D_ADDR+Y	2	D_ADDR	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	TRÄGER FORTSETZEN → POSTEN	STATEMENT_INTERNAL	NO	EINSETZEN · FORTSETZEN · HIER · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
306	OLD26_GDT407	G407-E3972	G407-S657	f88v	PHARMA	oldaiin	OL+D_ADDR+AIIN	OL+AIIN	1	1	AIIN	AIIN	WERT	3	3	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	D_ADDR+AIIN	2	D_ADDR	NONE	YES	FORTSETZEN · WERT	weiter mit ARG als aktuellem Träger	weiter mit dem Wert als aktuellem Träger	TRÄGER FORTSETZEN → WERT	STATEMENT_INTERNAL	NO	FORTSETZEN · HIER · WERT	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
307	OLD26_GDT407	G407-E3974	G407-S658	f88v	PHARMA	yfolaiin	Y+LOCAL_CHAR_F+OL+AIIN	Y+OL+AIIN	1	2	Y+AIIN	Y	POSTEN	1	4	START	OL	START>A<OL	RETAINED_ARGUMENT	Y+LOCAL_CHAR_F	1	NONE	LOCAL_CHAR_F	NO	POSTEN · FORTSETZEN	ARG weiterführen	den Posten weiterführen	POSTEN → TRÄGER FORTSETZEN → WERT	STATEMENT_INITIAL	NO	AKTIVER POSTEN · HIER · FORTSETZEN · WERT	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
308	OLD26_GDT407	G407-E3974	G407-S658	f88v	PHARMA	yfolaiin	Y+LOCAL_CHAR_F+OL+AIIN	Y+OL+AIIN	2	2	Y+AIIN	AIIN	WERT	4	4	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	AIIN	1	NONE	NONE	YES	FORTSETZEN · WERT	weiter mit ARG als aktuellem Träger	weiter mit dem Wert als aktuellem Träger	POSTEN → TRÄGER FORTSETZEN → WERT	STATEMENT_INITIAL	NO	AKTIVER POSTEN · HIER · FORTSETZEN · WERT	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
309	OLD26_GDT407	G407-E3988	G407-S658	f88v	PHARMA	oteody	OT+E+O+Y	OT+Y	1	1	Y	Y	POSTEN	4	4	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	E+O+Y	3	E+O	NONE	YES	DANACH · POSTEN	danach ARG als nächsten Träger eröffnen	danach den Posten als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	STATEMENT_INTERNAL	NO	DANACH · GRAD I · AUSFÜHRUNG · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
310	OLD26_GDT407	G407-E4005	G407-S660	f88v	PHARMA	olaiin	OL+AIIN	OL+AIIN	1	1	AIIN	AIIN	WERT	2	2	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	AIIN	1	NONE	NONE	YES	FORTSETZEN · WERT	weiter mit ARG als aktuellem Träger	weiter mit dem Wert als aktuellem Träger	TRÄGER FORTSETZEN → WERT	STATEMENT_INTERNAL	NO	FORTSETZEN · WERT	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F02
311	OLD26_GDT407	G407-E4008	G407-S660	f88v	PHARMA	oteody	OT+E+O+Y	OT+Y	1	1	Y	Y	POSTEN	4	4	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	E+O+Y	3	E+O	NONE	YES	DANACH · POSTEN	danach ARG als nächsten Träger eröffnen	danach den Posten als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	STATEMENT_INTERNAL	NO	DANACH · GRAD I · AUSFÜHRUNG · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
312	OLD26_GDT407	G407-E4063	G407-S666	f89r	PHARMA	qopcholy	CARRIER_Q+O+CH+T+OL+Y	OL+Y	1	1	Y	Y	POSTEN	6	6	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	Y	1	NONE	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	TRÄGER FORTSETZEN → POSTEN	STATEMENT_INTERNAL	NO	BEGINNMARKER · AUSFÜHRUNG · NEHMEN · EINSTELLEN · FORTSETZEN · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
313	OLD26_GDT407	G407-E4070	G407-S667	f89r	PHARMA	oldain	OL+AIN	OL+AIN	1	1	AIN	AIN	ANTEIL	2	2	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	AIN	1	NONE	NONE	YES	FORTSETZEN · ANTEIL	weiter mit ARG als aktuellem Träger	weiter mit dem Anteil als aktuellem Träger	TRÄGER FORTSETZEN → ANTEIL	STATEMENT_INTERNAL	NO	FORTSETZEN · ANTEIL	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F02
314	OLD26_GDT407	G407-E4130	G407-S670	f89r	PHARMA	qotey	OT+E+Y	OT+Y	1	1	Y	Y	POSTEN	3	3	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	E+Y	2	E	NONE	YES	DANACH · POSTEN	danach ARG als nächsten Träger eröffnen	danach den Posten als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	STATEMENT_INTERNAL	NO	DANACH · GRAD I · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F03
315	OLD26_GDT407	G407-E4140	G407-S670	f89r	PHARMA	dainaldy	D_ADDR+AIN+AL+DY	AIN+DY	1	1	AIN	AIN	ANTEIL	2	4	START	DY	START>A<DY	CLOSING_ARGUMENT	D_ADDR+AIN+AL	2	D_ADDR	AL	YES	ANTEIL · ABSCHLIESSEN	ARG führen und den Schritt abschließen	den Anteil führen und den Schritt abschließen	ANTEIL → SCHRITT ABSCHLIESSEN	STATEMENT_FINAL	YES	HIER · ANTEIL · ZIELORT · SCHLUSS	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
316	OLD26_GDT407	G407-E4208	G407-S675	f89r	PHARMA	dolchsyckheol	D_ADDR+OL+CH+S+Y+CH+K+E+OL	OL+Y+OL	1	1	Y	Y	POSTEN	5	9	OL	OL	OL>A<OL	CONTINUED_AND_RETAINED_ARGUMENT	CH+S+Y+CH+K+E	3	CH+S	CH+K+E	YES	FORTSETZEN · POSTEN · FORTSETZEN	ARG weiterführen und aktiv halten	den Posten weiterführen und aktiv halten	TRÄGER FORTSETZEN → POSTEN → TRÄGER FORTSETZEN	STATEMENT_INTERNAL	NO	HIER · FORTSETZEN · NEHMEN · WÄHLEN · AKTIVER POSTEN · NEHMEN · GEBEN · GRAD I · FORTSETZEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
317	OLD26_GDT407	G407-E4214	G407-S675	f89r	PHARMA	choldy	OL+Y	OL+Y	1	1	Y	Y	POSTEN	2	2	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	Y	1	NONE	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	TRÄGER FORTSETZEN → POSTEN	STATEMENT_INTERNAL	NO	FORTSETZEN · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F02
318	OLD26_GDT407	G407-E4232	G407-S677	f89r	PHARMA	yody	Y+O+DY	Y+DY	1	1	Y	Y	POSTEN	1	3	START	DY	START>A<DY	CLOSING_ARGUMENT	Y+O	1	NONE	O	YES	POSTEN · ABSCHLIESSEN	ARG führen und den Schritt abschließen	den Posten führen und den Schritt abschließen	POSTEN → SCHRITT ABSCHLIESSEN	STATEMENT_FINAL	YES	AKTIVER POSTEN · AUSFÜHRUNG · SCHLUSS	Y_IS_ARGUMENT_ATOM__DY_IS_SEPARATE_CLOSE_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
319	OLD26_GDT407	G407-E4234	G407-S678	f89r	PHARMA	oldaiin	OL+D_ADDR+AIIN	OL+AIIN	1	1	AIIN	AIIN	WERT	3	3	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	D_ADDR+AIIN	2	D_ADDR	NONE	YES	FORTSETZEN · WERT	weiter mit ARG als aktuellem Träger	weiter mit dem Wert als aktuellem Träger	TRÄGER FORTSETZEN → WERT	STATEMENT_INTERNAL	NO	FORTSETZEN · HIER · WERT	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
320	OLD26_GDT407	G407-E4238	G407-S678	f89r	PHARMA	oldaiin	OL+D_ADDR+AIIN	OL+AIIN	1	1	AIIN	AIIN	WERT	3	3	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	D_ADDR+AIIN	2	D_ADDR	NONE	YES	FORTSETZEN · WERT	weiter mit ARG als aktuellem Träger	weiter mit dem Wert als aktuellem Träger	TRÄGER FORTSETZEN → WERT	STATEMENT_INTERNAL	NO	FORTSETZEN · HIER · WERT	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
321	OLD26_GDT407	G407-E4241	G407-S678	f89r	PHARMA	otolpchy	OT+OL+P+CH+Y	OT+OL+Y	1	1	Y	Y	POSTEN	5	5	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	P+CH+Y	3	P+CH	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	NÄCHSTEN TRÄGER ERÖFFNEN → TRÄGER FORTSETZEN → POSTEN	STATEMENT_INTERNAL	NO	DANACH · FORTSETZEN · EINSETZEN · NEHMEN · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
322	OLD26_GDT407	G407-E4248	G407-S678	f89r	PHARMA	olkey	OL+K+E+Y	OL+Y	1	1	Y	Y	POSTEN	4	4	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	K+E+Y	3	K+E	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	TRÄGER FORTSETZEN → POSTEN	STATEMENT_INTERNAL	NO	FORTSETZEN · GEBEN · GRAD I · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
323	OLD26_GDT407	G407-E4293	G407-S681	f89r	PHARMA	kolches	OL+Y	OL+Y	1	1	Y	Y	POSTEN	2	2	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	Y	1	NONE	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	TRÄGER FORTSETZEN → POSTEN	STATEMENT_INITIAL	NO	FORTSETZEN · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F02
324	OLD26_GDT407	G407-E4300	G407-S682	f89r	PHARMA	sholdy	SH+OL+D_ADDR+Y	OL+Y	1	1	Y	Y	POSTEN	4	4	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	D_ADDR+Y	2	D_ADDR	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	TRÄGER FORTSETZEN → POSTEN	STATEMENT_INITIAL	NO	HALTEN · FORTSETZEN · HIER · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
325	OLD26_GDT407	G407-E4316	G407-S684	f89r	PHARMA	ykeody	Y+K+E+O+DY	Y+DY	1	1	Y	Y	POSTEN	1	5	START	DY	START>A<DY	CLOSING_ARGUMENT	Y+K+E+O	1	NONE	K+E+O	YES	POSTEN · ABSCHLIESSEN	ARG führen und den Schritt abschließen	den Posten führen und den Schritt abschließen	POSTEN → SCHRITT ABSCHLIESSEN	STATEMENT_FINAL	YES	AKTIVER POSTEN · GEBEN · GRAD I · AUSFÜHRUNG · SCHLUSS	Y_IS_ARGUMENT_ATOM__DY_IS_SEPARATE_CLOSE_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
326	OLD26_GDT407	G407-E4323	G407-S685	f89r	PHARMA	yokeeol	Y+OK+EE+OL	Y+OL	1	1	Y	Y	POSTEN	1	4	START	OL	START>A<OL	RETAINED_ARGUMENT	Y+OK+EE	1	NONE	OK+EE	YES	POSTEN · FORTSETZEN	ARG weiterführen	den Posten weiterführen	POSTEN → TRÄGER FORTSETZEN	STATEMENT_INTERNAL	NO	AKTIVER POSTEN · SETZEN · GRAD II · FORTSETZEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
327	OLD26_GDT407	G407-E4405	G407-S689	f95v	HERBAL	qotedaiin	OT+E+AIIN	OT+AIIN	1	1	AIIN	AIIN	WERT	3	3	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	E+AIIN	2	E	NONE	YES	DANACH · WERT	danach ARG als nächsten Träger eröffnen	danach den Wert als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → WERT	STATEMENT_INITIAL	NO	DANACH · GRAD I · WERT	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F03
328	OLD26_GDT407	G407-E4407	G407-S689	f95v	HERBAL	olsain	OL+S+AIN	OL+AIN	1	1	AIN	AIN	ANTEIL	3	3	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	S+AIN	2	S	NONE	YES	FORTSETZEN · ANTEIL	weiter mit ARG als aktuellem Träger	weiter mit dem Anteil als aktuellem Träger	TRÄGER FORTSETZEN → ANTEIL	STATEMENT_INTERNAL	NO	FORTSETZEN · WÄHLEN · ANTEIL	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
329	OLD26_GDT407	G407-E4410	G407-S690	f95v	HERBAL	qotchey	OT+CHD+Y	OT+Y	1	1	Y	Y	POSTEN	3	3	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	CHD+Y	2	CHD	NONE	YES	DANACH · POSTEN	danach ARG als nächsten Träger eröffnen	danach den Posten als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	STATEMENT_INITIAL	NO	DANACH · UMSETZEN · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
330	OLD26_GDT407	G407-E4413	G407-S690	f95v	HERBAL	olor	OL+OR	OL+OR	1	1	OR	OR	EINHEIT	2	2	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	OR	1	NONE	NONE	YES	FORTSETZEN · EINHEIT	weiter mit ARG als aktuellem Träger	weiter mit der Einheit als aktuellem Träger	TRÄGER FORTSETZEN → EINHEIT	STATEMENT_INTERNAL	NO	FORTSETZEN · EINHEIT	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F02
331	OLD26_GDT407	G407-E4416	G407-S690	f95v	HERBAL	qotaiin	OT+AIIN	OT+AIIN	1	1	AIIN	AIIN	WERT	2	2	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	AIIN	1	NONE	NONE	YES	DANACH · WERT	danach ARG als nächsten Träger eröffnen	danach den Wert als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → WERT	STATEMENT_INTERNAL	NO	DANACH · WERT	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F01
332	OLD26_GDT407	G407-E4426	G407-S690	f95v	HERBAL	otain	OT+AIN	OT+AIN	1	1	AIN	AIN	ANTEIL	2	2	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	AIN	1	NONE	NONE	YES	DANACH · ANTEIL	danach ARG als nächsten Träger eröffnen	danach den Anteil als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → ANTEIL	STATEMENT_INTERNAL	NO	DANACH · ANTEIL	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F01
333	OLD26_GDT407	G407-E4429	G407-S691	f95v	HERBAL	olkain	OL+K+AIN	OL+AIN	1	1	AIN	AIN	ANTEIL	3	3	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	K+AIN	2	K	NONE	YES	FORTSETZEN · ANTEIL	weiter mit ARG als aktuellem Träger	weiter mit dem Anteil als aktuellem Träger	TRÄGER FORTSETZEN → ANTEIL	STATEMENT_INTERNAL	NO	FORTSETZEN · GEBEN · ANTEIL	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F04
334	OLD26_GDT407	G407-E4432	G407-S691	f95v	HERBAL	shekydy	SH+E+K+Y+DY	Y+DY	1	1	Y	Y	POSTEN	4	5	START	DY	START>A<DY	CLOSING_ARGUMENT	SH+E+K+Y	4	SH+E+K	NONE	YES	POSTEN · ABSCHLIESSEN	ARG führen und den Schritt abschließen	den Posten führen und den Schritt abschließen	POSTEN → SCHRITT ABSCHLIESSEN	STATEMENT_FINAL	YES	HALTEN · GRAD I · GEBEN · AKTIVER POSTEN · SCHLUSS	Y_IS_ARGUMENT_ATOM__DY_IS_SEPARATE_CLOSE_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
335	OLD26_GDT407	G407-E4442	G407-S692	f95v	HERBAL	olkaiin	OL+K+AIIN	OL+AIIN	1	1	AIIN	AIIN	WERT	3	3	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	K+AIIN	2	K	NONE	YES	FORTSETZEN · WERT	weiter mit ARG als aktuellem Träger	weiter mit dem Wert als aktuellem Träger	TRÄGER FORTSETZEN → WERT	STATEMENT_INTERNAL	NO	FORTSETZEN · GEBEN · WERT	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F04
