visible_surface	occurrences	pages	owners	detected_literal_atoms	residual_string	residual_family	new_local_core	new_local_core_value_de	revised_short_reading_de	decision
yfain	1	f67r2	A1_LEFT_LOCAL_FIELD_47	AIN	yf	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Sternplatz A1_LEFT_LOCAL_FIELD_47: gezaehlter Teil oder Unterabschnitt; lokaler Namensrest yf.	KEEP_BOUND_OR_LOCAL
yka	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	NONE	yka	YK_CLASS_OR_HOUSE	YK	KLASSE/HAUS	bezeichnete Klasse oder Haus	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ykady	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	NONE	ykady	YK_CLASS_OR_HOUSE	YK	KLASSE/HAUS	bezeichnete Klasse oder Haus	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ykaly	1	f67r2	A1_RIGHT_SECTOR_SLOT_09	AL	yky	YK_CLASS_OR_HOUSE	YK	KLASSE/HAUS	bezeichnete Klasse oder Haus + AL	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ykar	3	f67r2|f69v	A1_RIGHT_SECTOR_SLOT_09|A3_MIDDLE_WHEEL_RING_TEXT	AR	yk	YK_CLASS_OR_HOUSE	YK	KLASSE/HAUS	bezeichnete Klasse oder Haus + AR	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ykchdy	1	f68r1	A2_STAR_STATION_21	KCH	ydy	YK_CLASS_OR_HOUSE	YK	KLASSE/HAUS	bezeichnete Klasse oder Haus + KCH	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ykchey	2	f67r2	A1_RIGHT_OUTER_RING_TEXT	KCH	yey	YK_CLASS_OR_HOUSE	YK	KLASSE/HAUS	bezeichnete Klasse oder Haus + KCH	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ykchos	1	f67r2	A1_RIGHT_SECTOR_SLOT_12	KCH	yos	YK_CLASS_OR_HOUSE	YK	KLASSE/HAUS	bezeichnete Klasse oder Haus + KCH	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ykchy	1	f67r2	A1_RIGHT_SECTOR_SLOT_07	KCH	yy	YK_CLASS_OR_HOUSE	YK	KLASSE/HAUS	bezeichnete Klasse oder Haus + KCH	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ykchys	1	f67r2	A1_RIGHT_SECTOR_SLOT_07	KCH	yys	YK_CLASS_OR_HOUSE	YK	KLASSE/HAUS	bezeichnete Klasse oder Haus + KCH	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ykecho	1	f67r2	A1_RIGHT_SECTOR_SLOT_02	HO	yke	YK_CLASS_OR_HOUSE	YK	KLASSE/HAUS	bezeichnete Klasse oder Haus + HO	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ykeeal	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	AL	ykee	YK_CLASS_OR_HOUSE	YK	KLASSE/HAUS	bezeichnete Klasse oder Haus + AL	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ykeeody	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	NONE	ykeeody	YK_CLASS_OR_HOUSE	YK	KLASSE/HAUS	bezeichnete Klasse oder Haus	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ykees	1	f67r2	A1_RIGHT_SECTOR_SLOT_12	NONE	ykees	YK_CLASS_OR_HOUSE	YK	KLASSE/HAUS	bezeichnete Klasse oder Haus	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ykeey	1	f69v	A3_LEFT_RADIAL_SLOT_04	NONE	ykeey	YK_CLASS_OR_HOUSE	YK	KLASSE/HAUS	bezeichnete Klasse oder Haus	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ykeody	2	f67r2|f69v	A1_RIGHT_SECTOR_SLOT_05|A3_LEFT_RADIAL_SLOT_19	NONE	ykeody	YK_CLASS_OR_HOUSE	YK	KLASSE/HAUS	bezeichnete Klasse oder Haus	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ykey	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	NONE	ykey	YK_CLASS_OR_HOUSE	YK	KLASSE/HAUS	bezeichnete Klasse oder Haus	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ykeydy	1	f69v	A3_LEFT_RADIAL_SLOT_14	NONE	ykeydy	YK_CLASS_OR_HOUSE	YK	KLASSE/HAUS	bezeichnete Klasse oder Haus	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ykoaiin	1	f67r2	A1_LEFT_OUTER_RING_TEXT	AIIN	yko	YK_CLASS_OR_HOUSE	YK	KLASSE/HAUS	bezeichnete Klasse oder Haus + AIIN	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ykor	2	f67r2|f68r1	A1_LEFT_LOCAL_FIELD_26|A2_RIGHT_PANEL_HEADER	OR	yk	YK_CLASS_OR_HOUSE	YK	KLASSE/HAUS	bezeichnete Klasse oder Haus + OR	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ykshy	1	f67r2	A1_RIGHT_SECTOR_SLOT_01	NONE	ykshy	YK_CLASS_OR_HOUSE	YK	KLASSE/HAUS	bezeichnete Klasse oder Haus	PROMOTE_ASTRO_LOCAL_TABLE_STEM
yky	1	f68r1	A2_MULTIPANEL_HEADER_FRAGMENT_05	NONE	yky	YK_CLASS_OR_HOUSE	YK	KLASSE/HAUS	bezeichnete Klasse oder Haus	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ypair	1	f67r2	A1_LEFT_OUTER_RING_TEXT	AIR	yp	GRADE_OR_SELECTION_RESIDUE	NONE	FAMILIENGEBUNDENER GRAD/WAHL	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest yp.	KEEP_BOUND_OR_LOCAL
yshey	1	f67r2	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	NONE	yshey	LOCAL_RESIDUAL	NONE	LOKALER NOMENKLATORREST	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: abgelesener oder freigegebener Wert; lokaler Namensrest y.	KEEP_LOCAL
ytalchos	1	f67r2	A1_LEFT_OUTER_RING_TEXT	AL+HO	yts	YT_ADDRESSED_SLOT_OR_PHASE	YT	PLATZ/PHASE	bezeichneter Platz oder Phase + AL+HO	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ytchodly	1	f67r2	A1_LEFT_OUTER_STAR_STATION_08	HO	ytdly	YT_ADDRESSED_SLOT_OR_PHASE	YT	PLATZ/PHASE	bezeichneter Platz oder Phase + HO	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ytchody	1	f68r1	A2_STAR_STATION_10	HO	ytdy	YT_ADDRESSED_SLOT_OR_PHASE	YT	PLATZ/PHASE	bezeichneter Platz oder Phase + HO	PROMOTE_ASTRO_LOCAL_TABLE_STEM
yteody	1	f68r1	A2_MIDDLE_PANEL_HEADER	NONE	yteody	YT_ADDRESSED_SLOT_OR_PHASE	YT	PLATZ/PHASE	bezeichneter Platz oder Phase	PROMOTE_ASTRO_LOCAL_TABLE_STEM
yteoor	1	f67r2	A1_LEFT_LOCAL_FIELD_26	OR	yteo	YT_ADDRESSED_SLOT_OR_PHASE	YT	PLATZ/PHASE	bezeichneter Platz oder Phase + OR	PROMOTE_ASTRO_LOCAL_TABLE_STEM
yteos	1	f67r2	A1_LEFT_LOCAL_FIELD_40	NONE	yteos	YT_ADDRESSED_SLOT_OR_PHASE	YT	PLATZ/PHASE	bezeichneter Platz oder Phase	PROMOTE_ASTRO_LOCAL_TABLE_STEM
yto	2	f67r2|f69v	A1_LEFT_LOCAL_FIELD_26|A3_LEFT_WHEEL_RING_TEXT	NONE	yto	YT_ADDRESSED_SLOT_OR_PHASE	YT	PLATZ/PHASE	bezeichneter Platz oder Phase	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ytoaiin	1	f67r2	A1_LEFT_LOCAL_FIELD_37	AIIN	yto	YT_ADDRESSED_SLOT_OR_PHASE	YT	PLATZ/PHASE	bezeichneter Platz oder Phase + AIIN	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ytodal	1	f67r2	A1_LEFT_OUTER_STAR_STATION_04	AL	ytod	YT_ADDRESSED_SLOT_OR_PHASE	YT	PLATZ/PHASE	bezeichneter Platz oder Phase + AL	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ytody	2	f67r2|f69v	A1_LEFT_LOCAL_FIELD_29|A3_LEFT_RADIAL_SLOT_07	NONE	ytody	YT_ADDRESSED_SLOT_OR_PHASE	YT	PLATZ/PHASE	bezeichneter Platz oder Phase	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ytoeopchey	1	f67r2	A1_LEFT_LOCAL_FIELD_41	NONE	ytoeopchey	YT_ADDRESSED_SLOT_OR_PHASE	YT	PLATZ/PHASE	bezeichneter Platz oder Phase	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ytokar	1	f67r2	A1_LEFT_OUTER_STAR_STATION_10	OK+AR	yt	YT_ADDRESSED_SLOT_OR_PHASE	YT	PLATZ/PHASE	bezeichneter Platz oder Phase + OK+AR	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ytor	1	f67r2	A1_LEFT_LOCAL_FIELD_36	OR	yt	YT_ADDRESSED_SLOT_OR_PHASE	YT	PLATZ/PHASE	bezeichneter Platz oder Phase + OR	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ytory	1	f69v	A3_LEFT_RADIAL_SLOT_05	OR	yty	YT_ADDRESSED_SLOT_OR_PHASE	YT	PLATZ/PHASE	bezeichneter Platz oder Phase + OR	PROMOTE_ASTRO_LOCAL_TABLE_STEM
ytyd	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	TY	yd	YT_ADDRESSED_SLOT_OR_PHASE	YT	PLATZ/PHASE	bezeichneter Platz oder Phase + TY	PROMOTE_ASTRO_LOCAL_TABLE_STEM
