type_template_ordinal	ordered_type_signature	event_count	recipe_count	physical_page_count	register_count	slot_count	typed_slot_template_de	example_recipes	example_default_phrases_de	composition_rule	historical_status
167	LOCAL_OR_CLASS_SIGN+RELATION+LOCAL_OR_CLASS_SIGN+RELATION+STATE_CONTROL	1	1	1	1	5	LOKAL-/KLASSENZEICHEN → RELATION → LOKAL-/KLASSENZEICHEN → RELATION → ZUSTANDSSTEUERUNG	D_ADDR+AR+D_ADDR+AR+DY	hier; vom Ausgang; hier; vom Ausgang; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
168	LOCAL_OR_CLASS_SIGN+STATE_CONTROL+ACTION_HEAD+ACTION_HEAD+ARGUMENT+ACTION_HEAD+ACTION_HEAD+GRADE+STATE_CONTROL	1	1	1	1	9	LOKAL-/KLASSENZEICHEN → ZUSTANDSSTEUERUNG → HANDLUNG → HANDLUNG → ARGUMENT → HANDLUNG → HANDLUNG → GRAD → ZUSTANDSSTEUERUNG	D_ADDR+OL+CH+S+Y+CH+K+E+OL	hier; weiter; nehmen; wählen; den Posten; nehmen; geben; auf Grad I; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
169	LOCAL_OR_CLASS_SIGN+STATE_CONTROL+ACTION_HEAD+GRADE	1	1	1	1	4	LOKAL-/KLASSENZEICHEN → ZUSTANDSSTEUERUNG → HANDLUNG → GRAD	D_ADDR+OL+SH+E	hier; weiter; halten; auf Grad I	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
170	LOCAL_OR_CLASS_SIGN+STATE_CONTROL+ACTION_HEAD+RELATION	1	1	1	1	4	LOKAL-/KLASSENZEICHEN → ZUSTANDSSTEUERUNG → HANDLUNG → RELATION	D_ADDR+OL+CH+L	hier; weiter; nehmen; über die Verbindung	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
171	LOCAL_OR_CLASS_SIGN+STATE_CONTROL+RELATION+ACTION_HEAD+ARGUMENT	1	1	1	1	5	LOKAL-/KLASSENZEICHEN → ZUSTANDSSTEUERUNG → RELATION → HANDLUNG → ARGUMENT	D_ADDR+OL+AR+SH+Y	hier; weiter; vom Ausgang; halten; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
172	LOCAL_OR_CLASS_SIGN+STATE_CONTROL+STATE_CONTROL	1	1	1	1	3	LOKAL-/KLASSENZEICHEN → ZUSTANDSSTEUERUNG → ZUSTANDSSTEUERUNG	LOCAL_CHAR_F+OL+OL	hier; weiter; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
173	RELATION+ACTION_HEAD+ACTION_HEAD+ACTION_HEAD+GRADE+STATE_CONTROL	1	1	1	1	6	RELATION → HANDLUNG → HANDLUNG → HANDLUNG → GRAD → ZUSTANDSSTEUERUNG	L+CH+CH+P+E+DY	über die Verbindung; nehmen; nehmen; einsetzen; auf Grad I; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
174	RELATION+ACTION_HEAD+ACTION_HEAD+GRADE+STATE_CONTROL	1	1	1	1	5	RELATION → HANDLUNG → HANDLUNG → GRAD → ZUSTANDSSTEUERUNG	L+CH+K+E+DY	über die Verbindung; nehmen; geben; auf Grad I; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
175	RELATION+ACTION_HEAD+ACTION_HEAD+STATE_CONTROL+ARGUMENT	1	1	1	1	5	RELATION → HANDLUNG → HANDLUNG → ZUSTANDSSTEUERUNG → ARGUMENT	L+T+SH+OL+Y	über die Verbindung; einstellen; halten; weiter; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
176	RELATION+ACTION_HEAD+GRADE+FORMAL_CONTROL+ACTION_HEAD+STATE_CONTROL	1	1	1	1	6	RELATION → HANDLUNG → GRAD → FORMSTEUERUNG → HANDLUNG → ZUSTANDSSTEUERUNG	L+K+E+O+P+OL	über die Verbindung; geben; auf Grad I; zur Ausführung; einsetzen; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
177	RELATION+ARGUMENT+STATE_CONTROL	1	1	1	1	3	RELATION → ARGUMENT → ZUSTANDSSTEUERUNG	AIR+Y+DY	entlang der Bahn; den Posten; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
178	RELATION+FORMAL_CONTROL+ACTION_HEAD+STATE_CONTROL	1	1	1	1	4	RELATION → FORMSTEUERUNG → HANDLUNG → ZUSTANDSSTEUERUNG	L+O+CHD+DY	über die Verbindung; zur Ausführung; bearbeiten; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
179	RELATION+RELATION+ACTION_HEAD+GRADE+STATE_CONTROL	1	1	1	1	5	RELATION → RELATION → HANDLUNG → GRAD → ZUSTANDSSTEUERUNG	AL+AL+SH+E+DY	zum Zielort; zum Zielort; halten; auf Grad I; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
180	RELATION+STATE_CONTROL+ACTION_HEAD+STATE_CONTROL	1	1	1	1	4	RELATION → ZUSTANDSSTEUERUNG → HANDLUNG → ZUSTANDSSTEUERUNG	L+OL+CHD+DY	über die Verbindung; weiter; bearbeiten; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
181	STATE_CONTROL+ACTION_HEAD+ACTION_HEAD+ARGUMENT	1	1	1	1	4	ZUSTANDSSTEUERUNG → HANDLUNG → HANDLUNG → ARGUMENT	OL+K+CHD+Y	weiter; geben; bearbeiten; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
182	STATE_CONTROL+ACTION_HEAD+FORMAL_CONTROL+ACTION_HEAD	1	1	1	1	4	ZUSTANDSSTEUERUNG → HANDLUNG → FORMSTEUERUNG → HANDLUNG	OT+CH+O+S	danach; nehmen; zur Ausführung; wählen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
183	STATE_CONTROL+ACTION_HEAD+FORMAL_CONTROL+ACTION_HEAD+ARGUMENT	1	1	1	1	5	ZUSTANDSSTEUERUNG → HANDLUNG → FORMSTEUERUNG → HANDLUNG → ARGUMENT	OT+CH+O+SH+OR	danach; nehmen; zur Ausführung; halten; die Einheit	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
184	STATE_CONTROL+ACTION_HEAD+FORMAL_CONTROL+FORMAL_CONTROL	1	1	1	1	4	ZUSTANDSSTEUERUNG → HANDLUNG → FORMSTEUERUNG → FORMSTEUERUNG	OT+CH+O+IIN	danach; nehmen; zur Ausführung; auf der Stufe	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
185	STATE_CONTROL+ACTION_HEAD+GRADE+ACTION_HEAD	1	1	1	1	4	ZUSTANDSSTEUERUNG → HANDLUNG → GRAD → HANDLUNG	OT+CH+E+S	danach; nehmen; auf Grad I; wählen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
186	STATE_CONTROL+ACTION_HEAD+GRADE+ACTION_HEAD+ARGUMENT	1	1	1	1	5	ZUSTANDSSTEUERUNG → HANDLUNG → GRAD → HANDLUNG → ARGUMENT	OL+K+EE+CH+Y	weiter; geben; auf Grad II; nehmen; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
187	STATE_CONTROL+ACTION_HEAD+GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN+RELATION	1	1	1	1	6	ZUSTANDSSTEUERUNG → HANDLUNG → GRAD → FORMSTEUERUNG → LOKAL-/KLASSENZEICHEN → RELATION	OT+CH+E+O+D_ADDR+AL	danach; nehmen; auf Grad I; zur Ausführung; hier; zum Zielort	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
188	STATE_CONTROL+ACTION_HEAD+GRADE+LOCAL_OR_CLASS_SIGN	1	1	1	1	4	ZUSTANDSSTEUERUNG → HANDLUNG → GRAD → LOKAL-/KLASSENZEICHEN	OL+SH+EE+D_ADDR	weiter; halten; auf Grad II; hier	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
189	STATE_CONTROL+ACTION_HEAD+GRADE+STATE_CONTROL+ARGUMENT	1	1	1	1	5	ZUSTANDSSTEUERUNG → HANDLUNG → GRAD → ZUSTANDSSTEUERUNG → ARGUMENT	OL+K+EE+OL+Y	weiter; geben; auf Grad II; weiter; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
190	STATE_CONTROL+ACTION_HEAD+LOCAL_OR_CLASS_SIGN+ARGUMENT	1	1	1	1	4	ZUSTANDSSTEUERUNG → HANDLUNG → LOKAL-/KLASSENZEICHEN → ARGUMENT	OT+SH+D_ADDR+Y	danach; halten; hier; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
191	STATE_CONTROL+ACTION_HEAD+RELATION+ARGUMENT	1	1	1	1	4	ZUSTANDSSTEUERUNG → HANDLUNG → RELATION → ARGUMENT	OL+K+AR+Y	weiter; geben; vom Ausgang; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
192	STATE_CONTROL+ARGUMENT+ACTION_HEAD+ACTION_HEAD+STATE_CONTROL	1	1	1	1	5	ZUSTANDSSTEUERUNG → ARGUMENT → HANDLUNG → HANDLUNG → ZUSTANDSSTEUERUNG	OT+Y+T+CH+OL	danach; den Posten; einstellen; nehmen; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
193	STATE_CONTROL+ARGUMENT+ARGUMENT	1	1	1	1	3	ZUSTANDSSTEUERUNG → ARGUMENT → ARGUMENT	OL+AIIN+Y	weiter; den Wert; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
194	STATE_CONTROL+FORMAL_CONTROL+ACTION_HEAD+STATE_CONTROL	1	1	1	1	4	ZUSTANDSSTEUERUNG → FORMSTEUERUNG → HANDLUNG → ZUSTANDSSTEUERUNG	OT+O+CHD+DY	danach; zur Ausführung; bearbeiten; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
195	STATE_CONTROL+GRADE+ACTION_HEAD+ARGUMENT	1	1	1	1	4	ZUSTANDSSTEUERUNG → GRAD → HANDLUNG → ARGUMENT	OT+EE+S+Y	danach; auf Grad II; wählen; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
196	STATE_CONTROL+GRADE+FORMAL_CONTROL+ACTION_HEAD+RELATION	1	1	1	1	5	ZUSTANDSSTEUERUNG → GRAD → FORMSTEUERUNG → HANDLUNG → RELATION	OT+E+O+SH+AR	danach; auf Grad I; zur Ausführung; halten; vom Ausgang	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
197	STATE_CONTROL+GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN+ARGUMENT	1	1	1	1	5	ZUSTANDSSTEUERUNG → GRAD → FORMSTEUERUNG → LOKAL-/KLASSENZEICHEN → ARGUMENT	OT+EE+O+D_ADDR+AIIN	danach; auf Grad II; zur Ausführung; hier; den Wert	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
198	STATE_CONTROL+GRADE+LOCAL_OR_CLASS_SIGN+ACTION_HEAD+GRADE+STATE_CONTROL	1	1	1	1	6	ZUSTANDSSTEUERUNG → GRAD → LOKAL-/KLASSENZEICHEN → HANDLUNG → GRAD → ZUSTANDSSTEUERUNG	OT+E+D_ADDR+SH+E+DY	danach; auf Grad I; hier; halten; auf Grad I; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
199	STATE_CONTROL+GRADE+LOCAL_OR_CLASS_SIGN+ARGUMENT	1	1	1	1	4	ZUSTANDSSTEUERUNG → GRAD → LOKAL-/KLASSENZEICHEN → ARGUMENT	OT+E+D_ADDR+OR	danach; auf Grad I; hier; die Einheit	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
200	STATE_CONTROL+GRADE+LOCAL_OR_CLASS_SIGN+RELATION	1	1	1	1	4	ZUSTANDSSTEUERUNG → GRAD → LOKAL-/KLASSENZEICHEN → RELATION	OT+E+D_ADDR+AR	danach; auf Grad I; hier; vom Ausgang	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
201	STATE_CONTROL+GRADE+STATE_CONTROL+ARGUMENT	1	1	1	1	4	ZUSTANDSSTEUERUNG → GRAD → ZUSTANDSSTEUERUNG → ARGUMENT	OT+E+OL+Y	danach; auf Grad I; weiter; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
202	STATE_CONTROL+GRADE+STATE_CONTROL+RELATION	1	1	1	1	4	ZUSTANDSSTEUERUNG → GRAD → ZUSTANDSSTEUERUNG → RELATION	OT+E+DY+L	danach; auf Grad I; abschließen; über die Verbindung	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
203	STATE_CONTROL+LOCAL_OR_CLASS_SIGN+ACTION_HEAD+ACTION_HEAD+ARGUMENT	1	1	1	1	5	ZUSTANDSSTEUERUNG → LOKAL-/KLASSENZEICHEN → HANDLUNG → HANDLUNG → ARGUMENT	OL+D_ADDR+CH+K+Y	weiter; hier; nehmen; geben; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
204	STATE_CONTROL+LOCAL_OR_CLASS_SIGN+ACTION_HEAD+ARGUMENT	1	1	1	1	4	ZUSTANDSSTEUERUNG → LOKAL-/KLASSENZEICHEN → HANDLUNG → ARGUMENT	OT+A_ADDR+K+Y	danach; hier; geben; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
205	STATE_CONTROL+LOCAL_OR_CLASS_SIGN+LOCAL_OR_CLASS_SIGN+ARGUMENT+RELATION	1	1	1	1	5	ZUSTANDSSTEUERUNG → LOKAL-/KLASSENZEICHEN → LOKAL-/KLASSENZEICHEN → ARGUMENT → RELATION	OT+D_ADDR+D_ADDR+Y+AR	danach; hier; hier; den Posten; vom Ausgang	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
206	STATE_CONTROL+RELATION+ACTION_HEAD+ARGUMENT	1	1	1	1	4	ZUSTANDSSTEUERUNG → RELATION → HANDLUNG → ARGUMENT	OL+L+CH+Y	weiter; über die Verbindung; nehmen; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
207	STATE_CONTROL+RELATION+FORMAL_CONTROL	1	1	1	1	3	ZUSTANDSSTEUERUNG → RELATION → FORMSTEUERUNG	OT+AIR+IIN	danach; entlang der Bahn; auf der Stufe	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
208	STATE_CONTROL+RELATION+LOCAL_OR_CLASS_SIGN	1	1	1	1	3	ZUSTANDSSTEUERUNG → RELATION → LOKAL-/KLASSENZEICHEN	OT+AL+AM_ADDR	danach; zum Zielort; hier	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
209	STATE_CONTROL+RELATION+LOCAL_OR_CLASS_SIGN+RELATION	1	1	1	1	4	ZUSTANDSSTEUERUNG → RELATION → LOKAL-/KLASSENZEICHEN → RELATION	OT+AL+D_ADDR+AR	danach; zum Zielort; hier; vom Ausgang	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
210	STATE_CONTROL+STATE_CONTROL+ACTION_HEAD+ACTION_HEAD+ARGUMENT	1	1	1	1	5	ZUSTANDSSTEUERUNG → ZUSTANDSSTEUERUNG → HANDLUNG → HANDLUNG → ARGUMENT	OT+OL+P+CH+Y	danach; weiter; einsetzen; nehmen; den Posten	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
211	STATE_CONTROL+STATE_CONTROL+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN+RELATION	1	1	1	1	5	ZUSTANDSSTEUERUNG → ZUSTANDSSTEUERUNG → FORMSTEUERUNG → LOKAL-/KLASSENZEICHEN → RELATION	OT+OL+O+D_ADDR+AL	danach; weiter; zur Ausführung; hier; zum Zielort	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
212	STATE_CONTROL+STATE_CONTROL+LOCAL_OR_CLASS_SIGN+ARGUMENT	1	1	1	1	4	ZUSTANDSSTEUERUNG → ZUSTANDSSTEUERUNG → LOKAL-/KLASSENZEICHEN → ARGUMENT	OT+OL+D_ADDR+AIIN	danach; weiter; hier; den Wert	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
213	STATE_CONTROL+STATE_CONTROL+LOCAL_OR_CLASS_SIGN+FORMAL_CONTROL+ACTION_HEAD	1	1	1	1	5	ZUSTANDSSTEUERUNG → ZUSTANDSSTEUERUNG → LOKAL-/KLASSENZEICHEN → FORMSTEUERUNG → HANDLUNG	OT+OL+D_ADDR+O+S	danach; weiter; hier; zur Ausführung; wählen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
