group_serial	page	locus	event_index	opaque_local_id	condition_shelf	surface	selected_component_parse	portable_relative_components	relative_condition_reading_de	full_workshop_default_de	reading_status	external_celestial_or_calendar_name
359	f69v	f69v.3	26	A3:G104	C6	okody	OK+O+Y	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	ansetzen + Arbeitsgang + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
360	f69v	f69v.3	27	A3:G105	C6	dal	AL	AL	AN	Stelle	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
361	f69v	f69v.3	28	A3:G106	C6	oteey	OT+EE+Y	OT+EE+Y	FOLGEND · LAENGER · DIESER_EINTRAG	nächsten Posten länger halten	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
362	f69v	f69v.3	29	A3:G107	C6	oteey	OT+EE+Y	OT+EE+Y	FOLGEND · LAENGER · DIESER_EINTRAG	nächsten Posten länger halten	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
363	f69v	f69v.4	1	A3:G108	C4	okeey	OK+EE+Y	EE+Y	LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	länger ansetzen	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
364	f69v	f69v.4	2	A3:G109	C4	sar	AR	AR	VON	von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
365	f69v	f69v.5	1	A3:G110	C4	okeo	OK+E+O	E	KURZ · LOKALER_BEDINGUNGSKERN	ansetzen + kurz + Arbeitsgang	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
366	f69v	f69v.5	2	A3:G111	C4	dy	Y	Y	DIESER_EINTRAG	dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
367	f69v	f69v.6	1	A3:G112	C4	ochoyk	O+HO+Y+K	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Arbeitsgang + Gabe + dies + zufuehren	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
368	f69v	f69v.7	1	A3:G113	C4	ykeey	Y+K+EE+Y	Y+EE+Y	DIESER_EINTRAG · LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + zufuehren + laenger + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
369	f69v	f69v.8	1	A3:G114	C4	ytory	Y+T+OR+Y	Y+Y	DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + eintragen + Ansatz + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
370	f69v	f69v.9	1	A3:G115	C4	oeesy	O+EE+Y	EE+Y	LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Arbeitsgang + laenger + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
371	f69v	f69v.10	1	A3:G116	C4	ytody	Y+T+O+DY	Y+DY	DIESER_EINTRAG · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	dies + eintragen + Arbeitsgang + Schluss	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
372	f69v	f69v.11	1	A3:G117	C4	okody	OK+O+DY	DY	LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	ansetzen + Arbeitsgang + Schluss	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
373	f69v	f69v.12	1	A3:G118	C4	otody	OT+O+DY	OT+DY	FOLGEND · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	danach + Arbeitsgang + Schluss	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
374	f69v	f69v.13	1	A3:G119	C4	okeal	OK+E+AL	E+AL	KURZ · AN · LOKALER_BEDINGUNGSKERN	ansetzen + kurz + Stelle	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
375	f69v	f69v.14	1	A3:G120	C4	okeod	OK+E+O+D_LABEL	E	KURZ · LOKALER_BEDINGUNGSKERN	ansetzen + kurz + Arbeitsgang + Platzetikett	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
376	f69v	f69v.15	1	A3:G121	C4	oteeys	OT+EE+Y+S_LABEL	OT+EE+Y	FOLGEND · LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	danach + laenger + dies + Sternetikett	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
377	f69v	f69v.16	1	A3:G122	C4	oteol	OT+E+OL	OT+E+OL	FOLGEND · KURZ · WEITER	danach + kurz + fortsetzen	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
378	f69v	f69v.17	1	A3:G123	C4	ykeydy	Y+K+E+Y+DY	Y+E+Y+DY	DIESER_EINTRAG · KURZ · DIESER_EINTRAG · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	dies + zufuehren + kurz + dies + Schluss	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
379	f69v	f69v.18	1	A3:G124	C4	okeod	OK+E+O+D_LABEL	E	KURZ · LOKALER_BEDINGUNGSKERN	ansetzen + kurz + Arbeitsgang + Platzetikett	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
380	f69v	f69v.19	1	A3:G125	C4	saral	AR+AL	AR+AL	VON · AN	von dort + Stelle	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
381	f69v	f69v.20	1	A3:G126	C4	saiir	NONE	NONE	LOKALE_BEDINGUNGSKARTE	lokale Etikette	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
382	f69v	f69v.21	1	A3:G127	C4	okolar	OK+OL+AR	OL+AR	WEITER · VON · LOKALER_BEDINGUNGSKERN	ansetzen + fortsetzen + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
383	f69v	f69v.22	1	A3:G128	C4	ykeody	Y+K+E+O+DY	Y+E+DY	DIESER_EINTRAG · KURZ · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	dies + zufuehren + kurz + Arbeitsgang + Schluss	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
384	f69v	f69v.23	1	A3:G129	C4	sarydy	AR+Y+DY	AR+Y+DY	VON · DIESER_EINTRAG · LOKAL_SCHLIESSEN	von dort + dies + Schluss	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
385	f69v	f69v.24	1	A3:G130	C4	otchy	OT+Y	OT+Y	FOLGEND · DIESER_EINTRAG	danach + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
386	f69v	f69v.25	1	A3:G131	C4	okeey	OK+EE+Y	EE+Y	LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	länger ansetzen	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
387	f69v	f69v.25	2	A3:G132	C4	dy	Y	Y	DIESER_EINTRAG	dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
388	f69v	f69v.26	1	A3:G133	C4	okey	OK+E+Y	E+Y	KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	kurz ansetzen	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
389	f69v	f69v.26	2	A3:G134	C4	d	D_LABEL	NONE	LOKALE_BEDINGUNGSKARTE	Platzetikett	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
390	f69v	f69v.27	1	A3:G135	C4	okeod	OK+E+O+D_LABEL	E	KURZ · LOKALER_BEDINGUNGSKERN	ansetzen + kurz + Arbeitsgang + Platzetikett	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
391	f69v	f69v.28	1	A3:G136	C4	okodchy	OK+O+D_ADDR+Y	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	ansetzen + Arbeitsgang + Teiladresse + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
392	f69v	f69v.29	1	A3:G137	C4	okeody	OK+E+O+DY	E+DY	KURZ · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	ansetzen + kurz + Arbeitsgang + Schluss	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
393	f69v	f69v.30	1	A3:G138	C4	okcheys	OK+Y+S_LABEL	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	ansetzen + dies + Sternetikett	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
394	f69v	f69v.31	1	A3:G139	C4	oar	O+AR	AR	VON · LOKALER_BEDINGUNGSKERN	Arbeitsgang + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
395	f69v	f69v.31	2	A3:G140	C4	alys	AL+Y+S_LABEL	AL+Y	AN · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Stelle + dies + Sternetikett	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
