context_event_ordinal	event_id	statement_id	card_ordinal_in_statement	physical_page	register	owner_id	owner_de	locus	surface	content_role	gdt516_context_recipe	final_context_recipe	recipe_source	recipe_changed_after_gdt516	controlled_order_reading_de	gdt538_neutral_phrase_de	explicit_action_roots	inherited_action_root	inherited_action_source_event_id	explicit_argument_roots	inherited_argument_root	inherited_argument_source_event_id	ellipsis_status	contextual_clause_de	exact_recipe_roundtrip	same_statement_inheritance_only	cross_statement_inheritance	guard
423	G515-E0469	G515-S056	11	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_04	sichtbarer Prosablock 4 auf f66r ohne Gegenstandsbesitzer	f66r.68	dairal	COORDINATE_OR_CATALOGUE_CARD	D_ADDR+AIR+AL	D_ADDR+AIR+AL	GDT538_FINAL_SURFACE	NO	[hier: D-Adresse] → Bahn → Zielort.	Hier; entlang der Bahn; am Zielort.	NONE	CH	G515-E0466	NONE	Y	G515-E0468	INHERITED_ACTION_AND_ARGUMENT	Im laufenden Satz entnimm den laufenden Eintrag [wie zuvor]; entlang der Lesebahn und zur Zielspalte; an der bezeichneten Stelle.	D_ADDR+AIR+AL	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
424	G515-E0470	G515-S056	12	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_04	sichtbarer Prosablock 4 auf f66r ohne Gegenstandsbesitzer	f66r.68	dolarshy	ORDERED_INSTRUCTION_CARD	D_ADDR+OL+AR+SH+Y	D_ADDR+OL+AR+SH+Y	GDT538_FINAL_SURFACE	NO	[hier: D-Adresse] → fortsetzen → Ausgang → halten → Posten.	Hier; fortsetzen; vom Ausgang; den Posten halten.	SH	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Halte den laufenden Eintrag fest; von der Ausgangszeile; an der bezeichneten Stelle; führe fort.	D_ADDR+OL+AR+SH+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
425	G515-E0471	G515-S056	13	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_04	sichtbarer Prosablock 4 auf f66r ohne Gegenstandsbesitzer	f66r.68	dor	COORDINATE_OR_CATALOGUE_CARD	D_ADDR+OR	D_ADDR+OR	GDT516_CONTEXT_REPLAY	NO	[hier: D-Adresse] → Einheit.	NOT_IN_GDT538_159	NONE	SH	G515-E0470	OR	NONE	NONE	INHERITED_ACTION_ONLY	Im laufenden Satz halte die Eintragseinheit fest; an der bezeichneten Stelle.	D_ADDR+OR	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
426	G515-E0472	G515-S056	14	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_04	sichtbarer Prosablock 4 auf f66r ohne Gegenstandsbesitzer	f66r.69	tosheo	ORDERED_INSTRUCTION_CARD	T+O+SH+E+O	T+O+SH+E+O	GDT538_FINAL_SURFACE	NO	einstellen → [Ausführung] → halten → [Grad I] → [Ausführung].	Einstellen und halten; zur Ausführung; auf Grad I; erneut zur Ausführung.	T|SH	NONE	NONE	NONE	OR	G515-E0471	INHERITED_ARGUMENT_ONLY	Lege die Eintragseinheit [wie zuvor] fest und halte die Eintragseinheit [wie zuvor] fest; zur Ausführung [außen], auf Grad I und zur Ausführung [innen].	T+O+SH+E+O	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
427	G515-E0473	G515-S056	15	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_04	sichtbarer Prosablock 4 auf f66r ohne Gegenstandsbesitzer	f66r.69	qokaldy	ORDERED_INSTRUCTION_CARD	OK+AL+Y	OK+AL+Y	GDT516_CONTEXT_REPLAY	NO	setzen → Zielort → Posten.	NOT_IN_GDT538_159	OK	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Trage den laufenden Eintrag ein; zur Zielspalte.	OK+AL+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
428	G515-E0474	G515-S056	16	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_04	sichtbarer Prosablock 4 auf f66r ohne Gegenstandsbesitzer	f66r.69	oky	ORDERED_INSTRUCTION_CARD	OK+Y	OK+Y	GDT516_CONTEXT_REPLAY	NO	setzen → Posten.	NOT_IN_GDT538_159	OK	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Trage den laufenden Eintrag ein.	OK+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
429	G515-E0475	G515-S056	17	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_04	sichtbarer Prosablock 4 auf f66r ohne Gegenstandsbesitzer	f66r.69	ol	ITINERARY_OR_ADDRESS_CARD	OL	OL	GDT516_CONTEXT_REPLAY	NO	fortsetzen.	NOT_IN_GDT538_159	NONE	OK	G515-E0474	NONE	Y	G515-E0474	INHERITED_ACTION_AND_ARGUMENT	Im laufenden Satz trage den laufenden Eintrag [wie zuvor] ein; führe fort.	OL	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
430	G515-E0476	G515-S056	18	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_04	sichtbarer Prosablock 4 auf f66r ohne Gegenstandsbesitzer	f66r.69	kcheeky	ORDERED_INSTRUCTION_CARD	K+CH+EE+K+Y	K+CH+EE+K+Y	GDT538_FINAL_SURFACE	NO	geben → nehmen → [Grad II] → geben → Posten.	Den Posten geben, nehmen und erneut geben; auf Grad II.	K|CH|K	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Ordne den laufenden Eintrag zu, entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad II.	K+CH+EE+K+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
431	G515-E0477	G515-S056	19	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_04	sichtbarer Prosablock 4 auf f66r ohne Gegenstandsbesitzer	f66r.69	qoky	ORDERED_INSTRUCTION_CARD	OK+Y	OK+Y	GDT516_CONTEXT_REPLAY	NO	setzen → Posten.	NOT_IN_GDT538_159	OK	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Trage den laufenden Eintrag ein.	OK+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
432	G515-E0478	G515-S056	20	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_04	sichtbarer Prosablock 4 auf f66r ohne Gegenstandsbesitzer	f66r.69	dary	ORDERED_INSTRUCTION_CARD	DA+R+Y	DA+R+Y	GDT516_CONTEXT_REPLAY	NO	[zweite Stufe] → markieren → Posten.	NOT_IN_GDT538_159	R	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Kennzeichne den laufenden Eintrag; auf der zweiten Stufe.	DA+R+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
433	G515-E0479	G515-S056	21	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_04	sichtbarer Prosablock 4 auf f66r ohne Gegenstandsbesitzer	f66r.69	okees	ORDERED_INSTRUCTION_CARD	OK+EE+S	OK+EE+S	GDT516_CONTEXT_REPLAY	NO	setzen → [Grad II] → wählen.	NOT_IN_GDT538_159	OK|S	NONE	NONE	NONE	Y	G515-E0478	INHERITED_ARGUMENT_ONLY	Trage den laufenden Eintrag [wie zuvor] ein und wähle den laufenden Eintrag [wie zuvor]; auf Grad II.	OK+EE+S	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
434	G515-E0480	G515-S056	22	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_04	sichtbarer Prosablock 4 auf f66r ohne Gegenstandsbesitzer	f66r.69	oly	ITINERARY_OR_ADDRESS_CARD	OL+Y	OL+Y	GDT516_CONTEXT_REPLAY	NO	fortsetzen → Posten.	NOT_IN_GDT538_159	NONE	S	G515-E0479	Y	NONE	NONE	INHERITED_ACTION_ONLY	Im laufenden Satz wähle den laufenden Eintrag; führe fort.	OL+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
435	G515-E0481	G515-S057	1	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_05	sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer	f66r.70	todeeey	ORDERED_INSTRUCTION_CARD	T+O+D_ADDR+EEE+Y	T+O+D_ADDR+EEE+Y	GDT538_FINAL_SURFACE	NO	einstellen → [Ausführung] → [hier: D-Adresse] → [Grad III] → Posten.	Den Posten einstellen; zur Ausführung; hier; auf Grad III.	T	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Lege den laufenden Eintrag fest; zur Ausführung und auf Grad III; an der bezeichneten Stelle.	T+O+D_ADDR+EEE+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
436	G515-E0482	G515-S057	2	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_05	sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer	f66r.70	keody	ORDERED_INSTRUCTION_CARD	K+E+O+D_ADDR+Y	K+E+O+D_ADDR+Y	GDT538_FINAL_SURFACE	NO	geben → [Grad I] → [Ausführung] → [hier: D-Adresse] → Posten.	Den Posten geben; auf Grad I; zur Ausführung; hier.	K	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Ordne den laufenden Eintrag zu; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	K+E+O+D_ADDR+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
437	G515-E0483	G515-S057	3	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_05	sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer	f66r.70	chdy	ORDERED_INSTRUCTION_CARD	CHD+Y	CHD+Y	GDT516_CONTEXT_REPLAY	NO	bearbeiten → Posten.	NOT_IN_GDT538_159	CHD	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Bearbeite den laufenden Eintrag.	CHD+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
438	G515-E0484	G515-S057	4	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_05	sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer	f66r.70	keody	ORDERED_INSTRUCTION_CARD	K+E+O+D_ADDR+Y	K+E+O+D_ADDR+Y	GDT538_FINAL_SURFACE	NO	geben → [Grad I] → [Ausführung] → [hier: D-Adresse] → Posten.	Den Posten geben; auf Grad I; zur Ausführung; hier.	K	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Ordne den laufenden Eintrag zu; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	K+E+O+D_ADDR+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
439	G515-E0485	G515-S057	5	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_05	sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer	f66r.70	shedy	ORDERED_INSTRUCTION_CARD	SH+E+DY	SH+E+DY	GDT516_CONTEXT_REPLAY	NO	halten → [Grad I] → [Schluss].	NOT_IN_GDT538_159	SH	NONE	NONE	NONE	Y	G515-E0484	INHERITED_ARGUMENT_ONLY	Halte den laufenden Eintrag [wie zuvor] fest; auf Grad I; schließe den Schritt.	SH+E+DY	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
440	G515-E0486	G515-S058	1	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_05	sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer	f66r.70	shekeefy	ORDERED_INSTRUCTION_CARD	SH+E+K+EE+LOCAL_CHAR_F+Y	SH+E+K+EE+LOCAL_CHAR_F+Y	GDT538_FINAL_SURFACE	NO	halten → [Grad I] → geben → [Grad II] → [hier: f-Kennmarke] → Posten.	Den Posten halten und geben; auf Grad I; auf Grad II; hier.	SH|K	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Halte den laufenden Eintrag fest und ordne den laufenden Eintrag zu; auf Grad I und auf Grad II; an der bezeichneten Stelle.	SH+E+K+EE+LOCAL_CHAR_F+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
441	G515-E0487	G515-S058	2	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_05	sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer	f66r.70	chdy	ORDERED_INSTRUCTION_CARD	CHD+Y	CHD+Y	GDT516_CONTEXT_REPLAY	NO	bearbeiten → Posten.	NOT_IN_GDT538_159	CHD	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Bearbeite den laufenden Eintrag.	CHD+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
442	G515-E0488	G515-S058	3	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_05	sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer	f66r.70	sheol	ORDERED_INSTRUCTION_CARD	SH+E+OL	SH+E+OL	GDT516_CONTEXT_REPLAY	NO	halten → [Grad I] → fortsetzen.	NOT_IN_GDT538_159	SH	NONE	NONE	NONE	Y	G515-E0487	INHERITED_ARGUMENT_ONLY	Halte den laufenden Eintrag [wie zuvor] fest; auf Grad I; führe fort.	SH+E+OL	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
443	G515-E0489	G515-S058	4	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_05	sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer	f66r.70	shol	ORDERED_INSTRUCTION_CARD	SH+OL	SH+OL	GDT516_CONTEXT_REPLAY	NO	halten → fortsetzen.	NOT_IN_GDT538_159	SH	NONE	NONE	NONE	Y	G515-E0487	INHERITED_ARGUMENT_ONLY	Halte den laufenden Eintrag [wie zuvor] fest; führe fort.	SH+OL	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
444	G515-E0490	G515-S058	5	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_05	sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer	f66r.70	kedy	ORDERED_INSTRUCTION_CARD	K+E+DY	K+E+DY	GDT516_CONTEXT_REPLAY	NO	geben → [Grad I] → [Schluss].	NOT_IN_GDT538_159	K	NONE	NONE	NONE	Y	G515-E0487	INHERITED_ARGUMENT_ONLY	Ordne den laufenden Eintrag [wie zuvor] zu; auf Grad I; schließe den Schritt.	K+E+DY	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
445	G515-E0491	G515-S059	1	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_05	sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer	f66r.70	daly	COORDINATE_OR_CATALOGUE_CARD	AL+Y	AL+Y	GDT516_CONTEXT_REPLAY	NO	Zielort → Posten.	NOT_IN_GDT538_159	NONE	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Bezug: den laufenden Eintrag; zur Zielspalte.	AL+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
446	G515-E0492	G515-S059	2	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_05	sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer	f66r.71	saiir	ORDERED_INSTRUCTION_CARD	S+IIN+R	S+IIN+R	GDT516_CONTEXT_REPLAY	NO	wählen → [Stufe] → markieren.	NOT_IN_GDT538_159	S|R	NONE	NONE	NONE	Y	G515-E0491	INHERITED_ARGUMENT_ONLY	Wähle den laufenden Eintrag [wie zuvor] und kennzeichne den laufenden Eintrag [wie zuvor]; auf der bezeichneten Stufe.	S+IIN+R	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
447	G515-E0493	G515-S059	3	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_05	sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer	f66r.71	cheol	ORDERED_INSTRUCTION_CARD	CH+E+O+L	CH+E+O+L	GDT516_CONTEXT_REPLAY	NO	nehmen → [Grad I] → [Ausführung] → Verbindung.	NOT_IN_GDT538_159	CH	NONE	NONE	NONE	Y	G515-E0491	INHERITED_ARGUMENT_ONLY	Entnimm den laufenden Eintrag [wie zuvor]; über die Eintragsverbindung; auf Grad I und zur Ausführung.	CH+E+O+L	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
448	G515-E0494	G515-S059	4	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_05	sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer	f66r.71	kal	ORDERED_INSTRUCTION_CARD	K+AL	K+AL	GDT516_CONTEXT_REPLAY	NO	geben → Zielort.	NOT_IN_GDT538_159	K	NONE	NONE	NONE	Y	G515-E0491	INHERITED_ARGUMENT_ONLY	Ordne den laufenden Eintrag [wie zuvor] zu; zur Zielspalte.	K+AL	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
449	G515-E0495	G515-S059	5	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_05	sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer	f66r.71	sheody	ORDERED_INSTRUCTION_CARD	SH+E+O+D_ADDR+Y	SH+E+O+D_ADDR+Y	GDT516_CONTEXT_REPLAY	NO	halten → [Grad I] → [Ausführung] → [hier: D-Adresse] → Posten.	NOT_IN_GDT538_159	SH	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Halte den laufenden Eintrag fest; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	SH+E+O+D_ADDR+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
450	G515-E0496	G515-S059	6	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_05	sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer	f66r.71	chcthedy	ORDERED_INSTRUCTION_CARD	CH+CH+T+E+DY	CH+CH+T+E+DY	GDT516_CONTEXT_REPLAY	NO	nehmen → nehmen → einstellen → [Grad I] → [Schluss].	NOT_IN_GDT538_159	CH|CH|T	NONE	NONE	NONE	Y	G515-E0495	INHERITED_ARGUMENT_ONLY	Entnimm den laufenden Eintrag [wie zuvor], entnimm den laufenden Eintrag [wie zuvor] und lege den laufenden Eintrag [wie zuvor] fest; auf Grad I; schließe den Schritt.	CH+CH+T+E+DY	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
451	G515-E0497	G515-S060	1	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_05	sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer	f66r.71	dal	COORDINATE_OR_CATALOGUE_CARD	AL	AL	GDT516_CONTEXT_REPLAY	NO	Zielort.	NOT_IN_GDT538_159	NONE	NONE	NONE	NONE	NONE	NONE	NO_INHERITANCE	Zur Zielspalte.	AL	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
452	G515-E0498	G515-S060	2	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_05	sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer	f66r.71	shol	ORDERED_INSTRUCTION_CARD	SH+OL	SH+OL	GDT516_CONTEXT_REPLAY	NO	halten → fortsetzen.	NOT_IN_GDT538_159	SH	NONE	NONE	NONE	NONE	NONE	NO_INHERITANCE	Halte fest; führe fort.	SH+OL	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
453	G515-E0499	G515-S060	3	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_05	sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer	f66r.71	qokeody	ORDERED_INSTRUCTION_CARD	OK+E+O+D_ADDR+Y	OK+E+O+D_ADDR+Y	GDT516_CONTEXT_REPLAY	NO	setzen → [Grad I] → [Ausführung] → [hier: D-Adresse] → Posten.	NOT_IN_GDT538_159	OK	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Trage den laufenden Eintrag ein; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	OK+E+O+D_ADDR+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
454	G515-E0500	G515-S060	4	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_05	sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer	f66r.71	chody	ORDERED_INSTRUCTION_CARD	CH+O+D_ADDR+Y	CH+O+D_ADDR+Y	GDT516_CONTEXT_REPLAY	NO	nehmen → [Ausführung] → [hier: D-Adresse] → Posten.	NOT_IN_GDT538_159	CH	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Entnimm den laufenden Eintrag; zur Ausführung; an der bezeichneten Stelle.	CH+O+D_ADDR+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
455	G515-E0501	G515-S060	5	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_05	sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer	f66r.71	kechody	ORDERED_INSTRUCTION_CARD	K+E+CH+O+D_ADDR+Y	K+E+CH+O+D_ADDR+Y	GDT538_FINAL_SURFACE	NO	geben → [Grad I] → nehmen → [Ausführung] → [hier: D-Adresse] → Posten.	Den Posten geben und nehmen; auf Grad I; zur Ausführung; hier.	K|CH	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Ordne den laufenden Eintrag zu und entnimm den laufenden Eintrag; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	K+E+CH+O+D_ADDR+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
456	G515-E0502	G515-S060	6	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_05	sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer	f66r.72	sshedy	ORDERED_INSTRUCTION_CARD	S+SH+E+DY	S+SH+E+DY	GDT516_CONTEXT_REPLAY	NO	wählen → halten → [Grad I] → [Schluss].	NOT_IN_GDT538_159	S|SH	NONE	NONE	NONE	Y	G515-E0501	INHERITED_ARGUMENT_ONLY	Wähle den laufenden Eintrag [wie zuvor] und halte den laufenden Eintrag [wie zuvor] fest; auf Grad I; schließe den Schritt.	S+SH+E+DY	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
457	G515-E0503	G515-S061	1	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_05	sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer	f66r.72	oteedy	ITINERARY_OR_ADDRESS_CARD	OT+EE+DY	OT+EE+DY	GDT516_CONTEXT_REPLAY	NO	danach → [Grad II] → [Schluss].	NOT_IN_GDT538_159	NONE	NONE	NONE	NONE	NONE	NONE	NO_INHERITANCE	Danach: auf Grad II; schließe den Schritt.	OT+EE+DY	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
458	G515-E0504	G515-S062	1	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_05	sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer	f66r.72	ykeeody	ORDERED_INSTRUCTION_CARD	Y+K+EE+O+DY	Y+K+EE+O+DY	GDT516_CONTEXT_REPLAY	NO	Posten → geben → [Grad II] → [Ausführung] → [Schluss].	NOT_IN_GDT538_159	K	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Ordne den laufenden Eintrag zu; auf Grad II und zur Ausführung; schließe den Schritt.	Y+K+EE+O+DY	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
459	G515-E0505	G515-S063	1	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_05	sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer	f66r.72	sheocthy	ORDERED_INSTRUCTION_CARD	SH+E+O+CH+T+Y	SH+E+O+CH+T+Y	GDT538_FINAL_SURFACE	NO	halten → [Grad I] → [Ausführung] → nehmen → einstellen → Posten.	Den Posten halten, nehmen und einstellen; auf Grad I; zur Ausführung.	SH|CH|T	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Halte den laufenden Eintrag fest, entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; auf Grad I und zur Ausführung.	SH+E+O+CH+T+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
460	G515-E0506	G515-S063	2	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_05	sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer	f66r.72	ol	ITINERARY_OR_ADDRESS_CARD	OL	OL	GDT516_CONTEXT_REPLAY	NO	fortsetzen.	NOT_IN_GDT538_159	NONE	T	G515-E0505	NONE	Y	G515-E0505	INHERITED_ACTION_AND_ARGUMENT	Im laufenden Satz lege den laufenden Eintrag [wie zuvor] fest; führe fort.	OL	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
461	G515-E0507	G515-S063	3	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_05	sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer	f66r.72	ld	COORDINATE_OR_CATALOGUE_CARD	L+D_ADDR	L+D_ADDR	GDT538_FINAL_SURFACE	NO	Verbindung → [hier: D-Adresse].	Über die Verbindung; hier.	NONE	T	G515-E0505	NONE	Y	G515-E0505	INHERITED_ACTION_AND_ARGUMENT	Im laufenden Satz lege den laufenden Eintrag [wie zuvor] fest; über die Eintragsverbindung; an der bezeichneten Stelle.	L+D_ADDR	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
462	G515-E0508	G515-S063	4	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_05	sichtbarer Prosablock 5 auf f66r ohne Gegenstandsbesitzer	f66r.72	lshedy	ORDERED_INSTRUCTION_CARD	L+SH+E+DY	L+SH+E+DY	GDT516_CONTEXT_REPLAY	NO	Verbindung → halten → [Grad I] → [Schluss].	NOT_IN_GDT538_159	SH	NONE	NONE	NONE	Y	G515-E0505	INHERITED_ARGUMENT_ONLY	Halte den laufenden Eintrag [wie zuvor] fest; über die Eintragsverbindung; auf Grad I; schließe den Schritt.	L+SH+E+DY	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
