surface	events	running_events	pages	transfer_class	source_surface	edit_distance	component_recipe	portable_default_de	confidence
ralal	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
rol	1	1	f76r	EXACT_REGISTERED_SURFACE	rol	0	R+OL	MERKEN · FORTSETZEN	HIGH
rorol	1	1	f76r	TWO_EDIT_ROOTED_VARIANT	lolol	2	L+OL+OL	LEITEN · FORTSETZEN · FORTSETZEN	WORKING
rory	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	ror	1	R+OR	MERKEN · ANSATZ	MEDIUM_HIGH
s	13	10	f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	s	0	S	AUSWÄHLEN	HIGH
saiin	9	9	f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	saiin	0	S+AIIN	AUSWÄHLEN · MASS	HIGH
sain	9	9	f76r|f89r	EXACT_REGISTERED_SURFACE	sain	0	S+AIN	AUSWÄHLEN · PORTION	HIGH
sal	4	4	f72r|f76r	EXACT_REGISTERED_SURFACE	sal	0	S+AL	AUSWÄHLEN · ZIEL	HIGH
saldam	1	0	f89r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
saloiinsheol	1	0	f89r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
sar	1	1	f76r	EXACT_REGISTERED_SURFACE	sar	0	S+AR	AUSWÄHLEN · QUELLE	HIGH
scheor	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	cheor	1	CHEO+R	AUSZUG · MERKEN	MEDIUM_HIGH
seey	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	sheey	1	SH+EE+Y	HALTEN · LÄNGER · POSTEN	MEDIUM_HIGH
shaiin	2	2	f18r	EXACT_REGISTERED_SURFACE	shaiin	0	SH+AIIN	HALTEN · MASS	HIGH
shar	2	1	f72r|f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	shear	1	SH+E+AR	HALTEN · KURZ · QUELLE	MEDIUM_HIGH
sharam	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
shckhy	7	7	f76r	EXACT_REGISTERED_SURFACE	shckhy	0	SH+CKH+Y	HALTEN · DURCHLASS · POSTEN	HIGH
shcthy	2	2	f76r	EXACT_REGISTERED_SURFACE	shcthy	0	SH+CTH+Y	HALTEN · BEREIT · POSTEN	HIGH
shdy	4	4	f76r	EXACT_REGISTERED_SURFACE	shdy	0	SH+D_ADDR+Y	HALTEN · TEIL · POSTEN	HIGH
sheal	1	1	f72r	EXACT_REGISTERED_SURFACE	sheal	0	SH+E+AL	HALTEN · KURZ · ZIEL	HIGH
sheals	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	sheal	1	SH+E+AL	HALTEN · KURZ · ZIEL	MEDIUM_HIGH
shear	2	2	f72r|f76r	EXACT_REGISTERED_SURFACE	shear	0	SH+E+AR	HALTEN · KURZ · QUELLE	HIGH
sheckhey	1	1	f76r	EXACT_REGISTERED_SURFACE	sheckhey	0	SH+E+CKH+E+Y	HALTEN · KURZ · DURCHLASS · KURZ · POSTEN	HIGH
shecthy	2	2	f76r	EXACT_REGISTERED_SURFACE	shecthy	0	SH+E+CTH+Y	HALTEN · KURZ · BEREIT · POSTEN	HIGH
shed	2	2	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	shedy	1	SHED+DY	ABSETZEN · SCHLUSS	MEDIUM_HIGH
shedal	1	1	f76r	EXACT_REGISTERED_SURFACE	shedal	0	SHED+AL	ABSETZEN · ZIEL	HIGH
shedy	28	28	f76r	EXACT_REGISTERED_SURFACE	shedy	0	SHED+DY	ABSETZEN · SCHLUSS	HIGH
sheedy	3	3	f72r|f76r	EXACT_REGISTERED_SURFACE	sheedy	0	SH+EE+DY	HALTEN · LÄNGER · SCHLUSS	HIGH
sheeky	1	1	f76r	EXACT_REGISTERED_SURFACE	sheeky	0	SH+EE+K+Y	HALTEN · LÄNGER · GEBEN · POSTEN	HIGH
sheeoldy	1	1	f76r	TWO_EDIT_ROOTED_VARIANT	sheeol	2	SH+EE+OL	HALTEN · LÄNGER · FORTSETZEN	WORKING
sheeos	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	shees	1	SH+EE+S	HALTEN · LÄNGER · AUSWÄHLEN	MEDIUM_HIGH
shees	1	1	f72r	EXACT_REGISTERED_SURFACE	shees	0	SH+EE+S	HALTEN · LÄNGER · AUSWÄHLEN	HIGH
sheey	11	11	f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	sheey	0	SH+EE+Y	HALTEN · LÄNGER · POSTEN	HIGH
sheo	1	1	f89r	EXACT_REGISTERED_SURFACE	sheo	0	SH+E+O	HALTEN · KURZ · AUSFÜHREN	HIGH
sheodal	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	shedal	1	SHED+AL	ABSETZEN · ZIEL	MEDIUM_HIGH
sheody	1	1	f89r	EXACT_REGISTERED_SURFACE	sheody	0	SH+E+O+D_ADDR+Y	HALTEN · KURZ · AUSFÜHREN · TEIL · POSTEN	HIGH
sheol	7	7	f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	sheol	0	SH+E+OL	HALTEN · KURZ · FORTSETZEN	HIGH
sheolaiin	1	1	f72r	VISIBLE_NEW_COMPOSITION	shedaiin	2	SH+E+OL+AIIN	HALTEN · KURZ · FORTSETZEN · MASS	WORKING_COMPOSITION
sheoltey	1	1	f72r	VISIBLE_NEW_COMPOSITION	cheotey	2	SH+E+OL+T+E+Y	HALTEN · KURZ · FORTSETZEN · STELLEN · KURZ · POSTEN	WORKING_COMPOSITION
sheoly	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	sheol	1	SH+E+OL	HALTEN · KURZ · FORTSETZEN	MEDIUM_HIGH
sheor	1	1	f89r	EXACT_REGISTERED_SURFACE	sheor	0	SH+E+OR	HALTEN · KURZ · ANSATZ	HIGH
shes	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	shees	1	SH+EE+S	HALTEN · LÄNGER · AUSWÄHLEN	MEDIUM_HIGH
sheshdy	1	1	f72r	TWO_EDIT_ROOTED_VARIANT	sheody	2	SH+E+O+D_ADDR+Y	HALTEN · KURZ · AUSFÜHREN · TEIL · POSTEN	WORKING
shetey	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	sheey	1	SH+EE+Y	HALTEN · LÄNGER · POSTEN	MEDIUM_HIGH
shey	13	13	f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	shey	0	SH+E+Y	HALTEN · KURZ · POSTEN	HIGH
sheycthy	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	shecthy	1	SH+E+CTH+Y	HALTEN · KURZ · BEREIT · POSTEN	MEDIUM_HIGH
sheyr	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	shey	1	SH+E+Y	HALTEN · KURZ · POSTEN	MEDIUM_HIGH
sheysy	1	1	f72r	TWO_EDIT_ROOTED_VARIANT	shey	2	SH+E+Y	HALTEN · KURZ · POSTEN	WORKING
shky	1	1	f76r	EXACT_REGISTERED_SURFACE	shky	0	SH+K+Y	HALTEN · GEBEN · POSTEN	HIGH
shlches	1	1	f76r	TWO_EDIT_ROOTED_VARIANT	dylches	2	D_ADDR+Y+L+CH+E+S	TEIL · POSTEN · LEITEN · NEHMEN · KURZ · AUSWÄHLEN	WORKING
sho	1	1	f72r	EXACT_REGISTERED_SURFACE	sho	0	SH+O	HALTEN · AUSFÜHREN	HIGH
shocthy	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	shcthy	1	SH+CTH+Y	HALTEN · BEREIT · POSTEN	MEDIUM_HIGH
shody	1	1	f89r	EXACT_REGISTERED_SURFACE	shody	0	SH+O+DY	HALTEN · AUSFÜHREN · SCHLUSS	HIGH
shoety	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	sheety	1	SH+EE+T+Y	HALTEN · LÄNGER · STELLEN · POSTEN	MEDIUM_HIGH
shokal	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	chokal	1	OK+AL	SETZEN · ZIEL	MEDIUM_HIGH
shol	5	4	f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	shol	0	SH+OL	HALTEN · FORTSETZEN	HIGH
sholdy	2	2	f18r|f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	soldy	1	S+OL+D_ADDR+Y	AUSWÄHLEN · FORTSETZEN · TEIL · POSTEN	MEDIUM_HIGH
shor	3	3	f18r|f89r	EXACT_REGISTERED_SURFACE	shor	0	SH+OR	HALTEN · ANSATZ	HIGH
shoteey	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	choteey	1	CH+OT+EE+Y	NEHMEN · DANACH · LÄNGER · POSTEN	MEDIUM_HIGH
shy	3	3	f72r|f76r	EXACT_REGISTERED_SURFACE	shy	0	Y	POSTEN	HIGH
sodar	1	0	f89r	LOCAL_OWNER_ADDRESS	sodar	0	LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
soiiin	1	1	f89r	EXACT_REGISTERED_SURFACE	soiiin	0	S+O+LOCAL_CHAR_I+IIN	AUSWÄHLEN · AUSFÜHREN · UNTERSTUFE · STUFE	HIGH
soin	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	sain	1	S+AIN	AUSWÄHLEN · PORTION	MEDIUM_HIGH
solchedy	1	1	f76r	EXACT_REGISTERED_SURFACE	solchedy	0	S+OL+CHD+Y	AUSWÄHLEN · FORTSETZEN · UMSETZEN · POSTEN	HIGH
solshedy	1	1	f76r	EXACT_REGISTERED_SURFACE	solshedy	0	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ · SCHLUSS	HIGH
solshey	1	1	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	solshedy	1	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ · SCHLUSS	MEDIUM_HIGH
sor	2	2	f76r	EXACT_REGISTERED_SURFACE	sor	0	S+OR	AUSWÄHLEN · ANSATZ	HIGH
sorcheey	1	1	f89r	TWO_EDIT_ROOTED_VARIANT	orchey	2	OR+Y	ANSATZ · POSTEN	WORKING
sosor	1	1	f72r	TWO_EDIT_ROOTED_VARIANT	sor	2	S+OR	AUSWÄHLEN · ANSATZ	WORKING
sotchaiin	1	1	f18r	TWO_EDIT_ROOTED_VARIANT	sotaiin	2	S+OT+AIIN	AUSWÄHLEN · DANACH · MASS	WORKING
sshr	1	1	f89r	TWO_EDIT_ROOTED_VARIANT	shy	2	Y	POSTEN	WORKING
sy	1	1	f89r	EXACT_REGISTERED_SURFACE	sy	0	Y	POSTEN	HIGH
sydarary	1	0	f89r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
taiin	1	1	f89r	EXACT_REGISTERED_SURFACE	taiin	0	T+AIIN	STELLEN · MASS	HIGH
talor	1	1	f76r	TWO_EDIT_ROOTED_VARIANT	ldalor	2	L+AL+OR	LEITEN · ZIEL · ANSATZ	WORKING
taly	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	tal	1	T+AL	STELLEN · ZIEL	MEDIUM_HIGH
tcheol	1	1	f89r	EXACT_REGISTERED_SURFACE	tcheol	0	T+CHEO+L	STELLEN · AUSZUG · LEITEN	HIGH
tchodol	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	pchodol	1	P+CH+O+D_ADDR+OL	EINSETZEN · NEHMEN · AUSFÜHREN · TEIL · FORTSETZEN	MEDIUM_HIGH
tchor	1	1	f18r	EXACT_REGISTERED_SURFACE	tchor	0	T+CH+OR	STELLEN · NEHMEN · ANSATZ	HIGH
tdain	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	dain	1	AIN	PORTION	MEDIUM_HIGH
tealy	1	1	f72r	TWO_EDIT_ROOTED_VARIANT	aly	2	AL+Y	ZIEL · POSTEN	WORKING
teeody	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	oteeody	1	OT+EE+O+DY	DANACH · LÄNGER · AUSFÜHREN · SCHLUSS	MEDIUM_HIGH
teo	1	1	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	teol	1	E+OL	KURZ · FORTSETZEN	MEDIUM_HIGH
teodal	1	1	f72r	EXACT_REGISTERED_SURFACE	teodal	0	T+E+O+D_ADDR+AL	STELLEN · KURZ · AUSFÜHREN · TEIL · ZIEL	HIGH
tey	2	2	f72r	ONE_EDIT_REGISTERED_ALLOGRAPH	teey	1	T+EE+Y	STELLEN · LÄNGER · POSTEN	MEDIUM_HIGH
tol	1	1	f89r	EXACT_REGISTERED_SURFACE	tol	0	T+OL	STELLEN · FORTSETZEN	HIGH
tos	1	1	f89r	EXACT_REGISTERED_SURFACE	tos	0	T+O+S	STELLEN · AUSFÜHREN · AUSWÄHLEN	HIGH
y	13	12	f18r|f72r|f76r|f89r	EXACT_REGISTERED_SURFACE	y	0	Y	POSTEN	HIGH
ychair	1	1	f18r	ONE_EDIT_REGISTERED_ALLOGRAPH	chair	1	CH+AIR	NEHMEN · LAUF	MEDIUM_HIGH
ycheary	1	1	f89r	TWO_EDIT_ROOTED_VARIANT	chear	2	CH+E+AR	NEHMEN · KURZ · QUELLE	WORKING
ycheeo	1	1	f89r	TWO_EDIT_ROOTED_VARIANT	ychey	2	Y+Y	POSTEN · POSTEN	WORKING
ychekch	1	1	f18r	ONE_EDIT_REGISTERED_ALLOGRAPH	ychekchy	1	Y+CHK+Y	POSTEN · BEHANDELN · POSTEN	MEDIUM_HIGH
ycheo	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	ycheor	1	Y+CHEO+R	POSTEN · AUSZUG · MERKEN	MEDIUM_HIGH
ychy	1	1	f18r	ONE_EDIT_REGISTERED_ALLOGRAPH	chy	1	Y	POSTEN	MEDIUM_HIGH
ydaiin	2	2	f18r|f89r	EXACT_REGISTERED_SURFACE	ydaiin	0	Y+D_ADDR+AIIN	POSTEN · TEIL · MASS	HIGH
ydair	1	1	f89r	EXACT_REGISTERED_SURFACE	ydair	0	Y+D_ADDR+AIR	POSTEN · TEIL · LAUF	HIGH
ydal	1	1	f72r	EXACT_REGISTERED_SURFACE	ydal	0	Y+AL	POSTEN · ZIEL	HIGH
ydam	1	1	f89r	EXACT_REGISTERED_SURFACE	ydam	0	Y+DA+AM_ADDR	POSTEN · ZWEIT · INNEN	HIGH
yddy	1	0	f89r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
yfary	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
ykar	1	1	f76r	EXACT_REGISTERED_SURFACE	ykar	0	Y+K+AR	POSTEN · GEBEN · QUELLE	HIGH
ykaraiin	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
ykchdy	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	kchdy	1	K+CHD+Y	GEBEN · UMSETZEN · POSTEN	MEDIUM_HIGH
ykchol	2	2	f18r	ONE_EDIT_REGISTERED_ALLOGRAPH	kchol	1	K+OL	GEBEN · FORTSETZEN	MEDIUM_HIGH
ykeeoly	1	1	f72r	TWO_EDIT_ROOTED_VARIANT	ykoly	2	Y+K+OL+Y	POSTEN · GEBEN · FORTSETZEN · POSTEN	WORKING
ykeey	1	1	f72r	EXACT_REGISTERED_SURFACE	ykeey	0	Y+K+EE+Y	POSTEN · GEBEN · LÄNGER · POSTEN	HIGH
ykeo	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	lkeo	1	L+K+E+O	LEITEN · GEBEN · KURZ · AUSFÜHREN	MEDIUM_HIGH
ykeody	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	ykedy	1	Y+K+E+DY	POSTEN · GEBEN · KURZ · SCHLUSS	MEDIUM_HIGH
ykeolol	1	1	f72r	VISIBLE_NEW_COMPOSITION	cheorol	3	Y+K+E+OL+OL	POSTEN · GEBEN · KURZ · FORTSETZEN · FORTSETZEN	WORKING_COMPOSITION
ykocfhy	1	0	f89r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
ykolairol	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
ykoly	1	1	f72r	EXACT_REGISTERED_SURFACE	ykoly	0	Y+K+OL+Y	POSTEN · GEBEN · FORTSETZEN · POSTEN	HIGH
yksheol	1	1	f76r	TWO_EDIT_ROOTED_VARIANT	sheol	2	SH+E+OL	HALTEN · KURZ · FORTSETZEN	WORKING
ykyd	1	0	f89r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
yoar	1	1	f18r	ONE_EDIT_REGISTERED_ALLOGRAPH	ykar	1	Y+K+AR	POSTEN · GEBEN · QUELLE	MEDIUM_HIGH
yody	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	ytody	1	Y+T+O+DY	POSTEN · STELLEN · AUSFÜHREN · SCHLUSS	MEDIUM_HIGH
yoeteey	1	1	f72r	TWO_EDIT_ROOTED_VARIANT	yteey	2	Y+T+EE+Y	POSTEN · STELLEN · LÄNGER · POSTEN	WORKING
yokeeol	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	okeeol	1	OK+EE+OL	SETZEN · LÄNGER · FORTSETZEN	MEDIUM_HIGH
yorain	1	0	f89r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
ypaiin	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
ys	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
yshey	1	1	f76r	EXACT_REGISTERED_SURFACE	yshey	0	Y+SH+E+Y	POSTEN · HALTEN · KURZ · POSTEN	HIGH
yshor	1	1	f89r	ONE_EDIT_REGISTERED_ALLOGRAPH	shor	1	SH+OR	HALTEN · ANSATZ	MEDIUM_HIGH
ytain	1	1	f76r	EXACT_REGISTERED_SURFACE	ytain	0	Y+T+AIN	POSTEN · STELLEN · PORTION	HIGH
ytairal	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
ytal	2	2	f76r	ONE_EDIT_REGISTERED_ALLOGRAPH	tal	1	T+AL	STELLEN · ZIEL	MEDIUM_HIGH
ytalshdy	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
ytarem	1	0	f89r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
ytcharg	1	1	f18r	TWO_EDIT_ROOTED_VARIANT	kcharg	2	K+CH+AR+LOCAL_CHAR_G	GEBEN · NEHMEN · QUELLE · EINMAL	WORKING
ytey	1	1	f72r	EXACT_REGISTERED_SURFACE	ytey	0	T+E+Y	STELLEN · KURZ · POSTEN	HIGH
ytoar	1	0	f72r	LOCAL_OWNER_ADDRESS	OWNER_COPY		LOCAL_ADDRESS	LOKALE ADRESSE	OWNER_BOUND
ytol	1	1	f18r	ONE_EDIT_REGISTERED_ALLOGRAPH	tol	1	T+OL	STELLEN · FORTSETZEN	MEDIUM_HIGH
ytoldy	1	1	f89r	TWO_EDIT_ROOTED_VARIANT	oldy	2	OL+DY	FORTSETZEN · SCHLUSS	WORKING
yty	1	1	f89r	EXACT_REGISTERED_SURFACE	yty	0	Y+T+Y	POSTEN · STELLEN · POSTEN	HIGH
