stream_ordinal	event_id	statement_id	physical_page	register	owner_de	surface	component_recipe	intake_tier	ordered_literal_reading_de	order_safe_clause_de	dual_channel_reading_de	state_and_clause_match_gdt438
4419	G407-E4419	G404-S063	f95v	HERBAL	F95V_WHOLE_PLANT	archytaiin	AR+CH+Y+T+AIIN	T0_EXACT_OBSERVED	AUSGANG · NEHMEN · POSTEN · EINSTELLEN · WERT	Nimm den Pflanzenposten und den Arbeitswert und stelle den Pflanzenposten und den Arbeitswert ein; vom Ausgangsmaterial.	Kernfolge: AUSGANG · NEHMEN · POSTEN · EINSTELLEN · WERT. Nimm den Pflanzenposten und den Arbeitswert und stelle den Pflanzenposten und den Arbeitswert ein; vom Ausgangsmaterial.	YES
4420	G407-E4420	G404-S063	f95v	HERBAL	F95V_WHOLE_PLANT	shekoiin	SH+E+K+O+IIN	T0_EXACT_OBSERVED	HALTEN · GRAD I · GEBEN · AUSFÜHRUNG · STUFE	Halte den Arbeitswert [wie zuvor] und gib den Arbeitswert [wie zuvor] zu; auf Grad I, als Ausführung und auf der bezeichneten Stufe.	Kernfolge: HALTEN · GRAD I · GEBEN · AUSFÜHRUNG · STUFE. Halte den Arbeitswert [wie zuvor] und gib den Arbeitswert [wie zuvor] zu; auf Grad I, als Ausführung und auf der bezeichneten Stufe.	YES
4421	G407-E4421	G404-S063	f95v	HERBAL	F95V_WHOLE_PLANT	okar	OK+AR	T0_EXACT_OBSERVED	SETZEN · AUSGANG	Setze den Arbeitswert [wie zuvor] im Arbeitsgang an; vom Ausgangsmaterial.	Kernfolge: SETZEN · AUSGANG. Setze den Arbeitswert [wie zuvor] im Arbeitsgang an; vom Ausgangsmaterial.	YES
4422	G407-E4422	G404-S063	f95v	HERBAL	F95V_WHOLE_PLANT	or	OR	T0_EXACT_OBSERVED	EINHEIT	Im laufenden Gang setze die Arbeitseinheit im Arbeitsgang an.	Kernfolge: EINHEIT. Im laufenden Gang setze die Arbeitseinheit im Arbeitsgang an.	YES
4423	G407-E4423	G404-S063	f95v	HERBAL	F95V_WHOLE_PLANT	aiin	AIIN	T0_EXACT_OBSERVED	WERT	Im laufenden Gang setze den Arbeitswert im Arbeitsgang an.	Kernfolge: WERT. Im laufenden Gang setze den Arbeitswert im Arbeitsgang an.	YES
4424	G407-E4424	G404-S063	f95v	HERBAL	F95V_WHOLE_PLANT	chckhy	CH+K+Y	T0_EXACT_OBSERVED	NEHMEN · GEBEN · POSTEN	Nimm den Pflanzenposten und gib den Pflanzenposten zu.	Kernfolge: NEHMEN · GEBEN · POSTEN. Nimm den Pflanzenposten und gib den Pflanzenposten zu.	YES
4425	G407-E4425	G404-S063	f95v	HERBAL	F95V_WHOLE_PLANT	okal	OK+AL	T0_EXACT_OBSERVED	SETZEN · ZIELORT	Setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; zur Zielstelle.	Kernfolge: SETZEN · ZIELORT. Setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; zur Zielstelle.	YES
4426	G407-E4426	G404-S063	f95v	HERBAL	F95V_WHOLE_PLANT	otain	OT+AIN	T0_EXACT_OBSERVED	DANACH · ANTEIL	Danach im laufenden Gang setze den Materialanteil im Arbeitsgang an.	Kernfolge: DANACH · ANTEIL. Danach im laufenden Gang setze den Materialanteil im Arbeitsgang an.	YES
4427	G407-E4427	G404-S063	f95v	HERBAL	F95V_WHOLE_PLANT	okalody	OK+AL+O+DY	T0_EXACT_OBSERVED	SETZEN · ZIELORT · AUSFÜHRUNG · SCHLUSS	Setze den Materialanteil [wie zuvor] im Arbeitsgang an; zur Zielstelle; als Ausführung; schließe den Schritt.	Kernfolge: SETZEN · ZIELORT · AUSFÜHRUNG · SCHLUSS. Setze den Materialanteil [wie zuvor] im Arbeitsgang an; zur Zielstelle; als Ausführung; schließe den Schritt.	YES
4428	G407-E4428	G404-S064	f95v	HERBAL	F95V_WHOLE_PLANT	daiin	AIIN	T0_EXACT_OBSERVED	WERT	Im laufenden Gang setze den Arbeitswert im Arbeitsgang an.	Kernfolge: WERT. Im laufenden Gang setze den Arbeitswert im Arbeitsgang an.	YES
4429	G407-E4429	G404-S064	f95v	HERBAL	F95V_WHOLE_PLANT	olkain	OL+K+AIN	T0_EXACT_OBSERVED	FORTSETZEN · GEBEN · ANTEIL	Weiter gib den Materialanteil zu.	Kernfolge: FORTSETZEN · GEBEN · ANTEIL. Weiter gib den Materialanteil zu.	YES
4430	G407-E4430	G404-S064	f95v	HERBAL	F95V_WHOLE_PLANT	qokan	OK+AN	T0_EXACT_OBSERVED	SETZEN · KLASSE	Setze den Materialanteil [wie zuvor] im Arbeitsgang an; in der bezeichneten Klasse.	Kernfolge: SETZEN · KLASSE. Setze den Materialanteil [wie zuvor] im Arbeitsgang an; in der bezeichneten Klasse.	YES
4431	G407-E4431	G404-S064	f95v	HERBAL	F95V_WHOLE_PLANT	shar	SH+AR	T0_EXACT_OBSERVED	HALTEN · AUSGANG	Halte den Materialanteil [wie zuvor]; vom Ausgangsmaterial.	Kernfolge: HALTEN · AUSGANG. Halte den Materialanteil [wie zuvor]; vom Ausgangsmaterial.	YES
4432	G407-E4432	G404-S064	f95v	HERBAL	F95V_WHOLE_PLANT	shekydy	SH+E+K+Y+DY	T0_EXACT_OBSERVED	HALTEN · GRAD I · GEBEN · POSTEN · SCHLUSS	Halte den Pflanzenposten und gib den Pflanzenposten zu; auf Grad I; schließe den Schritt.	Kernfolge: HALTEN · GRAD I · GEBEN · POSTEN · SCHLUSS. Halte den Pflanzenposten und gib den Pflanzenposten zu; auf Grad I; schließe den Schritt.	YES
4433	G407-E4433	G404-S065	f95v	HERBAL	F95V_WHOLE_PLANT	dain	AIN	T0_EXACT_OBSERVED	ANTEIL	Im laufenden Gang gib den Materialanteil zu.	Kernfolge: ANTEIL. Im laufenden Gang gib den Materialanteil zu.	YES
4434	G407-E4434	G404-S065	f95v	HERBAL	F95V_WHOLE_PLANT	alkain	AL+K+AIN	T0_EXACT_OBSERVED	ZIELORT · GEBEN · ANTEIL	Gib den Materialanteil zu; zur Zielstelle.	Kernfolge: ZIELORT · GEBEN · ANTEIL. Gib den Materialanteil zu; zur Zielstelle.	YES
4435	G407-E4435	G404-S065	f95v	HERBAL	F95V_WHOLE_PLANT	okalaiin	OK+AIIN	T0_EXACT_OBSERVED	SETZEN · WERT	Setze den Arbeitswert im Arbeitsgang an.	Kernfolge: SETZEN · WERT. Setze den Arbeitswert im Arbeitsgang an.	YES
4436	G407-E4436	G404-S065	f95v	HERBAL	F95V_WHOLE_PLANT	s	S	T0_EXACT_OBSERVED	WÄHLEN	Wähle den Arbeitswert [wie zuvor].	Kernfolge: WÄHLEN. Wähle den Arbeitswert [wie zuvor].	YES
4437	G407-E4437	G404-S065	f95v	HERBAL	F95V_WHOLE_PLANT	tar	T+AR	T0_EXACT_OBSERVED	EINSTELLEN · AUSGANG	Stelle den Arbeitswert [wie zuvor] ein; vom Ausgangsmaterial.	Kernfolge: EINSTELLEN · AUSGANG. Stelle den Arbeitswert [wie zuvor] ein; vom Ausgangsmaterial.	YES
4438	G407-E4438	G404-S065	f95v	HERBAL	F95V_WHOLE_PLANT	fcheey	LOCAL_CHAR_F+CH+EE+Y	T0_EXACT_OBSERVED	HIER · NEHMEN · GRAD II · POSTEN	Nimm den Pflanzenposten; auf Grad II; an der bezeichneten Stelle.	Kernfolge: HIER · NEHMEN · GRAD II · POSTEN. Nimm den Pflanzenposten; auf Grad II; an der bezeichneten Stelle.	YES
4439	G407-E4439	G404-S065	f95v	HERBAL	F95V_WHOLE_PLANT	shos	SH+O+S	T0_EXACT_OBSERVED	HALTEN · AUSFÜHRUNG · WÄHLEN	Halte den Pflanzenposten [wie zuvor] und wähle den Pflanzenposten [wie zuvor]; als Ausführung.	Kernfolge: HALTEN · AUSFÜHRUNG · WÄHLEN. Halte den Pflanzenposten [wie zuvor] und wähle den Pflanzenposten [wie zuvor]; als Ausführung.	YES
4440	G407-E4440	G404-S065	f95v	HERBAL	F95V_WHOLE_PLANT	aiin	AIIN	T0_EXACT_OBSERVED	WERT	Im laufenden Gang wähle den Arbeitswert.	Kernfolge: WERT. Im laufenden Gang wähle den Arbeitswert.	YES
4441	G407-E4441	G404-S065	f95v	HERBAL	F95V_WHOLE_PLANT	okar	OK+AR	T0_EXACT_OBSERVED	SETZEN · AUSGANG	Setze den Arbeitswert [wie zuvor] im Arbeitsgang an; vom Ausgangsmaterial.	Kernfolge: SETZEN · AUSGANG. Setze den Arbeitswert [wie zuvor] im Arbeitsgang an; vom Ausgangsmaterial.	YES
4442	G407-E4442	G404-S065	f95v	HERBAL	F95V_WHOLE_PLANT	olkaiin	OL+K+AIIN	T0_EXACT_OBSERVED	FORTSETZEN · GEBEN · WERT	Weiter gib den Arbeitswert zu.	Kernfolge: FORTSETZEN · GEBEN · WERT. Weiter gib den Arbeitswert zu.	YES
4443	G407-E4443	G404-S065	f95v	HERBAL	F95V_WHOLE_PLANT	otalain	OT+AL+AIN	T0_EXACT_OBSERVED	DANACH · ZIELORT · ANTEIL	Danach, zur Zielstelle: im laufenden Gang gib den Materialanteil zu.	Kernfolge: DANACH · ZIELORT · ANTEIL. Danach, zur Zielstelle: im laufenden Gang gib den Materialanteil zu.	YES
4444	G407-E4444	G404-S065	f95v	HERBAL	F95V_WHOLE_PLANT	okaiin	OK+AIIN	T0_EXACT_OBSERVED	SETZEN · WERT	Setze den Arbeitswert im Arbeitsgang an.	Kernfolge: SETZEN · WERT. Setze den Arbeitswert im Arbeitsgang an.	YES
4445	G407-E4445	G404-S065	f95v	HERBAL	F95V_WHOLE_PLANT	ar	AR	T0_EXACT_OBSERVED	AUSGANG	Im laufenden Gang setze den Arbeitswert [wie zuvor] im Arbeitsgang an; vom Ausgangsmaterial.	Kernfolge: AUSGANG. Im laufenden Gang setze den Arbeitswert [wie zuvor] im Arbeitsgang an; vom Ausgangsmaterial.	YES
4446	G407-E4446	G404-S065	f95v	HERBAL	F95V_WHOLE_PLANT	dain	AIN	T0_EXACT_OBSERVED	ANTEIL	Im laufenden Gang setze den Materialanteil im Arbeitsgang an.	Kernfolge: ANTEIL. Im laufenden Gang setze den Materialanteil im Arbeitsgang an.	YES
4447	G407-E4447	G404-S065	f95v	HERBAL	F95V_WHOLE_PLANT	ykaly	Y+K+AL+Y	T0_EXACT_OBSERVED	POSTEN · GEBEN · ZIELORT · POSTEN	Gib den Pflanzenposten [außen] und den Pflanzenposten [innen] zu; zur Zielstelle.	Kernfolge: POSTEN · GEBEN · ZIELORT · POSTEN. Gib den Pflanzenposten [außen] und den Pflanzenposten [innen] zu; zur Zielstelle.	YES
4448	G407-E4448	G404-S065	f95v	HERBAL	F95V_WHOLE_PLANT	chals	CH+AL+S	T0_EXACT_OBSERVED	NEHMEN · ZIELORT · WÄHLEN	Nimm den Pflanzenposten [wie zuvor] und wähle den Pflanzenposten [wie zuvor]; zur Zielstelle.	Kernfolge: NEHMEN · ZIELORT · WÄHLEN. Nimm den Pflanzenposten [wie zuvor] und wähle den Pflanzenposten [wie zuvor]; zur Zielstelle.	YES
4449	G407-E4449	G404-S065	f95v	HERBAL	F95V_WHOLE_PLANT	shedain	SH+E+AIN	T0_EXACT_OBSERVED	HALTEN · GRAD I · ANTEIL	Halte den Materialanteil; auf Grad I.	Kernfolge: HALTEN · GRAD I · ANTEIL. Halte den Materialanteil; auf Grad I.	YES
4450	G407-E4450	G404-S065	f95v	HERBAL	F95V_WHOLE_PLANT	olaiin	OL+AIIN	T0_EXACT_OBSERVED	FORTSETZEN · WERT	Weiter im laufenden Gang halte den Arbeitswert.	Kernfolge: FORTSETZEN · WERT. Weiter im laufenden Gang halte den Arbeitswert.	YES
4451	G407-E4451	G404-S065	f95v	HERBAL	F95V_WHOLE_PLANT	y	Y	T0_EXACT_OBSERVED	POSTEN	Im laufenden Gang halte den Pflanzenposten.	Kernfolge: POSTEN. Im laufenden Gang halte den Pflanzenposten.	YES
4452	G407-E4452	G404-S065	f95v	HERBAL	F95V_WHOLE_PLANT	okain	OK+AIN	T0_EXACT_OBSERVED	SETZEN · ANTEIL	Setze den Materialanteil im Arbeitsgang an.	Kernfolge: SETZEN · ANTEIL. Setze den Materialanteil im Arbeitsgang an.	YES
4453	G407-E4453	G404-S065	f95v	HERBAL	F95V_WHOLE_PLANT	ldy	L+DY	T0_EXACT_OBSERVED	VERBINDUNG · SCHLUSS	Im laufenden Gang setze den Materialanteil [wie zuvor] im Arbeitsgang an; über die Verbindung im Pflanzenartikel; schließe den Schritt.	Kernfolge: VERBINDUNG · SCHLUSS. Im laufenden Gang setze den Materialanteil [wie zuvor] im Arbeitsgang an; über die Verbindung im Pflanzenartikel; schließe den Schritt.	YES
4454	G407-E4454	G404-S066	f95v	HERBAL	F95V_WHOLE_PLANT	qokeey	OK+EE+Y	T0_EXACT_OBSERVED	SETZEN · GRAD II · POSTEN	Setze den Pflanzenposten im Arbeitsgang an; auf Grad II.	Kernfolge: SETZEN · GRAD II · POSTEN. Setze den Pflanzenposten im Arbeitsgang an; auf Grad II.	YES
4455	G407-E4455	G404-S066	f95v	HERBAL	F95V_WHOLE_PLANT	dar	D_ADDR+AR	T0_EXACT_OBSERVED	HIER · AUSGANG	Im laufenden Gang setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; vom Ausgangsmaterial; an der bezeichneten Stelle.	Kernfolge: HIER · AUSGANG. Im laufenden Gang setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; vom Ausgangsmaterial; an der bezeichneten Stelle.	YES
4456	G407-E4456	G404-S066	f95v	HERBAL	F95V_WHOLE_PLANT	chdykain	CHD+Y+K+AIN	T0_EXACT_OBSERVED	BEARBEITEN · POSTEN · GEBEN · ANTEIL	Bearbeite den Pflanzenposten und den Materialanteil und gib den Pflanzenposten und den Materialanteil zu.	Kernfolge: BEARBEITEN · POSTEN · GEBEN · ANTEIL. Bearbeite den Pflanzenposten und den Materialanteil und gib den Pflanzenposten und den Materialanteil zu.	YES
4457	G407-E4457	G404-S066	f95v	HERBAL	F95V_WHOLE_PLANT	ytasal	Y+T+A_ADDR+S+AL	T0_EXACT_OBSERVED	POSTEN · EINSTELLEN · HIER · WÄHLEN · ZIELORT	Stelle den Pflanzenposten ein und wähle den Pflanzenposten; zur Zielstelle; an der bezeichneten Stelle.	Kernfolge: POSTEN · EINSTELLEN · HIER · WÄHLEN · ZIELORT. Stelle den Pflanzenposten ein und wähle den Pflanzenposten; zur Zielstelle; an der bezeichneten Stelle.	YES
4458	G407-E4458	G404-S066	f95v	HERBAL	F95V_WHOLE_PLANT	otain	OT+AIN	T0_EXACT_OBSERVED	DANACH · ANTEIL	Danach im laufenden Gang wähle den Materialanteil.	Kernfolge: DANACH · ANTEIL. Danach im laufenden Gang wähle den Materialanteil.	YES
4459	G407-E4459	G404-S067	f95v	HERBAL	F95V_WHOLE_PLANT	olteedy	OL+T+EE+DY	T0_EXACT_OBSERVED	FORTSETZEN · EINSTELLEN · GRAD II · SCHLUSS	Weiter stelle den Materialanteil [wie zuvor] ein; auf Grad II; schließe den Schritt.	Kernfolge: FORTSETZEN · EINSTELLEN · GRAD II · SCHLUSS. Weiter stelle den Materialanteil [wie zuvor] ein; auf Grad II; schließe den Schritt.	YES
4460	G407-E4460	G404-S068	f95v	HERBAL	F95V_WHOLE_PLANT	oepaiin	O+E+P+AIIN	T0_EXACT_OBSERVED	AUSFÜHRUNG · GRAD I · EINSETZEN · WERT	Setze den Arbeitswert ein; als Ausführung und auf Grad I.	Kernfolge: AUSFÜHRUNG · GRAD I · EINSETZEN · WERT. Setze den Arbeitswert ein; als Ausführung und auf Grad I.	YES
4461	G407-E4461	G404-S068	f95v	HERBAL	F95V_WHOLE_PLANT	oekshy	O+E+K+SH+Y	T0_EXACT_OBSERVED	AUSFÜHRUNG · GRAD I · GEBEN · HALTEN · POSTEN	Gib den Pflanzenposten zu und halte den Pflanzenposten; als Ausführung und auf Grad I.	Kernfolge: AUSFÜHRUNG · GRAD I · GEBEN · HALTEN · POSTEN. Gib den Pflanzenposten zu und halte den Pflanzenposten; als Ausführung und auf Grad I.	YES
4462	G407-E4462	G404-S068	f95v	HERBAL	F95V_WHOLE_PLANT	qofchdaiin	CARRIER_Q+O+LOCAL_CHAR_F+CHD+AIIN	T0_EXACT_OBSERVED	BEGINNMARKER · AUSFÜHRUNG · HIER · BEARBEITEN · WERT	Bearbeite den Arbeitswert; als neuen Einsatz und als Ausführung; an der bezeichneten Stelle.	Kernfolge: BEGINNMARKER · AUSFÜHRUNG · HIER · BEARBEITEN · WERT. Bearbeite den Arbeitswert; als neuen Einsatz und als Ausführung; an der bezeichneten Stelle.	YES
4463	G407-E4463	G404-S068	f95v	HERBAL	F95V_WHOLE_PLANT	shoyfar	SH+O+Y+LOCAL_CHAR_F+AR	T0_EXACT_OBSERVED	HALTEN · AUSFÜHRUNG · POSTEN · HIER · AUSGANG	Halte den Pflanzenposten; vom Ausgangsmaterial; als Ausführung; an der bezeichneten Stelle.	Kernfolge: HALTEN · AUSFÜHRUNG · POSTEN · HIER · AUSGANG. Halte den Pflanzenposten; vom Ausgangsmaterial; als Ausführung; an der bezeichneten Stelle.	YES
4464	G407-E4464	G404-S068	f95v	HERBAL	F95V_WHOLE_PLANT	okshy	OK+Y	T0_EXACT_OBSERVED	SETZEN · POSTEN	Setze den Pflanzenposten im Arbeitsgang an.	Kernfolge: SETZEN · POSTEN. Setze den Pflanzenposten im Arbeitsgang an.	YES
4465	G407-E4465	G404-S068	f95v	HERBAL	F95V_WHOLE_PLANT	okain	OK+AIN	T0_EXACT_OBSERVED	SETZEN · ANTEIL	Setze den Materialanteil im Arbeitsgang an.	Kernfolge: SETZEN · ANTEIL. Setze den Materialanteil im Arbeitsgang an.	YES
4466	G407-E4466	G404-S068	f95v	HERBAL	F95V_WHOLE_PLANT	ar	AR	T0_EXACT_OBSERVED	AUSGANG	Im laufenden Gang setze den Materialanteil [wie zuvor] im Arbeitsgang an; vom Ausgangsmaterial.	Kernfolge: AUSGANG. Im laufenden Gang setze den Materialanteil [wie zuvor] im Arbeitsgang an; vom Ausgangsmaterial.	YES
4467	G407-E4467	G404-S068	f95v	HERBAL	F95V_WHOLE_PLANT	alfshed	AL+LOCAL_CHAR_F+SH+E+D_ADDR	T0_EXACT_OBSERVED	ZIELORT · HIER · HALTEN · GRAD I · HIER	Halte den Materialanteil [wie zuvor]; zur Zielstelle; auf Grad I; an der bezeichneten Stelle und an der bezeichneten Stelle.	Kernfolge: ZIELORT · HIER · HALTEN · GRAD I · HIER. Halte den Materialanteil [wie zuvor]; zur Zielstelle; auf Grad I; an der bezeichneten Stelle und an der bezeichneten Stelle.	YES
4468	G407-E4468	G404-S068	f95v	HERBAL	F95V_WHOLE_PLANT	okshy	OK+Y	T0_EXACT_OBSERVED	SETZEN · POSTEN	Setze den Pflanzenposten im Arbeitsgang an.	Kernfolge: SETZEN · POSTEN. Setze den Pflanzenposten im Arbeitsgang an.	YES
4469	G407-E4469	G404-S068	f95v	HERBAL	F95V_WHOLE_PLANT	tshor	T+SH+OR	T0_EXACT_OBSERVED	EINSTELLEN · HALTEN · EINHEIT	Stelle die Arbeitseinheit ein und halte die Arbeitseinheit.	Kernfolge: EINSTELLEN · HALTEN · EINHEIT. Stelle die Arbeitseinheit ein und halte die Arbeitseinheit.	YES
4470	G407-E4470	G404-S068	f95v	HERBAL	F95V_WHOLE_PLANT	qoksh	OK+SH	T0_EXACT_OBSERVED	SETZEN · HALTEN	Setze die Arbeitseinheit [wie zuvor] im Arbeitsgang an und halte die Arbeitseinheit [wie zuvor].	Kernfolge: SETZEN · HALTEN. Setze die Arbeitseinheit [wie zuvor] im Arbeitsgang an und halte die Arbeitseinheit [wie zuvor].	YES
4471	G407-E4471	G404-S068	f95v	HERBAL	F95V_WHOLE_PLANT	qokain	OK+AIN	T0_EXACT_OBSERVED	SETZEN · ANTEIL	Setze den Materialanteil im Arbeitsgang an.	Kernfolge: SETZEN · ANTEIL. Setze den Materialanteil im Arbeitsgang an.	YES
4472	G407-E4472	G404-S068	f95v	HERBAL	F95V_WHOLE_PLANT	otar	OT+AR	T0_EXACT_OBSERVED	DANACH · AUSGANG	Danach im laufenden Gang setze den Materialanteil [wie zuvor] im Arbeitsgang an; vom Ausgangsmaterial.	Kernfolge: DANACH · AUSGANG. Danach im laufenden Gang setze den Materialanteil [wie zuvor] im Arbeitsgang an; vom Ausgangsmaterial.	YES
4473	G407-E4473	G404-S068	f95v	HERBAL	F95V_WHOLE_PLANT	oty	OT+Y	T0_EXACT_OBSERVED	DANACH · POSTEN	Danach im laufenden Gang setze den Pflanzenposten im Arbeitsgang an.	Kernfolge: DANACH · POSTEN. Danach im laufenden Gang setze den Pflanzenposten im Arbeitsgang an.	YES
4474	G407-E4474	G404-S068	f95v	HERBAL	F95V_WHOLE_PLANT	qokedy	OK+E+DY	T0_EXACT_OBSERVED	SETZEN · GRAD I · SCHLUSS	Setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; auf Grad I; schließe den Schritt.	Kernfolge: SETZEN · GRAD I · SCHLUSS. Setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; auf Grad I; schließe den Schritt.	YES
4475	G407-E4475	G404-S069	f95v	HERBAL	F95V_WHOLE_PLANT	otal	OT+AL	T0_EXACT_OBSERVED	DANACH · ZIELORT	Danach im laufenden Gang setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; zur Zielstelle.	Kernfolge: DANACH · ZIELORT. Danach im laufenden Gang setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; zur Zielstelle.	YES
4476	G407-E4476	G404-S069	f95v	HERBAL	F95V_WHOLE_PLANT	ytchdy	Y+T+CHD+Y	T0_EXACT_OBSERVED	POSTEN · EINSTELLEN · BEARBEITEN · POSTEN	Stelle den Pflanzenposten [außen] und den Pflanzenposten [innen] ein und bearbeite den Pflanzenposten [außen] und den Pflanzenposten [innen].	Kernfolge: POSTEN · EINSTELLEN · BEARBEITEN · POSTEN. Stelle den Pflanzenposten [außen] und den Pflanzenposten [innen] ein und bearbeite den Pflanzenposten [außen] und den Pflanzenposten [innen].	YES
4477	G407-E4477	G404-S069	f95v	HERBAL	F95V_WHOLE_PLANT	qokar	OK+AR	T0_EXACT_OBSERVED	SETZEN · AUSGANG	Setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; vom Ausgangsmaterial.	Kernfolge: SETZEN · AUSGANG. Setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; vom Ausgangsmaterial.	YES
4478	G407-E4478	G404-S069	f95v	HERBAL	F95V_WHOLE_PLANT	am	AM_ADDR	T0_EXACT_OBSERVED	HIER	Im laufenden Gang setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; an der bezeichneten Stelle.	Kernfolge: HIER. Im laufenden Gang setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; an der bezeichneten Stelle.	YES
4479	G407-E4479	G404-S069	f95v	HERBAL	F95V_WHOLE_PLANT	tchody	T+CH+O+DY	T0_EXACT_OBSERVED	EINSTELLEN · NEHMEN · AUSFÜHRUNG · SCHLUSS	Stelle den Pflanzenposten [wie zuvor] ein und nimm den Pflanzenposten [wie zuvor]; als Ausführung; schließe den Schritt.	Kernfolge: EINSTELLEN · NEHMEN · AUSFÜHRUNG · SCHLUSS. Stelle den Pflanzenposten [wie zuvor] ein und nimm den Pflanzenposten [wie zuvor]; als Ausführung; schließe den Schritt.	YES
4480	G407-E4480	G404-S070	f95v	HERBAL	F95V_WHOLE_PLANT	qokaiin	OK+AIIN	T0_EXACT_OBSERVED	SETZEN · WERT	Setze den Arbeitswert im Arbeitsgang an.	Kernfolge: SETZEN · WERT. Setze den Arbeitswert im Arbeitsgang an.	YES
4481	G407-E4481	G404-S070	f95v	HERBAL	F95V_WHOLE_PLANT	y	Y	T0_EXACT_OBSERVED	POSTEN	Im laufenden Gang setze den Pflanzenposten im Arbeitsgang an.	Kernfolge: POSTEN. Im laufenden Gang setze den Pflanzenposten im Arbeitsgang an.	YES
4482	G407-E4482	G404-S070	f95v	HERBAL	F95V_WHOLE_PLANT	char	AR	T0_EXACT_OBSERVED	AUSGANG	Im laufenden Gang setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; vom Ausgangsmaterial.	Kernfolge: AUSGANG. Im laufenden Gang setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; vom Ausgangsmaterial.	YES
4483	G407-E4483	G404-S070	f95v	HERBAL	F95V_WHOLE_PLANT	okain	OK+AIN	T0_EXACT_OBSERVED	SETZEN · ANTEIL	Setze den Materialanteil im Arbeitsgang an.	Kernfolge: SETZEN · ANTEIL. Setze den Materialanteil im Arbeitsgang an.	YES
4484	G407-E4484	G404-S070	f95v	HERBAL	F95V_WHOLE_PLANT	sheody	SH+E+O+D_ADDR+Y	T0_EXACT_OBSERVED	HALTEN · GRAD I · AUSFÜHRUNG · HIER · POSTEN	Halte den Pflanzenposten; auf Grad I und als Ausführung; an der bezeichneten Stelle.	Kernfolge: HALTEN · GRAD I · AUSFÜHRUNG · HIER · POSTEN. Halte den Pflanzenposten; auf Grad I und als Ausführung; an der bezeichneten Stelle.	YES
4485	G407-E4485	G404-S070	f95v	HERBAL	F95V_WHOLE_PLANT	chedy	CHD+Y	T0_EXACT_OBSERVED	BEARBEITEN · POSTEN	Bearbeite den Pflanzenposten.	Kernfolge: BEARBEITEN · POSTEN. Bearbeite den Pflanzenposten.	YES
4486	G407-E4486	G404-S070	f95v	HERBAL	F95V_WHOLE_PLANT	chcthykedy	CH+CH+T+Y+K+E+DY	T0_EXACT_OBSERVED	NEHMEN · NEHMEN · EINSTELLEN · POSTEN · GEBEN · GRAD I · SCHLUSS	Nimm den Pflanzenposten, nimm den Pflanzenposten, stelle den Pflanzenposten ein und gib den Pflanzenposten zu; auf Grad I; schließe den Schritt.	Kernfolge: NEHMEN · NEHMEN · EINSTELLEN · POSTEN · GEBEN · GRAD I · SCHLUSS. Nimm den Pflanzenposten, nimm den Pflanzenposten, stelle den Pflanzenposten ein und gib den Pflanzenposten zu; auf Grad I; schließe den Schritt.	YES
4487	G407-E4487	G404-S071	f95v	HERBAL	F95V_WHOLE_PLANT	ety	E+T+Y	T0_EXACT_OBSERVED	GRAD I · EINSTELLEN · POSTEN	Stelle den Pflanzenposten ein; auf Grad I.	Kernfolge: GRAD I · EINSTELLEN · POSTEN. Stelle den Pflanzenposten ein; auf Grad I.	YES
4488	G407-E4488	G404-S071	f95v	HERBAL	F95V_WHOLE_PLANT	dain	AIN	T0_EXACT_OBSERVED	ANTEIL	Im laufenden Gang stelle den Materialanteil ein.	Kernfolge: ANTEIL. Im laufenden Gang stelle den Materialanteil ein.	YES
4489	G407-E4489	G404-S071	f95v	HERBAL	F95V_WHOLE_PLANT	al	AL	T0_EXACT_OBSERVED	ZIELORT	Im laufenden Gang stelle den Materialanteil [wie zuvor] ein; zur Zielstelle.	Kernfolge: ZIELORT. Im laufenden Gang stelle den Materialanteil [wie zuvor] ein; zur Zielstelle.	YES
4490	G407-E4490	G404-S071	f95v	HERBAL	F95V_WHOLE_PLANT	tchedy	T+CHD+Y	T0_EXACT_OBSERVED	EINSTELLEN · BEARBEITEN · POSTEN	Stelle den Pflanzenposten ein und bearbeite den Pflanzenposten.	Kernfolge: EINSTELLEN · BEARBEITEN · POSTEN. Stelle den Pflanzenposten ein und bearbeite den Pflanzenposten.	YES
